,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50158,패배,일라오이,1987 Plls,1,8,2,12699,2,8,0,153,6.9,0,0,3
1,50158,패배,카직스,마스터못간쓰레기,3,5,1,7402,3,6,5,110,5.0,0,0,3
2,50158,패배,아지르,검은머리사나이,0,5,1,12033,3,11,10,199,9.0,0,0,3
3,50158,패배,이즈리얼,6 18 5 25 1,1,4,1,10124,0,12,3,190,8.6,0,0,3
4,50158,패배,브라움,pokeryo,1,3,0,4463,3,32,8,45,2.0,0,0,3
5,50158,승리,케넨,Flyquest Flame,6,3,4,18983,0,5,3,182,8.2,0,1,8
6,50158,승리,니달리,말랑똥,7,1,7,10137,2,19,3,153,6.9,0,1,8
7,50158,승리,제이스,풀 뜯는 미드,1,1,8,13570,1,20,5,201,9.1,0,1,8
8,50158,승리,칼리스타,19980823,10,0,2,15881,0,6,5,237,10.7,0,1,8
9,50158,승리,타릭,luv is r6ge,1,1,11,4460,7,19,3,41,1.8,0,1,8
10,50159,승리,카르마,luv is r6ge,0,0,0,0,0,4,0,2,0.2,0,0,5
11,50159,승리,진,벤센트불탄,0,0,0,148,0,1,1,63,7.5,0,0,5
12,50159,승리,오른,보고 싶어Tiamo,1,2,1,1392,0,2,0,22,2.6,0,0,5
13,50159,승리,아지르,검은머리사나이,0,1,1,1007,0,1,0,46,5.5,0,0,5
14,50159,승리,리 신,LEAM,4,0,0,2337,0,4,0,54,6.4,0,0,5
15,50159,패배,카직스,pokeryo,0,0,0,205,1,4,0,2,0.2,0,0,0
16,50159,패배,니달리,Flaycid,0,0,0,0,0,0,0,0,0.0,0,0,0
17,50159,패배,바루스,어두운결과,3,3,0,3927,0,3,0,21,2.5,0,0,0
18,50159,패배,가렌,임시용닉네임,0,1,0,559,0,0,0,12,1.4,0,0,0
19,50159,패배,제라스,라인전이기니갱와,0,1,1,894,0,2,0,0,0.0,0,0,0
20,50160,승리,카밀,나는야 누구일까,6,1,4,12076,2,7,4,121,7.5,0,2,2
21,50160,승리,쉬바나,yizhiyu,4,1,7,7420,1,6,6,113,7.0,0,2,2
22,50160,승리,르블랑,검은머리사나이,10,0,6,11825,3,9,4,115,7.1,0,2,2
23,50160,승리,이즈리얼,VIP 민형,3,2,4,5082,0,4,1,141,8.7,0,2,2
24,50160,승리,쓰레쉬,160810,3,1,8,2980,3,14,7,29,1.8,0,2,2
25,50160,패배,일라오이,춘봉박,1,7,0,7737,1,7,1,127,7.9,0,0,0
26,50160,패배,리 신,성혁님미드가신다,3,2,0,4462,3,22,3,108,6.7,0,0,0
27,50160,패배,아지르,chirchri,0,8,0,5640,2,13,0,92,5.7,0,0,0
28,50160,패배,드레이븐,SnakeLight,0,6,1,6411,0,8,2,131,8.1,0,0,0
29,50160,패배,카르마,남 탓 보 다 반성,1,3,0,4374,2,15,3,7,0.4,0,0,0
30,50161,승리,나르,Kingen,9,4,11,42681,1,20,16,356,9.2,1,1,8
31,50161,승리,카직스,chorongie,10,4,7,19745,9,60,23,202,5.2,1,1,8
32,50161,승리,조이,아 백,6,5,11,40358,3,21,14,302,7.8,1,1,8
33,50161,승리,애쉬,아트가 앗뜨거,2,4,15,23087,4,12,12,343,8.9,1,1,8
34,50161,승리,탐 켄치,검은머리사나이,0,9,14,11591,12,44,28,84,2.2,1,1,8
35,50161,패배,일라오이,1987 Plls,3,5,6,25096,0,26,2,326,8.4,0,3,4
36,50161,패배,자르반 4세,DaYE,6,6,17,22158,15,50,30,211,5.5,0,3,4
37,50161,패배,카사딘,Removed Enterkey,6,7,7,26324,3,15,8,244,6.3,0,3,4
38,50161,패배,바루스,FVV BETTY,8,3,8,28696,10,26,8,345,8.9,0,3,4
39,50161,패배,쉔,먹는건즐거워,3,6,16,6598,7,75,23,78,2.0,0,3,4
40,50162,패배,하이머딩거,1414774182,2,4,2,23355,2,11,5,236,8.6,0,1,2
41,50162,패배,리 신,chijixuanshou,3,6,3,8058,12,59,7,124,4.5,0,1,2
42,50162,패배,아지르,검은머리사나이,0,7,3,18861,3,10,6,170,6.2,0,1,2
43,50162,패배,진,Atlen,3,3,3,15170,1,6,0,196,7.2,0,1,2
44,50162,패배,제라스,chorongie,1,7,1,13524,13,31,9,38,1.4,0,1,2
45,50162,승리,일라오이,1987 Plls,4,2,1,8646,0,13,5,221,8.1,1,0,5
46,50162,승리,자크,Removed Enterkey,4,2,8,5165,6,16,21,138,5.0,1,0,5
47,50162,승리,르블랑,tul12,8,2,10,22218,5,28,6,224,8.2,1,0,5
48,50162,승리,미스 포츈,FVV BETTY,9,2,6,18500,5,9,7,248,9.1,1,0,5
49,50162,승리,소라카,YOYOuuuuuO,1,2,16,5521,3,21,10,13,0.5,1,0,5
50,50163,승리,제이스,Jun,6,4,8,14541,2,19,3,146,7.1,0,0,7
