,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40060,패배,일라오이,xaxaxaxaxa,5,14,4,34465,0,29,9,237,5.7,2,2,3
1,40060,패배,니달리,해운대잠만보,5,7,9,16632,8,50,37,229,5.5,2,2,3
2,40060,패배,제라스,DWG ShowMaker,0,4,3,32757,8,23,16,369,8.9,2,2,3
3,40060,패배,칼리스타,구름꽃길만걷자,5,7,7,23244,2,11,26,372,9.0,2,2,3
4,40060,패배,조이,DWG BeryL,6,4,10,29195,23,66,35,73,1.8,2,2,3
5,40060,승리,나르,FVV BETTY,7,4,14,32247,6,46,12,353,8.5,0,1,8
6,40060,승리,엘리스,So1o,4,3,14,21437,10,73,20,195,4.7,0,1,8
7,40060,승리,라이즈,bbq Tempt,7,5,14,26370,6,22,8,389,9.4,0,1,8
8,40060,승리,진,NekoL,12,4,14,42416,3,25,17,370,8.9,0,1,8
9,40060,승리,쉔,XinMo,5,5,19,12122,16,71,26,108,2.6,0,1,8
10,40061,승리,나르,담원 너구리,2,4,15,20706,5,25,14,339,8.2,3,2,9
11,40061,승리,리 신,담원 얼라이브,12,5,13,17882,9,56,22,213,5.2,3,2,9
12,40061,승리,자이라,행운의 변화,8,6,12,37368,4,14,7,311,7.6,3,2,9
13,40061,승리,칼리스타,구름꽃길만걷자,8,5,13,19501,2,10,15,359,8.7,3,2,9
14,40061,승리,세주아니,MataMataMata,3,5,24,12724,18,99,21,79,1.9,3,2,9
15,40061,패배,야스오,JAG S0hwan,5,6,8,23278,3,50,15,431,10.5,0,2,6
16,40061,패배,카직스,ROX Se0ngHwan,12,8,8,31050,8,52,20,167,4.1,0,2,6
17,40061,패배,말자하,bbq Tempt,5,5,9,43283,8,21,9,362,8.8,0,2,6
18,40061,패배,진,비 브이 오 와이,1,5,10,27024,3,15,17,336,8.2,0,2,6
19,40061,패배,쉔,GuGer,2,9,6,5934,16,55,23,93,2.3,0,2,6
20,40062,승리,제이스,JAG S0hwan,7,7,16,34163,7,50,11,348,8.7,1,2,11
21,40062,승리,자르반 4세,ROX Se0ngHwan,0,6,19,10892,11,69,20,162,4.1,1,2,11
22,40062,승리,라이즈,푸딩은푸딩해,13,4,6,49556,4,26,14,409,10.3,1,2,11
23,40062,승리,칼리스타,구름꽃길만걷자,11,4,11,32445,1,13,31,355,8.9,1,2,11
24,40062,승리,쓰레쉬,chorongie,1,5,23,10960,17,106,30,65,1.6,1,2,11
25,40062,패배,사이온,춘봉박,4,6,11,20077,2,19,10,257,6.4,1,1,5
26,40062,패배,케인,PeanuToT,6,8,8,22132,11,38,34,258,6.5,1,1,5
27,40062,패배,빅토르,학교밀베포친키,6,4,9,32089,3,23,26,324,8.1,1,1,5
28,40062,패배,이즈리얼,비 브이 오 와이,8,3,10,49444,2,25,18,359,9.0,1,1,5
29,40062,패배,세주아니,MataMataMata,2,11,11,10559,21,99,25,78,2.0,1,1,5
30,40063,패배,나르,KDM PERT,1,9,1,7182,1,15,2,144,6.4,0,0,0
31,40063,패배,카직스,9346,4,7,4,7612,1,10,12,97,4.3,0,0,0
32,40063,패배,라이즈,으아으앙으아앙,2,4,3,10446,2,7,12,191,8.5,0,0,0
33,40063,패배,코르키,deft123456,4,6,3,18195,3,18,5,183,8.2,0,0,0
34,40063,패배,쉔,구름꽃길만걷자,0,9,4,4260,0,10,4,37,1.7,0,0,0
35,40063,승리,오른,쌀국수뚝붸기,6,0,15,13299,2,11,2,178,7.9,0,1,10
36,40063,승리,자르반 4세,일견무시도성빈,10,4,20,15977,5,19,5,105,4.7,0,1,10
37,40063,승리,탈리야,MVP Ian,5,1,16,23267,6,28,9,223,10.0,0,1,10
38,40063,승리,트리스타나,어껭간만에찾아뵙,11,3,7,20841,3,18,6,166,7.4,0,1,10
39,40063,승리,알리스타,마산가자,3,3,11,6068,5,11,3,30,1.3,0,1,10
40,40064,승리,갱플랭크,피넛사냥개2,6,4,13,32263,1,25,5,344,9.8,1,1,8
41,40064,승리,니달리,PuncHh,7,4,14,23788,5,23,13,225,6.4,1,1,8
42,40064,승리,라이즈,마산가자,7,7,14,30909,5,17,8,301,8.5,1,1,8
43,40064,승리,진,구름꽃길만걷자,9,7,11,30136,2,12,7,265,7.5,1,1,8
44,40064,승리,쉔,534N,7,8,14,10958,5,64,16,90,2.6,1,1,8
45,40064,패배,오른,Kingen,5,7,7,29964,1,17,9,256,7.3,1,3,5
46,40064,패배,자르반 4세,Twink1e,8,7,9,15705,4,22,11,162,4.6,1,3,5
47,40064,패배,탈리야,송하영 팬,6,11,11,26038,4,18,3,216,6.1,1,3,5
48,40064,패배,미스 포츈,Excal1bur1,6,6,11,23742,4,34,19,305,8.7,1,3,5
49,40064,패배,제라스,최석배 사생팬,5,5,11,30835,4,37,11,56,1.6,1,3,5
50,40065,승리,클레드,암고잉빽투더스탙,7,2,13,21058,2,17,11,328,9.9,2,3,8
51,40065,승리,쉬바나,Cuz2,3,1,5,17318,4,8,34,220,6.6,2,3,8
52,40065,승리,제드,KDM PERT,7,3,9,27905,1,44,16,303,9.1,2,3,8
53,40065,승리,칼리스타,구름꽃길만걷자,4,10,9,10737,3,9,11,275,8.3,2,3,8
54,40065,승리,제라스,LFT MID,4,7,8,21321,8,42,11,34,1.0,2,3,8
55,40065,패배,마오카이,YOYOuuuuuO,1,3,8,18930,3,5,2,226,6.8,0,1,4
56,40065,패배,자르반 4세,pokeryo,1,5,12,10630,10,54,12,146,4.4,0,1,4
57,40065,패배,아지르,FW Maple,9,5,4,35041,7,36,9,257,7.8,0,1,4
58,40065,패배,미스 포츈,원딜둥이,9,5,5,28822,3,11,7,252,7.6,0,1,4
59,40065,패배,카르마,YserAoA,3,7,8,10772,10,44,8,21,0.6,0,1,4
60,40066,승리,오른,암고잉빽투더스탙,5,2,9,13029,2,13,2,186,7.5,1,3,11
61,40066,승리,쉬바나,yizhiyu,11,1,6,14968,3,7,8,178,7.2,1,3,11
62,40066,승리,라이즈,오억만,1,1,1,10562,0,11,3,233,9.4,1,3,11
63,40066,승리,칼리스타,구름꽃길만걷자,6,4,4,10635,3,9,9,222,8.9,1,3,11
64,40066,승리,모르가나,BtC Joker,2,4,10,9741,9,34,14,18,0.7,1,3,11
65,40066,패배,갱플랭크,피넛사냥개2,2,8,4,14716,0,11,0,193,7.8,0,0,0
66,40066,패배,니달리,종학윙,6,2,3,8301,2,11,2,113,4.5,0,0,0
67,40066,패배,오리아나,Boldness,0,3,4,11179,1,10,0,217,8.7,0,0,0
68,40066,패배,바루스,원딜둥이,3,7,2,11566,1,11,1,196,7.9,0,0,0
69,40066,패배,레오나,fengquyunbuhui,1,5,5,4315,6,41,7,56,2.3,0,0,0
70,40067,승리,초가스,handcIap,3,8,9,14532,5,37,9,245,6.5,0,4,11
71,40067,승리,카직스,PeanuToT,15,6,11,24929,8,40,13,198,5.3,0,4,11
72,40067,승리,벨코즈,삼성갤럭시 Crown,11,8,14,35337,6,23,12,289,7.7,0,4,11
73,40067,승리,진,구름꽃길만걷자,14,3,23,44988,1,12,10,366,9.7,0,4,11
74,40067,승리,알리스타,삼성갤럭시CoreJJ,5,5,26,11931,9,37,10,64,1.7,0,4,11
75,40067,패배,제이스,암고잉빽투더스탙,6,11,8,36713,1,45,17,288,7.7,2,0,4
76,40067,패배,니달리,죠토마킹,5,8,9,19786,7,11,23,199,5.3,2,0,4
77,40067,패배,아지르,마산가자,10,12,8,41026,6,29,9,343,9.1,2,0,4
78,40067,패배,이즈리얼,Yeeclipse,4,11,6,29234,1,22,4,235,6.2,2,0,4
79,40067,패배,제라스,Co2dplay,5,7,10,42535,7,22,7,91,2.4,2,0,4
80,40068,승리,카밀,나는야 누구일까,8,3,4,17671,2,11,2,170,7.7,1,1,4
81,40068,승리,세주아니,점점나의마음이끌,6,1,12,9146,7,29,6,118,5.3,1,1,4
82,40068,승리,블라디미르,천천히올라감,5,3,10,15532,2,9,5,187,8.4,1,1,4
83,40068,승리,칼리스타,구름꽃길만걷자,12,3,3,22100,1,6,4,193,8.7,1,1,4
84,40068,승리,알리스타,160810,1,2,16,5595,7,20,7,32,1.4,1,1,4
85,40068,패배,일라오이,PawN God,2,8,4,19256,1,28,4,133,6.0,0,0,3
86,40068,패배,니달리,9346,4,6,5,10666,4,16,6,108,4.9,0,0,3
87,40068,패배,라이즈,삼성갤럭시 Crown,1,4,2,13563,4,13,0,216,9.7,0,0,3
88,40068,패배,미스 포츈,Yeeclipse,3,7,3,12629,1,9,0,133,6.0,0,0,3
89,40068,패배,탐 켄치,삼성갤럭시CoreJJ,2,7,5,6039,3,20,5,34,1.5,0,0,3
90,40069,승리,오른,Delicious Fish,0,2,12,12794,6,19,12,238,7.9,1,1,6
91,40069,승리,리 신,Kingen,4,8,5,10738,1,23,3,131,4.4,1,1,6
92,40069,승리,르블랑,Heart,4,5,7,18928,4,34,9,149,5.0,1,1,6
93,40069,승리,칼리스타,구름꽃길만걷자,16,4,7,42239,1,7,10,339,11.3,1,1,6
94,40069,승리,소라카,YOYOuuuuuO,2,4,17,9176,9,26,2,5,0.2,1,1,6
95,40069,패배,제이스,Like Waves,4,6,5,21686,4,30,3,241,8.0,0,0,4
96,40069,패배,자르반 4세,망고코코아,3,4,9,13257,3,24,14,144,4.8,0,0,4
97,40069,패배,조이,Zhongdan XD,6,6,4,26242,5,19,9,184,6.1,0,0,4
98,40069,패배,진,6학년4반장용준,7,3,6,23380,3,11,3,239,8.0,0,0,4
99,40069,패배,쉔,FeelsSosoMan,3,7,11,6777,9,30,6,63,2.1,0,0,4
100,40070,승리,제이스,Eth4n,8,8,9,27919,3,17,9,290,9.0,1,2,10
101,40070,승리,킨드레드,구름꽃길만걷자,15,3,13,28969,4,9,5,192,5.9,1,2,10
102,40070,승리,라이즈,진에어 저스티스,6,2,13,19909,7,23,4,251,7.8,1,2,10
103,40070,승리,진,입이더러운사람,7,2,19,25391,3,14,10,276,8.5,1,2,10
104,40070,승리,탐 켄치,160810,3,2,17,11172,18,45,9,69,2.1,1,2,10
105,40070,패배,카밀,덤벼보던가,6,8,6,18778,1,16,6,259,8.0,1,1,5
106,40070,패배,카직스,어껭간만에찾아뵙,6,6,2,13261,1,27,4,119,3.7,1,1,5
107,40070,패배,말자하,ROX 라바,3,9,5,28827,3,18,1,300,9.3,1,1,5
108,40070,패배,루시안,Afreeca Kramer,1,8,4,16264,5,15,6,336,10.4,1,1,5
109,40070,패배,알리스타,KDM PERT,1,8,8,7903,5,35,9,45,1.4,1,1,5
110,40071,패배,갱플랭크,zaqzxcazxcv,8,7,5,18083,1,10,6,182,8.1,1,0,0
111,40071,패배,세주아니,sanspareil1,1,9,9,6519,4,23,8,85,3.8,1,0,0
112,40071,패배,코르키,구름꽃길만걷자,3,11,4,11706,0,2,3,114,5.1,1,0,0
113,40071,패배,진,담원 얼라이브,2,7,6,10722,4,9,3,152,6.8,1,0,0
114,40071,패배,탐 켄치,Dutch Coffee,3,6,5,6292,4,19,3,39,1.7,1,0,0
115,40071,승리,나르,피넛사냥개2,8,2,12,18500,3,19,2,166,7.4,0,2,9
116,40071,승리,니달리,9346,16,3,11,17115,1,27,0,147,6.6,0,2,9
117,40071,승리,블라디미르,UcaL,8,4,10,21450,1,9,0,196,8.7,0,2,9
118,40071,승리,미스 포츈,덤벼보던가,6,4,9,17173,1,10,2,183,8.2,0,2,9
119,40071,승리,쉔,KT MATA,2,4,18,5507,10,28,8,38,1.7,0,2,9
120,40072,승리,카서스,메 끠,4,9,11,28972,3,19,3,272,7.1,2,2,11
121,40072,승리,세주아니,마이엠브,4,3,25,18101,10,71,22,217,5.6,2,2,11
122,40072,승리,아지르,삼성갤럭시 Crown,7,5,13,42538,10,26,21,338,8.8,2,2,11
123,40072,승리,진,구름꽃길만걷자,14,5,13,38489,4,13,8,329,8.6,2,2,11
124,40072,승리,카르마,천천히올라감,5,3,25,16815,9,38,11,38,1.0,2,2,11
125,40072,패배,나르,WENJUNXI,4,6,8,27992,7,23,9,322,8.4,0,2,3
126,40072,패배,그라가스,담원 쇼메이커,6,7,11,11503,12,59,13,183,4.8,0,2,3
127,40072,패배,탈리야,풀 뜯는 미드,5,6,9,32012,4,19,7,328,8.5,0,2,3
128,40072,패배,바루스,JackeyLove,8,6,7,45756,1,10,16,362,9.4,0,2,3
129,40072,패배,쉔,입이더러운사람,2,9,14,6586,12,54,19,88,2.3,0,2,3
130,40073,승리,나르,FeelsAwesomeMan,5,3,2,10629,1,5,0,108,6.8,0,0,5
131,40073,승리,자르반 4세,PuncHh,8,1,5,9111,2,18,5,88,5.5,0,0,5
132,40073,승리,탈리야,풀 뜯는 미드,3,1,7,7324,1,7,1,151,9.4,0,0,5
133,40073,승리,진,구름꽃길만걷자,6,1,3,8452,1,6,2,130,8.1,0,0,5
134,40073,승리,알리스타,SKT T1 WoIf,0,1,11,4166,6,11,1,24,1.5,0,0,5
135,40073,패배,이렐리아,ROX Hoon,0,7,1,6021,1,6,0,80,5.0,0,0,0
136,40073,패배,쉬바나,WENJUNXI,3,2,3,5850,6,10,6,89,5.6,0,0,0
137,40073,패배,말자하,chirchri,2,3,1,5362,3,7,1,117,7.3,0,0,0
138,40073,패배,미스 포츈,입이더러운사람,2,4,2,6519,0,6,1,105,6.6,0,0,0
139,40073,패배,타릭,YOYOuuuuuO,0,6,4,2147,4,14,1,24,1.5,0,0,0
140,40074,승리,나르,Eth4n,7,2,9,19086,4,18,5,229,7.3,1,1,9
141,40074,승리,니달리,진에어 저스티스,6,1,13,20563,9,30,19,183,5.8,1,1,9
142,40074,승리,트위스티드 페이트,TeachersWu,6,3,11,20449,3,17,9,248,7.9,1,1,9
143,40074,승리,칼리스타,구름꽃길만걷자,3,2,14,23867,1,7,12,280,8.9,1,1,9
144,40074,승리,알리스타,Nem2sis,2,4,16,6770,9,39,15,48,1.5,1,1,9
145,40074,패배,카밀,커피물조절장인,1,4,4,9604,2,15,7,247,7.8,0,1,5
146,40074,패배,리 신,해운대잠만보,0,6,6,6141,3,46,9,150,4.8,0,1,5
147,40074,패배,아지르,FeelsAwesomeMan,3,4,3,25631,5,17,9,261,8.3,0,1,5
148,40074,패배,이즈리얼,FVV BETTY,7,3,3,44195,3,19,3,277,8.8,0,1,5
149,40074,패배,탐 켄치,덤벼보던가,1,7,8,8417,8,46,2,53,1.7,0,1,5
150,40075,승리,케넨,우에하라 크롱,3,3,6,10424,3,11,1,180,8.5,0,0,2
151,40075,승리,카직스,PuncHh,5,2,6,9454,4,16,3,110,5.2,0,0,2
152,40075,승리,아지르,아테나찡,2,2,4,11258,4,9,3,185,8.7,0,0,2
153,40075,승리,이즈리얼,구름꽃길만걷자,4,3,5,13368,1,10,1,173,8.2,0,0,2
154,40075,승리,라칸,fengquyunbuhui,4,1,11,5881,8,28,10,16,0.8,0,0,2
155,40075,패배,쉔,쌀국수뚝붸기,1,1,1,3138,1,7,1,169,8.0,0,0,2
156,40075,패배,니달리,해운대잠만보,7,5,2,8061,3,15,5,127,6.0,0,0,2
157,40075,패배,라이즈,FeelsAwesomeMan,0,3,3,4573,0,8,4,187,8.8,0,0,2
158,40075,패배,미스 포츈,원딜둥이,3,5,3,12211,0,6,2,187,8.8,0,0,2
159,40075,패배,브라움,Nem2sis,0,4,6,3725,5,19,5,40,1.9,0,0,2
160,40076,패배,잭스,구름꽃길만걷자,2,4,4,12886,0,5,0,183,7.8,0,3,1
161,40076,패배,쉬바나,마이엠브,3,3,2,7578,8,26,12,178,7.5,0,3,1
162,40076,패배,라이즈,담원 쇼메이커,0,7,4,13708,2,8,1,155,6.6,0,3,1
163,40076,패배,미스 포츈,whisper snow,2,5,2,14920,0,6,5,187,7.9,0,3,1
164,40076,패배,알리스타,천천히올라감,2,4,3,6149,5,18,8,42,1.8,0,3,1
165,40076,승리,마오카이,Nem2sis,1,4,7,12425,1,9,0,150,6.4,1,0,9
166,40076,승리,세주아니,pokeryo,3,0,11,10253,6,19,5,114,4.8,1,0,9
167,40076,승리,루시안,우에하라 크롱,9,1,6,16669,2,10,8,206,8.7,1,0,9
168,40076,승리,칼리스타,LPL noob ad QAQ,8,3,8,15897,1,12,2,177,7.5,1,0,9
169,40076,승리,타릭,GuGer,2,1,14,5802,8,26,6,59,2.5,1,0,9
170,40077,승리,카밀,뒷텔와드점,12,5,13,25492,3,23,17,357,8.6,1,2,8
171,40077,승리,자르반 4세,Dingchenyu,12,10,16,27825,2,44,9,191,4.6,1,2,8
172,40077,승리,벨코즈,삼성갤럭시 Crown,1,10,14,26173,12,31,25,333,8.0,1,2,8
173,40077,승리,진,whisper snow,13,5,13,31487,3,17,14,401,9.7,1,2,8
174,40077,승리,미스 포츈,구름꽃길만걷자,5,11,17,20173,5,41,25,66,1.6,1,2,8
175,40077,패배,제이스,삶이힘든사람,7,8,14,31204,12,51,7,292,7.0,1,2,6
176,40077,패배,카직스,갱만가드림,11,9,9,22749,12,43,14,177,4.3,1,2,6
177,40077,패배,라이즈,By myself,5,6,10,18703,9,51,9,338,8.1,1,2,6
178,40077,패배,바루스,선비모드,11,13,11,30462,2,13,8,286,6.9,1,2,6
179,40077,패배,제라스,MinKOOK2,7,7,15,33418,17,56,20,65,1.6,1,2,6
180,40078,승리,마오카이,Nem2sis,1,3,7,27017,3,20,5,286,7.2,1,0,8
181,40078,승리,카직스,9346,10,8,6,24949,3,21,19,173,4.4,1,0,8
182,40078,승리,트위스티드 페이트,UcaL,6,6,8,25250,4,18,5,426,10.7,1,0,8
183,40078,승리,진,구름꽃길만걷자,16,4,8,42181,3,13,15,368,9.3,1,0,8
184,40078,승리,쉔,Nova1,2,7,17,7077,26,80,33,89,2.2,1,0,8
185,40078,패배,잭스,TOP아빠,7,8,9,38191,9,33,4,356,9.0,1,2,8
186,40078,패배,렝가,Seroum,6,4,8,25739,5,10,12,194,4.9,1,2,8
187,40078,패배,탈리야,최석배 사생팬,7,5,7,30816,7,14,8,400,10.1,1,2,8
188,40078,패배,칼리스타,fengquyunbuhui,5,8,9,16181,1,16,20,324,8.1,1,2,8
189,40078,패배,미스 포츈,Find Realey,3,10,7,16166,9,102,28,74,1.9,1,2,8
190,40079,패배,오른,삶이힘든사람,3,4,10,17199,5,19,10,271,8.5,0,0,2
191,40079,패배,렉사이,find myself,5,5,10,12111,4,15,15,154,4.8,0,0,2
192,40079,패배,라이즈,마산가자,4,6,4,17726,4,26,9,273,8.6,0,0,2
193,40079,패배,진,구름꽃길만걷자,7,4,6,23207,2,13,19,266,8.3,0,0,2
194,40079,패배,제라스,Find Realey,1,6,7,13327,8,31,32,59,1.8,0,0,2
195,40079,승리,갱플랭크,뒷텔와드점,7,2,8,25906,2,20,8,312,9.8,0,3,8
196,40079,승리,카직스,appearflawless,7,4,6,21984,5,43,8,162,5.1,0,3,8
197,40079,승리,오리아나,미율치에오,7,7,4,21057,2,33,13,289,9.1,0,3,8
198,40079,승리,미스 포츈,VIP 민형,3,3,5,19721,3,13,9,261,8.2,0,3,8
199,40079,승리,브라움,fengquyunbuhui,1,4,11,8185,9,64,16,66,2.1,0,3,8
