,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50773,패배,오른,Heart,1,7,8,12183,2,14,3,185,7.1,0,0,2
1,50773,패배,니달리,DS XiaoPeng,11,6,2,16826,5,18,13,146,5.6,0,0,2
2,50773,패배,아지르,FW Maple,4,6,5,14834,2,21,8,200,7.6,0,0,2
3,50773,패배,진,RRRuleRRR,3,11,5,11159,5,10,9,204,7.8,0,0,2
4,50773,패배,알리스타,구직자 zzus,3,7,7,9702,9,30,13,38,1.5,0,0,2
5,50773,승리,야스오,Eth4n,9,8,1,18647,2,23,3,226,8.6,1,2,5
6,50773,승리,리 신,커닝시티 피그미,10,3,14,17529,5,47,9,149,5.7,1,2,5
7,50773,승리,제라스,진에어 저스티스,10,2,11,23333,6,16,7,198,7.6,1,2,5
8,50773,승리,미스 포츈,덤벼보던가,7,5,11,23129,5,14,5,244,9.3,1,2,5
9,50773,승리,블리츠크랭크,먹는건즐거워,1,4,18,10006,4,45,12,47,1.8,1,2,5
10,50774,패배,카밀,Possible tts,4,7,1,10034,0,6,5,196,6.9,0,0,2
11,50774,패배,세주아니,pokeryo,2,5,6,10511,6,23,8,122,4.3,0,0,2
12,50774,패배,말자하,By myself,3,5,6,16916,7,20,1,256,9.0,0,0,2
13,50774,패배,애쉬,구직자 zzus,3,8,3,14644,2,19,6,156,5.5,0,0,2
14,50774,패배,제라스,진쟤승,5,7,3,23543,0,11,3,45,1.6,0,0,2
15,50774,승리,피오라,TOP아빠,7,4,8,23207,3,14,2,224,7.9,1,2,10
16,50774,승리,니달리,담원 크러쉬,9,3,9,17762,6,17,4,172,6.1,1,2,10
17,50774,승리,라이즈,피넛사냥개2,6,2,8,20621,3,15,5,310,10.9,1,2,10
18,50774,승리,미스 포츈,여청추,7,6,8,17650,8,16,8,207,7.3,1,2,10
19,50774,승리,트런들,GuGer,3,2,19,7623,8,37,8,59,2.1,1,2,10
20,50775,승리,제이스,Alielie,4,6,2,10758,2,5,0,182,8.4,1,1,6
21,50775,승리,잭스,마이엠브,3,2,3,5702,4,19,12,187,8.6,1,1,6
22,50775,승리,오리아나,PawN God,5,3,6,16287,4,14,8,189,8.7,1,1,6
23,50775,승리,미스 포츈,Rain1ng,1,0,4,10085,4,10,12,221,10.2,1,1,6
24,50775,승리,알리스타,구직자 zzus,1,1,6,3103,6,18,8,36,1.7,1,1,6
25,50775,패배,마오카이,DWG ShowMaker,3,3,6,9405,1,7,2,146,6.7,0,0,0
26,50775,패배,렝가,멍멍이2,3,4,6,9588,1,16,0,114,5.3,0,0,0
27,50775,패배,트위스티드 페이트,TeachersWu,4,3,3,4461,6,12,4,173,8.0,0,0,0
28,50775,패배,칼리스타,fndasjkfkqw,2,1,0,3581,2,16,4,182,8.4,0,0,0
29,50775,패배,쓰레쉬,chijixuanshou,0,3,8,3388,7,38,13,34,1.6,0,0,0
30,50776,패배,잭스,Alielie,0,6,1,5042,0,4,1,69,3.7,0,0,0
31,50776,패배,세주아니,마이엠브,3,2,2,3411,4,24,6,89,4.8,0,0,0
32,50776,패배,신드라,TeachersWu,2,4,1,6918,1,7,3,108,5.8,0,0,0
33,50776,패배,애쉬,Rain1ng,0,2,3,8694,1,7,2,119,6.4,0,0,0
34,50776,패배,알리스타,구직자 zzus,2,3,1,3064,6,13,5,18,1.0,0,0,0
35,50776,승리,제이스,PawN God,6,0,2,18457,5,20,1,156,8.4,0,0,8
36,50776,승리,렝가,멍멍이2,3,1,4,6277,2,22,10,111,6.0,0,0,8
37,50776,승리,카사딘,CooN,6,1,2,12561,1,7,0,136,7.4,0,0,8
38,50776,승리,미스 포츈,fndasjkfkqw,2,3,3,8444,2,18,4,158,8.5,0,0,8
39,50776,승리,잔나,Empmuyi,0,2,6,3742,1,8,4,11,0.6,0,0,8
40,50777,패배,사이온,검은머리사나이,3,3,4,13434,2,20,6,203,7.3,1,0,4
41,50777,패배,세주아니,마이엠브,3,5,6,9767,7,48,4,156,5.6,1,0,4
42,50777,패배,라이즈,FeelsAwesomeMan,3,5,4,13200,4,15,6,261,9.3,1,0,4
43,50777,패배,바루스,구직자 zzus,5,5,4,20568,6,12,4,226,8.1,1,0,4
44,50777,패배,레오나,YserAoA,3,2,10,7474,13,35,18,56,2.0,1,0,4
45,50777,승리,제이스,jjijiijijljli,3,4,9,24981,5,32,5,245,8.8,0,2,9
46,50777,승리,니달리,So1o,5,3,10,13929,6,33,20,161,5.8,0,2,9
47,50777,승리,탈리야,Leelaa,5,3,7,23744,2,13,9,273,9.8,0,2,9
48,50777,승리,진,chorongie,4,2,6,18224,2,7,10,225,8.0,0,2,9
49,50777,승리,타릭,토마토페이스트,3,5,11,6036,7,30,4,60,2.1,0,2,9
50,50778,승리,오른,WENJUNXI,5,3,16,16239,1,15,4,225,6.2,2,2,8
51,50778,승리,문도 박사,한쿡말알아,3,7,13,14450,2,23,13,212,5.9,2,2,8
52,50778,승리,조이,Fotune,11,5,10,34948,3,32,8,263,7.3,2,2,8
53,50778,승리,진,Rain1ng,5,6,8,19873,5,15,8,273,7.5,2,2,8
54,50778,승리,제라스,구직자 zzus,9,3,11,26692,10,47,21,52,1.4,2,2,8
55,50778,패배,야스오,카페베네설탕도둑,7,6,3,21811,0,5,6,287,7.9,0,0,1
56,50778,패배,세주아니,SKT T1 Bang,3,6,9,11747,3,44,12,144,4.0,0,0,1
57,50778,패배,말자하,mide gui tou,2,7,10,18548,3,13,8,292,8.1,0,0,1
58,50778,패배,코그모,바보처럼 왜,6,6,9,26586,6,16,6,277,7.7,0,0,1
59,50778,패배,카르마,1874  Eason,4,9,10,11704,7,37,6,7,0.2,0,0,1
60,50779,승리,마오카이,sanspareil1,5,4,8,8999,3,11,3,136,6.5,0,2,6
61,50779,승리,쉬바나,T 1 a n,12,1,3,15321,3,9,4,171,8.2,0,2,6
62,50779,승리,제드,매우뚱뚱한고양이,1,5,1,6310,2,14,2,141,6.8,0,2,6
63,50779,승리,미스 포츈,담원 얼라이브,4,3,8,13244,3,10,2,175,8.4,0,2,6
64,50779,승리,제라스,구직자 zzus,3,2,6,10874,3,19,7,11,0.5,0,2,6
65,50779,패배,제이스,Kingen,2,7,5,14307,3,19,6,138,6.6,0,0,0
66,50779,패배,트리스타나,Kizunabc,5,9,4,8097,1,9,0,57,2.7,0,0,0
67,50779,패배,르블랑,박효신사생팬,6,3,2,12651,0,4,2,147,7.1,0,0,0
68,50779,패배,자야,whisper snow,2,2,1,7106,1,8,2,149,7.2,0,0,0
69,50779,패배,카르마,상어가족,0,4,7,4958,2,21,3,16,0.8,0,0,0
70,50780,패배,케넨,aquariusz,2,6,7,16614,1,8,3,171,6.9,0,2,2
71,50780,패배,카직스,FeelsSosoMan,6,5,3,10335,5,25,9,148,6.0,0,2,2
72,50780,패배,카타리나,duibuqiziji,6,8,6,15886,0,9,2,134,5.4,0,2,2
73,50780,패배,드레이븐,옷벗고춤추고싶다,9,8,5,23747,2,13,1,185,7.5,0,2,2
74,50780,패배,쓰레쉬,구직자 zzus,1,7,15,5624,7,26,6,24,1.0,0,2,2
75,50780,승리,일라오이,1987 Plls,5,5,6,18468,1,12,0,217,8.8,0,1,7
76,50780,승리,쉬바나,Kizunabc,20,1,8,25088,2,12,6,150,6.1,0,1,7
77,50780,승리,리산드라,Kimimaro,4,6,6,9431,1,11,4,159,6.4,0,1,7
78,50780,승리,진,퓨 Zl,5,6,15,16599,4,12,4,155,6.3,0,1,7
79,50780,승리,레오나,Creative Self,0,7,17,5610,9,31,15,45,1.8,0,1,7
80,50781,승리,일라오이,1987 Plls,2,2,6,10316,0,8,1,178,9.1,0,1,11
81,50781,승리,자르반 4세,말고 계속 항복,5,1,13,7330,2,12,2,107,5.5,0,1,11
82,50781,승리,카사딘,뿡뿡뿡뿡뿡쁑,7,1,2,15377,2,7,2,131,6.7,0,1,11
83,50781,승리,이즈리얼,LPL noob ad QAQ,15,3,9,21676,1,10,5,158,8.1,0,1,11
84,50781,승리,카르마,구직자 zzus,3,2,19,6404,3,17,7,11,0.6,0,1,11
85,50781,패배,올라프,Super Secret,1,3,0,5092,1,6,0,100,5.1,0,0,0
86,50781,패배,카직스,퓨 Zl,2,6,3,7254,4,16,0,87,4.5,0,0,0
87,50781,패배,블라디미르,mide gui tou,0,5,3,10437,1,4,1,150,7.7,0,0,0
88,50781,패배,드레이븐,옷벗고춤추고싶다,2,10,1,10962,0,11,0,106,5.4,0,0,0
89,50781,패배,미스 포츈,7nian xing,4,8,2,14952,3,20,7,44,2.3,0,0,0
90,50782,패배,마오카이,atlenismydaddy,7,5,2,16928,5,16,4,236,7.7,0,0,2
91,50782,패배,자르반 4세,성민콩,6,4,7,14855,5,12,5,181,5.9,0,0,2
92,50782,패배,말자하,republic123,4,7,4,9450,1,11,4,213,6.9,0,0,2
93,50782,패배,케이틀린,SmartPilot,2,9,2,9427,3,11,8,248,8.1,0,0,2
94,50782,패배,레오나,구직자 zzus,0,7,8,4304,7,38,17,55,1.8,0,0,2
95,50782,승리,럼블,스누피808,4,7,3,23429,5,16,2,235,7.7,1,2,7
96,50782,승리,세주아니,보노보노와너구리,4,2,8,7015,4,43,5,182,5.9,1,2,7
97,50782,승리,루시안,꾸자니 똑땅해,3,6,10,18542,2,14,9,252,8.2,1,2,7
98,50782,승리,진,LPL noob ad QAQ,11,2,14,25849,2,14,10,247,8.1,1,2,7
99,50782,승리,제라스,Siste aeterno,10,2,16,31202,7,17,6,79,2.6,1,2,7
100,50783,승리,제이스,담원 너구리,10,5,7,25436,2,29,5,237,8.5,1,3,10
101,50783,승리,쉬바나,담원 크러쉬,2,3,9,10081,8,12,9,190,6.9,1,3,10
102,50783,승리,라이즈,담원 얼라이브,4,4,7,12780,6,15,1,211,7.6,1,3,10
103,50783,승리,트리스타나,Dingchenyu,9,5,4,21062,2,11,9,254,9.2,1,3,10
104,50783,승리,레오나,구직자 zzus,3,6,15,6177,10,33,16,50,1.8,1,3,10
105,50783,패배,말파이트,Super Secret,4,5,3,10676,2,7,5,205,7.4,0,0,4
106,50783,패배,자르반 4세,쫄깃한 우동사리,3,5,11,13612,7,29,12,143,5.2,0,0,4
107,50783,패배,야스오,UcaL,5,6,4,17459,2,11,2,264,9.5,0,0,4
108,50783,패배,진,Peray,8,6,3,16412,2,12,9,235,8.5,0,0,4
109,50783,패배,제라스,Sim Student,3,6,8,16050,10,32,4,25,0.9,0,0,4
110,50784,패배,나르,삶이힘든사람,2,4,1,14723,3,13,0,175,7.7,0,0,3
111,50784,패배,엘리스,삼성갤럭시 하루,4,8,1,9206,4,31,6,107,4.7,0,0,3
112,50784,패배,스웨인,므라기2,3,5,1,13627,1,10,1,160,7.1,0,0,3
113,50784,패배,자야,Atlen,0,2,4,10002,4,9,2,206,9.1,0,0,3
114,50784,패배,카르마,구직자 zzus,0,3,6,9047,5,24,11,13,0.6,0,0,3
115,50784,승리,마오카이,Shiroma Anna,3,1,6,13380,3,12,6,152,6.7,1,3,4
116,50784,승리,쉬바나,Lvmao,5,1,11,11888,3,8,5,155,6.9,1,3,4
117,50784,승리,라이즈,find myself,5,2,1,16613,2,9,4,225,10.0,1,3,4
118,50784,승리,트리스타나,Veritas522,7,3,3,10642,2,11,6,164,7.3,1,3,4
119,50784,승리,라칸,Z 2017 11 25,2,2,12,4875,7,21,12,21,0.9,1,3,4
120,50785,승리,럼블,뒷텔와드점,1,3,6,8319,0,9,2,146,7.0,0,2,3
121,50785,승리,자르반 4세,Removed Enterkey,4,3,9,5599,5,26,6,111,5.3,0,2,3
122,50785,승리,스웨인,므라기2,4,1,3,10047,2,11,4,190,9.1,0,2,3
123,50785,승리,진,DWG Nuguri,10,2,5,15971,4,11,2,182,8.7,0,2,3
124,50785,승리,카르마,구직자 zzus,2,2,11,6849,6,26,8,12,0.6,0,2,3
125,50785,패배,케넨,삶이힘든사람,1,4,2,11997,1,8,4,167,8.0,0,0,0
126,50785,패배,렉사이,MooJin,1,3,6,6946,5,10,5,117,5.6,0,0,0
127,50785,패배,오리아나,NekoL,5,2,3,8066,4,6,6,193,9.2,0,0,0
128,50785,패배,바루스,Atlen,1,5,2,7585,1,7,3,117,5.6,0,0,0
129,50785,패배,나미,SKT T1 Effort,2,7,5,5598,7,24,12,17,0.8,0,0,0
130,50786,승리,트런들,강고릴,1,3,6,5757,3,12,0,140,6.6,0,1,3
131,50786,승리,쉬바나,FeelsSosoMan,6,3,8,12939,4,11,2,126,5.9,0,1,3
132,50786,승리,오리아나,꾸자니 똑땅해,4,1,8,13339,2,9,2,184,8.6,0,1,3
133,50786,승리,바루스,학식먹을나이,3,1,8,11799,2,10,6,200,9.4,0,1,3
134,50786,승리,카르마,구직자 zzus,8,4,10,9412,6,26,8,16,0.8,0,1,3
135,50786,패배,오른,커피물조절장인,2,1,1,12433,0,7,0,184,8.6,0,1,3
136,50786,패배,리 신,PeanuToT,2,5,6,7601,5,28,2,89,4.2,0,1,3
137,50786,패배,신드라,피넛사냥개1,1,3,3,10287,3,12,2,148,6.9,0,1,3
138,50786,패배,트리스타나,yiwancibeishang,6,7,2,8573,1,7,7,116,5.4,0,1,3
139,50786,패배,탈리야,he  nan    yu,1,6,5,7436,4,20,6,45,2.1,0,1,3
140,50787,패배,쉔,HKA Riris,3,6,11,14050,3,18,1,262,6.7,1,1,3
141,50787,패배,헤카림,yizhiyu,6,13,12,20825,2,20,6,220,5.6,1,1,3
142,50787,패배,베이가,똥좀싸겟다,6,6,8,34521,7,19,1,343,8.7,1,1,3
143,50787,패배,트리스타나,MeteorOvO,13,7,8,40404,2,14,5,379,9.6,1,1,3
144,50787,패배,레오나,구직자 zzus,2,10,14,9672,15,55,19,58,1.5,1,1,3
145,50787,승리,잭스,혼자혼자,4,6,11,29056,0,15,9,332,8.4,1,2,11
146,50787,승리,자르반 4세,sanspareil1,7,8,28,23936,5,9,11,191,4.9,1,2,11
147,50787,승리,르블랑,Sakura Devil,15,4,16,51799,1,6,14,257,6.5,1,2,11
148,50787,승리,진,chirchri,13,5,16,42959,4,19,11,333,8.5,1,2,11
149,50787,승리,잔나,Find Realey,3,7,33,13929,6,42,21,36,0.9,1,2,11
150,50788,패배,나르,BBD dog,1,7,1,10690,4,13,3,205,8.8,0,1,4
151,50788,패배,자르반 4세,Sakura Devil,2,5,4,5697,1,14,2,116,5.0,0,1,4
152,50788,패배,아지르,2Kano,3,4,0,11377,2,10,3,202,8.6,0,1,4
153,50788,패배,이즈리얼,A BBD bbd,3,5,3,14570,1,11,0,167,7.1,0,1,4
154,50788,패배,쓰레쉬,구직자 zzus,1,5,6,3428,9,19,2,18,0.8,0,1,4
155,50788,승리,오른,Possible tts,2,0,11,8531,1,11,1,165,7.1,1,1,7
156,50788,승리,렉사이,Lz Tv SuShi,7,2,4,10703,7,11,7,150,6.4,1,1,7
157,50788,승리,탈리야,승 로,8,4,3,19525,0,9,1,152,6.5,1,1,7
158,50788,승리,트위치,Afreeca Aiming,9,1,5,19261,1,8,3,198,8.5,1,1,7
159,50788,승리,잔나,VeryBitter,0,3,16,6836,7,19,4,5,0.2,1,1,7
160,50789,승리,뽀삐,양충하,3,1,11,10942,3,8,0,137,6.8,0,2,8
161,50789,승리,카직스,Lz Tv SuShi,15,4,4,18651,2,7,3,110,5.5,0,2,8
162,50789,승리,말자하,2Kano,4,1,16,14242,1,7,2,152,7.6,0,2,8
163,50789,승리,케이틀린,Yeeclipse,12,3,7,18212,2,9,4,185,9.2,0,2,8
164,50789,승리,모르가나,구직자 zzus,2,4,19,8571,8,20,3,6,0.3,0,2,8
165,50789,패배,레넥톤,Possible tts,1,7,1,9161,1,8,0,151,7.5,0,0,2
166,50789,패배,리 신,paboooo,2,6,2,5614,3,8,1,91,4.5,0,0,2
167,50789,패배,탈리야,11 14 9 7 8 20,2,9,4,11892,5,9,1,171,8.5,0,0,2
168,50789,패배,트리스타나,바보팀원,5,8,4,10907,1,8,2,140,7.0,0,0,2
169,50789,패배,레오나,AGanQAQ,3,6,6,6036,5,14,6,35,1.7,0,0,2
170,50790,패배,제이스,BBD dog,2,6,1,12393,4,9,4,138,6.5,0,1,1
171,50790,패배,그레이브즈,A BBD bbd,2,2,5,10434,0,8,2,142,6.7,0,1,1
172,50790,패배,라이즈,피넛사냥개1,2,5,3,10816,2,11,1,169,7.9,0,1,1
173,50790,패배,트리스타나,MAD Breeeze,2,3,6,8903,0,8,2,156,7.3,0,1,1
174,50790,패배,레오나,구직자 zzus,3,4,4,5429,9,23,4,39,1.8,0,1,1
175,50790,승리,마오카이,xaxaxaxaxa,4,3,12,8415,0,9,1,143,6.7,0,0,4
176,50790,승리,자크,마이엠브,5,0,13,8416,6,22,6,125,5.9,0,0,4
177,50790,승리,카르마,GG00NG,7,1,10,9336,1,9,2,158,7.4,0,0,4
178,50790,승리,자야,11 14 9 7 8 20,3,5,7,14377,0,8,0,169,7.9,0,0,4
179,50790,승리,브라움,MinKOOK2,1,2,12,3779,7,25,3,21,1.0,0,0,4
180,50791,패배,마오카이,혼자혼자,1,5,5,7755,0,10,2,162,6.0,0,0,1
181,50791,패배,자르반 4세,정글노바,5,7,14,14354,5,8,4,135,5.0,0,0,1
182,50791,패배,라이즈,성민콩,8,8,8,23774,7,11,0,228,8.4,0,0,1
183,50791,패배,트리스타나,나는야베이베이1,10,8,11,18895,3,12,3,176,6.5,0,0,1
184,50791,패배,쓰레쉬,구직자 zzus,4,7,17,7127,8,28,7,33,1.2,0,0,1
185,50791,승리,제이스,lover li,3,5,14,25848,2,12,4,187,6.9,1,3,10
186,50791,승리,니달리,Twink1e,12,5,9,14785,1,6,5,169,6.3,1,3,10
187,50791,승리,탈리야,친하다,10,6,8,19064,3,7,5,177,6.6,1,3,10
188,50791,승리,미스 포츈,bbq Crazy,8,5,12,25511,1,11,3,170,6.3,1,3,10
189,50791,승리,블리츠크랭크,JAG SnowFlower,2,7,14,7718,10,30,3,24,0.9,1,3,10
190,50792,패배,케넨,JAG S0hwan,5,9,5,23013,3,16,2,229,7.6,0,3,2
191,50792,패배,쉬바나,정글노바,2,3,2,7405,5,10,7,178,5.9,0,3,2
192,50792,패배,르블랑,성민콩,2,3,4,12667,4,9,1,217,7.2,0,3,2
193,50792,패배,트리스타나,CoMATnT,7,6,3,18890,2,9,5,273,9.1,0,3,2
194,50792,패배,브라움,구직자 zzus,2,6,9,5657,8,37,8,40,1.3,0,3,2
195,50792,승리,잭스,코w코,3,3,9,8788,1,12,3,234,7.8,2,0,11
196,50792,승리,이즈리얼,FeelsPepsiMan,11,2,12,22932,9,12,9,173,5.8,2,0,11
197,50792,승리,신드라,ysdgqxcj,8,3,9,32227,2,12,2,278,9.3,2,0,11
198,50792,승리,애쉬,FeelsWowMan,4,5,10,17087,2,12,6,207,6.9,2,0,11
199,50792,승리,레오나,격세지감,1,5,10,6871,13,36,3,40,1.3,2,0,11
