,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30995,승리,사이온,귤렐루야,5,3,9,19090,3,9,3,199,7.8,1,2,7
1,30995,승리,니달리,sanspareil1,6,5,8,13793,5,10,8,145,5.7,1,2,7
2,30995,승리,라이즈,으아으앙으아앙,9,4,8,24467,4,14,2,201,7.9,1,2,7
3,30995,승리,바루스,IndonesiaMassage,8,2,7,13447,3,11,5,177,6.9,1,2,7
4,30995,승리,블리츠크랭크,IgNar,3,6,12,7580,9,33,4,25,1.0,1,2,7
5,30995,패배,초가스,FeelsDaydayMan,2,5,5,11927,5,14,3,196,7.7,0,0,3
6,30995,패배,이즈리얼,정글노바,3,8,7,13002,6,12,3,77,3.0,0,0,3
7,30995,패배,신드라,하늘킹,6,6,5,15229,4,13,4,153,6.0,0,0,3
8,30995,패배,진,Yeeclipse,9,7,6,21984,0,8,1,180,7.1,0,0,3
9,30995,패배,알리스타,GuGer,0,5,12,6822,11,32,6,25,1.0,0,0,3
10,30996,승리,사이온,귤렐루야,0,2,12,8772,1,7,1,197,8.0,1,1,9
11,30996,승리,니달리,sanspareil1,6,4,12,11094,5,12,8,98,4.0,1,1,9
12,30996,승리,빅토르,아이러니,7,0,10,17335,2,8,2,199,8.1,1,1,9
13,30996,승리,트리스타나,16 3 gogogogogo,8,1,10,18974,0,7,5,224,9.1,1,1,9
14,30996,승리,알리스타,42175515del,1,1,16,4650,9,27,7,39,1.6,1,1,9
15,30996,패배,우르곳,xaxaxaxaxa,0,4,1,10138,1,11,4,177,7.2,0,1,3
16,30996,패배,렉사이,43480287del,3,3,3,6158,7,11,4,132,5.3,0,1,3
17,30996,패배,카사딘,단군의청춘부재,2,6,2,12369,4,9,2,181,7.3,0,1,3
18,30996,패배,자야,aquariusz,1,3,2,9980,4,11,4,228,9.2,0,1,3
19,30996,패배,쓰레쉬,수영장파티박종우,2,6,4,6379,5,23,9,33,1.3,0,1,3
20,30997,승리,사이온,귤렐루야,6,5,9,17533,3,7,3,187,5.9,1,2,11
21,30997,승리,엘리스,sanspareil1,7,6,15,13921,6,12,8,132,4.2,1,2,11
22,30997,승리,베이가,항복 오빠,9,2,10,19939,1,5,5,270,8.5,1,2,11
23,30997,승리,자야,원딜둥이,12,3,10,34408,0,8,8,283,8.9,1,2,11
24,30997,승리,알리스타,SKT T1 Effort,2,5,17,9124,12,41,8,51,1.6,1,2,11
25,30997,패배,초가스,jjijiijijljli,3,10,5,25133,2,16,3,240,7.6,0,0,3
26,30997,패배,우디르,진쟤승,5,6,3,11380,0,6,4,107,3.4,0,0,3
27,30997,패배,탈리야,K T,7,3,5,30688,5,17,4,329,10.4,0,0,3
