,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40654,패배,일라오이,MVP ADD,2,5,0,9698,3,11,0,104,6.5,0,0,0
1,40654,패배,렝가,SKT T1 WoIf,0,7,1,2837,2,8,0,65,4.0,0,0,0
2,40654,패배,제이스,Lucete,4,6,0,5722,3,9,0,89,5.5,0,0,0
3,40654,패배,티모,학식먹을나이,2,6,0,5073,1,7,1,95,5.9,0,0,0
4,40654,패배,제라스,김메피,0,4,1,3460,4,7,0,38,2.4,0,0,0
5,40654,승리,오른,KDM Edge,1,1,5,10246,1,3,0,98,6.1,0,1,4
6,40654,승리,이즈리얼,작전동 노란머리,10,2,3,10136,3,8,2,94,5.8,0,1,4
7,40654,승리,말자하,피넛사냥개1,9,4,1,8079,0,7,0,120,7.5,0,1,4
8,40654,승리,진,PuncHh,4,1,3,4454,1,6,1,128,8.0,0,1,4
9,40654,승리,카르마,슬프다고말하면,4,0,11,8608,3,13,5,11,0.7,0,1,4
10,40655,패배,피오라,BKKK,2,4,1,5348,2,7,0,78,4.8,0,0,0
11,40655,패배,렉사이,wo yao qu daye,4,4,3,6327,5,22,6,90,5.6,0,0,0
12,40655,패배,조이,작전동 노란머리,1,5,4,7919,2,13,5,98,6.1,0,0,0
13,40655,패배,진,김메피,2,3,1,6710,2,8,1,89,5.5,0,0,0
14,40655,패배,나서스,진쟤승,2,5,0,8123,0,6,1,34,2.1,0,0,0
15,40655,승리,카밀,이도류,2,3,3,8283,2,8,4,120,7.4,0,1,4
16,40655,승리,렝가,SKT T1 WoIf,6,3,5,7518,4,9,6,80,5.0,0,1,4
17,40655,승리,르블랑,아 백,7,1,3,9016,2,14,6,110,6.8,0,1,4
18,40655,승리,시비르,RRRuleRRR,2,2,4,6665,1,14,4,124,7.7,0,1,4
19,40655,승리,알리스타,담원 얼라이브,4,2,5,5308,5,11,1,27,1.7,0,1,4
20,40656,패배,카밀,Co1dplay,2,2,0,4076,2,9,5,140,7.1,0,0,0
21,40656,패배,카직스,So1o,0,2,2,3738,5,15,6,103,5.2,0,0,0
22,40656,패배,르블랑,Jin air Yaharong,1,4,0,7076,2,20,6,150,7.6,0,0,0
23,40656,패배,진,김메피,1,5,1,4470,2,9,3,150,7.6,0,0,0
24,40656,패배,제라스,강고릴,0,3,2,8103,1,9,8,33,1.7,0,0,0
25,40656,승리,제이스,Delicious Fish,5,1,0,14228,3,22,5,185,9.3,0,2,8
26,40656,승리,니달리,점점나의마음이끌,0,0,5,5608,4,19,7,125,6.3,0,2,8
27,40656,승리,탈리야,Lucete,3,1,3,10864,3,11,4,185,9.3,0,2,8
28,40656,승리,트리스타나,GALA,8,1,1,5634,4,19,4,190,9.6,0,2,8
29,40656,승리,마오카이,Nova1,0,1,9,4939,8,18,9,41,2.1,0,2,8
30,40657,승리,마오카이,Sun이라는 별,4,2,10,13413,0,8,3,139,5.7,1,1,8
31,40657,승리,케인,Diamondprox1,9,2,11,22029,7,18,6,128,5.3,1,1,8
32,40657,승리,아지르,푸딩은푸딩해,6,2,6,12485,4,10,9,218,9.0,1,1,8
