,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50653,패배,케넨,Possible tts,3,4,4,16716,3,15,11,291,9.7,0,0,4
1,50653,패배,카직스,마이엠브,2,6,5,12717,3,20,15,159,5.3,0,0,4
2,50653,패배,라이즈,FeelsAwesomeMan,5,2,2,20171,4,16,14,250,8.4,0,0,4
3,50653,패배,미스 포츈,비 브이 오 와이,3,5,5,17075,5,18,12,260,8.7,0,0,4
4,50653,패배,블리츠크랭크,깜빡졸음번쩍저승,2,4,6,5792,9,24,11,56,1.9,0,0,4
5,50653,승리,갱플랭크,RSARTU,4,6,5,21396,7,26,1,235,7.9,1,3,11
6,50653,승리,세주아니,FeelsSosoMan,2,3,7,10328,7,44,6,171,5.7,1,3,11
7,50653,승리,조이,MVP Ian,7,3,5,21399,5,34,6,235,7.9,1,3,11
8,50653,승리,시비르,SnakeLight,6,2,7,25860,2,20,9,357,12.0,1,3,11
9,50653,승리,소라카,YOYOuuuuuO,1,2,13,5277,5,30,2,2,0.1,1,3,11
10,50654,패배,헤카림,xiaolonda,3,11,9,15018,3,26,7,123,4.4,0,0,0
11,50654,패배,진,아이러니,2,1,8,17594,1,7,2,240,8.6,0,0,0
12,50654,패배,럼블,깜빡졸음번쩍저승,5,8,6,15059,2,12,1,172,6.2,0,0,0
13,50654,패배,빅토르,Heart,6,7,2,19356,2,14,4,207,7.4,0,0,0
14,50654,패배,탐 켄치,Sim Student,2,5,8,6085,9,29,4,49,1.8,0,0,0
15,50654,승리,신드라,송하영 팬,9,4,13,29596,3,12,5,190,6.8,1,3,11
16,50654,승리,바루스,Rain1ng,4,5,6,15733,2,11,5,209,7.5,1,3,11
17,50654,승리,제이스,Like Waves,12,2,12,32217,4,26,3,197,7.1,1,3,11
18,50654,승리,블리츠크랭크,한쿡말알아,1,6,14,6361,5,29,4,40,1.4,1,3,11
19,50654,승리,쉬바나,작전동 노란머리,6,1,12,17985,5,10,12,261,9.4,1,3,11
20,50655,승리,럼블,깜빡졸음번쩍저승,2,1,5,7631,3,13,4,155,6.8,1,0,5
21,50655,승리,자르반 4세,Heart,1,2,13,7047,4,22,2,135,5.9,1,0,5
22,50655,승리,라이즈,chirchri,7,0,4,11588,2,26,6,226,9.9,1,0,5
23,50655,승리,진,deft123456,11,0,7,15245,4,13,10,205,9.0,1,0,5
24,50655,승리,레오나,Sim Student,3,1,11,4240,4,23,9,44,1.9,1,0,5
25,50655,패배,이렐리아,kfo,1,2,2,7369,2,11,2,195,8.5,0,1,1
26,50655,패배,리 신,좋은날,1,4,2,4588,2,36,11,103,4.5,0,1,1
27,50655,패배,말자하,YserAoA,2,3,0,6804,1,6,8,209,9.1,0,1,1
28,50655,패배,바루스,Please find it,0,8,1,3653,1,11,4,144,6.3,0,1,1
29,50655,패배,미스 포츈,호잇이,0,7,1,5831,1,17,5,34,1.5,0,1,1
30,50656,승리,쉔,아트가 앗뜨거,3,1,12,7898,3,19,0,195,8.7,0,1,4
31,50656,승리,카직스,좋은날,11,2,11,19818,5,20,10,111,4.9,0,1,4
32,50656,승리,아우렐리온 솔,푸딩은푸딩해,3,1,14,13457,1,6,7,222,9.9,0,1,4
33,50656,승리,트리스타나,wjhfjihtiu,6,0,8,10325,1,7,6,226,10.1,0,1,4
34,50656,승리,블리츠크랭크,깜빡졸음번쩍저승,3,1,10,4274,3,19,4,34,1.5,0,1,4
35,50656,패배,신지드,She Jinping,1,5,2,12111,2,9,5,223,9.9,0,0,1
36,50656,패배,리 신,나는야베이베이1,0,6,4,4744,5,36,4,86,3.8,0,0,1
37,50656,패배,탈리야,승 로,3,6,1,13640,3,20,3,171,7.6,0,0,1
38,50656,패배,이즈리얼,kfo,1,6,2,10001,0,10,4,187,8.3,0,0,1
39,50656,패배,타릭,호잇이,0,5,2,4097,2,12,6,50,2.2,0,0,1
40,50657,패배,제이스,11 14 9 7 8 20,3,8,3,17888,4,12,1,143,6.2,0,0,1
41,50657,패배,렝가,BtC RYAN,3,14,4,10524,0,8,1,98,4.3,0,0,1
42,50657,패배,오리아나,Heart,5,7,3,12382,4,12,2,222,9.7,0,0,1
43,50657,패배,코그모,깜빡졸음번쩍저승,1,6,1,9060,1,8,1,103,4.5,0,0,1
44,50657,패배,잔나,1874  Eason,2,8,5,8304,3,21,4,16,0.7,0,0,1
45,50657,승리,나르,WENJUNXI,8,3,5,14040,3,8,5,175,7.6,1,2,11
46,50657,승리,쉬바나,매우뚱뚱한고양이,8,0,11,14185,4,6,3,199,8.7,1,2,11
47,50657,승리,탈리야,find myself,4,5,10,17479,2,7,2,143,6.2,1,2,11
48,50657,승리,진,옷벗고춤추고싶다,19,4,10,25091,2,8,5,182,7.9,1,2,11
49,50657,승리,바드,whisper snow,4,2,19,11680,4,16,5,12,0.5,1,2,11
50,50658,패배,럼블,깜빡졸음번쩍저승,3,7,4,9231,2,9,0,106,4.5,0,0,1
51,50658,패배,카직스,시즌8빡고수ad1,3,11,6,10553,0,16,7,86,3.7,0,0,1
52,50658,패배,아지르,ROX 라바,3,12,3,12454,2,11,2,168,7.2,0,0,1
53,50658,패배,바루스,RRRuleRRR,6,8,5,15944,4,17,8,199,8.5,0,0,1
54,50658,패배,레오나,호잇이,3,7,11,7550,3,29,4,48,2.1,0,0,1
55,50658,승리,제이스,무슨말이야,10,3,6,22588,0,19,4,171,7.3,1,0,8
56,50658,승리,자르반 4세,킬안주면꼬라박음,12,3,11,18602,3,11,4,146,6.3,1,0,8
57,50658,승리,카타리나,find myself,19,3,6,30222,2,7,8,154,6.6,1,0,8
58,50658,승리,진,ROX Sangyoon,3,4,8,9470,2,7,0,167,7.2,1,0,8
59,50658,승리,라칸,fengquyunbuhui,1,5,13,4182,6,32,16,22,0.9,1,0,8
60,50659,승리,말파이트,qweqasddasas,2,3,11,11612,2,13,5,205,7.6,1,1,9
61,50659,승리,니달리,Kazuki Kazami,6,2,14,11636,5,24,15,163,6.0,1,1,9
62,50659,승리,카사딘,깜빡졸음번쩍저승,2,3,10,11393,2,8,4,192,7.1,1,1,9
63,50659,승리,자야,SnakeLight,20,3,7,43992,0,6,17,273,10.1,1,1,9
64,50659,승리,라칸,MinKOOK2,0,3,22,6573,10,38,12,14,0.5,1,1,9
65,50659,패배,신지드,She Jinping,2,9,4,14137,3,13,3,190,7.0,0,2,3
66,50659,패배,렝가,P2k Key,4,5,4,9345,5,30,9,176,6.5,0,2,3
67,50659,패배,라이즈,rwnign,4,5,5,13917,5,23,6,262,9.7,0,2,3
68,50659,패배,이즈리얼,Rain1ng,4,6,8,20839,1,13,4,233,8.6,0,2,3
69,50659,패배,레오나,호잇이,0,6,8,5036,7,45,10,54,2.0,0,2,3
70,50660,패배,럼블,깜빡졸음번쩍저승,7,4,7,13574,2,11,2,133,5.7,0,1,3
71,50660,패배,엘리스,종학윙,4,7,7,8982,3,5,4,131,5.6,0,1,3
72,50660,패배,르블랑,mcmglllc,8,7,8,19362,2,16,4,137,5.9,0,1,3
73,50660,패배,진,F0y,5,11,9,16587,2,8,4,144,6.2,0,1,3
74,50660,패배,레오나,호잇이,3,4,16,9434,8,35,11,50,2.2,0,1,3
75,50660,승리,나르,jjijiijijljli,4,4,6,12884,2,10,6,185,8.0,1,1,8
76,50660,승리,렝가,THE KING 2000,7,4,6,14095,2,21,7,175,7.5,1,1,8
77,50660,승리,카타리나,find myself,9,8,6,17314,2,4,3,106,4.6,1,1,8
78,50660,승리,트리스타나,RRRuleRRR,12,6,3,20055,2,16,3,203,8.7,1,1,8
79,50660,승리,라칸,fengquyunbuhui,1,5,15,4649,6,30,16,23,1.0,1,1,8
80,50661,승리,문도 박사,깜빡졸음번쩍저승,1,1,5,7615,2,11,4,178,7.6,0,2,6
81,50661,승리,니달리,bbq Ghost,6,3,8,9708,5,11,7,150,6.4,0,2,6
82,50661,승리,카사딘,PawN God,3,3,4,13615,5,8,4,198,8.4,0,2,6
83,50661,승리,코그모,deft123456,9,2,6,26329,3,12,1,211,9.0,0,2,6
84,50661,승리,룰루,JAG SnowFlower,1,1,13,6828,8,13,6,39,1.7,0,2,6
85,50661,패배,케넨,우르프rider,1,1,4,15888,4,12,3,174,7.4,0,0,1
86,50661,패배,세주아니,아라가키 유이,4,3,3,10370,7,11,7,70,3.0,0,0,1
87,50661,패배,베이가,ZhanQiHuaYm,3,6,0,8456,3,8,3,183,7.8,0,0,1
88,50661,패배,베인,땅우양,2,5,0,10045,1,9,1,196,8.4,0,0,1
89,50661,패배,타릭,KT MATA,0,5,2,1622,3,22,4,41,1.7,0,0,1
90,50662,승리,케넨,깜빡졸음번쩍저승,6,1,4,21505,4,15,6,232,7.8,1,2,9
91,50662,승리,잭스,나츠카린,4,1,4,5235,7,13,5,123,4.2,1,2,9
92,50662,승리,카르마,FeelsDaydayMan,3,6,12,17101,1,13,5,207,7.0,1,2,9
93,50662,승리,자야,Atlen,7,1,5,21034,4,6,9,277,9.4,1,2,9
94,50662,승리,쓰레쉬,supbest,2,4,8,5945,10,39,11,28,0.9,1,2,9
95,50662,패배,나르,무이무익,1,3,3,14119,3,14,2,208,7.0,0,0,2
96,50662,패배,엘리스,이책인지심책기,8,5,3,12267,1,6,7,122,4.1,0,0,2
97,50662,패배,아우렐리온 솔,여최미,2,5,6,12963,3,14,3,189,6.4,0,0,2
98,50662,패배,진,잠시만 기달려줘,1,4,3,10883,3,14,2,239,8.1,0,0,2
99,50662,패배,나미,킁킁킹캉킁,1,5,6,3071,12,43,12,22,0.7,0,0,2
100,50663,승리,피오라,서울강남개포4동,2,0,0,2288,0,4,0,80,6.8,0,0,6
101,50663,승리,이즈리얼,깜빡졸음번쩍저승,2,1,4,4147,2,6,2,42,3.6,0,0,6
