,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31254,패배,제이스,해운대잠만보,1,5,1,9275,1,11,0,129,7.1,0,0,0
1,31254,패배,렝가,오억만,4,6,2,5632,0,10,4,91,5.0,0,0,0
2,31254,패배,르블랑,꾸자니 똑땅해,1,4,5,8722,2,19,5,112,6.1,0,0,0
3,31254,패배,미스 포츈,BKKK,0,6,1,5295,0,7,3,104,5.7,0,0,0
4,31254,패배,레오나,ROX 곰,1,3,5,4004,3,10,7,28,1.5,0,0,0
5,31254,승리,마오카이,죠토마킹,1,1,4,6104,1,5,4,144,7.9,0,2,6
6,31254,승리,카직스,shirushi,8,3,4,8270,4,18,4,103,5.6,0,2,6
7,31254,승리,아지르,삼성갤럭시 Crown,5,2,6,10836,3,11,3,166,9.1,0,2,6
8,31254,승리,조이,DWG BeryL,9,0,8,17908,3,15,1,144,7.9,0,2,6
9,31254,승리,탐 켄치,분당고 엄성현,1,1,10,5105,3,18,4,34,1.9,0,2,6
10,31255,승리,제이스,암고잉빽투더스탙,4,1,8,18880,1,25,6,252,10.0,1,2,9
11,31255,승리,카직스,PeanuToT,6,2,6,8933,3,28,8,155,6.1,1,2,9
12,31255,승리,코르키,꾸자니 똑땅해,3,2,7,15582,2,17,7,237,9.4,1,2,9
13,31255,승리,미스 포츈,SKT T1 Bang,4,1,8,19136,1,24,7,212,8.4,1,2,9
14,31255,승리,마오카이,진쟤승,4,2,4,8184,3,24,12,57,2.3,1,2,9
15,31255,패배,카밀,1987 Plls,2,9,2,8836,1,8,3,136,5.4,0,0,1
16,31255,패배,자르반 4세,갱만가드림,2,5,6,7056,6,43,15,115,4.6,0,0,1
17,31255,패배,말자하,Hide on bush,3,1,4,17808,2,11,7,234,9.3,0,0,1
18,31255,패배,칼리스타,FVV BETTY,1,3,1,8082,3,10,10,243,9.6,0,0,1
19,31255,패배,타릭,토마토페이스트,0,3,4,2298,7,22,7,59,2.3,0,0,1
20,31256,승리,나르,1987 Plls,3,1,7,13141,0,14,0,149,7.9,0,1,5
21,31256,승리,세주아니,갱만가드림,7,0,8,9573,2,29,8,104,5.5,0,1,5
22,31256,승리,라이즈,꾸자니 똑땅해,5,1,3,7011,2,9,6,175,9.3,0,1,5
23,31256,승리,바루스,FVV BETTY,1,1,4,6219,2,16,0,197,10.5,0,1,5
24,31256,승리,쉔,By myself,2,1,5,2383,6,30,4,26,1.4,0,1,5
25,31256,패배,갱플랭크,YOYOuuuuuO,0,8,1,8223,1,9,2,131,7.0,0,0,1
26,31256,패배,자르반 4세,Hide on bush,0,3,3,3466,4,27,7,89,4.7,0,0,1
27,31256,패배,피들스틱,1414774182,3,2,0,8436,0,6,3,131,7.0,0,0,1
