,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60179,패배,카밀,나는야 누구일까,3,7,1,12279,2,11,2,102,4.9,0,0,1
1,60179,패배,니달리,쁘띠예리사랑해요,0,7,0,4908,4,13,2,90,4.3,0,0,1
2,60179,패배,빅토르,1Rabbit,1,5,0,11511,0,8,2,197,9.4,0,0,1
3,60179,패배,바루스,Normal Life,1,7,2,11036,1,7,2,136,6.5,0,0,1
4,60179,패배,탐 켄치,JAG Wraith,1,4,3,3767,4,16,2,40,1.9,0,0,1
5,60179,승리,잭스,Labixiaoxin,4,4,5,10870,1,8,0,125,6.0,0,2,10
6,60179,승리,렉사이,MVP Beyond,2,0,8,7000,2,7,3,154,7.4,0,2,10
7,60179,승리,조이,Jin air Yaharong,12,2,5,23721,0,12,2,170,8.1,0,2,10
8,60179,승리,진,PTN Howin,8,0,4,13474,2,10,0,178,8.5,0,2,10
9,60179,승리,레오나,챌 희,4,0,9,5817,6,34,2,43,2.1,0,2,10
10,60180,패배,신지드,반육십 노인,3,8,9,17001,1,13,5,223,7.2,0,1,3
11,60180,패배,니달리,Normal Life,9,3,15,23665,3,32,9,184,5.9,0,1,3
12,60180,패배,라이즈,나는야 누구일까,1,8,3,13154,4,15,6,255,8.2,0,1,3
13,60180,패배,진,치다망치,11,5,8,24596,4,12,7,233,7.5,0,1,3
14,60180,패배,쓰레쉬,1mute all,3,5,15,7451,6,47,7,20,0.6,0,1,3
15,60180,승리,오른,동쪽의 청룡,4,3,13,17303,3,16,5,230,7.4,1,1,7
16,60180,승리,렝가,익산시 홍보대사,11,8,7,19940,3,27,11,165,5.3,1,1,7
17,60180,승리,아지르,woaichengxiao,8,4,7,34518,3,14,13,320,10.3,1,1,7
18,60180,승리,바루스,RVS Shark,5,6,12,25879,1,12,7,235,7.6,1,1,7
19,60180,승리,쉔,taesang,1,6,14,6279,8,39,10,68,2.2,1,1,7
20,60181,패배,야스오,공대누나쀼2,2,4,1,5719,2,2,2,107,6.7,0,1,0
21,60181,패배,쉬바나,Normal Life,2,6,1,3013,2,7,3,99,6.2,0,1,0
22,60181,패배,조이,Zhongdan XD,1,3,0,3204,3,14,4,74,4.6,0,1,0
23,60181,패배,미스 포츈,치다망치,1,3,0,3803,0,4,3,86,5.4,0,1,0
24,60181,패배,알리스타,나는야 누구일까,0,3,0,2223,4,12,0,15,0.9,0,1,0
25,60181,승리,판테온,나는여자가좋아요,4,2,3,7181,0,4,1,147,9.2,0,0,6
26,60181,승리,카직스,너를 사랑해 X,6,0,3,4726,2,17,5,75,4.7,0,0,6
27,60181,승리,카르마,고개를 젓다,3,2,5,8528,1,8,2,117,7.3,0,0,6
28,60181,승리,진,RVS Shark,5,2,2,8092,0,7,0,127,8.0,0,0,6
29,60181,승리,탐 켄치,taesang,1,0,9,4833,3,18,4,35,2.2,0,0,6
30,60182,승리,카밀,나는야 누구일까,11,4,10,33583,5,18,0,272,9.0,1,2,10
31,60182,승리,니달리,Normal Life,12,4,14,23426,1,28,9,192,6.4,1,2,10
32,60182,승리,다이애나,이야공,7,5,13,22563,2,6,4,184,6.1,1,2,10
33,60182,승리,칼리스타,wo yao qu daye,5,6,10,16498,1,22,8,259,8.6,1,2,10
34,60182,승리,쉔,XinMo,0,4,21,8589,9,33,10,66,2.2,1,2,10
35,60182,패배,오른,Sun이라는 별,3,8,6,18129,0,12,4,198,6.6,0,1,2
36,60182,패배,신 짜오,Diamondprox1,5,6,6,17125,6,19,14,173,5.7,0,1,2
37,60182,패배,카타리나,챌 희,13,6,4,25203,0,19,6,225,7.5,0,1,2
38,60182,패배,진,쁘띠예리사랑해요,2,7,7,15503,1,25,6,231,7.7,0,1,2
39,60182,패배,뽀삐,이책인지심책기,0,8,7,5016,6,30,5,45,1.5,0,1,2
40,60183,승리,리산드라,smeb1,3,2,5,12525,2,13,3,196,7.5,1,1,6
41,60183,승리,카직스,Normal Life,7,4,5,17808,4,25,7,126,4.8,1,1,6
42,60183,승리,카시오페아,나는야 누구일까,5,1,4,21514,6,30,9,238,9.1,1,1,6
43,60183,승리,진,RVS Shark,3,4,8,15449,1,10,11,228,8.7,1,1,6
44,60183,승리,탐 켄치,taesang,2,2,10,8685,7,25,16,61,2.3,1,1,6
45,60183,패배,오른,보고 싶어Tiamo,1,3,3,10854,2,7,3,206,7.9,0,0,0
46,60183,패배,리 신,16 06 29 Aki,3,5,4,9290,5,44,5,146,5.6,0,0,0
47,60183,패배,블라디미르,I Drink Alone,5,6,2,16343,4,10,10,174,6.7,0,0,0
48,60183,패배,미스 포츈,wowowowoowowowo,2,1,3,15414,4,24,9,199,7.6,0,0,0
49,60183,패배,쓰레쉬,wowannimane,2,5,6,6140,8,31,17,35,1.3,0,0,0
50,60184,패배,사이온,무슨말이야,3,7,9,17693,0,11,2,202,7.2,0,0,3
51,60184,패배,쉬바나,Normal Life,10,5,5,18104,2,14,9,158,5.6,0,0,3
52,60184,패배,탈리야,킬안주면꼬라박음,3,9,6,17285,3,22,7,216,7.7,0,0,3
53,60184,패배,진,나는야 누구일까,4,4,9,15195,5,15,2,236,8.4,0,0,3
54,60184,패배,미스 포츈,wowannimane,3,6,6,14605,8,41,12,34,1.2,0,0,3
55,60184,승리,자르반 4세,APK Rainbow,3,5,11,18046,3,13,4,229,8.1,1,2,8
56,60184,승리,니달리,TeawaN,4,7,9,15369,3,30,9,191,6.8,1,2,8
