,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3797,패배,일라오이,춘봉박,1,7,0,7737,1,7,1,127,7.9,0,0,0
1,3797,패배,리 신,성혁님미드가신다,3,2,0,4462,3,22,3,108,6.7,0,0,0
2,3797,패배,아지르,chirchri,0,8,0,5640,2,13,0,92,5.7,0,0,0
3,3797,패배,드레이븐,SnakeLight,0,6,1,6411,0,8,2,131,8.1,0,0,0
4,3797,패배,카르마,남 탓 보 다 반성,1,3,0,4374,2,15,3,7,0.4,0,0,0
5,3797,승리,카밀,나는야 누구일까,6,1,4,12076,2,7,4,121,7.5,0,2,2
6,3797,승리,쉬바나,yizhiyu,4,1,7,7420,1,6,6,113,7.0,0,2,2
7,3797,승리,르블랑,검은머리사나이,10,0,6,11825,3,9,4,115,7.1,0,2,2
8,3797,승리,이즈리얼,VIP 민형,3,2,4,5082,0,4,1,141,8.7,0,2,2
9,3797,승리,쓰레쉬,160810,3,1,8,2980,3,14,7,29,1.8,0,2,2
10,3798,승리,나르,jjijiijijljli,2,6,9,23692,10,26,20,295,7.7,2,3,11
11,3798,승리,니달리,남 탓 보 다 반성,6,6,10,25094,7,34,27,242,6.3,2,3,11
12,3798,승리,탈리야,FeelsAwesomeMan,7,4,13,31219,7,31,15,361,9.4,2,3,11
13,3798,승리,애쉬,asfd12,10,2,12,34780,3,17,16,355,9.3,2,3,11
14,3798,승리,타릭,YOYOuuuuuO,3,4,18,9352,8,44,21,86,2.2,2,3,11
15,3798,패배,제이스,ysdgqxcj,6,4,5,39017,4,16,4,270,7.1,0,2,3
16,3798,패배,쉬바나,ROX 곰,6,6,5,14657,4,9,20,243,6.3,0,2,3
17,3798,패배,피들스틱,1414774182,3,8,10,21799,10,24,13,297,7.8,0,2,3
18,3798,패배,이즈리얼,Rain1ng,4,5,4,33500,0,23,6,341,8.9,0,2,3
19,3798,패배,카르마,Kerla,2,5,12,13743,21,104,27,40,1.0,0,2,3
20,3799,승리,제이스,CutieMisaki,7,5,17,31069,3,45,11,264,6.7,1,2,9
21,3799,승리,자르반 4세,남 탓 보 다 반성,8,5,17,19253,8,65,24,257,6.5,1,2,9
22,3799,승리,카사딘,El psy Congro0,7,9,17,28506,6,21,6,206,5.2,1,2,9
23,3799,승리,진,LPL noob ad QAQ,18,4,17,41927,3,17,13,289,7.3,1,2,9
24,3799,승리,제라스,11 14 9 7 8 20,14,6,21,43999,1,19,8,119,3.0,1,2,9
25,3799,패배,카밀,담원 너구리,7,9,5,40606,7,27,20,318,8.0,1,3,4
26,3799,패배,쉬바나,ROX 곰,10,6,7,23397,4,37,16,309,7.8,1,3,4
27,3799,패배,라이즈,Kingen,4,11,5,37352,0,15,6,341,8.6,1,3,4
28,3799,패배,애쉬,161561,1,22,7,14682,4,10,5,227,5.7,1,3,4
29,3799,패배,미스 포츈,Find Realey,7,6,4,25213,6,69,31,143,3.6,1,3,4
30,3800,승리,카사딘,남 탓 보 다 반성,4,1,3,16661,1,12,2,195,7.8,1,2,8
31,3800,승리,세주아니,마이엠브,10,2,8,10031,6,39,3,182,7.3,1,2,8
32,3800,승리,자르반 4세,Kingen,4,4,9,12538,0,22,5,219,8.7,1,2,8
33,3800,승리,이즈리얼,Bvoy,6,1,10,21125,2,13,8,248,9.9,1,2,8
34,3800,승리,카르마,토마토페이스트,1,1,15,7879,8,29,9,29,1.2,1,2,8
35,3800,패배,블라디미르,담원 너구리,1,2,1,11777,4,14,4,252,10.1,0,0,0
36,3800,패배,엘리스,종학윙,4,5,1,6012,6,11,10,114,4.5,0,0,0
37,3800,패배,제이스,11 14 9 7 8 20,2,9,1,17241,3,9,4,208,8.3,0,0,0
38,3800,패배,미스 포츈,어껭간만에찾아뵙,1,5,3,7037,1,10,3,170,6.8,0,0,0
39,3800,패배,나미,Find Realey,1,5,4,5482,6,23,19,31,1.2,0,0,0
40,3801,패배,나르,우에하라 크롱,2,6,2,15822,2,26,3,221,7.4,0,0,4
41,3801,패배,니달리,DS XiaoPeng,3,5,9,16859,4,32,25,144,4.8,0,0,4
42,3801,패배,바루스,PawN God,3,8,6,20961,9,19,4,263,8.8,0,0,4
