,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40951,승리,나르,Awe BarOh,5,6,9,21339,0,24,3,236,6.0,1,3,8
1,40951,승리,니달리,J Spectre G,12,5,12,35447,4,40,26,224,5.7,1,3,8
2,40951,승리,라이즈,republic123,6,4,13,31345,2,17,9,326,8.3,1,3,8
3,40951,승리,코그모,Gon123,9,7,13,36152,0,10,5,345,8.8,1,3,8
4,40951,승리,레오나,니달리버프좀해줘,0,4,20,9301,9,38,19,64,1.6,1,3,8
5,40951,패배,잭스,나네쫓다꿈소년,7,7,9,25097,2,22,14,334,8.5,1,1,7
6,40951,패배,세주아니,M1anhua,7,6,13,16313,2,27,20,163,4.1,1,1,7
7,40951,패배,아지르,풀 뜯는 미드,3,5,10,29277,4,44,9,337,8.5,1,1,7
8,40951,패배,이즈리얼,Heiz4,3,9,12,29393,0,15,8,275,7.0,1,1,7
9,40951,패배,제라스,By myself,6,5,13,25178,23,61,16,65,1.6,1,1,7
10,40952,승리,마오카이,니달리버프좀해줘,5,4,21,20625,0,11,2,183,5.6,2,2,8
11,40952,승리,카직스,작전동 노란머리,14,5,10,29653,6,27,15,232,7.1,2,2,8
12,40952,승리,아지르,Heart,7,6,15,37588,2,17,11,288,8.9,2,2,8
13,40952,승리,애쉬,VIP 민형,13,5,18,31631,5,14,10,272,8.4,2,2,8
14,40952,승리,브라움,Lvmao,3,6,28,12297,11,37,9,53,1.6,2,2,8
15,40952,패배,오른,7hal,7,6,12,23860,6,12,5,233,7.2,0,2,3
16,40952,패배,자르반 4세,DaYE,4,8,15,14635,8,29,14,133,4.1,0,2,3
17,40952,패배,카타리나,챌 희,8,9,5,21954,3,16,3,199,6.1,0,2,3
18,40952,패배,미스 포츈,아이러니,4,10,7,20669,2,5,5,247,7.6,0,2,3
19,40952,패배,알리스타,시즌8빡고수ad1,3,9,13,9538,4,36,15,62,1.9,0,2,3
20,40953,승리,마오카이,ROX Se0ngHwan,2,2,3,9254,3,7,2,142,7.0,0,0,6
21,40953,승리,니달리,니달리버프좀해줘,10,1,8,11451,2,14,6,128,6.3,0,0,6
22,40953,승리,아지르,find myself,7,3,3,13583,2,7,5,206,10.1,0,0,6
23,40953,승리,트리스타나,그러면안돼요짜샤,7,2,7,12346,3,10,1,133,6.6,0,0,6
24,40953,승리,알리스타,우지나 나 갸영이,2,1,13,4087,6,22,7,25,1.2,0,0,6
25,40953,패배,잭스,Kingen,3,6,1,13750,0,10,4,149,7.3,0,0,2
26,40953,패배,렉사이,Lehends,2,5,4,7356,2,17,3,93,4.6,0,0,2
27,40953,패배,라이즈,이도류,2,3,3,8145,4,20,3,158,7.8,0,0,2
28,40953,패배,진,해강고원딜 팬,0,8,0,9389,1,9,1,126,6.2,0,0,2
29,40953,패배,미스 포츈,아이러니,2,6,4,9758,5,12,5,48,2.4,0,0,2
30,40954,승리,쉔,죠토마킹,4,0,11,11154,3,12,2,159,7.0,1,2,4
31,40954,승리,카직스,니달리버프좀해줘,8,2,8,10306,3,16,5,137,6.1,1,2,4
32,40954,승리,카사딘,republic123,7,2,12,18181,1,5,5,145,6.4,1,2,4
33,40954,승리,미스 포츈,ARE2A,6,0,13,17734,1,6,3,184,8.1,1,2,4
34,40954,승리,나미,VeryBitter,0,3,17,5906,3,40,9,13,0.6,1,2,4
35,40954,패배,문도 박사,임시용닉네임,1,3,3,12804,1,8,5,167,7.4,0,0,1
36,40954,패배,쉬바나,yizhiyu,2,7,2,8692,1,6,10,179,7.9,0,0,1
37,40954,패배,트위스티드 페이트,유튜브충현랩모음,3,7,2,7462,2,9,1,145,6.4,0,0,1
38,40954,패배,케이틀린,paboooo,1,5,3,6535,1,6,9,173,7.7,0,0,1
39,40954,패배,쓰레쉬,Gambit Support,0,3,5,3928,4,37,6,33,1.5,0,0,1
40,40955,패배,올라프,Super Secret,3,4,3,7935,0,5,3,140,6.9,0,0,0
41,40955,패배,니달리,니달리버프좀해줘,4,5,4,7643,3,13,1,84,4.2,0,0,0
42,40955,패배,제드,유튜브충현랩모음,2,3,2,8102,0,12,1,168,8.3,0,0,0
43,40955,패배,코그모,혼자가 편해졌어,1,8,5,9830,0,4,2,130,6.4,0,0,0
44,40955,패배,레오나,Gambit Support,1,5,5,3864,3,28,2,37,1.8,0,0,0
45,40955,승리,갱플랭크,gamer666,2,3,12,7907,1,7,1,157,7.8,0,1,9
46,40955,승리,쉬바나,MooJin,11,0,0,8868,3,8,5,184,9.1,0,1,9
47,40955,승리,카타리나,duibuqiziji,7,3,5,14225,1,8,5,168,8.3,0,1,9
48,40955,승리,미스 포츈,나츠카린,5,2,9,17511,1,7,3,128,6.3,0,1,9
49,40955,승리,브라움,yizhiyu,0,3,14,4292,4,17,5,40,2.0,0,1,9
50,40956,패배,카밀,담원 너구리,6,6,4,19751,3,35,9,248,8.5,0,1,6
51,40956,패배,니달리,니달리버프좀해줘,6,3,6,14277,3,17,11,194,6.6,0,1,6
52,40956,패배,라이즈,mcmglllc,3,4,2,11413,3,23,5,231,7.9,0,1,6
53,40956,패배,진,제1막,5,4,4,15401,7,17,10,251,8.6,0,1,6
54,40956,패배,탐 켄치,fengquyunbuhui,0,5,7,3905,12,64,6,56,1.9,0,1,6
55,40956,승리,케넨,JAG S0hwan,1,9,9,19081,3,7,11,254,8.7,2,2,7
56,40956,승리,카직스,마이엠브,9,6,3,16689,7,26,15,145,5.0,2,2,7
57,40956,승리,아지르,mide gui tou,2,4,4,12185,2,13,12,257,8.8,2,2,7
58,40956,승리,칼리스타,혼자해도충분하다,7,1,6,18979,0,11,9,301,10.3,2,2,7
59,40956,승리,쉔,호잇이,3,0,10,6510,10,40,19,70,2.4,2,2,7
60,40957,승리,마오카이,니달리버프좀해줘,9,0,5,11007,0,7,5,124,5.9,1,1,6
