,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3360,승리,칼리스타,김메피,9,3,9,17739,2,10,9,262,8.2,2,1,9
1,3360,승리,케넨,우에하라 크롱,8,5,9,20569,2,16,4,197,6.2,2,1,9
2,3360,승리,라이즈,MVP Ian,2,1,13,18631,4,19,14,346,10.8,2,1,9
3,3360,승리,제라스,LPL noob ad QAQ,6,8,14,17893,6,44,15,31,1.0,2,1,9
4,3360,승리,자르반 4세,단군의청춘부재,9,5,18,15088,5,65,22,124,3.9,2,1,9
5,3360,패배,니달리,J Spectre G,3,6,7,10135,5,26,14,182,5.7,0,2,3
6,3360,패배,블리츠크랭크,DWG ShowMaker,1,9,10,6835,10,26,10,61,1.9,0,2,3
7,3360,패배,잭스,나네쫓다꿈소년,7,7,2,17722,2,22,5,288,9.0,0,2,3
8,3360,패배,탈리야,Hide on bush,8,5,3,17671,6,38,12,306,9.6,0,2,3
9,3360,패배,진,FeelsCoffeeMan,3,8,8,16560,2,11,13,255,8.0,0,2,3
10,3361,패배,나르,단군의청춘부재,1,5,0,5829,1,18,4,184,8.3,0,1,1
11,3361,패배,카직스,Cuz2,3,2,4,10574,1,19,6,106,4.8,0,1,1
12,3361,패배,말자하,MVP Ian,4,5,2,7479,2,12,2,189,8.5,0,1,1
13,3361,패배,진,원딜둥이,0,7,1,5168,0,8,7,188,8.4,0,1,1
14,3361,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,2555,5,25,7,23,1.0,0,1,1
15,3361,승리,잭스,나네쫓다꿈소년,11,2,2,15520,0,10,8,242,10.9,1,2,6
16,3361,승리,쉬바나,yizhiyu,3,2,5,5987,4,9,5,156,7.0,1,2,6
17,3361,승리,아지르,FW Maple,0,4,3,5515,6,18,2,160,7.2,1,2,6
18,3361,승리,미스 포츈,FVV BETTY,4,0,5,8587,3,17,7,188,8.4,1,2,6
19,3361,승리,제라스,DWG ShowMaker,6,0,3,10020,7,19,5,29,1.3,1,2,6
20,3362,승리,카밀,우철짱123,3,4,2,10820,2,4,1,158,7.2,1,1,3
21,3362,승리,니달리,Cuz2,4,1,8,13420,2,17,14,205,9.3,1,1,3
22,3362,승리,제이스,단군의청춘부재,6,5,5,11324,3,12,1,186,8.5,1,1,3
23,3362,승리,진,원딜둥이,3,3,9,8318,2,10,3,177,8.0,1,1,3
24,3362,승리,탐 켄치,삼성갤럭시CoreJJ,4,3,13,8851,7,22,15,33,1.5,1,1,3
25,3362,패배,쉔,MVP ADD,1,4,5,9986,4,12,0,146,6.6,0,0,3
26,3362,패배,자르반 4세,P2k Key,7,1,7,7447,2,17,9,130,5.9,0,0,3
27,3362,패배,케넨,송하영 팬,3,5,6,11795,3,10,4,159,7.2,0,0,3
28,3362,패배,애쉬,튀자튀자아,4,5,6,12892,3,9,2,176,8.0,0,0,3
29,3362,패배,알리스타,FVV BETTY,1,5,6,4867,10,26,8,36,1.6,0,0,3
30,3363,패배,오른,미율치에오,7,4,2,21209,1,13,11,284,9.1,0,1,3
31,3363,패배,엘리스,종학윙,8,9,5,14369,3,8,14,166,5.3,0,1,3
32,3363,패배,라이즈,단군의청춘부재,2,8,8,11789,2,19,6,214,6.8,0,1,3
33,3363,패배,미스 포츈,RRRuleRRR,8,7,6,25992,6,11,11,264,8.4,0,1,3
34,3363,패배,자이라,Wilder,1,8,11,17353,12,51,18,38,1.2,0,1,3
35,3363,승리,피오라,Gon123,4,4,5,15768,2,26,3,254,8.1,1,1,7
36,3363,승리,리 신,Boldness,7,5,10,10915,7,50,10,128,4.1,1,1,7
37,3363,승리,말자하,LPL noob ad QAQ,9,5,4,15900,6,9,7,236,7.6,1,1,7
38,3363,승리,자야,원딜둥이,14,8,9,32929,2,12,8,307,9.8,1,1,7
39,3363,승리,라칸,FVV BETTY,2,4,26,7961,9,39,7,24,0.8,1,1,7
40,3364,승리,카밀,Gon123,7,1,6,13778,2,12,1,205,8.0,1,0,7
41,3364,승리,세주아니,Boldness,3,2,12,7588,5,21,6,125,4.9,1,0,7
42,3364,승리,라이즈,단군의청춘부재,8,4,9,16872,4,20,4,180,7.0,1,0,7
43,3364,승리,바루스,FVV BETTY,3,4,10,7958,4,19,2,177,6.9,1,0,7
44,3364,승리,제라스,fengquyunbuhui,7,1,13,14861,6,26,8,39,1.5,1,0,7
45,3364,패배,잭스,쌀국수뚝붸기,1,8,3,9148,0,10,4,169,6.6,0,1,4
46,3364,패배,렝가,Wilder,2,4,3,5733,0,18,5,159,6.2,0,1,4
47,3364,패배,말자하,LPL noob ad QAQ,5,9,1,7373,3,9,5,148,5.8,0,1,4
48,3364,패배,이즈리얼,RRRuleRRR,2,5,0,13250,3,7,8,250,9.7,0,1,4
49,3364,패배,블리츠크랭크,Mengqiuqiu,2,2,4,5262,9,35,8,47,1.8,0,1,4
50,3365,패배,카밀,미율치에오,9,4,3,36927,1,19,5,371,10.0,1,2,7
51,3365,패배,자크,FVV BETTY,3,4,10,10001,10,29,7,155,4.2,1,2,7
52,3365,패배,아지르,mcmglllc,4,8,3,21352,4,24,5,310,8.4,1,2,7
53,3365,패배,칼리스타,바보팀원,7,10,5,20306,2,31,16,298,8.0,1,2,7
54,3365,패배,바드,단군의청춘부재,2,8,11,16125,10,47,24,44,1.2,1,2,7
55,3365,승리,블라디미르,멘탈 실력 운,4,5,10,23877,3,19,6,237,6.4,1,3,8
56,3365,승리,쉬바나,yizhiyu,7,7,11,29502,4,6,26,290,7.8,1,3,8
57,3365,승리,베이가,By myself,9,5,8,22983,2,21,5,298,8.0,1,3,8
58,3365,승리,이즈리얼,Eyes,11,4,13,49735,3,25,9,300,8.1,1,3,8
59,3365,승리,레오나,fengquyunbuhui,3,4,19,9340,14,88,18,82,2.2,1,3,8
60,3366,패배,카밀,쌀국수뚝붸기,1,10,1,13596,2,18,0,182,6.7,0,0,3
61,3366,패배,자르반 4세,삼성갤럭시 하루,3,8,3,12884,7,27,6,110,4.0,0,0,3
62,3366,패배,아지르,삼성갤럭시 Crown,2,12,1,17559,1,8,3,212,7.8,0,0,3
63,3366,패배,바루스,단군의청춘부재,7,7,1,24668,4,13,4,184,6.8,0,0,3
64,3366,패배,카르마,Jin air Yaharong,1,4,9,12129,4,23,10,26,1.0,0,0,3
65,3366,승리,나르,ROX Hoon,8,1,9,29431,3,14,7,215,7.9,1,1,10
66,3366,승리,니달리,So1o,6,4,12,14834,4,22,11,192,7.1,1,1,10
67,3366,승리,르블랑,너와나의연결Gori,21,2,4,31189,2,25,2,206,7.6,1,1,10
68,3366,승리,애쉬,Reborn3,3,4,6,11667,1,9,5,159,5.9,1,1,10
69,3366,승리,쉔,JAG S0hwan,3,3,16,11976,4,25,9,65,2.4,1,1,10
70,3367,승리,제이스,RVS Poss,5,4,1,11020,4,21,5,135,8.1,0,2,3
71,3367,승리,쉬바나,Flyquest Flame,4,1,5,5604,3,8,8,131,7.9,0,2,3
72,3367,승리,라이즈,단군의청춘부재,3,0,3,4547,3,20,4,163,9.8,0,2,3
73,3367,승리,미스 포츈,Atlen,4,3,5,11428,0,5,4,132,7.9,0,2,3
74,3367,승리,소라카,YOYOuuuuuO,0,2,7,4121,2,15,3,10,0.6,0,2,3
75,3367,패배,갱플랭크,Gazuaaaaaaa,2,3,2,5523,4,10,0,107,6.4,0,0,1
76,3367,패배,엘리스,멍멍이2,2,3,3,4758,2,17,6,61,3.7,0,0,1
77,3367,패배,아지르,KDM PERT,1,4,2,5122,3,9,4,135,8.1,0,0,1
78,3367,패배,자야,SnakeLight,4,3,4,9279,1,12,3,139,8.4,0,0,1
79,3367,패배,레오나,Kingen,1,3,6,3609,6,17,11,30,1.8,0,0,1
80,3368,승리,사이온,7hal,6,1,18,25290,1,37,11,288,6.9,2,3,11
81,3368,승리,니달리,해운대잠만보,10,2,11,33639,9,38,34,274,6.6,2,3,11
82,3368,승리,라이즈,단군의청춘부재,9,4,11,28599,9,37,16,312,7.5,2,3,11
83,3368,승리,진,혼자해도충분하다,7,3,11,38859,0,16,7,331,7.9,2,3,11
84,3368,승리,카르마,republic123,0,5,16,16266,4,33,22,43,1.0,2,3,11
85,3368,패배,제이스,쌀국수뚝붸기,5,8,1,31807,4,50,18,344,8.2,0,1,3
86,3368,패배,세주아니,쁘띠예리사랑해요,1,9,8,12191,2,60,11,167,4.0,0,1,3
87,3368,패배,말자하,MVP Ian,2,7,8,22961,4,24,15,301,7.2,0,1,3
88,3368,패배,시비르,비 브이 오 와이,4,3,8,32252,4,16,16,470,11.3,0,1,3
89,3368,패배,제라스,YserAoA,3,5,7,24771,16,54,21,59,1.4,0,1,3
90,3369,패배,럼블,쌀국수뚝붸기,1,4,1,7931,1,9,2,162,8.5,0,1,0
91,3369,패배,쉬바나,마이엠브,2,3,1,5379,6,10,5,127,6.6,0,1,0
92,3369,패배,아지르,단군의청춘부재,0,4,1,9025,2,9,2,115,6.0,0,1,0
93,3369,패배,애쉬,아이러니,0,2,1,3294,2,7,0,154,8.1,0,1,0
94,3369,패배,블리츠크랭크,Avicii fans,2,5,1,2623,5,18,1,22,1.2,0,1,0
95,3369,승리,오른,7hal,1,0,4,4933,0,8,4,180,9.4,0,0,6
96,3369,승리,카직스,쁘띠예리사랑해요,3,2,12,9187,2,19,5,103,5.4,0,0,6
97,3369,승리,블라디미르,MVP Ian,2,3,3,9484,2,10,0,145,7.6,0,0,6
98,3369,승리,시비르,비 브이 오 와이,10,0,5,13638,0,6,2,196,10.3,0,0,6
99,3369,승리,카르마,YserAoA,2,0,12,7555,4,16,2,7,0.4,0,0,6
100,3370,승리,케넨,jjijiijijljli,11,4,13,35796,3,17,6,235,7.4,2,1,10
101,3370,승리,리 신,TeawaN,9,5,15,18143,6,51,13,168,5.3,2,1,10
102,3370,승리,라이즈,ysdgqxcj,10,6,12,26049,3,16,4,262,8.3,2,1,10
103,3370,승리,바루스,단군의청춘부재,9,7,17,32315,5,16,10,227,7.2,2,1,10
104,3370,승리,레오나,ROX 곰,5,4,26,15012,8,63,24,69,2.2,2,1,10
105,3370,패배,나르,Heiz4,6,11,5,21584,0,10,2,192,6.1,0,2,4
106,3370,패배,엘리스,쁘띠예리사랑해요,2,10,8,10947,4,24,17,132,4.2,0,2,4
107,3370,패배,이즈리얼,작전동 노란머리,4,6,8,36556,1,18,19,284,9.0,0,2,4
108,3370,패배,진,Dingchenyu,12,8,7,23169,4,14,14,253,8.0,0,2,4
109,3370,패배,탐 켄치,우철짱123,2,9,14,12130,8,64,13,55,1.7,0,2,4
110,3371,패배,나르,슬프다고말하면,4,8,1,8846,1,9,1,121,5.5,0,0,1
111,3371,패배,렝가,HanGuo Xiao Daye,1,6,4,7800,5,20,3,108,4.9,0,0,1
112,3371,패배,라이즈,단군의청춘부재,1,3,4,11550,2,19,3,159,7.2,0,0,1
113,3371,패배,진,구름꽃길만걷자,2,5,2,11486,0,7,2,166,7.5,0,0,1
114,3371,패배,쉔,ollehKing,2,6,3,3470,4,20,6,42,1.9,0,0,1
115,3371,승리,카밀,JAG S0hwan,7,3,7,13431,1,10,3,165,7.5,1,2,10
116,3371,승리,쉬바나,작전동 노란머리,14,1,5,17482,5,9,7,187,8.5,1,2,10
117,3371,승리,모르가나,R4phael,1,2,11,11346,3,8,4,146,6.6,1,2,10
118,3371,승리,베인,Afreeca Kramer,5,3,6,10995,5,13,8,220,10.0,1,2,10
119,3371,승리,사이온,진에어 양은지,1,1,12,6475,2,15,0,45,2.0,1,2,10
120,3372,승리,제이스,Algorism,4,0,3,8135,3,10,4,150,9.1,0,0,3
121,3372,승리,니달리,작전동 노란머리,6,1,4,7634,3,25,7,116,7.0,0,0,3
122,3372,승리,르블랑,단군의청춘부재,3,1,6,9499,3,14,1,104,6.3,0,0,3
123,3372,승리,진,구름꽃길만걷자,2,1,2,7342,2,6,0,149,9.0,0,0,3
124,3372,승리,바드,슬프다고말하면,0,2,6,5297,4,19,4,6,0.4,0,0,3
125,3372,패배,레넥톤,JAG S0hwan,0,2,1,2118,0,6,5,118,7.2,0,1,0
126,3372,패배,렝가,HanGuo Xiao Daye,4,5,1,3358,6,16,7,70,4.2,0,1,0
127,3372,패배,제라스,상어가족,0,2,4,6612,2,8,6,88,5.3,0,1,0
128,3372,패배,칼리스타,Afreeca Kramer,1,3,0,4307,2,15,2,151,9.2,0,1,0
129,3372,패배,알리스타,토마토페이스트,0,3,3,2436,4,9,1,15,0.9,0,1,0
130,3373,승리,카밀,JAG S0hwan,1,0,4,6024,2,17,1,149,8.0,0,1,3
131,3373,승리,쉬바나,PeanuToT,5,3,5,6361,2,8,8,114,6.1,0,1,3
