,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10474,승리,나르,담원 너구리,2,4,15,20706,5,25,14,339,8.2,3,2,9
1,10474,승리,리 신,담원 얼라이브,12,5,13,17882,9,56,22,213,5.2,3,2,9
2,10474,승리,자이라,행운의 변화,8,6,12,37368,4,14,7,311,7.6,3,2,9
3,10474,승리,칼리스타,구름꽃길만걷자,8,5,13,19501,2,10,15,359,8.7,3,2,9
4,10474,승리,세주아니,MataMataMata,3,5,24,12724,18,99,21,79,1.9,3,2,9
5,10474,패배,야스오,JAG S0hwan,5,6,8,23278,3,50,15,431,10.5,0,2,6
6,10474,패배,카직스,ROX Se0ngHwan,12,8,8,31050,8,52,20,167,4.1,0,2,6
7,10474,패배,말자하,bbq Tempt,5,5,9,43283,8,21,9,362,8.8,0,2,6
8,10474,패배,진,비 브이 오 와이,1,5,10,27024,3,15,17,336,8.2,0,2,6
9,10474,패배,쉔,GuGer,2,9,6,5934,16,55,23,93,2.3,0,2,6
10,10475,승리,제이스,담원 너구리,7,4,10,32085,6,59,16,412,9.4,0,4,9
11,10475,승리,카직스,Cuz2,9,6,6,29671,2,27,30,266,6.1,0,4,9
12,10475,승리,라이즈,FeelsAwesomeMan,5,4,13,29516,9,15,28,387,8.9,0,4,9
13,10475,승리,미스 포츈,담원 얼라이브,14,5,10,57436,5,16,19,364,8.3,0,4,9
14,10475,승리,제라스,종학윙,3,3,11,34597,3,12,13,91,2.1,0,4,9
15,10475,패배,카밀,춘봉박,8,7,4,24528,2,23,17,397,9.1,2,0,4
16,10475,패배,세주아니,PeanuToT,4,2,10,16848,14,35,15,215,4.9,2,0,4
17,10475,패배,탈리야,겸손하고 근면한,4,13,6,20294,5,39,4,370,8.5,2,0,4
18,10475,패배,진,뒷텔와드점,5,8,9,24132,3,24,4,311,7.1,2,0,4
19,10475,패배,카르마,chorongie,1,8,12,14083,14,82,19,53,1.2,2,0,4
20,10476,패배,케넨,담원 너구리,4,3,3,13320,1,9,1,152,7.0,0,1,1
21,10476,패배,쉬바나,분당고 엄성현,3,2,2,8204,5,10,8,156,7.2,0,1,1
22,10476,패배,르블랑,승 로,1,2,2,8654,4,22,5,130,6.0,0,1,1
23,10476,패배,바루스,sqb,1,4,0,8824,0,6,5,190,8.8,0,1,1
24,10476,패배,마오카이,Nova1,0,6,2,6863,9,23,13,44,2.0,0,1,1
25,10476,승리,일라오이,xaxaxaxaxa,2,6,2,14351,0,11,1,166,7.7,0,1,4
26,10476,승리,세주아니,75387,3,1,9,6293,6,23,9,110,5.1,0,1,4
27,10476,승리,아지르,PawN God,4,0,3,12888,1,10,4,231,10.7,0,1,4
28,10476,승리,진,먹는건즐거워,6,2,3,11452,4,11,3,185,8.6,0,1,4
29,10476,승리,알리스타,Nem2sis,2,0,7,5048,2,35,7,52,2.4,0,1,4
30,10477,패배,럼블,담원 너구리,2,5,3,10201,3,11,6,143,7.0,0,0,2
31,10477,패배,자르반 4세,MooJin,2,6,3,6965,3,18,3,103,5.0,0,0,2
32,10477,패배,코르키,Heart,3,4,2,9012,3,22,3,209,10.2,0,0,2
33,10477,패배,미스 포츈,학교밀베포친키,1,6,2,9668,2,10,4,177,8.6,0,0,2
34,10477,패배,카르마,h1rb,1,2,3,6299,6,19,8,9,0.4,0,0,2
35,10477,승리,제이스,우에하라 크롱,5,2,2,8068,1,9,6,193,9.4,0,0,3
36,10477,승리,엘리스,종학윙,6,2,3,7895,3,15,6,110,5.4,0,0,3
37,10477,승리,카타리나,겸손하고 근면한,7,3,3,16428,3,22,8,194,9.5,0,0,3
38,10477,승리,바루스,진에어 저스티스,4,1,7,9722,2,10,2,160,7.8,0,0,3
