,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30558,패배,애니,담원 쇼메이커,4,10,2,13619,6,17,6,169,6.0,0,0,4
1,30558,패배,니달리,9346,3,9,6,6764,3,37,13,140,5.0,0,0,4
2,30558,패배,아지르,FW Maple,1,4,2,14563,5,25,4,250,8.9,0,0,4
3,30558,패배,칼리스타,덤벼보던가,10,11,3,31978,4,13,10,262,9.4,0,0,4
4,30558,패배,쉔,담원 호잇이,1,7,12,8248,5,21,9,54,1.9,0,0,4
5,30558,승리,나르,chijixuanshou,6,3,11,20452,1,26,5,206,7.4,1,3,10
6,30558,승리,쉬바나,yizhiyu,11,4,12,16376,3,9,19,197,7.0,1,3,10
7,30558,승리,베이가,ZhanQiHuaYm,11,2,9,25217,3,6,7,237,8.5,1,3,10
8,30558,승리,미스 포츈,FVV BETTY,11,6,12,20472,2,22,8,187,6.7,1,3,10
9,30558,승리,카르마,Empmuyi,2,4,26,11360,4,55,10,33,1.2,1,3,10
10,30559,승리,나르,커닝시티 피그미,5,5,9,16001,2,28,3,204,6.6,1,3,9
11,30559,승리,니달리,J Spectre G,12,6,14,25581,2,28,19,238,7.7,1,3,9
12,30559,승리,제이스,담원 쇼메이커,6,7,9,22357,5,24,8,251,8.1,1,3,9
13,30559,승리,미스 포츈,Bvoy,9,6,14,24005,3,13,9,244,7.8,1,3,9
14,30559,승리,쉔,삼성갤럭시CoreJJ,4,7,18,9332,9,38,14,55,1.8,1,3,9
15,30559,패배,케넨,담원 너구리,6,6,12,32654,2,16,10,254,8.2,0,0,4
16,30559,패배,자르반 4세,pokeryo,3,9,15,15534,4,52,13,157,5.1,0,0,4
17,30559,패배,트위스티드 페이트,NekoL,5,6,8,11189,6,13,4,250,8.0,0,0,4
18,30559,패배,진,Excal1bur1,12,7,11,22764,4,12,10,235,7.6,0,0,4
19,30559,패배,알리스타,Lvmao,5,8,13,9310,7,31,18,64,2.1,0,0,4
20,30560,승리,뽀삐,담원 쇼메이커,9,4,10,28628,3,16,4,175,5.5,1,1,9
21,30560,승리,헤카림,yizhiyu,5,5,12,18129,2,20,6,173,5.4,1,1,9
22,30560,승리,카사딘,By myself,14,1,8,40560,4,19,14,258,8.0,1,1,9
23,30560,승리,미스 포츈,Bvoy,9,4,13,45210,1,11,6,239,7.5,1,1,9
