,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10690,승리,갱플랭크,피넛사냥개2,5,2,8,20881,4,14,2,236,8.6,1,2,10
1,10690,승리,카직스,담원 크러쉬,4,0,10,10111,7,21,4,150,5.5,1,2,10
2,10690,승리,트위스티드 페이트,상어가족,5,1,9,15202,4,9,11,207,7.5,1,2,10
3,10690,승리,진,Co1dplay,6,3,7,16615,4,12,9,238,8.7,1,2,10
4,10690,승리,탐 켄치,강고릴,3,3,11,5767,9,35,6,57,2.1,1,2,10
5,10690,패배,카밀,FeelsIronMan,1,5,3,12968,1,11,2,169,6.1,0,0,0
6,10690,패배,렝가,죠토마킹,1,4,3,5214,5,25,9,122,4.4,0,0,0
7,10690,패배,탈리야,DWG ShowMaker,3,5,2,14987,4,13,7,265,9.6,0,0,0
8,10690,패배,이즈리얼,Greed A Pride,2,4,3,20242,8,22,10,237,8.6,0,0,0
9,10690,패배,쓰레쉬,나라카일,2,5,3,5425,1,12,5,41,1.5,0,0,0
10,10691,패배,나르,빅파이초코파이,5,11,5,23516,2,23,8,343,7.6,2,3,10
11,10691,패배,렝가,담원 크러쉬,5,9,8,21878,6,28,19,216,4.8,2,3,10
12,10691,패배,라이즈,마산가자,8,8,11,37073,9,29,10,369,8.2,2,3,10
13,10691,패배,미스 포츈,Greed A Pride,14,6,6,31110,9,58,34,373,8.3,2,3,10
14,10691,패배,레오나,160810,3,7,16,12144,18,68,23,78,1.7,2,3,10
15,10691,승리,카밀,쌀국수뚝붸기,13,7,11,32374,2,22,10,324,7.2,1,1,8
16,10691,승리,카직스,6학년4반장용준,7,5,11,19712,12,46,17,239,5.3,1,1,8
17,10691,승리,탈리야,DWG ShowMaker,8,7,17,46065,6,11,8,404,9.0,1,1,8
18,10691,승리,진,상어가족,6,7,19,31983,2,19,17,263,5.9,1,1,8
19,10691,승리,제라스,PawN God,7,9,17,35704,11,101,28,117,2.6,1,1,8
20,10692,승리,일라오이,xaxaxaxaxa,8,5,3,16764,2,16,4,224,8.9,0,1,9
21,10692,승리,세주아니,F0y,3,0,12,6350,4,43,13,170,6.8,0,1,9
22,10692,승리,카사딘,chirchri,8,0,4,14888,3,16,4,232,9.3,0,1,9
23,10692,승리,미스 포츈,담원 크러쉬,5,3,4,14843,2,8,5,207,8.3,0,1,9
24,10692,승리,바드,으아으앙으아앙,0,4,12,6965,5,27,16,26,1.0,0,1,9
25,10692,패배,케넨,PawN God,0,5,5,12211,3,12,3,162,6.5,0,0,0
26,10692,패배,카직스,일견무시도성빈,3,6,5,9598,6,22,10,98,3.9,0,0,0
27,10692,패배,말자하,KDM PERT,6,1,1,14488,2,11,12,256,10.2,0,0,0
28,10692,패배,시비르,DWG ShowMaker,1,5,2,11154,1,13,8,180,7.2,0,0,0
29,10692,패배,카르마,DDDDNNNN,2,7,6,8560,11,33,15,26,1.0,0,0,0
30,10693,패배,제이스,우철짱123,4,1,1,9756,3,20,4,188,9.1,0,0,1
31,10693,패배,엘리스,종학윙,0,3,2,1889,2,10,4,92,4.5,0,0,1
32,10693,패배,라이즈,FeelsAwesomeMan,1,3,1,3697,2,9,9,177,8.6,0,0,1
33,10693,패배,바루스,상어가족,0,4,3,6074,1,8,5,107,5.2,0,0,1
34,10693,패배,쉔,담원 크러쉬,2,3,5,3121,4,22,8,28,1.4,0,0,1
35,10693,승리,나르,PuncHh,3,1,2,6493,3,12,3,151,7.3,0,3,5
36,10693,승리,자르반 4세,shirushi,5,1,7,7164,6,25,9,92,4.5,0,3,5
37,10693,승리,말자하,삼성갤럭시 Crown,3,3,4,6122,6,22,3,187,9.1,0,3,5
38,10693,승리,진,DWG BeryL,3,1,4,8386,5,13,4,166,8.1,0,3,5
39,10693,승리,제라스,DWG ShowMaker,0,1,7,7097,6,16,6,17,0.8,0,3,5
40,10694,패배,케넨,우에하라 크롱,1,3,2,7644,4,12,6,191,8.2,0,0,1
41,10694,패배,엘리스,5gak,2,4,4,6780,5,29,3,96,4.1,0,0,1
42,10694,패배,제드,KDM PERT,2,4,0,9676,2,28,14,181,7.7,0,0,1
43,10694,패배,칼리스타,담원 크러쉬,1,6,4,9318,1,14,8,193,8.2,0,0,1
44,10694,패배,알리스타,선기박,3,3,1,4004,8,25,15,46,2.0,0,0,1
45,10694,승리,럼블,쌀국수뚝붸기,4,3,7,8965,2,11,4,184,7.9,1,3,9
46,10694,승리,쉬바나,M1anhua,4,2,8,9236,7,12,10,180,7.7,1,3,9
47,10694,승리,코르키,deft123456,6,2,8,17764,2,20,12,232,9.9,1,3,9
48,10694,승리,진,어껭간만에찾아뵙,3,1,9,10302,3,9,1,204,8.7,1,3,9
49,10694,승리,레오나,Nem2sis,3,2,11,5003,6,47,20,53,2.3,1,3,9
50,10695,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
51,10695,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
52,10695,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
53,10695,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
54,10695,패배,알리스타,춘봉박,1,4,7,5335,4,22,9,46,1.8,0,0,1
55,10695,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
56,10695,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
57,10695,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
58,10695,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
59,10695,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
60,10696,패배,잭스,TOP아빠,3,6,4,9048,6,33,12,251,7.8,0,0,2
61,10696,패배,세주아니,담원 크러쉬,3,6,11,8063,11,13,14,129,4.0,0,0,2
62,10696,패배,탈리야,IGS Dasher,7,6,4,22381,7,35,8,245,7.6,0,0,2
63,10696,패배,칼리스타,담원 얼라이브,8,4,5,11581,3,23,9,313,9.7,0,0,2
64,10696,패배,바드,Lvmao,1,8,13,9814,9,36,21,30,0.9,0,0,2
65,10696,승리,제이스,MVP ADD,8,5,8,28755,4,42,14,306,9.5,1,2,8
66,10696,승리,자르반 4세,수입뿌드,7,8,13,15599,8,32,21,167,5.2,1,2,8
67,10696,승리,코르키,ysdgqxcj,6,4,11,31393,3,13,6,317,9.8,1,2,8
68,10696,승리,진,DWG BeryL,8,2,10,27787,3,13,6,284,8.8,1,2,8
69,10696,승리,쓰레쉬,supbest,1,3,19,7869,11,48,23,41,1.3,1,2,8
70,10697,승리,제이스,FeelsIronMan,5,0,5,10321,1,13,3,135,8.5,0,0,5
71,10697,승리,세주아니,담원 크러쉬,2,0,9,3930,3,7,0,86,5.4,0,0,5
72,10697,승리,조이,2Kano,9,0,2,11508,2,10,2,123,7.8,0,0,5
73,10697,승리,이즈리얼,sqb,2,1,4,5202,0,10,4,142,9.0,0,0,5
74,10697,승리,카르마,Lucete,1,3,8,4819,6,15,5,18,1.1,0,0,5
75,10697,패배,사이온,이도류,0,6,1,5589,1,7,2,102,6.4,0,0,0
76,10697,패배,쉬바나,Like Waves,2,5,1,4377,3,8,9,69,4.4,0,0,0
77,10697,패배,아지르,DWG ShowMaker,0,4,0,4305,2,5,4,123,7.8,0,0,0
78,10697,패배,드레이븐,아 백,2,1,0,3343,1,11,1,118,7.4,0,0,0
79,10697,패배,브라움,Nem2sis,0,3,2,1738,2,11,3,23,1.5,0,0,0
80,10698,승리,카밀,코w코,7,4,8,21318,1,21,9,331,7.8,2,2,11
81,10698,승리,세주아니,담원 크러쉬,1,3,18,13868,13,16,20,187,4.4,2,2,11
82,10698,승리,말자하,상어가족,4,4,14,25495,2,10,16,309,7.3,2,2,11
83,10698,승리,바루스,Zhongdan XD,13,1,7,43071,5,21,10,350,8.3,2,2,11
84,10698,승리,탐 켄치,160810,1,5,16,8252,21,64,26,102,2.4,2,2,11
85,10698,패배,제이스,Kingen,8,8,5,42031,3,49,6,339,8.0,1,2,6
86,10698,패배,자르반 4세,ROX Lindarang,3,6,11,15373,11,51,4,163,3.8,1,2,6
87,10698,패배,라이즈,reMember Mistake,1,4,6,25053,5,24,6,392,9.3,1,2,6
88,10698,패배,진,메 끠,5,3,4,24312,4,16,8,320,7.6,1,2,6
89,10698,패배,트런들,엄청강한 올빼미,0,5,10,6730,17,48,20,90,2.1,1,2,6
90,10699,승리,블라디미르,멘탈 실력 운,3,2,12,21719,3,17,2,233,7.9,0,0,8
91,10699,승리,자르반 4세,점점나의마음이끌,7,5,12,14118,6,47,10,146,4.9,0,0,8
92,10699,승리,아지르,PawN God,9,3,6,29879,3,15,6,250,8.5,0,0,8
93,10699,승리,미스 포츈,담원 얼라이브,5,7,10,17431,4,14,1,215,7.3,0,0,8
94,10699,승리,카르마,담원 크러쉬,2,5,14,6423,10,42,11,16,0.5,0,0,8
95,10699,패배,쉔,죠토마킹,5,4,6,13041,0,10,2,174,5.9,1,1,5
96,10699,패배,자크,MVP Ian,5,3,6,10557,8,28,11,138,4.7,1,1,5
97,10699,패배,제라스,으아으앙으아앙,5,5,7,23038,3,14,2,192,6.5,1,1,5
98,10699,패배,바루스,deft123456,2,8,13,19751,4,15,8,260,8.8,1,1,5
99,10699,패배,쓰레쉬,supbest,5,6,9,6641,5,34,14,36,1.2,1,1,5
100,10700,승리,갱플랭크,sanspareil1,3,0,4,8244,1,10,2,127,7.9,0,1,4
101,10700,승리,세주아니,담원 크러쉬,2,0,7,5493,4,16,3,108,6.7,0,1,4
102,10700,승리,카사딘,VIP 민형,6,1,2,11044,2,6,2,136,8.4,0,1,4
103,10700,승리,미스 포츈,deft123456,2,1,5,8649,3,17,3,137,8.5,0,1,4
104,10700,승리,브라움,Dutch Coffee,3,0,10,3808,3,11,6,29,1.8,0,1,4
105,10700,패배,쉔,SnakeLight,0,4,0,5819,0,7,0,103,6.4,0,0,0
106,10700,패배,자르반 4세,죠토마킹,0,4,2,2750,2,12,2,72,4.5,0,0,0
107,10700,패배,코르키,PawN God,2,3,0,8593,5,12,4,145,9.0,0,0,0
108,10700,패배,진,담원 얼라이브,0,4,0,3920,2,7,3,111,6.9,0,0,0
109,10700,패배,잔나,ROX Sangyoon,0,1,1,3888,1,14,8,15,0.9,0,0,0
110,10701,패배,카밀,삶이힘든사람,6,12,10,15397,5,15,3,128,4.5,1,0,0
111,10701,패배,세주아니,담원 크러쉬,9,6,11,18159,6,27,6,118,4.1,1,0,0
112,10701,패배,조이,PawN God,4,11,9,19491,6,17,3,159,5.5,1,0,0
113,10701,패배,바루스,FVV BETTY,5,5,13,21814,1,11,3,203,7.1,1,0,0
114,10701,패배,미스 포츈,슬프다고말하면,5,11,16,25798,6,33,14,39,1.4,1,0,0
115,10701,승리,제이스,11 14 9 7 8 20,22,6,4,42708,3,13,5,215,7.5,0,3,10
116,10701,승리,자크,Cuz2,3,4,20,14955,4,27,6,156,5.4,0,3,10
117,10701,승리,말자하,FeelsAwesomeMan,5,8,6,16430,2,6,5,222,7.7,0,3,10
118,10701,승리,진,DWG BeryL,11,5,13,34370,9,19,0,197,6.9,0,3,10
119,10701,승리,레오나,Dutch Coffee,4,6,21,11273,7,29,10,40,1.4,0,3,10
120,10702,승리,마오카이,죠토마킹,0,1,4,5505,0,7,6,142,7.5,0,1,4
121,10702,승리,렝가,M1anhua,7,0,7,9549,1,23,7,156,8.2,0,1,4
122,10702,승리,아지르,Gazuaaaaaaa,2,0,6,8241,3,10,3,177,9.3,0,1,4
123,10702,승리,칼리스타,담원 크러쉬,7,0,2,11071,1,5,3,190,10.0,0,1,4
124,10702,승리,탐 켄치,fengquyunbuhui,0,1,9,4299,5,35,5,35,1.8,0,1,4
125,10702,패배,쉔,아트가 앗뜨거,1,2,0,8006,2,11,2,134,7.1,0,1,0
126,10702,패배,세주아니,MVP Ian,0,1,2,3852,3,10,5,103,5.4,0,1,0
127,10702,패배,제라스,By myself,0,3,0,6159,5,11,7,153,8.1,0,1,0
128,10702,패배,진,NekoL,1,4,0,6546,2,6,3,136,7.2,0,1,0
129,10702,패배,알리스타,Lvmao,0,6,1,4523,7,13,2,22,1.2,0,1,0
130,10703,승리,잭스,우르프rider,4,8,7,20161,6,21,2,228,7.0,1,0,7
131,10703,승리,세주아니,담원 크러쉬,11,2,10,16850,9,32,12,155,4.8,1,0,7
132,10703,승리,탈리야,FeelsAwesomeMan,5,8,8,18258,3,22,10,264,8.1,1,0,7
133,10703,승리,칼리스타,아트가 앗뜨거,12,6,11,27578,1,12,13,302,9.3,1,0,7
134,10703,승리,쓰레쉬,슬프다고말하면,3,9,18,8588,14,43,19,54,1.7,1,0,7
135,10703,패배,카밀,코w코,6,7,7,21280,1,15,2,197,6.1,0,1,6
136,10703,패배,렝가,9346,4,9,14,16590,4,24,15,134,4.1,0,1,6
137,10703,패배,말자하,mcmglllc,5,7,16,26843,1,14,5,235,7.2,0,1,6
138,10703,패배,진,덤벼보던가,13,7,9,36944,5,16,9,269,8.3,0,1,6
139,10703,패배,쉔,DWG BeryL,5,5,21,17696,14,51,11,51,1.6,0,1,6
140,10704,승리,카밀,미율치에오,7,6,5,14304,3,11,6,131,6.2,0,1,3
141,10704,승리,니달리,DS XiaoPeng,11,1,12,24330,2,16,13,140,6.6,0,1,3
142,10704,승리,카타리나,h1rb,4,5,2,6137,1,8,2,146,6.9,0,1,3
143,10704,승리,미스 포츈,담원 크러쉬,4,1,8,13738,2,8,1,182,8.6,0,1,3
144,10704,승리,타릭,구직자 쭈스,2,2,12,6239,8,21,4,35,1.6,0,1,3
145,10704,패배,자르반 4세,담원 너구리,9,6,3,16686,5,17,1,192,9.0,0,1,3
146,10704,패배,세주아니,마이엠브,1,4,7,6966,7,39,8,126,5.9,0,1,3
147,10704,패배,조이,삼성갤럭시 Crown,2,7,4,12715,5,11,2,152,7.2,0,1,3
148,10704,패배,트리스타나,Mengqiuqiu,1,7,0,5127,0,7,3,170,8.0,0,1,3
149,10704,패배,알리스타,비 브이 오 와이,2,4,5,5776,5,19,4,29,1.4,0,1,3
150,10705,승리,뽀삐,담원 크러쉬,5,8,9,19020,5,18,5,232,7.1,1,3,8
151,10705,승리,자르반 4세,Kazuki Kazami,12,5,11,18193,6,27,16,174,5.3,1,3,8
152,10705,승리,아지르,마산가자,7,8,14,42167,5,25,9,279,8.5,1,3,8
153,10705,승리,진,GALAAAA,6,2,17,33824,4,13,9,330,10.1,1,3,8
154,10705,승리,쉔,supbest,4,4,19,10753,7,44,14,72,2.2,1,3,8
155,10705,패배,트런들,코w코,10,4,7,22734,5,29,1,237,7.2,1,1,5
156,10705,패배,리 신,SnakeLight,8,7,10,17752,5,51,9,166,5.1,1,1,5
157,10705,패배,말자하,ZhanQiHuaYm,2,8,9,18364,3,18,9,245,7.5,1,1,5
158,10705,패배,미스 포츈,JackeyLove,6,8,7,25581,1,9,10,273,8.3,1,1,5
159,10705,패배,소라카,mcmglllc,1,7,14,5270,9,38,11,27,0.8,1,1,5
160,10706,승리,피오라,TOP아빠,7,4,8,23207,3,14,2,224,7.9,1,2,10
161,10706,승리,니달리,담원 크러쉬,9,3,9,17762,6,17,4,172,6.1,1,2,10
162,10706,승리,라이즈,피넛사냥개2,6,2,8,20621,3,15,5,310,10.9,1,2,10
163,10706,승리,미스 포츈,여청추,7,6,8,17650,8,16,8,207,7.3,1,2,10
164,10706,승리,트런들,GuGer,3,2,19,7623,8,37,8,59,2.1,1,2,10
165,10706,패배,카밀,Possible tts,4,7,1,10034,0,6,5,196,6.9,0,0,2
166,10706,패배,세주아니,pokeryo,2,5,6,10511,6,23,8,122,4.3,0,0,2
167,10706,패배,말자하,By myself,3,5,6,16916,7,20,1,256,9.0,0,0,2
168,10706,패배,애쉬,구직자 zzus,3,8,3,14644,2,19,6,156,5.5,0,0,2
169,10706,패배,제라스,진쟤승,5,7,3,23543,0,11,3,45,1.6,0,0,2
170,10707,승리,제이스,담원 너구리,5,1,10,13184,3,24,5,209,9.9,0,0,5
171,10707,승리,자르반 4세,담원 크러쉬,3,3,12,5250,4,19,6,121,5.7,0,0,5
172,10707,승리,카사딘,LFT MID,7,2,10,18379,3,12,3,177,8.4,0,0,5
173,10707,승리,진,chirchri,4,0,5,10978,2,10,1,188,8.9,0,0,5
174,10707,승리,알리스타,XinMo,1,0,7,2293,5,19,4,42,2.0,0,0,5
175,10707,패배,사이온,WENJUNXI,1,3,1,4359,4,12,6,179,8.5,0,0,0
176,10707,패배,렝가,해운대잠만보,1,6,5,7802,4,21,4,111,5.2,0,0,0
177,10707,패배,조이,담원 쇼메이커,2,4,2,10552,1,10,7,149,7.0,0,0,0
178,10707,패배,애쉬,담원 얼라이브,1,4,4,10713,2,6,3,169,8.0,0,0,0
179,10707,패배,탐 켄치,입이더러운사람,1,3,0,4577,2,16,3,59,2.8,0,0,0
180,10708,패배,카서스,담원 쇼메이커,0,5,5,13367,2,9,5,164,7.2,0,0,0
181,10708,패배,렝가,담원 크러쉬,0,5,4,6892,7,19,4,126,5.6,0,0,0
182,10708,패배,라이즈,LFT MID,3,6,2,9796,2,12,7,213,9.4,0,0,0
183,10708,패배,트리스타나,Mengqiuqiu,4,3,1,10288,1,21,9,197,8.7,0,0,0
184,10708,패배,탐 켄치,호잇이,0,5,1,4001,3,23,4,30,1.3,0,0,0
185,10708,승리,자르반 4세,담원 너구리,6,2,5,13350,4,26,5,197,8.7,0,1,9
186,10708,승리,니달리,종학윙,8,0,6,11720,0,11,7,154,6.8,0,1,9
187,10708,승리,말자하,MVP Ian,3,3,7,15494,3,13,3,179,7.9,0,1,9
188,10708,승리,칼리스타,담원 얼라이브,5,2,4,11308,3,19,7,214,9.4,0,1,9
189,10708,승리,알리스타,우지나 나 갸영이,2,0,8,7128,7,27,6,23,1.0,0,1,9
190,10709,승리,블라디미르,천천히올라감,5,2,10,25877,5,15,3,228,8.1,0,3,9
191,10709,승리,카직스,담원 크러쉬,12,1,7,16937,8,22,7,143,5.1,0,3,9
192,10709,승리,카사딘,kenzhu9,15,6,6,28090,2,14,6,255,9.1,0,3,9
193,10709,승리,칼리스타,담원 얼라이브,4,4,5,9700,2,9,4,245,8.7,0,3,9
194,10709,승리,쉔,Lehends,0,5,19,7729,9,29,5,58,2.1,0,3,9
195,10709,패배,나르,커피물조절장인,3,6,7,16522,1,23,2,234,8.3,1,0,3
196,10709,패배,니달리,JAG UmTi,3,6,7,17595,5,10,10,139,5.0,1,0,3
197,10709,패배,라이즈,Yaharong,3,10,4,17019,2,23,2,232,8.3,1,0,3
198,10709,패배,진,커닝시티 피그미,7,5,2,16441,5,14,3,193,6.9,1,0,3
199,10709,패배,미스 포츈,진쟤승,1,9,4,13933,0,11,4,29,1.0,1,0,3
