,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31294,승리,카밀,덤벼보던가,8,3,5,21773,1,10,2,181,8.1,0,1,6
1,31294,승리,니달리,분당고 엄성현,8,2,6,10057,3,17,8,160,7.1,0,1,6
2,31294,승리,오리아나,PawN God,3,0,4,11745,5,26,7,249,11.1,0,1,6
3,31294,승리,미스 포츈,FVV BETTY,4,1,3,12992,3,13,2,205,9.1,0,1,6
4,31294,승리,알리스타,BKKK,0,4,8,4169,4,28,4,30,1.3,0,1,6
5,31294,패배,갱플랭크,피넛사냥개2,1,10,3,14356,1,10,1,154,6.9,0,1,1
6,31294,패배,렝가,오억만,3,4,6,9818,1,20,11,129,5.8,0,1,1
7,31294,패배,말자하,최석배 사생팬,2,3,5,9360,2,7,11,176,7.9,0,1,1
8,31294,패배,진,SnakeLight,2,4,3,7663,0,6,3,212,9.5,0,1,1
9,31294,패배,타릭,스마트섹시뷰티,2,2,5,3500,7,22,7,53,2.4,0,1,1
10,31295,승리,럼블,동쪽의 청룡,2,1,10,11635,2,12,2,185,7.5,0,2,8
11,31295,승리,카직스,I will not lose,9,3,4,14417,7,24,4,101,4.1,0,2,8
12,31295,승리,라이즈,덤벼보던가,5,4,8,11953,5,9,1,253,10.2,0,2,8
13,31295,승리,진,너만재미써,11,2,7,20358,3,8,4,230,9.3,0,2,8
14,31295,승리,쓰레쉬,Detiny,3,3,16,6574,7,27,23,56,2.3,0,2,8
15,31295,패배,올라프,Super Secret,3,2,1,7256,2,5,6,246,9.9,0,0,2
16,31295,패배,자르반 4세,mianma,4,5,4,9673,6,19,7,96,3.9,0,0,2
17,31295,패배,탈리야,KDM Edge,0,9,4,10175,4,11,6,207,8.4,0,0,2
18,31295,패배,이즈리얼,Labixiaoxin,2,8,3,10478,1,11,8,194,7.8,0,0,2
19,31295,패배,카르마,Gambit Support,2,6,7,7775,5,23,2,22,0.9,0,0,2
20,31296,승리,제이스,FeelsIronMan,7,2,8,17500,4,24,6,178,8.3,0,2,10
21,31296,승리,리 신,ROX Se0ngHwan,3,2,15,6112,6,34,8,98,4.6,0,2,10
22,31296,승리,트위스티드 페이트,Lucete,4,3,11,12029,4,12,1,169,7.9,0,2,10
23,31296,승리,칼리스타,덤벼보던가,10,0,4,15392,4,11,7,242,11.2,0,2,10
24,31296,승리,알리스타,Nem2sis,2,1,16,5987,4,29,3,32,1.5,0,2,10
25,31296,패배,사이온,baramgaebi,2,9,2,9504,3,10,6,150,7.0,0,0,0
26,31296,패배,니달리,일견무시도성빈,1,5,3,5223,3,18,6,100,4.6,0,0,0
27,31296,패배,조이,FW Maple,1,5,3,11892,4,20,2,165,7.7,0,0,0
28,31296,패배,바루스,슬프다고말하면,1,4,2,10899,1,9,6,158,7.3,0,0,0
29,31296,패배,레오나,FW SwordArT,2,3,2,4082,5,19,8,34,1.6,0,0,0
30,31297,패배,카밀,baramgaebi,8,10,6,27182,2,17,5,249,6.5,1,1,7
31,31297,패배,쉬바나,작전동 노란머리,7,7,9,18760,10,15,18,230,6.0,1,1,7
32,31297,패배,탈리야,chorongie,2,9,12,33733,5,37,4,310,8.1,1,1,7
33,31297,패배,칼리스타,덤벼보던가,9,8,10,36141,1,12,16,426,11.2,1,1,7
34,31297,패배,오른,진쟤승,2,8,16,13808,5,43,5,63,1.7,1,1,7
35,31297,승리,일라오이,xaxaxaxaxa,9,9,7,47935,1,24,1,290,7.6,2,3,11
36,31297,승리,자르반 4세,MataMataMata,14,6,16,26161,6,48,15,172,4.5,2,3,11
37,31297,승리,라이즈,FW Maple,6,5,14,31740,6,24,2,287,7.5,2,3,11
38,31297,승리,이즈리얼,먹는건즐거워,10,5,14,46235,1,18,4,317,8.3,2,3,11
39,31297,승리,잔나,FW SwordArT,3,3,24,12732,10,40,12,32,0.8,2,3,11
40,31298,승리,갱플랭크,피넛사냥개2,9,2,9,27856,0,15,3,301,9.3,0,2,5
41,31298,승리,카직스,kenzhu9,7,5,8,23459,9,40,16,195,6.0,0,2,5
42,31298,승리,신드라,FeelsCoffeeMan,5,2,13,23170,3,18,1,282,8.7,0,2,5
43,31298,승리,이즈리얼,덤벼보던가,7,8,14,32758,3,22,19,299,9.2,0,2,5
44,31298,승리,바드,Afreeca Kuro,6,9,15,11421,13,53,23,32,1.0,0,2,5
45,31298,패배,올라프,코w코,2,6,5,19121,4,36,11,228,7.0,1,1,2
46,31298,패배,자르반 4세,오억만,3,8,15,17798,0,17,12,180,5.6,1,1,2
47,31298,패배,오리아나,TeachersWu,1,9,7,9691,3,15,6,229,7.1,1,1,2
48,31298,패배,트리스타나,fndasjkfkqw,16,5,4,36140,3,37,15,326,10.1,1,1,2
49,31298,패배,마오카이,진쟤승,4,6,17,17262,5,35,15,54,1.7,1,1,2
50,31299,승리,판테온,Plz No Die,9,3,8,23886,2,28,4,220,7.6,1,2,10
51,31299,승리,카직스,Cuz2,12,6,9,23954,2,15,9,163,5.7,1,2,10
52,31299,승리,라이즈,Lucete,9,5,7,23917,2,11,5,252,8.8,1,2,10
53,31299,승리,이즈리얼,Afreeca Kramer,7,3,13,35260,4,24,3,266,9.2,1,2,10
54,31299,승리,쉔,덤벼보던가,4,6,25,10443,1,28,8,61,2.1,1,2,10
55,31299,패배,갱플랭크,춘봉박,6,5,7,20917,1,12,4,245,8.5,0,0,1
56,31299,패배,자르반 4세,FVV BETTY,6,10,3,11275,5,23,10,130,4.5,0,0,1
57,31299,패배,애니비아,송하영 팬,5,7,8,23314,3,13,11,218,7.6,0,0,1
58,31299,패배,바루스,Please find it,2,10,9,14269,0,6,4,161,5.6,0,0,1
59,31299,패배,알리스타,Afreeca Kuro,4,9,7,7264,9,44,12,48,1.7,0,0,1
60,31300,승리,자르반 4세,담원 너구리,4,5,15,14804,4,34,4,275,8.4,0,2,9
61,31300,승리,렝가,161561,11,10,8,21917,4,18,5,153,4.7,0,2,9
62,31300,승리,피들스틱,FVV BETTY,3,10,10,19589,2,14,1,224,6.8,0,2,9
63,31300,승리,이즈리얼,덤벼보던가,19,5,8,67781,0,17,6,347,10.6,0,2,9
64,31300,승리,탐 켄치,호잇이,4,5,20,10150,5,55,7,72,2.2,0,2,9
65,31300,패배,나르,Kingen,12,8,3,31694,2,16,6,234,7.1,1,0,2
66,31300,패배,자크,Cuz2,5,4,15,13019,4,30,18,167,5.1,1,0,2
67,31300,패배,말자하,인정쓰,10,3,14,32095,2,10,5,259,7.9,1,0,2
68,31300,패배,트리스타나,Please find it,5,14,7,15295,0,17,12,223,6.8,1,0,2
69,31300,패배,레오나,Heiz4,1,12,19,8609,3,28,8,52,1.6,1,0,2
70,31301,패배,이렐리아,뒷텔와드점,4,10,4,17954,3,25,1,247,8.0,0,1,3
71,31301,패배,니달리,DS XiaoPeng,12,6,10,22623,1,15,10,178,5.8,0,1,3
72,31301,패배,르블랑,덤벼보던가,5,10,12,17968,2,13,1,198,6.4,0,1,3
73,31301,패배,진,Rachel Berry,4,7,13,14791,2,13,1,189,6.2,0,1,3
74,31301,패배,미스 포츈,VIP 민형,8,9,13,23037,11,72,25,61,2.0,0,1,3
75,31301,승리,카밀,Heiz4,9,8,6,21082,0,13,7,200,6.5,2,2,8
76,31301,승리,자르반 4세,XinyiQAQ,8,9,20,22316,11,12,11,152,4.9,2,2,8
77,31301,승리,제이스,Rain1ng,9,5,10,26429,2,14,8,221,7.2,2,2,8
78,31301,승리,바루스,삼성갤럭시 Ru1er,7,4,13,23584,4,27,12,267,8.7,2,2,8
79,31301,승리,쉔,삼성갤럭시CoreJJ,9,7,13,11956,10,39,21,60,2.0,2,2,8
80,31302,패배,에코,뒷텔와드점,3,10,2,15068,1,12,1,179,6.7,0,0,1
81,31302,패배,니달리,DS XiaoPeng,5,7,3,21544,5,22,14,164,6.1,0,0,1
82,31302,패배,라이즈,덤벼보던가,5,6,3,19014,1,11,6,265,9.9,0,0,1
83,31302,패배,트리스타나,VIP 민형,5,13,4,16352,0,6,2,141,5.3,0,0,1
84,31302,패배,브라움,YOYOuuuuuO,1,7,8,6186,5,27,6,44,1.6,0,0,1
85,31302,승리,오른,암고잉빽투더스탙,6,3,15,22154,0,11,0,171,6.4,0,2,10
86,31302,승리,자르반 4세,삼성갤럭시 하루,12,5,11,18563,5,26,12,102,3.8,0,2,10
87,31302,승리,르블랑,bbq Tempt,9,5,7,21345,6,25,1,145,5.4,0,2,10
88,31302,승리,바루스,선비모드,14,3,7,33937,5,14,4,229,8.5,0,2,10
89,31302,승리,타릭,양팡우,2,4,19,12083,12,30,6,63,2.3,0,2,10
90,31303,승리,쉔,Delicious Fish,3,2,4,8193,2,12,4,190,8.0,1,1,3
91,31303,승리,카직스,점점나의마음이끌,4,1,6,11329,4,20,9,113,4.8,1,1,3
92,31303,승리,라이즈,덤벼보던가,5,1,2,12652,0,6,4,264,11.1,1,1,3
93,31303,승리,칼리스타,LPL noob ad QAQ,1,3,5,8210,3,23,7,204,8.6,1,1,3
94,31303,승리,알리스타,Detiny,2,0,5,3078,7,23,9,45,1.9,1,1,3
95,31303,패배,잭스,미율치에오,2,5,2,10638,2,14,3,192,8.1,0,1,2
96,31303,패배,리 신,분당고 엄성현,1,3,3,3517,7,34,4,112,4.7,0,1,2
97,31303,패배,탈리야,스마트섹시뷰티,0,3,3,9951,2,21,3,192,8.1,0,1,2
98,31303,패배,진,whisper snow,2,1,3,11851,2,10,7,232,9.8,0,1,2
99,31303,패배,탐 켄치,SKT T1 WoIf,2,3,2,4480,7,21,6,46,1.9,0,1,2
100,31304,승리,제이스,분당고 엄성현,5,1,3,9632,2,19,3,196,10.2,0,1,5
101,31304,승리,라이즈,덤벼보던가,12,2,5,16187,2,8,6,216,11.3,0,1,5
102,31304,승리,자르반 4세,XinyiQAQ,4,0,11,7112,6,12,6,87,4.5,0,1,5
