,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40436,패배,갱플랭크,피넛사냥개2,1,5,1,6979,1,9,1,163,7.2,0,0,0
1,40436,패배,카직스,XinyiQAQ,2,3,4,7268,7,11,6,115,5.1,0,0,0
2,40436,패배,탈리야,아테나찡,5,2,1,9613,3,20,5,190,8.5,0,0,0
3,40436,패배,바루스,Bvoy,1,3,1,6147,2,11,3,172,7.7,0,0,0
4,40436,패배,쉔,땅우양,0,4,4,3941,6,22,3,53,2.4,0,0,0
5,40436,승리,라이즈,Like Waves,3,2,0,9710,1,11,1,203,9.0,1,2,5
6,40436,승리,렝가,kenzhu9,6,2,6,11877,3,27,6,169,7.5,1,2,5
7,40436,승리,카타리나,find myself,5,2,2,10487,1,7,5,203,9.0,1,2,5
8,40436,승리,미스 포츈,그러면안돼요짜샤,2,1,6,13734,1,13,1,198,8.8,1,2,5
9,40436,승리,탐 켄치,YserAoA,1,2,9,2850,5,18,7,40,1.8,1,2,5
10,40437,패배,갱플랭크,피넛사냥개2,4,5,7,24816,0,14,1,276,9.5,0,0,4
11,40437,패배,카직스,땅우양,9,7,7,18443,1,19,6,182,6.3,0,0,4
12,40437,패배,코르키,Fotune,8,7,2,21069,1,12,3,263,9.1,0,0,4
13,40437,패배,미스 포츈,혼자가 편해졌어,3,9,8,16715,2,29,11,224,7.7,0,0,4
14,40437,패배,알리스타,Bvoy,2,3,13,5891,11,36,6,53,1.8,0,0,4
15,40437,승리,마오카이,IgNar,2,3,7,10253,2,12,5,181,6.2,1,2,8
16,40437,승리,자르반 4세,XinyiQAQ,7,4,18,19410,11,13,9,154,5.3,1,2,8
17,40437,승리,말자하,Heart,3,6,8,14303,1,15,5,290,10.0,1,2,8
18,40437,승리,드레이븐,kiyomia,15,7,6,35282,0,9,4,235,8.1,1,2,8
19,40437,승리,잔나,리인제이,4,6,21,12385,9,37,15,18,0.6,1,2,8
20,40438,패배,마오카이,우에하라 크롱,2,3,5,10802,1,10,0,155,6.8,0,0,2
21,40438,패배,카직스,땅우양,6,5,4,13252,1,15,8,110,4.8,0,0,2
22,40438,패배,르블랑,삼성갤럭시 Crown,2,5,3,11055,3,20,7,162,7.1,0,0,2
23,40438,패배,미스 포츈,Dingchenyu,2,7,1,9506,2,10,11,194,8.5,0,0,2
24,40438,패배,쉔,삼성갤럭시CoreJJ,2,4,5,6741,10,29,6,45,2.0,0,0,2
25,40438,승리,카밀,나는야 누구일까,3,4,5,10941,1,10,0,156,6.8,1,1,4
26,40438,승리,자르반 4세,원딜둥이,4,4,10,8682,6,31,1,114,5.0,1,1,4
27,40438,승리,아지르,IGS Dasher,8,2,7,16750,4,28,13,214,9.4,1,1,4
28,40438,승리,진,RRRuleRRR,7,4,8,15663,3,6,3,218,9.5,1,1,4
29,40438,승리,알리스타,천천히올라감,2,0,14,6819,6,23,10,51,2.2,1,1,4
30,40439,패배,쉔,땅우양,1,5,0,4537,0,8,1,99,5.0,0,0,1
31,40439,패배,헤카림,yizhiyu,3,4,1,4062,1,15,2,108,5.4,0,0,1
32,40439,패배,아지르,mide gui tou,1,5,3,7527,2,9,2,149,7.5,0,0,1
33,40439,패배,진,덤벼보던가,1,6,3,8474,1,9,3,187,9.4,0,0,1
34,40439,패배,오른,Lvmao,2,6,3,6252,2,14,6,45,2.3,0,0,1
35,40439,승리,나르,우에하라 크롱,7,0,3,12248,2,13,1,183,9.2,0,1,6
36,40439,승리,세주아니,DaYE,4,0,13,8320,4,27,3,100,5.0,0,1,6
37,40439,승리,말자하,마산가자,3,3,11,15140,3,8,2,148,7.4,0,1,6
38,40439,승리,칼리스타,쓰레기새기들,7,4,5,11676,2,7,0,173,8.7,0,1,6
39,40439,승리,알리스타,천천히올라감,5,2,10,5714,4,16,2,35,1.8,0,1,6
40,40440,승리,쉔,땅우양,4,3,17,19562,2,17,4,286,8.6,1,1,9
41,40440,승리,세주아니,DaYE,5,4,13,12437,8,31,14,164,5.0,1,1,9
42,40440,승리,카사딘,Mengqiuqiu,14,4,11,37219,4,18,2,272,8.2,1,1,9
43,40440,승리,진,쓰레기새기들,6,5,13,28853,3,14,6,284,8.6,1,1,9
44,40440,승리,타릭,천천히올라감,2,5,24,8616,6,35,7,89,2.7,1,1,9
45,40440,패배,잭스,h1rb,3,6,4,14438,4,15,2,257,7.8,0,0,6
