,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10710,승리,올라프,포차이니즈켄트윈,5,1,3,8921,3,7,3,139,7.3,0,1,5
1,10710,승리,니달리,나는야베이베이1,7,1,5,11288,4,23,7,130,6.8,0,1,5
2,10710,승리,말자하,1987 Plls,2,1,2,5444,5,8,7,149,7.8,0,1,5
3,10710,승리,드레이븐,JackeyLove,0,2,9,9930,1,7,1,168,8.8,0,1,5
4,10710,승리,쓰레쉬,로리쇼타조아욘,2,2,9,5786,2,16,8,24,1.3,0,1,5
5,10710,패배,케넨,담원 너구리,0,4,4,9449,5,12,2,150,7.9,0,0,0
6,10710,패배,세주아니,튀자튀자아,4,2,1,3896,3,15,6,94,4.9,0,0,0
7,10710,패배,탈론,이치방츠요이야츠,2,4,1,6115,2,15,3,150,7.9,0,0,0
8,10710,패배,미스 포츈,Avicii fans,1,3,3,10800,0,5,1,149,7.8,0,0,0
9,10710,패배,탐 켄치,꼬맹이전쟁,0,3,3,2066,5,14,4,32,1.7,0,0,0
10,10711,패배,카밀,로리쇼타조아욘,2,3,0,7184,0,8,2,150,7.0,0,0,0
11,10711,패배,리 신,Afreeca Kramer,1,4,2,3927,5,35,4,85,4.0,0,0,0
12,10711,패배,말자하,KDM PERT,1,2,0,4863,3,12,6,204,9.5,0,0,0
13,10711,패배,미스 포츈,JackeyLove,1,5,2,6846,0,6,3,161,7.5,0,0,0
14,10711,패배,제라스,진쟤승,1,6,2,8159,0,8,3,23,1.1,0,0,0
15,10711,승리,갱플랭크,Gazuaaaaaaa,4,1,10,14543,4,9,4,193,9.0,0,0,9
16,10711,승리,렝가,커닝시티 피그미,8,1,2,9582,3,19,8,153,7.1,0,0,9
17,10711,승리,오리아나,Afreeca Aiming,2,3,5,9875,0,8,2,199,9.3,0,0,9
18,10711,승리,진,구름꽃길만걷자,5,0,6,11628,3,8,1,158,7.4,0,0,9
19,10711,승리,알리스타,천천히올라감,1,1,12,5241,4,19,5,27,1.3,0,0,9
20,10712,승리,코르키,옷벗고춤추고싶다,15,6,9,34784,3,11,10,322,9.6,1,3,10
21,10712,승리,바루스,구름꽃길만걷자,4,4,11,19088,2,7,14,279,8.4,1,3,10
22,10712,승리,카밀,로리쇼타조아욘,11,4,11,21406,1,16,8,301,9.0,1,3,10
23,10712,승리,엘리스,마이엠브,6,5,9,18435,9,60,20,213,6.4,1,3,10
24,10712,승리,미스 포츈,YserAoA,3,4,12,19581,16,75,23,74,2.2,1,3,10
25,10712,패배,갱플랭크,Gazuaaaaaaa,2,11,10,23445,7,26,4,256,7.7,1,1,0
26,10712,패배,진,Misdate,4,9,5,12253,1,16,11,219,6.6,1,1,0
27,10712,패배,아지르,푸딩은푸딩해,6,5,4,17172,2,22,22,292,8.7,1,1,0
28,10712,패배,자르반 4세,Heart,7,7,13,15443,4,20,12,172,5.2,1,1,0
29,10712,패배,탐 켄치,A weak youth,4,7,12,6449,8,83,19,64,1.9,1,1,0
30,10713,패배,마오카이,Kingen,3,5,7,13871,0,8,5,98,4.7,0,0,0
31,10713,패배,헤카림,로리쇼타조아욘,6,5,5,9145,1,8,3,80,3.9,0,0,0
32,10713,패배,신드라,말고 계속 항복,1,6,2,6645,1,7,4,120,5.8,0,0,0
33,10713,패배,진,nekoneko1,3,4,3,12851,2,8,3,138,6.7,0,0,0
34,10713,패배,블리츠크랭크,Deft1,0,9,7,4755,6,20,7,24,1.2,0,0,0
35,10713,승리,일라오이,1987 Plls,4,2,4,18182,0,6,1,173,8.4,0,0,7
36,10713,승리,니달리,니달리버프좀해줘,10,2,9,16955,4,13,2,118,5.7,0,0,7
37,10713,승리,조이,PawN God,9,2,8,23079,4,18,0,122,5.9,0,0,7
38,10713,승리,애쉬,God보보,3,4,5,8497,2,17,2,164,7.9,0,0,7
39,10713,승리,사이온,MataMataMata,3,4,14,9224,4,24,2,33,1.6,0,0,7
40,10714,승리,카밀,로리쇼타조아욘,7,2,6,17385,0,8,0,173,8.1,0,1,6
41,10714,승리,엘리스,Jacen,2,2,8,5990,3,10,11,113,5.3,0,1,6
42,10714,승리,카사딘,republic123,10,2,4,17278,3,6,1,146,6.9,0,1,6
43,10714,승리,트위치,Creative Self,4,2,6,14440,2,10,8,173,8.1,0,1,6
44,10714,승리,소라카,최석배 사생팬,0,1,17,8869,1,15,1,3,0.1,0,1,6
45,10714,패배,쉔,rainbow321,0,2,5,7912,2,7,1,152,7.1,0,0,0
46,10714,패배,니달리,니달리버프좀해줘,4,6,5,6350,3,17,1,81,3.8,0,0,0
47,10714,패배,신드라,마산가자,1,3,3,8207,3,15,0,190,8.9,0,0,0
48,10714,패배,코그모,Atlen,4,5,3,11383,1,6,2,141,6.6,0,0,0
49,10714,패배,탐 켄치,12월27,0,7,4,5279,4,17,6,27,1.3,0,0,0
50,10715,패배,카밀,덤벼보던가,9,17,4,35562,4,42,6,273,6.7,2,2,6
51,10715,패배,헤카림,로리쇼타조아욘,11,4,6,22181,11,15,16,231,5.7,2,2,6
52,10715,패배,아지르,republic123,9,8,7,45116,1,16,14,368,9.1,2,2,6
53,10715,패배,바루스,어껭간만에찾아뵙,0,8,8,17743,2,13,10,340,8.4,2,2,6
54,10715,패배,제라스,MSC TRY,6,5,4,37331,19,61,11,126,3.1,2,2,6
55,10715,승리,갱플랭크,Afreeca Summit,8,10,8,46070,3,31,9,351,8.7,1,1,10
56,10715,승리,엘리스,9346,12,7,5,26638,2,29,12,186,4.6,1,1,10
57,10715,승리,탈리야,kt Ucal,11,9,8,33188,5,39,3,384,9.5,1,1,10
58,10715,승리,미스 포츈,Atlen,8,8,15,34232,2,13,9,329,8.1,1,1,10
59,10715,승리,브라움,atlenismydaddy,3,1,25,8855,8,44,19,111,2.7,1,1,10
60,10716,승리,카밀,로리쇼타조아욘,2,4,7,14312,0,12,5,252,8.8,1,1,6
61,10716,승리,카직스,cbzOvO,9,4,8,17711,3,23,9,158,5.5,1,1,6
62,10716,승리,모르가나,MSC TRY,7,1,7,19501,1,13,9,262,9.2,1,1,6
63,10716,승리,이즈리얼,BtC Hollow,8,4,7,19940,1,12,8,245,8.6,1,1,6
64,10716,승리,카르마,APK Rainbow,2,3,19,5544,13,34,11,17,0.6,1,1,6
65,10716,패배,일라오이,xaxaxaxaxa,3,4,4,21338,1,19,2,304,10.6,0,2,4
66,10716,패배,엘리스,XinyiQAQ,2,7,4,9523,8,11,11,125,4.4,0,2,4
67,10716,패배,제드,KDM PERT,6,6,1,16659,5,30,8,216,7.5,0,2,4
68,10716,패배,미스 포츈,땅우양,1,6,5,10503,2,9,6,269,9.4,0,2,4
69,10716,패배,제라스,WangChen,4,5,3,10866,13,29,6,22,0.8,0,2,4
70,10717,패배,나르,WENJUNXI,0,6,3,4724,2,7,5,80,5.2,0,0,0
71,10717,패배,헤카림,로리쇼타조아욘,3,2,1,4874,2,8,3,70,4.6,0,0,0
72,10717,패배,라이즈,세메론,1,2,0,2393,1,7,2,111,7.3,0,0,0
73,10717,패배,바루스,STITCH1,0,3,0,5575,0,7,4,103,6.8,0,0,0
74,10717,패배,알리스타,12월27,0,5,0,2415,2,13,2,18,1.2,0,0,0
75,10717,승리,제이스,Afreeca Summit,5,3,4,11086,4,15,3,100,6.6,0,1,4
76,10717,승리,자르반 4세,집중의문제다,7,0,2,5330,2,17,5,92,6.0,0,1,4
77,10717,승리,오리아나,LFT MID,2,0,6,9276,2,7,0,148,9.7,0,1,4
78,10717,승리,미스 포츈,Lucete,2,1,2,6457,2,7,2,119,7.8,0,1,4
79,10717,승리,레오나,Avon1,2,0,7,3682,5,25,8,26,1.7,0,1,4
80,10718,승리,카밀,Gon123,12,4,8,30379,1,37,3,317,8.4,2,3,10
81,10718,승리,헤카림,로리쇼타조아욘,17,8,15,30436,6,10,9,226,6.0,2,3,10
82,10718,승리,아지르,집중의문제다,6,9,15,32110,5,18,12,300,7.9,2,3,10
83,10718,승리,미스 포츈,선비모드,7,8,14,38013,4,14,14,320,8.5,2,3,10
84,10718,승리,탐 켄치,호경모드,3,5,21,11481,19,53,14,77,2.0,2,3,10
85,10718,패배,케넨,커피물조절장인,6,9,11,33123,3,18,9,284,7.5,1,0,5
86,10718,패배,자르반 4세,피넛사냥개1,9,12,16,24005,6,27,11,170,4.5,1,0,5
87,10718,패배,르블랑,나라카일,7,9,10,26180,2,25,4,237,6.3,1,0,5
88,10718,패배,진,fndasjkfkqw,10,7,14,47456,1,25,8,328,8.7,1,0,5
89,10718,패배,알리스타,1 Peak,2,8,18,11827,7,33,11,68,1.8,1,0,5
90,10719,패배,오른,리인제이,1,5,2,6396,1,7,2,83,5.3,0,0,0
91,10719,패배,헤카림,로리쇼타조아욘,4,7,1,4739,2,8,1,38,2.4,0,0,0
92,10719,패배,라이즈,R4phael,4,4,2,4258,1,6,3,99,6.3,0,0,0
93,10719,패배,바루스,Heart,2,7,7,8798,1,7,0,92,5.8,0,0,0
94,10719,패배,제라스,supbest,0,7,7,6688,5,14,7,22,1.4,0,0,0
95,10719,승리,나르,ROX Hoon,4,0,6,10841,1,7,0,136,8.6,0,0,5
96,10719,승리,렝가,나는야베이베이1,9,3,6,10736,2,8,2,72,4.6,0,0,5
97,10719,승리,베이가,이치방츠요이야츠,4,2,4,6506,3,12,1,106,6.7,0,0,5
98,10719,승리,시비르,양충하,5,1,10,7620,2,10,2,128,8.1,0,0,5
99,10719,승리,조이,DWG BeryL,8,5,6,8570,6,16,7,7,0.4,0,0,5
100,10720,승리,신지드,baramgaebi,6,4,16,14000,3,13,3,215,7.6,1,1,7
101,10720,승리,헤카림,로리쇼타조아욘,10,2,10,20802,4,9,4,186,6.6,1,1,7
102,10720,승리,카사딘,TeachersWu,12,4,6,18102,6,15,5,202,7.1,1,1,7
