,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30160,승리,나르,카페베네설탕도둑,7,3,10,15726,0,13,6,199,6.7,1,2,9
1,30160,승리,카직스,chijixuanshou,6,3,14,19665,3,16,8,189,6.3,1,2,9
2,30160,승리,베이가,ZhanQiHuaYm,7,4,7,19033,10,14,24,257,8.6,1,2,9
3,30160,승리,바루스,멘탈 실력 운,10,1,9,28328,1,12,11,237,8.0,1,2,9
4,30160,승리,알리스타,루시퍼메이데이,0,4,17,7983,9,40,20,59,2.0,1,2,9
5,30160,패배,케넨,Delicious Fish,5,7,3,15690,6,32,2,268,9.0,0,1,3
6,30160,패배,세주아니,점점나의마음이끌,4,7,8,11517,9,49,12,148,5.0,0,1,3
7,30160,패배,조이,FeelsAwesomeMan,4,4,3,19084,3,23,2,219,7.3,0,1,3
8,30160,패배,미스 포츈,6학년4반장용준,2,4,3,28070,4,13,8,293,9.8,0,1,3
9,30160,패배,블리츠크랭크,삼성갤럭시 Crown,0,8,6,6234,10,31,10,31,1.0,0,1,3
10,30161,패배,갱플랭크,귤수호자 만기,5,6,7,21013,3,19,5,253,8.9,1,0,1
11,30161,패배,니달리,So1o,10,8,6,15363,5,22,10,165,5.8,1,0,1
12,30161,패배,탈리야,푸딩은푸딩해,6,5,6,14793,3,22,5,286,10.1,1,0,1
13,30161,패배,미스 포츈,루시퍼메이데이,1,5,9,17903,2,13,5,187,6.6,1,0,1
14,30161,패배,쓰레쉬,A weak youth,0,7,10,5259,6,49,11,28,1.0,1,0,1
15,30161,승리,카밀,Heiz4,6,10,8,18861,0,11,13,205,7.2,1,3,10
16,30161,승리,카직스,Afreeca M0wgli,13,1,6,19423,9,21,10,154,5.4,1,3,10
17,30161,승리,조이,피넛사냥개1,3,4,15,27584,4,30,6,216,7.6,1,3,10
18,30161,승리,진,스마트섹시뷰티,7,2,9,18388,3,14,7,197,7.0,1,3,10
19,30161,승리,알리스타,토마토페이스트,2,5,14,7238,9,39,12,45,1.6,1,3,10
20,30162,승리,오른,Kingen,9,4,24,47418,1,24,8,310,6.9,3,3,11
21,30162,승리,카직스,WENJUNXI,14,5,13,38610,9,43,29,243,5.4,3,3,11
22,30162,승리,카사딘,입이더러운사람,10,9,12,37699,2,16,22,327,7.3,3,3,11
23,30162,승리,진,튀자튀자아,9,10,19,53364,4,14,17,348,7.8,3,3,11
24,30162,승리,브라움,루시퍼메이데이,3,4,32,20596,17,76,14,76,1.7,3,3,11
25,30162,패배,자르반 4세,republic123,4,9,18,28037,3,8,6,345,7.7,0,2,4
26,30162,패배,렝가,SKT T1 WoIf,5,10,7,27857,3,37,23,213,4.7,0,2,4
27,30162,패배,라이즈,FW Maple,8,10,15,43249,9,52,5,325,7.2,0,2,4
28,30162,패배,트리스타나,SKT T1 Bang,9,8,5,41347,1,40,18,486,10.8,0,2,4
29,30162,패배,알리스타,Do LaoN,5,8,20,20885,17,66,21,79,1.8,0,2,4
30,30163,승리,블라디미르,kfo,7,5,6,22364,1,9,0,198,8.4,0,1,8
31,30163,승리,니달리,DS XiaoPeng,14,4,12,21719,3,19,8,155,6.6,0,1,8
32,30163,승리,트위스티드 페이트,상어가족,2,4,12,11526,1,8,3,174,7.4,0,1,8
33,30163,승리,트리스타나,Pilott,9,2,13,23890,0,8,8,202,8.6,0,1,8
34,30163,승리,알리스타,루시퍼메이데이,0,6,13,5725,8,28,9,30,1.3,0,1,8
35,30163,패배,오른,Possible tts,4,5,9,13719,1,10,1,158,6.7,1,0,0
36,30163,패배,자르반 4세,SKT T1 WoIf,6,6,7,10668,3,18,4,119,5.0,1,0,0
37,30163,패배,탈리야,Lucete,2,6,7,19325,6,17,5,178,7.5,1,0,0
38,30163,패배,자야,SnakeLight,7,8,7,17801,2,8,2,202,8.6,1,0,0
39,30163,패배,그라가스,일견무시도성빈,2,7,10,11551,5,22,6,39,1.7,1,0,0
40,30164,승리,케넨,우르프rider,6,0,2,10515,1,10,1,178,7.3,1,1,9
41,30164,승리,카직스,일견무시도성빈,7,0,4,8813,3,20,6,121,4.9,1,1,9
42,30164,승리,탈리야,Lucete,5,2,12,18814,4,22,4,237,9.7,1,1,9
43,30164,승리,바루스,Possible tts,3,2,12,16002,1,11,7,184,7.5,1,1,9
44,30164,승리,알리스타,루시퍼메이데이,3,6,11,4770,10,31,11,49,2.0,1,1,9
45,30164,패배,올라프,Super Secret,0,2,2,7078,3,8,7,172,7.0,0,1,3
46,30164,패배,렉사이,Wilder,1,6,1,3081,7,22,8,132,5.4,0,1,3
47,30164,패배,말자하,APK Rainbow,3,5,1,14598,6,12,8,228,9.3,0,1,3
48,30164,패배,칼리스타,천점못찍는벌레,3,7,2,8847,1,6,3,162,6.6,0,1,3
49,30164,패배,탐 켄치,SKT T1 WoIf,1,4,6,6436,9,20,9,47,1.9,0,1,3
50,30165,승리,나르,Kingen,3,0,4,7977,1,5,2,146,9.6,0,1,4
