,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40873,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
1,40873,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
2,40873,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
3,40873,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
4,40873,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
5,40873,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
6,40873,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
7,40873,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
8,40873,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
9,40873,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
10,40874,패배,카밀,갱만가드림,2,3,1,6828,0,10,3,162,6.8,0,0,1
11,40874,패배,세주아니,마이엠브,3,0,7,6230,6,45,8,99,4.2,0,0,1
12,40874,패배,라이즈,승 로,3,3,4,10436,1,11,2,180,7.6,0,0,1
13,40874,패배,진,Greed A Pride,2,2,4,7001,4,11,8,214,9.0,0,0,1
14,40874,패배,갈리오,IgNar,0,4,7,3207,7,31,9,45,1.9,0,0,1
15,40874,승리,나르,이도류,4,0,1,14093,3,24,4,198,8.4,0,1,6
16,40874,승리,아이번,kenzhu9,1,1,8,3900,2,22,9,138,5.8,0,1,6
17,40874,승리,말자하,chirchri,4,5,2,7396,3,12,5,160,6.8,0,1,6
18,40874,승리,이즈리얼,아 백,2,1,7,23870,2,12,9,238,10.0,0,1,6
19,40874,승리,탐 켄치,MataMataMata,1,3,3,3671,6,27,4,47,2.0,0,1,6
20,40875,패배,나르,Co1dplay,4,3,3,12332,3,25,4,222,8.5,0,1,4
21,40875,패배,엘리스,마이엠브,7,4,4,14315,10,29,6,136,5.2,0,1,4
22,40875,패배,조이,PawN God,2,7,4,13032,3,24,4,209,8.0,0,1,4
23,40875,패배,미스 포츈,GALA,3,4,2,13559,2,19,3,190,7.3,0,1,4
24,40875,패배,알리스타,강고릴,0,2,5,2949,9,31,7,37,1.4,0,1,4
25,40875,승리,카밀,TnTeddy,1,7,5,12730,2,13,3,213,8.2,0,2,6
