,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40516,패배,마오카이,호주 AD,1,6,2,6012,0,2,0,77,4.9,0,0,0
1,40516,패배,쉬바나,FeelsPepsiMan,0,1,1,1894,1,5,5,101,6.5,0,0,0
2,40516,패배,블라디미르,많이 보고 싶어요,1,2,1,3578,0,5,2,130,8.4,0,0,0
3,40516,패배,칼리스타,아트가 앗뜨거,0,4,0,2733,2,7,2,113,7.3,0,0,0
4,40516,패배,쓰레쉬,Lvmao,2,5,2,2548,2,11,1,16,1.0,0,0,0
5,40516,승리,제이스,Afreeca Summit,1,3,5,11121,3,16,2,128,8.2,0,0,3
6,40516,승리,니달리,종학윙,8,0,5,9437,2,5,1,120,7.7,0,0,3
7,40516,승리,탈리야,IIs AP SuB,5,1,3,10446,1,11,0,140,9.0,0,0,3
8,40516,승리,이즈리얼,먹는건즐거워,3,0,5,9629,1,8,0,135,8.7,0,0,3
9,40516,승리,브라움,아니 좋은 사람,1,0,7,1919,2,13,2,33,2.1,0,0,3
10,40517,패배,잭스,LieKongPoi,4,12,7,24651,2,15,5,318,8.4,2,1,10
11,40517,패배,엘리스,Only caozuo,9,5,11,21751,8,36,13,177,4.7,2,1,10
12,40517,패배,블라디미르,많이 보고 싶어요,11,4,8,37172,1,18,6,341,9.0,2,1,10
13,40517,패배,베인,Afreeca Aiming,13,7,5,30486,3,31,11,348,9.2,2,1,10
14,40517,패배,탐 켄치,12월27,0,8,21,10094,9,41,4,53,1.4,2,1,10
15,40517,승리,카밀,Heiz4,13,10,9,34502,0,16,5,254,6.7,0,4,9
16,40517,승리,쉬바나,Alielie,6,7,10,24110,1,15,13,241,6.4,0,4,9
17,40517,승리,탈리야,chirchri,8,6,13,44197,3,9,6,304,8.1,0,4,9
18,40517,승리,이즈리얼,튀자튀자아,7,9,12,39535,2,18,11,301,8.0,0,4,9
19,40517,승리,모르가나,Fission,2,5,19,15962,14,56,16,35,0.9,0,4,9
20,40518,패배,블라디미르,많이 보고 싶어요,10,7,8,34550,0,15,5,276,8.4,0,2,6
21,40518,패배,자르반 4세,Only caozuo,5,6,13,12503,7,26,7,127,3.9,0,2,6
22,40518,패배,카사딘,chirchri,2,5,6,16134,3,9,3,256,7.8,0,2,6
23,40518,패배,바루스,T 1 a n,6,3,8,32002,2,10,3,295,9.0,0,2,6
24,40518,패배,탐 켄치,12월27,4,5,9,7724,9,44,10,60,1.8,0,2,6
25,40518,승리,제이스,Heiz4,7,8,10,29437,0,14,8,247,7.5,2,2,9
26,40518,승리,그레이브즈,Alielie,6,3,8,21288,4,9,11,237,7.2,2,2,9
27,40518,승리,아지르,11 14 9 7 8 20,7,7,7,39431,5,19,5,331,10.1,2,2,9
28,40518,승리,칼리스타,LPL noob ad QAQ,5,5,8,19439,0,10,6,223,6.8,2,2,9
29,40518,승리,알리스타,my head,1,5,14,10748,7,28,6,59,1.8,2,2,9
30,40519,패배,마오카이,우에하라 크롱,2,5,8,19182,2,13,2,159,5.6,0,0,2
31,40519,패배,트리스타나,SmartPilot,2,8,5,14384,3,12,2,208,7.3,0,0,2
32,40519,패배,블라디미르,많이 보고 싶어요,6,6,5,27343,2,14,1,236,8.3,0,0,2
33,40519,패배,베인,Rain1ng,5,8,2,24812,2,10,3,170,6.0,0,0,2
34,40519,패배,제라스,꾸자니 똑땅해,2,12,5,13145,3,14,3,32,1.1,0,0,2
35,40519,승리,사이온,Shiroma Anna,2,4,9,19316,2,13,3,200,7.0,1,1,8
36,40519,승리,세주아니,욘 드,7,4,16,16784,4,9,4,191,6.7,1,1,8
37,40519,승리,르블랑,박효신사생팬,16,2,8,29976,2,6,3,174,6.1,1,1,8
38,40519,승리,진,STITCH1,9,3,11,26201,3,10,4,224,7.8,1,1,8
39,40519,승리,알리스타,Mosr,5,4,25,11130,5,22,6,46,1.6,1,1,8
40,40520,패배,뽀삐,kt Ucal,3,3,5,10774,1,14,1,165,7.8,0,1,1
41,40520,패배,리 신,9346,4,5,5,6018,2,14,3,78,3.7,0,1,1
42,40520,패배,블라디미르,많이 보고 싶어요,2,3,3,15351,1,9,1,171,8.0,0,1,1
43,40520,패배,진,V1cissitvsdes,2,10,2,8782,0,8,1,99,4.7,0,1,1
44,40520,패배,제라스,75387,3,8,7,14873,2,9,5,42,2.0,0,1,1
45,40520,승리,신지드,She Jinping,0,2,2,5525,1,9,3,187,8.8,1,1,6
46,40520,승리,자르반 4세,삼성갤럭시 하루,7,4,9,9423,4,27,4,102,4.8,1,1,6
47,40520,승리,트위스티드 페이트,상어가족,10,1,4,15337,2,10,0,167,7.9,1,1,6
48,40520,승리,이즈리얼,작전동 노란머리,10,4,12,23923,3,8,4,157,7.4,1,1,6
49,40520,승리,오른,박투신,2,3,18,10183,8,22,3,57,2.7,1,1,6
50,40521,승리,노틸러스,H Dean,2,1,9,8050,3,11,0,176,8.0,1,2,3
51,40521,승리,카직스,마이엠브,6,3,5,9923,2,17,4,162,7.3,1,2,3
52,40521,승리,블라디미르,많이 보고 싶어요,5,1,4,9307,2,10,6,202,9.1,1,2,3
53,40521,승리,트리스타나,Please find it,7,3,6,13787,1,8,1,176,8.0,1,2,3
54,40521,승리,브라움,Kerla,0,0,13,4776,5,26,9,36,1.6,1,2,3
55,40521,패배,올라프,Super Secret,4,2,2,9828,1,6,5,194,8.8,0,0,1
56,40521,패배,자르반 4세,F0y,2,5,2,6034,3,23,8,97,4.4,0,0,1
57,40521,패배,말자하,LFT MID,0,4,2,11938,2,7,2,216,9.8,0,0,1
58,40521,패배,미스 포츈,삶이힘든사람,2,5,3,9257,3,10,1,176,8.0,0,0,1
59,40521,패배,알리스타,진쟤승,0,4,5,6030,3,17,3,38,1.7,0,0,1
60,40522,패배,블라디미르,많이 보고 싶어요,1,9,6,13626,3,13,3,221,6.5,0,2,4
61,40522,패배,렉사이,F0y,8,3,5,12887,9,27,10,176,5.2,0,2,4
62,40522,패배,루시안,Tank KK,7,4,4,18651,2,24,9,335,9.8,0,2,4
63,40522,패배,트리스타나,fndasjkfkqw,5,4,2,15712,1,21,7,334,9.8,0,2,4
64,40522,패배,소라카,쪼렙이다말로하자,0,8,9,5650,7,43,7,21,0.6,0,2,4
65,40522,승리,제이스,find myself,11,6,7,34913,3,10,6,227,6.7,2,1,10
66,40522,승리,자르반 4세,정글노바,3,5,17,16425,14,17,11,222,6.5,2,1,10
67,40522,승리,말자하,LFT MID,3,5,8,18238,5,11,2,275,8.1,2,1,10
68,40522,승리,진,Dingchenyu,5,2,12,23255,3,16,16,297,8.7,2,1,10
69,40522,승리,제라스,검은머리사나이,6,3,5,21773,6,41,23,28,0.8,2,1,10
70,40523,승리,잭스,DWG Nuguri,4,7,6,16997,3,41,4,338,8.6,1,3,11
71,40523,승리,렝가,XinyiQAQ,8,9,12,25557,10,13,12,234,5.9,1,3,11
72,40523,승리,블라디미르,많이 보고 싶어요,5,10,10,28787,3,12,9,260,6.6,1,3,11
73,40523,승리,바루스,아이러니,21,3,11,42323,2,7,6,347,8.8,1,3,11
74,40523,승리,브라움,진쟤승,2,6,22,11501,11,55,7,63,1.6,1,3,11
75,40523,패배,오른,커피물조절장인,11,6,8,21867,0,16,7,290,7.3,1,1,3
76,40523,패배,리 신,PuncHh,7,7,12,13427,9,48,13,153,3.9,1,1,3
77,40523,패배,아지르,마산가자,6,10,8,36224,7,19,6,289,7.3,1,1,3
78,40523,패배,애쉬,튀자튀자아,5,9,15,32086,3,12,12,306,7.7,1,1,3
79,40523,패배,제라스,푸딩은푸딩해,6,8,17,34492,3,10,6,80,2.0,1,1,3
80,40524,패배,잭스,혼자혼자,6,8,0,16711,0,9,3,186,7.3,0,0,2
81,40524,패배,카직스,많이 보고 싶어요,5,10,2,8927,2,18,4,94,3.7,0,0,2
82,40524,패배,탈리야,DAN Ggoong,4,7,5,20043,2,11,0,182,7.1,0,0,2
83,40524,패배,미스 포츈,아이러니,5,9,4,14511,5,8,1,195,7.6,0,0,2
84,40524,패배,카르마,Kerla,0,10,7,6516,6,27,6,13,0.5,0,0,2
85,40524,승리,오른,커피물조절장인,5,2,16,12916,3,12,0,198,7.8,1,2,7
86,40524,승리,자르반 4세,XinyiQAQ,14,1,18,20355,6,10,6,167,6.5,1,2,7
87,40524,승리,조이,마산가자,11,5,6,25020,5,15,2,156,6.1,1,2,7
88,40524,승리,트리스타나,75387,8,7,10,15009,0,9,5,173,6.8,1,2,7
89,40524,승리,블리츠크랭크,진쟤승,6,5,14,8877,6,26,5,21,0.8,1,2,7
90,40525,승리,블라디미르,많이 보고 싶어요,9,0,6,16514,2,12,2,217,8.8,1,2,10
91,40525,승리,자르반 4세,yizhiyu,5,6,14,13814,2,18,7,109,4.4,1,2,10
92,40525,승리,라이즈,11 14 9 7 8 20,3,3,12,14045,4,7,7,204,8.2,1,2,10
93,40525,승리,자야,아이러니,10,0,3,16676,3,9,4,245,9.9,1,2,10
94,40525,승리,쓰레쉬,R4phael,0,3,15,7457,5,22,7,34,1.4,1,2,10
95,40525,패배,제이스,Possible tts,1,5,2,13355,1,27,7,217,8.8,0,0,3
96,40525,패배,신 짜오,진쟤승,7,9,5,11718,2,10,1,98,4.0,0,0,3
97,40525,패배,조이,마산가자,3,7,4,23739,4,11,6,153,6.2,0,0,3
98,40525,패배,트리스타나,whisper snow,0,2,4,8671,1,9,2,210,8.5,0,0,3
99,40525,패배,브라움,SKT T1 Effort,1,4,5,6337,10,30,5,39,1.6,0,0,3
100,40526,패배,오른,혼자혼자,0,2,1,7732,0,7,0,155,8.0,0,0,1
101,40526,패배,렝가,일견무시도성빈,1,6,0,5906,3,13,0,85,4.4,0,0,1
102,40526,패배,블라디미르,많이 보고 싶어요,3,4,1,10649,3,10,0,155,8.0,0,0,1
103,40526,패배,트리스타나,9346,1,6,2,4723,0,5,3,126,6.5,0,0,1
104,40526,패배,카르마,SKT T1 Effort,1,1,3,8231,7,16,4,26,1.3,0,0,1
105,40526,승리,신지드,She Jinping,1,2,5,8512,1,9,2,138,7.2,0,2,5
106,40526,승리,쉬바나,yizhiyu,3,2,6,6576,2,7,3,137,7.1,0,2,5
107,40526,승리,르블랑,11 14 9 7 8 20,9,1,1,22446,3,10,2,169,8.8,0,2,5
108,40526,승리,미스 포츈,아이러니,5,1,6,13710,2,6,7,180,9.3,0,2,5
109,40526,승리,브라움,진쟤승,1,0,7,3660,7,22,4,33,1.7,0,2,5
110,40527,승리,블라디미르,많이 보고 싶어요,10,1,7,33694,2,17,7,291,8.7,1,1,9
111,40527,승리,세주아니,스마트섹시뷰티,0,2,20,12541,6,60,9,156,4.7,1,1,9
112,40527,승리,루시안,FeelsAwesomeMan,9,5,8,33403,6,33,18,302,9.0,1,1,9
113,40527,승리,트리스타나,xigua ZW,10,7,9,17304,1,11,12,221,6.6,1,1,9
114,40527,승리,코그모,Kerla,3,8,9,16266,5,17,6,74,2.2,1,1,9
115,40527,패배,카사딘,말고 계속 항복,6,8,4,19043,0,10,4,231,6.9,0,1,2
116,40527,패배,카직스,Lz Tv SuShi,8,8,3,20571,5,10,19,162,4.8,0,1,2
117,40527,패배,마오카이,Shiroma Anna,3,4,7,22397,5,19,4,244,7.3,0,1,2
118,40527,패배,시비르,VIP 민형,3,6,7,27725,3,27,12,317,9.5,0,1,2
119,40527,패배,룰루,FeelsLovelyMan,3,6,12,10527,16,49,21,38,1.1,0,1,2
120,40528,승리,쉔,격세지감,5,2,6,9898,3,13,1,134,7.2,0,1,9
121,40528,승리,카직스,MeteorOvO,6,3,5,7428,3,20,3,93,5.0,0,1,9
122,40528,승리,블라디미르,많이 보고 싶어요,6,2,6,16424,2,8,1,160,8.6,0,1,9
123,40528,승리,트리스타나,영광 스런 년,4,3,5,10371,1,7,1,151,8.1,0,1,9
124,40528,승리,브라움,구직자 zzus,0,2,11,3127,2,10,0,36,1.9,0,1,9
125,40528,패배,나르,Cepteddddddddddd,2,5,3,6351,0,7,3,125,6.7,0,0,0
126,40528,패배,렝가,Boldness,2,5,3,5034,3,9,6,96,5.2,0,0,0
