,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30320,패배,블라디미르,빅파이초코파이,4,7,4,18994,3,17,9,235,7.7,0,1,2
1,30320,패배,렝가,chorongie,10,6,4,20871,9,27,11,169,5.5,0,1,2
2,30320,패배,탈리야,푸딩은푸딩해,3,3,4,17986,2,14,5,312,10.2,0,1,2
3,30320,패배,미스 포츈,먹는건즐거워,6,10,3,12216,7,32,19,249,8.2,0,1,2
4,30320,패배,마오카이,진쟤승,0,5,9,10179,5,36,12,67,2.2,0,1,2
5,30320,승리,티모,춘봉박,7,5,6,30515,3,9,8,248,8.1,1,2,8
6,30320,승리,쉬바나,PeanuToT,8,4,6,14517,9,13,16,214,7.0,1,2,8
7,30320,승리,갱플랭크,뒷텔와드점,4,6,11,13768,2,16,6,276,9.0,1,2,8
8,30320,승리,이즈리얼,담원 얼라이브,8,4,15,24943,2,14,17,296,9.7,1,2,8
9,30320,승리,세주아니,MataMataMata,4,5,16,10383,15,75,20,78,2.6,1,2,8
10,30321,패배,오른,미율치에오,2,7,1,15544,2,11,0,184,7.6,0,1,4
11,30321,패배,세주아니,좋은날,1,4,9,7523,7,34,6,112,4.6,0,1,4
12,30321,패배,라이즈,Jin air Yaharong,3,3,3,11338,1,22,2,182,7.5,0,1,4
13,30321,패배,진,먹는건즐거워,7,3,5,12877,4,9,6,174,7.2,0,1,4
14,30321,패배,알리스타,Lucete,2,4,8,5077,7,28,6,23,0.9,0,1,4
15,30321,승리,마오카이,Sun이라는 별,4,2,10,13413,0,8,3,139,5.7,1,1,8
16,30321,승리,케인,Diamondprox1,9,2,11,22029,7,18,6,128,5.3,1,1,8
17,30321,승리,아지르,푸딩은푸딩해,6,2,6,12485,4,10,9,218,9.0,1,1,8
18,30321,승리,바루스,김메피,2,6,6,12601,2,11,7,156,6.4,1,1,8
19,30321,승리,카르마,토마토페이스트,0,3,9,7138,6,27,6,22,0.9,1,1,8
20,30322,패배,케넨,JAG S0hwan,4,6,9,17494,6,17,2,185,6.2,0,1,0
21,30322,패배,렝가,죠토마킹,11,11,4,17431,1,4,7,122,4.1,0,1,0
22,30322,패배,카사딘,Lucete,2,8,7,13131,3,15,4,169,5.7,0,1,0
23,30322,패배,루시안,먹는건즐거워,7,8,6,17316,3,10,10,243,8.2,0,1,0
