,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30100,승리,제이스,멘탈과실력을겸비,9,3,4,19883,2,21,2,206,10.0,0,0,5
1,30100,승리,카직스,EEW detpeC,11,6,6,15476,3,14,3,112,5.4,0,0,5
2,30100,승리,카타리나,사실지고싶지않음,8,2,2,9598,2,16,1,172,8.3,0,0,5
3,30100,승리,케이틀린,Hades9,8,4,6,11569,3,11,6,177,8.6,0,0,5
4,30100,승리,룰루,FVV BETTY,1,2,17,6713,5,23,4,8,0.4,0,0,5
5,30100,패배,신지드,류혜원,2,6,0,6758,1,9,2,129,6.2,0,0,0
6,30100,패배,리 신,Lz Tv SuShi,3,9,8,6605,1,22,4,58,2.8,0,0,0
7,30100,패배,아지르,꾸자니 똑땅해,4,6,6,11282,2,10,8,169,8.2,0,0,0
8,30100,패배,바루스,LPL noob ad QAQ,5,8,3,9417,1,7,0,99,4.8,0,0,0
9,30100,패배,제라스,강고릴,3,8,6,9915,2,16,4,8,0.4,0,0,0
10,30101,승리,럼블,멘탈과실력을겸비,7,5,13,31033,2,21,7,303,7.6,1,3,10
11,30101,승리,카직스,PeanuToT,14,8,6,31784,8,14,17,191,4.8,1,3,10
12,30101,승리,말자하,킬안주면꼬라박음,9,8,10,30750,3,16,5,362,9.1,1,3,10
13,30101,승리,이즈리얼,암고잉빽투더스탙,8,3,17,39366,3,27,8,366,9.2,1,3,10
14,30101,승리,모르가나,구직자 쭈스,1,11,22,14188,17,56,24,29,0.7,1,3,10
15,30101,패배,케넨,커피물조절장인,8,8,5,27961,1,18,2,341,8.6,1,1,5
16,30101,패배,자르반 4세,Only caozuo,6,6,14,12407,9,40,16,145,3.7,1,1,5
17,30101,패배,오리아나,LFT MID,5,6,11,25083,2,6,14,336,8.5,1,1,5
18,30101,패배,루시안,꾸자니 똑땅해,14,12,4,33400,3,15,15,327,8.2,1,1,5
19,30101,패배,레오나,강고릴,2,8,14,6524,21,67,8,53,1.3,1,1,5
20,30102,패배,럼블,멘탈과실력을겸비,2,7,5,22274,1,12,4,211,7.0,0,0,0
21,30102,패배,헤카림,BadeMan,11,9,3,18681,4,19,7,114,3.8,0,0,0
22,30102,패배,탈리야,Siste aeterno,4,14,7,17980,2,12,4,194,6.5,0,0,0
23,30102,패배,바루스,학식먹을나이,4,9,7,18352,2,13,8,240,8.0,0,0,0
24,30102,패배,카르마,커소리어스나,6,8,10,15788,7,54,11,30,1.0,0,0,0
25,30102,승리,사이온,MVP ADD,7,2,15,18190,3,33,6,214,7.1,1,1,10
26,30102,승리,렉사이,EEW detpeC,17,6,10,22712,3,4,12,178,5.9,1,1,10
27,30102,승리,아지르,삼성갤럭시 Crown,9,8,10,24101,7,34,6,246,8.2,1,1,10
28,30102,승리,진,FVV BETTY,6,6,16,18606,3,11,4,173,5.8,1,1,10
29,30102,승리,제라스,미율치에오,8,5,13,31967,3,12,7,70,2.3,1,1,10
30,30103,승리,럼블,멘탈과실력을겸비,8,1,5,14768,2,10,10,179,8.9,0,2,7
31,30103,승리,엘리스,쁘띠예리사랑해요,2,1,4,5634,1,19,8,134,6.7,0,2,7
32,30103,승리,제드,ADEPT1,9,0,6,13590,3,7,10,164,8.1,0,2,7
33,30103,승리,바루스,DAN Ggoong,3,0,8,14946,0,6,5,173,8.6,0,2,7
34,30103,승리,알리스타,WangChen,2,3,7,3175,6,19,6,28,1.4,0,2,7
35,30103,패배,제이스,Lucete,2,4,2,10490,1,19,4,132,6.6,0,0,1
36,30103,패배,렉사이,MVP Beyond,2,5,1,3793,3,29,5,98,4.9,0,0,1
37,30103,패배,조이,Nari,0,6,1,5494,3,4,3,120,6.0,0,0,1
38,30103,패배,자야,미율치에오,0,6,3,7504,1,13,2,143,7.1,0,0,1
39,30103,패배,라칸,은종섭,1,3,3,2802,5,25,4,16,0.8,0,0,1
40,30104,패배,카밀,멘탈과실력을겸비,3,6,2,5141,1,9,3,102,4.9,0,0,0
41,30104,패배,잭스,코w코,2,4,1,4811,2,19,3,99,4.8,0,0,0
42,30104,패배,아지르,미율치에오,1,6,2,7146,2,10,0,135,6.5,0,0,0
43,30104,패배,애쉬,학식먹을나이,2,6,3,6813,0,7,4,166,8.0,0,0,0
44,30104,패배,모르가나,GuGer,2,5,4,8534,4,18,5,7,0.3,0,0,0
45,30104,승리,제이스,MVP ADD,2,2,6,11848,2,17,1,156,7.5,0,1,6
46,30104,승리,엘리스,Siste aeterno,6,3,8,9282,3,13,2,128,6.2,0,1,6
47,30104,승리,탈리야,DAN Ggoong,4,2,14,13313,1,10,3,170,8.2,0,1,6
48,30104,승리,이즈리얼,Excal1bur1,13,1,2,15939,1,10,5,173,8.4,0,1,6
49,30104,승리,제라스,은종섭,2,2,12,7869,3,17,7,20,1.0,0,1,6
50,30105,승리,오른,세메론,7,3,7,11685,2,9,2,174,7.3,1,1,9
51,30105,승리,세주아니,이 차가 식기전에,7,5,11,10585,4,8,1,126,5.3,1,1,9
52,30105,승리,제이스,멘탈과실력을겸비,8,4,8,20652,3,12,3,175,7.3,1,1,9
