,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30080,패배,오른,미율치에오,2,7,1,15544,2,11,0,184,7.6,0,1,4
1,30080,패배,세주아니,좋은날,1,4,9,7523,7,34,6,112,4.6,0,1,4
2,30080,패배,라이즈,Jin air Yaharong,3,3,3,11338,1,22,2,182,7.5,0,1,4
3,30080,패배,진,먹는건즐거워,7,3,5,12877,4,9,6,174,7.2,0,1,4
4,30080,패배,알리스타,Lucete,2,4,8,5077,7,28,6,23,0.9,0,1,4
5,30080,승리,마오카이,Sun이라는 별,4,2,10,13413,0,8,3,139,5.7,1,1,8
6,30080,승리,케인,Diamondprox1,9,2,11,22029,7,18,6,128,5.3,1,1,8
7,30080,승리,아지르,푸딩은푸딩해,6,2,6,12485,4,10,9,218,9.0,1,1,8
8,30080,승리,바루스,김메피,2,6,6,12601,2,11,7,156,6.4,1,1,8
9,30080,승리,카르마,토마토페이스트,0,3,9,7138,6,27,6,22,0.9,1,1,8
10,30081,승리,갱플랭크,미율치에오,8,5,11,28727,0,15,2,270,9.1,0,0,9
11,30081,승리,자르반 4세,좋은날,5,7,20,17468,6,25,8,133,4.5,0,0,9
12,30081,승리,조이,Jin air Yaharong,13,3,17,39370,5,27,3,258,8.7,0,0,9
13,30081,승리,진,김메피,5,8,12,16133,3,12,3,195,6.6,0,0,9
14,30081,승리,제라스,푸딩은푸딩해,11,3,16,27910,7,32,7,42,1.4,0,0,9
15,30081,패배,케넨,JAG S0hwan,4,6,9,17494,6,17,2,185,6.2,0,1,0
16,30081,패배,렝가,죠토마킹,11,11,4,17431,1,4,7,122,4.1,0,1,0
17,30081,패배,카사딘,Lucete,2,8,7,13131,3,15,4,169,5.7,0,1,0
18,30081,패배,루시안,먹는건즐거워,7,8,6,17316,3,10,10,243,8.2,0,1,0
19,30081,패배,알리스타,토마토페이스트,2,9,10,6819,7,25,6,43,1.4,0,1,0
20,30082,승리,갱플랭크,미율치에오,3,4,9,21800,3,35,7,316,9.6,0,1,8
21,30082,승리,렝가,삼성갤럭시 하루,18,8,2,27957,11,44,11,148,4.5,0,1,8
22,30082,승리,말자하,삼성갤럭시 Crown,2,6,8,15524,9,21,10,270,8.2,0,1,8
23,30082,승리,이즈리얼,ROX Se0ngHwan,4,8,7,20033,3,18,4,252,7.6,0,1,8
24,30082,승리,미스 포츈,PuncHh,2,4,7,11937,13,79,23,44,1.3,0,1,8
25,30082,패배,제이스,Heiz4,3,10,6,24085,0,12,19,219,6.6,0,0,3
26,30082,패배,자르반 4세,So1o,10,4,9,15639,6,30,24,169,5.1,0,0,3
27,30082,패배,라이즈,KDM Edge,5,5,4,18850,6,14,4,296,9.0,0,0,3
28,30082,패배,바루스,어껭간만에찾아뵙,8,4,11,25692,5,15,15,257,7.8,0,0,3
29,30082,패배,제라스,김메피,4,6,11,19411,9,36,19,32,1.0,0,0,3
