,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10235,승리,럼블,챌린져 등반가,8,2,7,12035,1,8,2,174,8.6,0,1,7
1,10235,승리,렝가,THE KING 2000,13,3,5,19100,2,8,1,113,5.6,0,1,7
2,10235,승리,르블랑,세메론,5,5,9,14573,3,18,2,115,5.7,0,1,7
3,10235,승리,이즈리얼,FVV BETTY,2,1,7,5619,0,8,5,193,9.5,0,1,7
4,10235,승리,쉔,박투신,0,2,15,3807,4,22,3,45,2.2,0,1,7
5,10235,패배,제이스,RVS Poss,6,6,2,13057,1,16,0,134,6.6,0,0,1
6,10235,패배,잭스,담원 너구리,5,7,3,5549,6,12,5,78,3.8,0,0,1
7,10235,패배,카사딘,담원 쇼메이커,0,7,4,7709,3,9,5,97,4.8,0,0,1
8,10235,패배,시비르,갱꼬삼실화냐,2,4,2,6931,1,7,3,148,7.3,0,0,1
9,10235,패배,나미,XinMo,0,4,6,4962,5,22,4,4,0.2,0,0,1
10,10236,승리,카밀,JAG S0hwan,3,2,5,10776,1,10,6,151,7.1,0,1,7
11,10236,승리,쉬바나,갱만가드림,9,1,6,10037,6,13,10,126,5.9,0,1,7
12,10236,승리,라이즈,find myself,6,1,8,12815,0,6,3,208,9.7,0,1,7
13,10236,승리,진,whisper snow,7,1,3,9520,1,7,6,205,9.6,0,1,7
14,10236,승리,쓰레쉬,박투신,0,1,15,4422,10,30,7,31,1.4,0,1,7
15,10236,패배,제이스,Kingen,3,5,0,11494,3,20,0,153,7.2,0,1,2
16,10236,패배,자르반 4세,ROX Se0ngHwan,1,2,2,3325,5,33,6,119,5.6,0,1,2
17,10236,패배,탈리야,Lehends,1,6,1,9233,0,9,2,157,7.3,0,1,2
18,10236,패배,이즈리얼,VIP 민형,1,6,1,5705,2,12,6,175,8.2,0,1,2
19,10236,패배,타릭,천천히올라감,0,6,2,3138,4,15,1,35,1.6,0,1,2
20,10237,승리,제이스,Kingen,16,2,10,34070,3,16,1,165,8.0,0,1,9
21,10237,승리,자르반 4세,ROX Se0ngHwan,5,1,21,10321,3,26,7,107,5.2,0,1,9
22,10237,승리,라이즈,FeelsAwesomeMan,7,1,7,12844,0,8,1,191,9.2,0,1,9
23,10237,승리,트리스타나,VIP 민형,7,3,8,10840,3,8,5,136,6.6,0,1,9
24,10237,승리,알리스타,박투신,6,5,17,7603,7,20,6,39,1.9,0,1,9
25,10237,패배,일라오이,이기자 할수있다,0,15,0,7683,0,8,2,101,4.9,0,0,0
26,10237,패배,세주아니,bbq Tempt,4,6,3,8530,2,14,2,98,4.7,0,0,0
27,10237,패배,탈리야,find myself,3,8,3,11857,3,8,5,163,7.9,0,0,0
28,10237,패배,드레이븐,Afreeca Kramer,4,8,5,15993,3,13,2,146,7.1,0,0,0
29,10237,패배,카르마,뽀허니,1,4,9,9439,1,12,8,22,1.1,0,0,0
30,10238,패배,헤카림,yizhiyu,3,6,1,6751,0,18,2,101,4.4,0,0,0
31,10238,패배,쉔,박투신,1,7,2,3165,7,20,10,41,1.8,0,0,0
32,10238,패배,나서스,SKT T1 WoIf,3,6,3,15615,3,11,4,186,8.2,0,0,0
33,10238,패배,미스 포츈,Afreeca Kramer,1,7,0,9551,2,19,3,201,8.9,0,0,0
34,10238,패배,카시오페아,Afreeca Kuro,1,8,1,8836,5,14,7,166,7.3,0,0,0
35,10238,승리,렝가,wo yao qu daye,7,3,8,15563,4,20,9,164,7.2,0,0,6
36,10238,승리,진,커닝시티 피그미,11,2,7,19754,5,13,9,183,8.1,0,0,6
37,10238,승리,라이즈,find myself,11,2,3,16726,2,5,2,168,7.4,0,0,6
38,10238,승리,갱플랭크,SKT T1 Untara,5,2,9,18406,6,19,4,190,8.4,0,0,6
39,10238,승리,레오나,qweqasddasas,0,0,17,5683,6,27,11,48,2.1,0,0,6
40,10239,승리,잭스,2001 04 30,2,1,2,4068,1,5,3,143,8.8,0,1,6
41,10239,승리,리 신,YekDoolb,5,2,3,5466,2,21,1,87,5.3,0,1,6
42,10239,승리,조이,Afreeca Kuro,7,2,6,10442,3,17,2,120,7.4,0,1,6
43,10239,승리,미스 포츈,18 01 1000 X D,8,0,3,8605,2,8,2,140,8.6,0,1,6
