,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30500,패배,자르반 4세,브리즈번,6,6,9,18963,6,17,3,240,7.9,0,1,4
1,30500,패배,세주아니,이 차가 식기전에,6,4,4,9116,4,8,6,133,4.4,0,1,4
2,30500,패배,오리아나,GSRDJ,4,8,7,20442,4,10,4,240,7.9,0,1,4
3,30500,패배,트리스타나,네 옆에,2,8,5,10845,1,12,4,180,5.9,0,1,4
4,30500,패배,레오나,pecko phase2,3,6,6,4809,8,32,9,41,1.3,0,1,4
5,30500,승리,초가스,담원 크러쉬,5,1,9,16306,3,15,3,238,7.8,1,2,9
6,30500,승리,이즈리얼,작전동 노란머리,11,5,6,23313,4,16,4,191,6.3,1,2,9
7,30500,승리,신드라,담원 쇼메이커,10,3,15,37577,1,13,3,244,8.0,1,2,9
8,30500,승리,칼리스타,제주도 에이스,3,5,10,17895,0,9,1,230,7.5,1,2,9
9,30500,승리,말자하,담원 호잇이,3,7,11,10304,5,34,14,20,0.7,1,2,9
10,30501,패배,카밀,브리즈번,4,2,1,12476,4,14,6,237,9.1,0,1,4
11,30501,패배,렝가,이책인지심책기,4,2,1,10212,1,9,1,153,5.9,0,1,4
12,30501,패배,갈리오,민호야 보고싶다,1,7,4,14686,0,7,1,167,6.4,0,1,4
13,30501,패배,진,세메론,0,4,3,12994,2,11,3,218,8.3,0,1,4
14,30501,패배,소라카,IIs AP SuB,0,5,2,6082,1,21,7,27,1.0,0,1,4
15,30501,승리,초가스,사 용 수,4,3,6,11524,2,12,1,177,6.8,1,1,4
16,30501,승리,세주아니,이 차가 식기전에,2,1,11,6956,5,11,4,124,4.7,1,1,4
17,30501,승리,라이즈,하늘킹,3,3,6,11961,6,10,4,219,8.4,1,1,4
18,30501,승리,베인,I am ZIatan,10,0,5,20944,3,13,1,206,7.9,1,1,4
19,30501,승리,룰루,FeelsSosoMan,1,2,10,2372,6,12,1,5,0.2,1,1,4
20,30502,승리,갱플랭크,브리즈번,0,5,10,11778,4,13,3,169,7.8,0,2,10
21,30502,승리,카직스,Wilder,7,3,7,10055,4,10,5,92,4.3,0,2,10
22,30502,승리,트위스티드 페이트,건드리지말라했다,5,1,10,13373,2,9,2,153,7.1,0,2,10
23,30502,승리,코그모,Rain1ng,14,2,6,18703,3,9,2,172,8.0,0,2,10
24,30502,승리,탐 켄치,도령니이임,2,2,15,6139,3,19,1,27,1.3,0,2,10
25,30502,패배,쉔,18501159717,1,6,6,7300,1,9,4,123,5.7,0,0,0
26,30502,패배,이즈리얼,RRRR,6,7,4,13494,1,8,3,69,3.2,0,0,0
27,30502,패배,카사딘,하늘킹,3,4,6,12932,2,5,4,149,6.9,0,0,0
28,30502,패배,케이틀린,I am ZIatan,2,5,4,13476,1,9,2,132,6.1,0,0,0
29,30502,패배,잔나,이 차가 식기전에,1,6,4,2601,3,14,1,6,0.3,0,0,0
30,30503,승리,제이스,브리즈번,7,5,7,21746,6,16,5,226,8.9,1,3,4
31,30503,승리,이즈리얼,우에하라 크롱,4,2,3,8661,4,7,4,85,3.4,1,3,4
32,30503,승리,탈리야,미율치에오,5,2,6,21041,1,12,4,226,8.9,1,3,4
33,30503,승리,트리스타나,jjijiijijljli,4,3,3,10844,4,13,7,221,8.7,1,3,4
34,30503,승리,라칸,커소리어스나,0,2,7,3181,9,43,8,14,0.6,1,3,4
35,30503,패배,자르반 4세,JAG S0hwan,3,4,4,10384,3,14,0,239,9.5,0,0,2
36,30503,패배,리 신,Wilder,6,6,2,11436,6,20,6,80,3.2,0,0,2
37,30503,패배,아지르,RRRR,1,5,1,6325,1,6,6,203,8.0,0,0,2
38,30503,패배,자야,I am ZIatan,1,3,3,15836,4,12,4,220,8.7,0,0,2
39,30503,패배,타릭,도령니이임,3,2,4,4221,12,28,7,48,1.9,0,0,2
40,30504,승리,잭스,브리즈번,6,2,4,17841,1,7,2,190,9.3,0,1,7
41,30504,승리,렉사이,Wilder,9,3,3,11429,2,10,3,73,3.6,0,1,7
42,30504,승리,블라디미르,I am ZIatan,6,0,5,19148,2,10,1,165,8.1,0,1,7
43,30504,승리,미스 포츈,카우걸 미스 포츈,1,3,9,9530,0,5,0,90,4.4,0,1,7
44,30504,승리,타릭,도령니이임,3,1,12,6442,6,20,1,34,1.7,0,1,7
45,30504,패배,마오카이,미율치에오,1,3,6,8849,1,9,0,140,6.9,0,1,1
46,30504,패배,니달리,handcIap,2,7,1,5496,2,16,6,99,4.8,0,1,1
47,30504,패배,야스오,건드리지말라했다,3,6,1,7502,1,5,1,132,6.5,0,1,1
48,30504,패배,트리스타나,Dingchenyu,3,5,4,8349,0,7,0,150,7.3,0,1,1
49,30504,패배,라칸,GabrielCRO,0,4,5,3280,5,9,3,11,0.5,0,1,1
50,30505,패배,케넨,브리즈번,5,7,6,26450,3,16,1,233,7.7,1,1,3
51,30505,패배,자르반 4세,GabrielCRO,7,5,9,11677,6,20,10,116,3.8,1,1,3
52,30505,패배,라이즈,미율치에오,1,5,6,17704,2,15,4,268,8.9,1,1,3
53,30505,패배,트리스타나,Dingchenyu,5,7,5,18909,5,15,6,249,8.2,1,1,3
54,30505,패배,알리스타,담원 너굴맨,1,9,9,7365,4,33,5,48,1.6,1,1,3
55,30505,승리,마오카이,우철짱123,3,2,18,16295,4,16,3,181,6.0,1,2,8
56,30505,승리,이즈리얼,L1sure,6,5,20,27356,2,11,8,107,3.5,1,2,8
57,30505,승리,아우렐리온 솔,검은머리사나이,9,3,16,24500,1,14,2,204,6.8,1,2,8
58,30505,승리,바루스,그러면안돼요짜샤,13,4,10,25437,2,11,5,262,8.7,1,2,8
59,30505,승리,브라움,JAG SnowFlower,2,5,28,10650,13,32,7,48,1.6,1,2,8
60,30506,패배,갱플랭크,브리즈번,3,7,2,19487,2,11,1,206,8.0,0,0,1
61,30506,패배,이즈리얼,RRRR,3,8,2,11280,2,18,5,115,4.5,0,0,1
62,30506,패배,카시오페아,미율치에오,0,4,2,8578,2,12,3,245,9.5,0,0,1
63,30506,패배,트리스타나,Bvoy,1,4,3,10010,1,9,6,209,8.1,0,0,1
64,30506,패배,룰루,VeryBitter,0,6,4,3981,4,25,3,19,0.7,0,0,1
65,30506,승리,쉔,쌀국수뚝붸기,8,2,4,13553,1,10,3,191,7.4,1,1,10
66,30506,승리,그레이브즈,43480287del,7,1,3,13725,9,14,8,147,5.7,1,1,10
67,30506,승리,말자하,Megalia,6,1,5,18930,3,12,5,237,9.2,1,1,10
68,30506,승리,자야,Dingchenyu,6,1,5,15375,4,14,4,232,9.0,1,1,10
69,30506,승리,쓰레쉬,Axiyo,2,2,12,6826,3,25,6,41,1.6,1,1,10
70,30507,패배,케넨,브리즈번,1,6,0,6144,2,8,1,103,6.8,0,0,0
71,30507,패배,세주아니,bbq bono33,0,3,1,2602,1,10,1,73,4.8,0,0,0
72,30507,패배,카사딘,건드리지말라했다,1,5,1,2839,1,5,0,98,6.5,0,0,0
73,30507,패배,자야,땅우양,1,1,1,7162,0,4,2,117,7.7,0,0,0
74,30507,패배,라칸,잠시만 기달려줘,0,1,2,1279,2,14,1,1,0.1,0,0,0
75,30507,승리,나르,king2n,6,2,2,10906,1,6,2,113,7.4,0,0,4
76,30507,승리,자르반 4세,ROX Mightybear,2,0,5,4525,3,12,4,93,6.1,0,0,4
77,30507,승리,말자하,Megalia,8,1,2,8590,3,7,0,122,8.0,0,0,4
78,30507,승리,트리스타나,미율치에오,0,0,1,3903,1,6,1,136,9.0,0,0,4
79,30507,승리,브라움,꼬맹이전쟁,0,0,4,3213,2,7,1,25,1.6,0,0,4
80,30508,승리,피오라,브리즈번,6,2,7,42653,3,23,2,444,11.1,1,1,11
81,30508,승리,세주아니,Bbrother,1,7,12,10749,14,46,15,145,3.6,1,1,11
82,30508,승리,라이즈,atlenismydaddy,7,5,6,19006,4,23,8,303,7.6,1,1,11
83,30508,승리,코그모,STITCH1,9,5,5,34217,1,12,4,412,10.3,1,1,11
84,30508,승리,잔나,Atlen,0,1,17,3857,13,42,12,17,0.4,1,1,11
85,30508,패배,초가스,king2n,2,5,3,18824,5,24,4,282,7.1,2,3,9
86,30508,패배,자르반 4세,ROX Mightybear,5,3,7,8751,10,39,7,154,3.9,2,3,9
87,30508,패배,탈리야,하늘킹,3,7,5,20092,3,7,10,310,7.8,2,3,9
88,30508,패배,트리스타나,deft123456,7,3,7,39974,3,18,18,426,10.7,2,3,9
89,30508,패배,자이라,잠자구있어요,2,5,8,15542,7,49,20,52,1.3,2,3,9
90,30509,승리,자르반 4세,브리즈번,8,1,7,16593,5,15,9,223,8.6,1,2,10
91,30509,승리,엘리스,ROX Mightybear,5,2,6,7229,4,9,6,122,4.7,1,2,10
92,30509,승리,탈리야,하늘킹,6,4,9,19985,3,7,4,192,7.4,1,2,10
93,30509,승리,징크스,deft123456,5,3,8,18218,2,12,5,239,9.2,1,2,10
94,30509,승리,소라카,토마토페이스트,1,3,12,4271,5,18,5,19,0.7,1,2,10
95,30509,패배,초가스,길동이에유,0,6,3,3724,4,15,2,159,6.2,0,0,0
96,30509,패배,카직스,VIP 민형,6,7,1,11408,3,8,2,74,2.9,0,0,0
97,30509,패배,라이즈,미율치에오,4,3,3,15767,1,11,2,253,9.8,0,0,0
98,30509,패배,케이틀린,FeelsWowMan,2,5,6,14193,2,8,3,217,8.4,0,0,0
99,30509,패배,룰루,커소리어스나,1,4,11,4998,6,33,6,11,0.4,0,0,0
100,30510,패배,럼블,브리즈번,0,6,5,6277,3,10,2,138,6.6,0,0,1
101,30510,패배,이즈리얼,ROX Mightybear,3,5,3,7875,3,10,0,105,5.0,0,0,1
102,30510,패배,제이스,KDM PERT,5,4,1,8010,2,11,0,161,7.7,0,0,1
103,30510,패배,드레이븐,FeelsWowMan,1,6,6,9673,3,11,3,164,7.9,0,0,1
104,30510,패배,알리스타,supbest,2,3,4,3938,4,22,5,32,1.5,0,0,1
105,30510,승리,자르반 4세,피넛사냥개2,6,3,7,8628,1,9,4,152,7.3,1,2,6
106,30510,승리,렝가,이책인지심책기,6,1,6,12007,2,10,5,137,6.6,1,2,6
107,30510,승리,카서스,뽀오뽀오,4,1,6,11926,0,9,0,209,10.0,1,2,6
108,30510,승리,트위치,Dingchenyu,6,3,5,12663,0,7,4,166,8.0,1,2,6
109,30510,승리,타릭,Z 2017 11 25,2,3,9,4038,4,18,2,42,2.0,1,2,6
110,30511,패배,자르반 4세,브리즈번,5,8,2,11664,3,9,4,139,6.3,0,0,1
111,30511,패배,니달리,RRRR,2,7,3,7035,0,14,7,101,4.6,0,0,1
112,30511,패배,애니비아,여최미,2,5,4,9432,3,9,2,146,6.6,0,0,1
113,30511,패배,진,DWG BeryL,1,4,3,12019,0,8,1,167,7.6,0,0,1
114,30511,패배,레오나,AKG Bene,2,7,3,4533,1,13,4,26,1.2,0,0,1
115,30511,승리,제이스,yuanyouyuan,8,5,6,17168,3,10,2,152,6.9,0,1,9
116,30511,승리,리 신,미 키,6,1,5,9703,3,19,0,121,5.5,0,1,9
117,30511,승리,루시안,Yaharong,9,3,8,18820,1,9,2,209,9.5,0,1,9
118,30511,승리,코르키,꾸자니 똑땅해,8,1,11,23416,2,9,5,181,8.2,0,1,9
119,30511,승리,타릭,양갱뿌,0,3,16,3546,7,24,2,29,1.3,0,1,9
120,30512,패배,마오카이,브리즈번,4,7,4,13368,4,17,6,246,7.6,0,0,1
121,30512,패배,렉사이,담원 크러쉬,3,7,8,7888,7,11,12,137,4.2,0,0,1
122,30512,패배,르블랑,담원 쇼메이커,7,8,5,19995,5,10,6,215,6.6,0,0,1
123,30512,패배,트리스타나,Creative Self,2,6,5,18338,2,13,5,343,10.6,0,0,1
124,30512,패배,알리스타,양팡우,3,6,5,6311,19,46,8,40,1.2,0,0,1
125,30512,승리,제이스,나라카일,9,6,9,35770,2,7,6,233,7.2,1,2,11
126,30512,승리,자르반 4세,Nem2sis,7,3,17,15125,7,27,15,118,3.6,1,2,11
127,30512,승리,신드라,Yaharong,10,6,5,27656,2,16,5,269,8.3,1,2,11
128,30512,승리,케이틀린,bbq Ghost,7,2,10,29496,2,13,3,311,9.6,1,2,11
129,30512,승리,쓰레쉬,LinLan,1,2,20,10254,7,43,10,42,1.3,1,2,11
130,30513,승리,나미,악시 뒷바라지,1,4,19,4266,6,34,6,14,0.5,1,1,9
131,30513,승리,신드라,KDM PERT,8,3,7,20497,1,14,5,236,8.2,1,1,9
132,30513,승리,카직스,빵재애오,13,2,7,14713,6,10,7,121,4.2,1,1,9
133,30513,승리,베인,Greed A Pride,4,3,2,8190,3,14,1,226,7.8,1,1,9
134,30513,승리,제이스,브리즈번,4,3,14,23412,4,16,8,282,9.8,1,1,9
135,30513,패배,쉔,walking300 fan,5,3,5,7419,1,13,1,211,7.3,0,1,3
136,30513,패배,라이즈,yuanyouyuan,1,6,8,9686,3,14,2,193,6.7,0,1,3
137,30513,패배,케이틀린,선비모드,2,8,5,20284,5,12,8,232,8.1,0,1,3
138,30513,패배,이즈리얼,JAG SnowFlower,4,8,4,19243,7,10,7,124,4.3,0,1,3
139,30513,패배,룰루,FeelsLovelyMan,3,5,8,5806,10,32,14,27,0.9,0,1,3
140,30514,승리,잭스,브리즈번,6,2,2,10880,1,4,2,128,8.4,0,0,4
141,30514,승리,자르반 4세,rainbow321,4,0,10,6277,3,13,1,83,5.5,0,0,4
142,30514,승리,카사딘,시공 여행자,11,1,2,9078,1,7,1,122,8.0,0,0,4
143,30514,승리,트리스타나,bbq Ghost,0,3,3,4216,1,6,1,90,5.9,0,0,4
144,30514,승리,알리스타,walking300 fan,1,1,11,2817,3,8,1,17,1.1,0,0,4
145,30514,패배,초가스,Klmjg,2,5,0,5068,2,5,1,94,6.2,0,0,0
146,30514,패배,렉사이,빵재애오,3,5,1,4809,2,8,1,44,2.9,0,0,0
147,30514,패배,라이즈,43480287del,0,6,4,6439,0,6,0,89,5.9,0,0,0
148,30514,패배,진,JAG SnowFlower,2,3,0,6789,1,5,1,89,5.9,0,0,0
149,30514,패배,브라움,악시 뒷바라지,0,3,2,2263,3,12,1,19,1.3,0,0,0
150,30515,승리,케넨,브리즈번,7,1,9,41199,5,16,9,270,8.1,1,3,11
151,30515,승리,우디르,진쟤승,8,3,3,24084,2,7,5,127,3.8,1,3,11
152,30515,승리,오리아나,검은머리사나이,2,1,10,18427,7,17,3,272,8.1,1,3,11
153,30515,승리,바루스,수입뿌드,7,4,6,24236,0,11,10,255,7.6,1,3,11
154,30515,승리,타릭,AKG Bene,0,2,16,3620,9,37,13,57,1.7,1,3,11
155,30515,패배,초가스,돌잔치때도란잡음,3,5,1,10123,3,18,6,223,6.7,1,0,0
156,30515,패배,자르반 4세,마이엠브,1,5,7,6864,13,28,6,165,4.9,1,0,0
157,30515,패배,라이즈,FeelsCoffeeMan,6,6,1,21395,6,20,4,269,8.0,1,0,0
158,30515,패배,칼리스타,FeelsDaydayMan,1,3,3,15367,3,15,7,325,9.7,1,0,0
159,30515,패배,모르가나,JAG SnowFlower,0,5,6,7445,14,36,13,15,0.4,1,0,0
160,30516,패배,피오라,브리즈번,4,6,1,12981,3,11,1,191,8.6,0,0,2
161,30516,패배,니달리,twice손채영,2,6,3,10627,4,9,2,99,4.4,0,0,2
162,30516,패배,신드라,ablela,1,3,0,5297,3,12,1,167,7.5,0,0,2
163,30516,패배,칼리스타,555555555554,2,3,2,5677,2,10,2,196,8.8,0,0,2
164,30516,패배,타릭,담원 너굴맨,0,3,5,1880,6,22,5,8,0.4,0,0,2
165,30516,승리,신지드,Algorism,3,2,8,13238,2,11,1,181,8.1,1,2,8
166,30516,승리,이즈리얼,RRRR,6,3,7,11096,2,19,8,90,4.0,1,2,8
167,30516,승리,르블랑,Sakura Devil,7,1,3,17236,1,6,4,179,8.0,1,2,8
168,30516,승리,케이틀린,땅우양,4,1,3,11607,2,8,3,183,8.2,1,2,8
169,30516,승리,카르마,Nem2sis,1,2,4,5055,5,17,4,17,0.8,1,2,8
170,30517,패배,잭스,브리즈번,12,9,6,37700,5,25,10,366,9.0,1,2,10
171,30517,패배,세주아니,twice손채영,2,10,13,17221,6,28,4,162,4.0,1,2,10
172,30517,패배,야스오,GimGoon,9,9,6,34617,5,24,6,284,7.0,1,2,10
173,30517,패배,자야,두 런,6,5,13,31546,1,12,8,268,6.6,1,2,10
174,30517,패배,쓰레쉬,담원 너굴맨,5,1,20,21500,15,59,10,67,1.7,1,2,10
175,30517,승리,마오카이,우에하라 크롱,4,4,20,20620,3,21,2,205,5.1,2,2,9
176,30517,승리,샤코,챔프폭 늘리는중,9,10,10,21641,2,18,7,187,4.6,2,2,9
177,30517,승리,블라디미르,Zhongdan XD,12,7,13,52723,3,19,4,338,8.3,2,2,9
178,30517,승리,바루스,Please find it,7,7,13,36279,1,9,14,348,8.6,2,2,9
179,30517,승리,알리스타,악시 뒷바라지,2,6,21,12968,11,58,11,52,1.3,2,2,9
180,30518,승리,카밀,브리즈번,9,3,5,17785,6,21,12,338,10.2,1,2,9
181,30518,승리,자르반 4세,YoudangXQiao,6,6,20,16512,7,24,5,110,3.3,1,2,9
182,30518,승리,아지르,PaldAl,6,5,11,25252,2,17,5,208,6.3,1,2,9
183,30518,승리,바루스,nekoneko1,6,6,11,26498,5,15,11,303,9.1,1,2,9
184,30518,승리,블리츠크랭크,MinKOOK2,5,4,17,10133,11,41,8,37,1.1,1,2,9
185,30518,패배,제이스,Sakura Devil,7,9,8,17810,1,16,5,272,8.2,0,1,3
186,30518,패배,세주아니,xiaolonda,1,8,14,12229,10,30,18,145,4.4,0,1,3
187,30518,패배,르블랑,BtC Dove,8,4,7,27287,3,8,7,212,6.4,0,1,3
188,30518,패배,케이틀린,78945612,6,5,9,26757,0,11,3,282,8.5,0,1,3
189,30518,패배,알리스타,유내현,2,6,11,7808,8,48,10,15,0.5,0,1,3
190,30519,승리,피오라,브리즈번,5,5,6,24370,8,22,4,308,9.7,2,2,10
191,30519,승리,이즈리얼,nekoneko1,9,3,14,23624,13,18,11,143,4.5,2,2,10
192,30519,승리,트위스티드 페이트,미 키,5,2,14,20224,4,15,7,267,8.4,2,2,10
193,30519,승리,케이틀린,78945612,5,4,9,16812,1,12,7,253,8.0,2,2,10
194,30519,승리,알리스타,GuGer,3,3,18,5435,14,49,5,49,1.5,2,2,10
195,30519,패배,제이스,두 런,4,5,6,21506,1,14,4,202,6.4,0,1,3
196,30519,패배,니달리,F0y,0,5,6,9379,7,11,13,147,4.6,0,1,3
197,30519,패배,갈리오,유내현,8,4,2,23146,3,17,2,294,9.3,0,1,3
198,30519,패배,트리스타나,땅우양,5,6,3,20241,0,11,9,272,8.6,0,1,3
199,30519,패배,레오나,리인제이,0,7,11,8743,15,46,12,59,1.9,0,1,3
