,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3440,패배,나르,빅파이초코파이,5,11,5,23516,2,23,8,343,7.6,2,3,10
1,3440,패배,렝가,담원 크러쉬,5,9,8,21878,6,28,19,216,4.8,2,3,10
2,3440,패배,라이즈,마산가자,8,8,11,37073,9,29,10,369,8.2,2,3,10
3,3440,패배,미스 포츈,Greed A Pride,14,6,6,31110,9,58,34,373,8.3,2,3,10
4,3440,패배,레오나,160810,3,7,16,12144,18,68,23,78,1.7,2,3,10
5,3440,승리,카밀,쌀국수뚝붸기,13,7,11,32374,2,22,10,324,7.2,1,1,8
6,3440,승리,카직스,6학년4반장용준,7,5,11,19712,12,46,17,239,5.3,1,1,8
7,3440,승리,탈리야,DWG ShowMaker,8,7,17,46065,6,11,8,404,9.0,1,1,8
8,3440,승리,진,상어가족,6,7,19,31983,2,19,17,263,5.9,1,1,8
9,3440,승리,제라스,PawN God,7,9,17,35704,11,101,28,117,2.6,1,1,8
10,3441,패배,블라디미르,빅파이초코파이,4,7,4,18994,3,17,9,235,7.7,0,1,2
11,3441,패배,렝가,chorongie,10,6,4,20871,9,27,11,169,5.5,0,1,2
12,3441,패배,탈리야,푸딩은푸딩해,3,3,4,17986,2,14,5,312,10.2,0,1,2
13,3441,패배,미스 포츈,먹는건즐거워,6,10,3,12216,7,32,19,249,8.2,0,1,2
14,3441,패배,마오카이,진쟤승,0,5,9,10179,5,36,12,67,2.2,0,1,2
15,3441,승리,티모,춘봉박,7,5,6,30515,3,9,8,248,8.1,1,2,8
16,3441,승리,쉬바나,PeanuToT,8,4,6,14517,9,13,16,214,7.0,1,2,8
17,3441,승리,갱플랭크,뒷텔와드점,4,6,11,13768,2,16,6,276,9.0,1,2,8
18,3441,승리,이즈리얼,담원 얼라이브,8,4,15,24943,2,14,17,296,9.7,1,2,8
19,3441,승리,세주아니,MataMataMata,4,5,16,10383,15,75,20,78,2.6,1,2,8
20,3442,패배,이렐리아,빅파이초코파이,5,9,3,20214,4,36,13,284,8.2,0,0,3
21,3442,패배,렝가,SKT T1 WoIf,5,9,6,17291,6,26,10,170,4.9,0,0,3
22,3442,패배,카사딘,점점나의마음이끌,3,6,5,19875,3,17,8,289,8.3,0,0,3
23,3442,패배,진,GuGer,5,6,4,28997,0,11,8,268,7.7,0,0,3
24,3442,패배,트런들,Delicious Fish,0,4,8,6318,17,52,27,94,2.7,0,0,3
25,3442,승리,나르,Gazuaaaaaaa,10,5,5,24939,7,42,14,293,8.4,1,3,8
26,3442,승리,자르반 4세,Afreeca M0wgli,6,2,22,15952,12,39,17,173,5.0,1,3,8
27,3442,승리,라이즈,KDM 유준,6,3,13,27334,1,15,6,287,8.3,1,3,8
28,3442,승리,미스 포츈,6학년4반장용준,10,4,8,33551,3,15,6,309,8.9,1,3,8
29,3442,승리,쉔,JAG SnowFlower,2,4,20,13586,8,38,13,84,2.4,1,3,8
30,3443,승리,카밀,빅파이초코파이,5,2,3,10748,2,11,6,190,8.7,1,3,7
31,3443,승리,쉬바나,XinyiQAQ,2,3,7,8056,5,7,11,135,6.2,1,3,7
32,3443,승리,카사딘,점점나의마음이끌,7,1,9,15979,2,11,4,168,7.7,1,3,7
