,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30837,패배,카서스,뽀오뽀오,5,5,2,8944,1,6,3,98,6.0,0,0,0
1,30837,패배,렝가,Only caozuo,3,3,4,5677,1,5,0,85,5.2,0,0,0
2,30837,패배,아지르,love left,2,2,2,8267,2,7,3,145,8.9,0,0,0
3,30837,패배,진,Excal1bur1,0,2,3,3033,0,3,0,65,4.0,0,0,0
4,30837,패배,탐 켄치,친하다,0,3,3,1330,3,9,2,61,3.7,0,0,0
5,30837,승리,갱플랭크,Co2dplay,6,5,1,9122,1,8,0,125,7.6,0,1,5
6,30837,승리,엘리스,Lz Tv SuShi,6,2,1,4885,3,9,2,77,4.7,0,1,5
7,30837,승리,리산드라,꾸자니 똑땅해,1,1,4,4348,3,10,3,155,9.5,0,1,5
8,30837,승리,바루스,영광 스런 년,2,1,5,5549,1,7,1,147,9.0,0,1,5
9,30837,승리,카르마,rxyyyyyyyyyyyyy,0,1,8,5828,2,14,1,10,0.6,0,1,5
10,30838,패배,블라디미르,꾸자니 똑땅해,3,6,3,19335,3,9,2,160,6.4,0,0,0
11,30838,패배,잭스,Algorism,3,11,3,7923,2,11,2,88,3.5,0,0,0
12,30838,패배,카시오페아,뽀오뽀오,1,8,3,12418,2,12,1,171,6.8,0,0,0
13,30838,패배,트리스타나,STITCH1,3,6,4,17145,3,9,1,190,7.6,0,0,0
14,30838,패배,브라움,V1cissitvsdes,4,8,3,7154,5,31,4,22,0.9,0,0,0
15,30838,승리,제이스,Afreeca Summit,6,4,12,23770,1,9,4,161,6.4,0,1,9
16,30838,승리,자크,마이엠브,6,0,21,17477,5,20,2,168,6.7,0,1,9
17,30838,승리,벨코즈,love left,14,2,5,29239,4,13,2,209,8.4,0,1,9
18,30838,승리,루시안,FeelsG00DMan,7,4,12,19650,3,10,4,153,6.1,0,1,9
19,30838,승리,레오나,Possible tts,6,4,21,10520,3,29,3,59,2.4,0,1,9
20,30839,승리,카시오페아,SOLCA1,5,0,4,14447,2,15,5,268,9.1,2,1,11
21,30839,승리,누누,She Jinping,1,4,8,2572,7,54,16,131,4.4,2,1,11
22,30839,승리,카서스,뽀오뽀오,6,5,6,26593,1,11,3,261,8.9,2,1,11
23,30839,승리,코그모,Deft1,5,1,5,20880,2,14,8,291,9.9,2,1,11
24,30839,승리,룰루,MataMataMata,0,1,10,1600,10,25,4,10,0.3,2,1,11
25,30839,패배,케넨,TaNa OuO,1,4,4,9410,3,8,6,175,5.9,0,2,2
26,30839,패배,카직스,똥좀싸겟다,3,5,2,9464,7,25,10,123,4.2,0,2,2
