,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40774,패배,럼블,JAG S0hwan,3,6,4,18274,4,14,5,218,8.1,0,1,1
1,40774,패배,세주아니,이 차가 식기전에,5,6,12,9748,5,10,1,122,4.5,0,1,1
2,40774,패배,탈론,사스갓지지,9,9,2,16911,2,8,9,166,6.2,0,1,1
3,40774,패배,자야,FVV BETTY,2,4,12,14666,1,7,1,186,6.9,0,1,1
4,40774,패배,라칸,H Dean,5,3,11,8252,9,35,7,32,1.2,0,1,1
5,40774,승리,야스오,프제짱,6,5,8,26351,1,27,4,213,7.9,1,2,10
6,40774,승리,쉬바나,츠코파이,8,3,8,21996,2,7,4,203,7.6,1,2,10
7,40774,승리,피즈,he  nan    yu,8,7,6,14161,2,18,5,152,5.7,1,2,10
8,40774,승리,애쉬,Yeeclipse,3,6,11,14464,2,12,3,178,6.6,1,2,10
9,40774,승리,카르마,박투신,3,3,17,19004,8,18,6,44,1.6,1,2,10
10,40775,승리,사이온,귤수호자 만기,7,4,13,25487,5,11,6,308,8.8,1,2,8
11,40775,승리,헤카림,세메론,7,4,9,11332,5,7,16,201,5.8,1,2,8
12,40775,승리,탈론,사스갓지지,6,5,11,18479,4,8,17,250,7.2,1,2,8
13,40775,승리,애쉬,Yeeclipse,9,1,11,28838,4,16,19,358,10.3,1,2,8
14,40775,승리,쓰레쉬,H Dean,1,2,21,7431,15,46,32,48,1.4,1,2,8
15,40775,패배,신지드,She Jinping,4,8,2,15377,2,17,5,252,7.2,0,2,3
16,40775,패배,리 신,CatRats,4,7,5,6875,7,60,5,166,4.8,0,2,3
17,40775,패배,말자하,he  nan    yu,1,6,6,20243,3,13,6,287,8.2,0,2,3
18,40775,패배,이즈리얼,JAG S0hwan,4,5,8,39611,2,19,5,347,10.0,0,2,3
19,40775,패배,바드,LinLan,3,5,9,11533,13,70,12,20,0.6,0,2,3
20,40776,승리,케넨,The shy,11,6,7,33381,1,10,3,251,7.8,2,2,11
21,40776,승리,렉사이,HanGuo Xiao Daye,9,4,9,17347,7,12,6,146,4.5,2,2,11
22,40776,승리,탈론,사스갓지지,8,2,10,21656,4,9,2,223,6.9,2,2,11
23,40776,승리,자야,천점못찍는벌레,13,5,6,26293,1,9,5,206,6.4,2,2,11
24,40776,승리,라칸,진쟤승,2,3,20,6861,5,35,12,16,0.5,2,2,11
25,40776,패배,럼블,Bbrother,5,7,2,21818,3,15,2,232,7.2,0,1,1
26,40776,패배,브랜드,귀여운스티치,4,10,7,20187,4,9,3,124,3.9,0,1,1
27,40776,패배,야스오,프제짱,1,8,7,13483,2,16,0,324,10.1,0,1,1
28,40776,패배,드레이븐,FeelsWowMan,8,7,4,29841,2,12,8,223,6.9,0,1,1
29,40776,패배,쓰레쉬,이상호,2,11,6,5725,9,28,5,24,0.7,0,1,1
30,40777,승리,갈리오,Sakura Devil,1,2,15,7741,0,10,1,166,7.3,1,2,9
31,40777,승리,니달리,sanspareil1,13,0,8,18448,3,9,5,154,6.7,1,2,9
32,40777,승리,탈론,사스갓지지,5,1,7,11109,2,8,0,153,6.7,1,2,9
33,40777,승리,트리스타나,VIP 민형,8,0,6,14119,1,8,3,181,7.9,1,2,9
34,40777,승리,알리스타,MinKOOK2,2,1,17,5245,6,22,4,18,0.8,1,2,9
35,40777,패배,카밀,Afreeca Summit,2,8,1,13232,3,10,0,161,7.1,0,0,0
36,40777,패배,렉사이,매우뚱뚱한고양이,0,8,3,5079,4,7,4,98,4.3,0,0,0
37,40777,패배,오리아나,빅파이초코파이,0,4,1,8110,1,8,1,178,7.8,0,0,0
38,40777,패배,코그모,aquariusz,2,7,0,11924,1,8,5,178,7.8,0,0,0
39,40777,패배,잔나,FW SwordArT,0,2,2,3204,3,16,3,10,0.4,0,0,0
40,40778,승리,갈리오,단군의청춘부재,2,0,5,4441,2,9,1,129,8.2,0,0,5
41,40778,승리,자르반 4세,알수없는숲,2,0,2,4179,3,7,1,61,3.9,0,0,5
42,40778,승리,탈론,사스갓지지,4,1,1,6821,2,6,1,132,8.4,0,0,5
43,40778,승리,바루스,박투신,6,1,1,9534,3,9,1,115,7.3,0,0,5
44,40778,승리,브라움,나 정말 요리,0,2,6,2715,4,12,2,28,1.8,0,0,5
45,40778,패배,카서스,CrazySound,0,4,2,6722,0,5,1,132,8.4,0,0,0
46,40778,패배,렝가,Koed OwO,1,1,2,2341,2,8,0,99,6.3,0,0,0
47,40778,패배,트위스티드 페이트,Xero,2,2,0,2681,1,6,1,114,7.3,0,0,0
48,40778,패배,진,네 옆에,1,4,2,9165,0,5,0,112,7.2,0,0,0
49,40778,패배,타릭,담원 호잇이,0,3,4,2788,1,9,3,31,2.0,0,0,0
50,40779,승리,오른,세메론,3,5,15,19844,3,23,8,266,6.4,3,2,7
51,40779,승리,세주아니,bbq bono33,7,5,17,17528,12,16,5,150,3.6,3,2,7
52,40779,승리,라이즈,Cepteddddddddddd,9,5,7,31371,2,12,3,368,8.9,3,2,7
53,40779,승리,트리스타나,아트가 앗뜨거,12,8,9,40375,1,14,8,285,6.9,3,2,7
54,40779,승리,잔나,사스갓지지,0,3,22,4211,13,55,9,13,0.3,3,2,7
55,40779,패배,케넨,MVP ADD,2,7,9,24748,7,27,4,319,7.7,0,2,4
56,40779,패배,자르반 4세,SnakeLight,4,8,15,18001,3,5,12,188,4.5,0,2,4
57,40779,패배,블라디미르,21312312414214,10,4,10,28680,1,19,3,389,9.4,0,2,4
58,40779,패배,트위치,쫄깃한 우동사리,9,8,13,44514,3,14,7,340,8.2,0,2,4
59,40779,패배,룰루,Sim Student,1,4,19,6201,16,47,13,30,0.7,0,2,4
60,40780,승리,오른,세메론,2,0,4,6840,1,8,0,134,6.9,0,1,4
61,40780,승리,엘리스,bbq bono33,7,3,6,9699,4,15,4,67,3.5,0,1,4
62,40780,승리,탈론,사스갓지지,5,2,4,12285,3,7,2,130,6.7,0,1,4
63,40780,승리,트리스타나,IGS Dasher,6,0,4,9243,2,9,4,180,9.3,0,1,4
64,40780,승리,쓰레쉬,KT MATA,6,1,11,6277,9,31,5,20,1.0,0,1,4
65,40780,패배,제이스,Afreeca Summit,0,6,1,11310,1,8,2,161,8.3,0,0,0
66,40780,패배,리 신,Klmjg,3,3,2,4332,3,21,3,91,4.7,0,0,0
67,40780,패배,카사딘,GabrielCRO,1,6,1,5197,4,10,3,112,5.8,0,0,0
68,40780,패배,자야,쫄깃한 우동사리,1,4,2,9580,3,9,4,132,6.8,0,0,0
69,40780,패배,라칸,Sim Student,1,7,2,1758,10,18,5,13,0.7,0,0,0
70,40781,패배,쉔,KT MATA,7,3,6,28078,3,16,5,195,6.8,0,0,2
71,40781,패배,니달리,5gak,3,6,6,9683,7,11,12,170,5.9,0,0,2
72,40781,패배,라이즈,bbq Tempt,4,4,3,18056,5,14,1,218,7.6,0,0,2
73,40781,패배,진,사스갓지지,0,3,1,9469,3,12,5,245,8.6,0,0,2
74,40781,패배,브라움,LinLan,0,3,0,4558,9,38,9,41,1.4,0,0,2
75,40781,승리,초가스,박투신,3,8,1,16147,3,14,3,170,5.9,1,2,8
76,40781,승리,세주아니,bbq bono33,1,3,13,8985,8,27,7,89,3.1,1,2,8
77,40781,승리,오리아나,he  nan    yu,12,1,4,20053,3,13,9,253,8.8,1,2,8
78,40781,승리,트리스타나,IGS Dasher,1,1,5,17518,4,15,11,321,11.2,1,2,8
79,40781,승리,알리스타,Sim Student,2,1,10,6213,11,37,13,50,1.7,1,2,8
