,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40000,승리,오른,삶이힘든사람,2,5,9,15836,8,20,3,217,6.7,1,2,6
1,40000,승리,그레이브즈,분당고 엄성현,10,4,9,27774,6,25,6,225,7.0,1,2,6
2,40000,승리,트위스티드 페이트,상어가족,4,3,9,17063,3,7,10,244,7.6,1,2,6
3,40000,승리,애쉬,STITCH2,9,3,7,24385,1,5,9,317,9.9,1,2,6
4,40000,승리,브라움,Nem2sis,0,2,12,6831,7,39,14,63,2.0,1,2,6
5,40000,패배,갱플랭크,Like Waves,4,8,4,25025,10,27,7,261,8.1,1,1,7
6,40000,패배,쉬바나,M1anhua,7,4,5,17192,12,17,17,209,6.5,1,1,7
7,40000,패배,라이즈,송하영 팬,4,5,7,16967,0,13,4,254,7.9,1,1,7
8,40000,패배,칼리스타,Yeeclipse,1,6,11,14485,5,24,2,277,8.6,1,1,7
9,40000,패배,카르마,2Kano,1,2,9,9349,8,34,10,23,0.7,1,1,7
10,40001,패배,오른,삶이힘든사람,3,5,7,12838,6,14,2,204,7.4,0,0,4
11,40001,패배,렉사이,Wilder,7,6,4,9633,3,23,15,148,5.4,0,0,4
12,40001,패배,코르키,ROX Lindarang,6,5,1,11885,2,12,3,223,8.1,0,0,4
13,40001,패배,진,kenzhu9,6,4,6,15062,4,13,7,213,7.8,0,0,4
14,40001,패배,노틸러스,커소리어스나,1,4,8,7058,6,31,7,62,2.3,0,0,4
15,40001,승리,케넨,춘봉박,2,7,8,16861,2,13,5,208,7.6,1,2,7
16,40001,승리,리 신,M1anhua,7,1,13,13194,6,47,18,175,6.4,1,2,7
17,40001,승리,말자하,상어가족,5,5,9,19675,4,10,8,252,9.2,1,2,7
18,40001,승리,미스 포츈,Yeeclipse,6,6,7,14701,4,14,7,231,8.4,1,2,7
19,40001,승리,제라스,피넛사냥개1,4,4,12,15900,5,25,5,35,1.3,1,2,7
20,40002,패배,카밀,삶이힘든사람,1,2,2,8326,3,9,0,139,7.5,0,0,0
21,40002,패배,자르반 4세,Wilder,3,8,5,6068,6,21,7,57,3.1,0,0,0
22,40002,패배,트위스티드 페이트,송하영 팬,5,6,4,7794,1,8,6,114,6.1,0,0,0
23,40002,패배,미스 포츈,du jia0 shou,5,6,4,7934,2,8,3,116,6.2,0,0,0
24,40002,패배,카르마,혼자가 편해졌어,0,4,6,5839,12,22,3,13,0.7,0,0,0
25,40002,승리,제이스,춘봉박,2,1,4,10275,2,18,1,174,9.3,0,1,4
26,40002,승리,세주아니,분당고 엄성현,2,1,13,6418,2,14,5,91,4.9,0,1,4
27,40002,승리,카타리나,피넛사냥개1,9,3,6,11530,5,20,3,150,8.1,0,1,4
28,40002,승리,바루스,망고코코아,3,4,7,8456,4,9,5,157,8.4,0,1,4
29,40002,승리,조이,kenzhu9,10,5,4,13386,7,19,8,16,0.9,0,1,4
30,40003,승리,오른,삶이힘든사람,4,6,21,28649,14,30,12,293,5.9,0,1,7
31,40003,승리,렝가,오억만,11,13,12,32544,2,89,43,286,5.7,0,1,7
32,40003,승리,말자하,Heart,14,11,16,46044,2,29,19,487,9.8,0,1,7
33,40003,승리,진,chirchri,17,7,20,44604,4,24,20,315,6.3,0,1,7
34,40003,승리,제라스,세메론,8,9,22,54967,4,54,19,218,4.4,0,1,7
35,40003,패배,제이스,암고잉빽투더스탙,10,10,8,39602,2,66,21,345,6.9,3,3,10
36,40003,패배,카직스,7895123,13,11,12,25278,7,29,15,256,5.1,3,3,10
37,40003,패배,이즈리얼,deft123456,11,11,10,79716,4,33,16,443,8.9,3,3,10
38,40003,패배,미스 포츈,비 브이 오 와이,7,9,10,30421,7,23,24,370,7.4,3,3,10
39,40003,패배,카르마,SKT T1 WoIf,5,13,13,21845,12,72,14,47,0.9,3,3,10
40,40004,패배,오른,삶이힘든사람,1,1,10,15958,6,18,2,247,8.0,1,1,4
41,40004,패배,카직스,PeanuToT,5,5,8,17437,6,18,9,154,5.0,1,1,4
42,40004,패배,라이즈,성민콩,6,2,4,15972,4,23,4,300,9.8,1,1,4
43,40004,패배,진,학교밀베포친키,6,6,8,22338,3,12,9,231,7.5,1,1,4
44,40004,패배,레오나,뒷텔와드점,1,8,12,6952,12,45,30,94,3.1,1,1,4
45,40004,승리,나르,VIP 민형,3,4,5,14418,6,12,5,239,7.8,0,2,6
46,40004,승리,니달리,PuncHh,7,4,7,14817,4,30,17,213,6.9,0,2,6
47,40004,승리,말자하,chirchri,3,2,7,14418,6,12,10,288,9.4,0,2,6
48,40004,승리,미스 포츈,deft123456,9,5,9,29492,10,27,5,237,7.7,0,2,6
49,40004,승리,알리스타,토마토페이스트,0,4,20,9125,10,33,8,49,1.6,0,2,6
50,40005,승리,카밀,삶이힘든사람,5,1,6,12758,2,11,0,129,6.1,0,0,4
51,40005,승리,자르반 4세,Wilder,4,0,12,8667,2,18,6,115,5.4,0,0,4
52,40005,승리,르블랑,멘탈 실력 운,9,1,7,20309,2,19,1,161,7.6,0,0,4
53,40005,승리,칼리스타,원딜둥이,9,4,5,11350,1,8,8,186,8.7,0,0,4
54,40005,승리,알리스타,다시 돌아갈까요,0,3,15,5727,7,21,4,36,1.7,0,0,4
55,40005,패배,갱플랭크,쌀국수뚝붸기,2,7,0,11514,1,11,0,161,7.6,0,2,0
56,40005,패배,쉬바나,정글노바,2,4,2,7001,5,11,6,126,5.9,0,2,0
57,40005,패배,조이,PawN God,2,8,1,9606,1,10,6,135,6.3,0,2,0
58,40005,패배,바루스,아트가 앗뜨거,1,3,3,10011,2,10,1,162,7.6,0,2,0
59,40005,패배,잔나,Dutch Coffee,2,5,5,7692,5,24,5,11,0.5,0,2,0
60,40006,패배,갱플랭크,삶이힘든사람,2,5,1,13551,5,18,1,206,8.0,0,0,1
61,40006,패배,세주아니,좋은날,2,8,3,9048,8,39,5,110,4.3,0,0,1
62,40006,패배,조이,삼성갤럭시 Crown,0,8,2,12063,3,13,5,181,7.0,0,0,1
63,40006,패배,칼리스타,아트가 앗뜨거,5,6,2,14988,2,9,8,220,8.6,0,0,1
64,40006,패배,브라움,Dutch Coffee,1,4,7,5484,5,22,4,34,1.3,0,0,1
65,40006,승리,카밀,쌀국수뚝붸기,4,3,8,16291,0,10,6,218,8.5,1,2,8
66,40006,승리,자르반 4세,Wilder,6,2,13,9851,5,21,9,144,5.6,1,2,8
67,40006,승리,애니비아,송하영 팬,13,2,9,24423,1,11,4,245,9.5,1,2,8
68,40006,승리,미스 포츈,VIP 민형,6,2,12,18439,4,13,9,225,8.8,1,2,8
69,40006,승리,모르가나,BtC Joker,2,2,13,9101,12,40,15,20,0.8,1,2,8
70,40007,승리,제이스,삶이힘든사람,4,2,8,14312,5,27,5,202,8.4,0,2,5
