,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60279,승리,오른,진쟤승,4,2,8,13079,1,5,4,140,5.9,1,1,10
1,60279,승리,렝가,shirushi,12,2,6,16659,8,24,10,109,4.6,1,1,10
2,60279,승리,라이즈,삼성갤럭시 Crown,5,4,6,13745,8,28,6,215,9.0,1,1,10
3,60279,승리,이즈리얼,FVV BETTY,9,0,11,32875,5,12,8,264,11.1,1,1,10
4,60279,승리,알리스타,BKKK,3,4,11,7132,6,24,7,43,1.8,1,1,10
5,60279,패배,일라오이,xaxaxaxaxa,4,7,0,17274,1,15,0,205,8.6,0,0,3
6,60279,패배,자르반 4세,w1sdom ovo,2,6,4,5509,4,18,6,97,4.1,0,0,3
7,60279,패배,아지르,chirchri,6,5,3,15132,4,10,9,201,8.4,0,0,3
8,60279,패배,시비르,RRRuleRRR,0,9,2,8017,3,12,6,185,7.8,0,0,3
9,60279,패배,탐 켄치,Plz No Die,0,6,5,6377,3,39,6,33,1.4,0,0,3
10,60280,승리,마오카이,죠토마킹,1,1,4,6104,1,5,4,144,7.9,0,2,6
11,60280,승리,카직스,shirushi,8,3,4,8270,4,18,4,103,5.6,0,2,6
12,60280,승리,아지르,삼성갤럭시 Crown,5,2,6,10836,3,11,3,166,9.1,0,2,6
13,60280,승리,조이,DWG BeryL,9,0,8,17908,3,15,1,144,7.9,0,2,6
14,60280,승리,탐 켄치,분당고 엄성현,1,1,10,5105,3,18,4,34,1.9,0,2,6
15,60280,패배,제이스,해운대잠만보,1,5,1,9275,1,11,0,129,7.1,0,0,0
16,60280,패배,렝가,오억만,4,6,2,5632,0,10,4,91,5.0,0,0,0
17,60280,패배,르블랑,꾸자니 똑땅해,1,4,5,8722,2,19,5,112,6.1,0,0,0
18,60280,패배,미스 포츈,BKKK,0,6,1,5295,0,7,3,104,5.7,0,0,0
19,60280,패배,레오나,ROX 곰,1,3,5,4004,3,10,7,28,1.5,0,0,0
20,60281,승리,나르,PuncHh,3,1,2,6493,3,12,3,151,7.3,0,3,5
21,60281,승리,자르반 4세,shirushi,5,1,7,7164,6,25,9,92,4.5,0,3,5
22,60281,승리,말자하,삼성갤럭시 Crown,3,3,4,6122,6,22,3,187,9.1,0,3,5
23,60281,승리,진,DWG BeryL,3,1,4,8386,5,13,4,166,8.1,0,3,5
24,60281,승리,제라스,DWG ShowMaker,0,1,7,7097,6,16,6,17,0.8,0,3,5
25,60281,패배,제이스,우철짱123,4,1,1,9756,3,20,4,188,9.1,0,0,1
