,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31214,승리,갱플랭크,미율치에오,3,4,9,21800,3,35,7,316,9.6,0,1,8
1,31214,승리,렝가,삼성갤럭시 하루,18,8,2,27957,11,44,11,148,4.5,0,1,8
2,31214,승리,말자하,삼성갤럭시 Crown,2,6,8,15524,9,21,10,270,8.2,0,1,8
3,31214,승리,이즈리얼,ROX Se0ngHwan,4,8,7,20033,3,18,4,252,7.6,0,1,8
4,31214,승리,미스 포츈,PuncHh,2,4,7,11937,13,79,23,44,1.3,0,1,8
5,31214,패배,제이스,Heiz4,3,10,6,24085,0,12,19,219,6.6,0,0,3
6,31214,패배,자르반 4세,So1o,10,4,9,15639,6,30,24,169,5.1,0,0,3
7,31214,패배,라이즈,KDM Edge,5,5,4,18850,6,14,4,296,9.0,0,0,3
8,31214,패배,바루스,어껭간만에찾아뵙,8,4,11,25692,5,15,15,257,7.8,0,0,3
9,31214,패배,제라스,김메피,4,6,11,19411,9,36,19,32,1.0,0,0,3
10,31215,승리,잭스,나네쫓다꿈소년,11,4,6,28697,1,14,4,222,8.6,0,1,9
11,31215,승리,니달리,삼성갤럭시 하루,6,4,4,14460,9,23,8,148,5.7,0,1,9
12,31215,승리,아지르,삼성갤럭시 Crown,1,5,9,17711,6,34,8,226,8.7,0,1,9
13,31215,승리,루시안,그러면안돼요짜샤,1,4,3,10744,2,10,2,236,9.1,0,1,9
14,31215,승리,알리스타,M1anhua,3,4,5,5710,8,24,12,51,2.0,0,1,9
15,31215,패배,갱플랭크,미율치에오,3,6,3,12825,1,16,3,186,7.2,0,1,2
16,31215,패배,세주아니,ROX Se0ngHwan,2,5,10,8040,6,37,13,118,4.6,0,1,2
17,31215,패배,벨코즈,KDM Edge,7,5,5,19374,2,13,2,179,6.9,0,1,2
18,31215,패배,시비르,어껭간만에찾아뵙,6,4,3,18911,1,10,2,265,10.3,0,1,2
19,31215,패배,쉔,supbest,3,2,9,8024,7,35,11,42,1.6,0,1,2
20,31216,패배,갱플랭크,쌀국수뚝붸기,2,9,5,17213,1,12,1,191,6.7,0,2,3
21,31216,패배,쉬바나,삼성갤럭시 하루,5,7,4,16578,8,14,6,150,5.3,0,2,3
22,31216,패배,라이즈,reMember Mistake,0,4,10,13054,6,28,3,214,7.5,0,2,3
23,31216,패배,칼리스타,Yumemiru Shonen,12,3,3,23696,0,10,8,279,9.8,0,2,3
24,31216,패배,브라움,천천히올라감,1,2,16,8193,8,29,3,66,2.3,0,2,3
25,31216,승리,케넨,담원 너구리,10,3,4,18745,4,14,6,279,9.8,1,2,9
26,31216,승리,세주아니,h1rb,3,4,8,8850,6,11,11,143,5.0,1,2,9
27,31216,승리,코르키,F0y,7,4,7,21918,2,11,10,243,8.5,1,2,9
28,31216,승리,진,비 브이 오 와이,2,3,12,21281,6,15,2,220,7.7,1,2,9
29,31216,승리,알리스타,Heart,3,6,10,12055,6,19,5,60,2.1,1,2,9
30,31217,승리,블라디미르,Alielie,7,5,6,25967,2,10,4,256,7.6,1,0,7
31,31217,승리,렝가,w1sdom ovo,8,7,10,19517,7,25,15,190,5.7,1,0,7
32,31217,승리,라이즈,으아으앙으아앙,2,4,10,20273,6,21,10,308,9.2,1,0,7
33,31217,승리,진,6학년4반장용준,16,1,7,30298,4,14,10,282,8.4,1,0,7
34,31217,승리,알리스타,삼성갤럭시 하루,0,6,16,8099,10,36,15,59,1.8,1,0,7
35,31217,패배,갱플랭크,담원 너구리,3,6,7,27033,4,17,9,273,8.2,1,2,4
36,31217,패배,자르반 4세,갱만가드림,7,4,10,16564,9,29,12,199,5.9,1,2,4
37,31217,패배,아지르,Fotune,8,8,8,31497,1,16,4,235,7.0,1,2,4
38,31217,패배,이즈리얼,Co1dplay,4,9,2,24851,1,18,4,219,6.5,1,2,4
39,31217,패배,미스 포츈,강고릴,1,6,8,17243,5,62,15,68,2.0,1,2,4
40,31218,승리,카밀,kfo,3,7,7,11119,0,13,5,233,7.5,2,2,9
41,31218,승리,니달리,삼성갤럭시 하루,7,3,11,16525,6,29,21,206,6.7,2,2,9
