,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40159,승리,잭스,RVS Poss,11,1,2,9976,1,8,1,126,7.8,0,1,5
1,40159,승리,자르반 4세,ZhanQiHuaYm,3,2,11,4895,2,14,2,70,4.3,0,1,5
2,40159,승리,탈리야,송하영 팬,8,1,8,12980,3,7,2,115,7.1,0,1,5
3,40159,승리,칼리스타,chijixuanshou,2,2,7,6597,4,17,1,148,9.1,0,1,5
4,40159,승리,라칸,삼성갤럭시CoreJJ,2,3,12,5443,3,16,5,6,0.4,0,1,5
5,40159,패배,카밀,Heiz4,1,9,1,5963,0,5,0,63,3.9,0,0,0
6,40159,패배,니달리,종학윙,4,3,3,4059,2,7,2,79,4.9,0,0,0
7,40159,패배,말자하,Heart,1,6,4,6624,2,8,2,121,7.5,0,0,0
8,40159,패배,이즈리얼,DS XiaoPeng,2,5,1,4861,2,6,4,89,5.5,0,0,0
9,40159,패배,알리스타,천천히올라감,1,3,4,3541,4,19,4,14,0.9,0,0,0
10,40160,패배,갱플랭크,RVS Poss,0,3,0,9190,2,8,2,114,7.1,0,0,0
11,40160,패배,신지드,네 명의 짐승 팀,2,3,0,2980,2,4,0,70,4.4,0,0,0
12,40160,패배,조이,멘탈 실력 운,0,3,2,4490,1,13,1,147,9.2,0,0,0
13,40160,패배,코그모,VIP 민형,0,3,0,3460,1,6,3,128,8.0,0,0,0
14,40160,패배,타릭,삼성갤럭시CoreJJ,0,3,0,2017,3,11,5,27,1.7,0,0,0
15,40160,승리,피오라,지현이의빗자루,4,0,2,11345,2,17,1,127,8.0,0,2,5
16,40160,승리,쉬바나,yizhiyu,6,0,3,5619,2,5,3,117,7.3,0,2,5
17,40160,승리,말자하,삼성갤럭시 Crown,2,2,2,3961,4,9,1,144,9.0,0,2,5
18,40160,승리,이즈리얼,991126,1,0,6,6758,0,7,2,137,8.6,0,2,5
19,40160,승리,알리스타,IGS Coli,2,0,7,2612,4,12,3,22,1.4,0,2,5
20,40161,승리,카밀,우철짱123,3,4,2,10820,2,4,1,158,7.2,1,1,3
21,40161,승리,니달리,Cuz2,4,1,8,13420,2,17,14,205,9.3,1,1,3
22,40161,승리,제이스,단군의청춘부재,6,5,5,11324,3,12,1,186,8.5,1,1,3
23,40161,승리,진,원딜둥이,3,3,9,8318,2,10,3,177,8.0,1,1,3
24,40161,승리,탐 켄치,삼성갤럭시CoreJJ,4,3,13,8851,7,22,15,33,1.5,1,1,3
25,40161,패배,쉔,MVP ADD,1,4,5,9986,4,12,0,146,6.6,0,0,3
26,40161,패배,자르반 4세,P2k Key,7,1,7,7447,2,17,9,130,5.9,0,0,3
27,40161,패배,케넨,송하영 팬,3,5,6,11795,3,10,4,159,7.2,0,0,3
28,40161,패배,애쉬,튀자튀자아,4,5,6,12892,3,9,2,176,8.0,0,0,3
29,40161,패배,알리스타,FVV BETTY,1,5,6,4867,10,26,8,36,1.6,0,0,3
30,40162,승리,제이스,MVP ADD,3,4,5,13738,4,15,9,235,8.9,0,2,8
31,40162,승리,니달리,삼성갤럭시 하루,13,3,8,23468,7,22,10,157,5.9,0,2,8
32,40162,승리,조이,Fotune,3,4,12,14352,3,17,2,207,7.8,0,2,8
33,40162,승리,진,삼성갤럭시CoreJJ,9,5,12,21397,7,14,6,207,7.8,0,2,8
34,40162,승리,타릭,fengquyunbuhui,5,3,17,3290,1,30,6,60,2.3,0,2,8
35,40162,패배,카밀,FeelsIronMan,3,2,4,8882,2,13,6,196,7.4,1,0,1
36,40162,패배,카직스,Cuz2,7,6,4,13603,1,21,12,118,4.5,1,0,1
37,40162,패배,애니비아,송하영 팬,5,6,4,12771,4,12,3,216,8.1,1,0,1
38,40162,패배,이즈리얼,튀자튀자아,1,10,5,13703,3,14,4,172,6.5,1,0,1
39,40162,패배,카르마,으아으앙으아앙,2,9,4,9259,3,30,8,24,0.9,1,0,1
40,40163,패배,라이즈,find myself,7,3,0,17781,2,4,2,234,9.7,0,0,2
41,40163,패배,렝가,삼성갤럭시 하루,3,3,1,5823,5,20,5,136,5.7,0,0,2
42,40163,패배,신드라,송하영 팬,3,5,4,13888,3,12,9,187,7.8,0,0,2
43,40163,패배,이즈리얼,으아으앙으아앙,0,5,0,10166,3,15,5,156,6.5,0,0,2
44,40163,패배,쉔,삼성갤럭시CoreJJ,0,4,2,4815,7,23,8,50,2.1,0,0,2
45,40163,승리,케넨,Like Waves,2,3,2,10104,3,9,1,200,8.3,1,3,8
46,40163,승리,쉬바나,yizhiyu,5,3,5,10787,4,7,13,197,8.2,1,3,8
47,40163,승리,피즈,피넛사냥개1,6,4,5,14439,3,19,5,162,6.7,1,3,8
48,40163,승리,미스 포츈,그러면안돼요짜샤,3,2,8,19707,2,17,3,206,8.6,1,3,8
49,40163,승리,탐 켄치,YserAoA,4,1,5,8127,9,27,7,42,1.7,1,3,8
50,40164,패배,나르,FeelsIronMan,2,10,0,10365,2,14,2,109,5.4,0,0,2
51,40164,패배,세주아니,wo yao qu daye,0,0,3,3505,5,35,10,125,6.2,0,0,2
52,40164,패배,라이즈,ROYG,0,3,2,4900,1,4,1,176,8.7,0,0,2
53,40164,패배,미스 포츈,YM  zhongdan,5,3,0,7951,1,7,2,153,7.5,0,0,2
54,40164,패배,알리스타,삼성갤럭시CoreJJ,1,2,2,3028,4,21,3,31,1.5,0,0,2
55,40164,승리,마오카이,나는야베이베이1,3,1,9,9287,4,18,2,89,4.4,0,1,3
56,40164,승리,카직스,PuncHh,8,1,3,11816,7,21,11,106,5.2,0,1,3
57,40164,승리,탈리야,푸딩은푸딩해,6,1,2,14353,4,12,8,216,10.6,0,1,3
58,40164,승리,진,FeelsCoffeeMan,1,0,6,9355,1,8,2,185,9.1,0,1,3
59,40164,승리,카르마,Empmuyi,0,5,5,5011,2,31,4,5,0.2,0,1,3
60,40165,패배,카밀,Heiz4,1,8,0,15292,0,10,8,244,8.1,1,2,7
61,40165,패배,세주아니,PuncHh,5,1,12,11509,8,12,18,175,5.8,1,2,7
62,40165,패배,탈리야,송하영 팬,9,8,4,23580,1,12,6,243,8.1,1,2,7
63,40165,패배,미스 포츈,GALA,5,5,4,20950,3,18,4,266,8.8,1,2,7
64,40165,패배,탐 켄치,삼성갤럭시CoreJJ,1,6,9,6264,10,40,17,61,2.0,1,2,7
65,40165,승리,제이스,암고잉빽투더스탙,9,3,3,28909,1,28,4,304,10.1,1,1,8
66,40165,승리,니달리,DS XiaoPeng,9,5,8,19972,4,26,11,189,6.3,1,1,8
67,40165,승리,라이즈,마산가자,2,6,11,18926,6,33,7,278,9.2,1,1,8
68,40165,승리,진,Mengqiuqiu,5,2,10,22728,2,13,9,261,8.7,1,1,8
69,40165,승리,마오카이,진쟤승,3,5,17,12226,7,37,7,68,2.3,1,1,8
70,40166,패배,마오카이,마산가자,2,7,7,13205,4,19,8,201,5.8,0,0,2
71,40166,패배,니달리,PuncHh,4,5,9,13696,12,47,32,218,6.3,0,0,2
72,40166,패배,피들스틱,FW Maple,3,7,4,19605,4,20,9,250,7.2,0,0,2
73,40166,패배,트리스타나,Mengqiuqiu,7,5,5,32310,1,28,15,376,10.9,0,0,2
74,40166,패배,브라움,삼성갤럭시CoreJJ,2,3,13,11649,9,44,12,63,1.8,0,0,2
75,40166,승리,제이스,Heiz4,8,6,4,27716,0,10,6,225,6.5,1,2,10
76,40166,승리,리 신,트와이스 원스,6,2,15,15994,4,58,10,185,5.3,1,2,10
77,40166,승리,아지르,By myself,8,2,10,42528,5,39,12,298,8.6,1,2,10
78,40166,승리,진,GALA,4,4,11,18390,3,15,10,257,7.4,1,2,10
79,40166,승리,알리스타,sqb,1,4,16,9890,8,51,21,56,1.6,1,2,10
80,40167,패배,오른,find myself,7,7,7,21952,2,9,3,220,6.9,0,2,3
81,40167,패배,니달리,DS XiaoPeng,4,7,6,15681,3,25,18,200,6.3,0,2,3
82,40167,패배,조이,Fotune,5,5,9,33467,1,20,4,236,7.4,0,2,3
83,40167,패배,진,ktmgs,6,6,9,28456,5,15,8,266,8.3,0,2,3
84,40167,패배,브라움,삼성갤럭시CoreJJ,1,5,14,10364,12,39,16,66,2.1,0,2,3
85,40167,승리,케넨,Co1dplay,10,7,3,19035,2,15,5,259,8.1,1,1,10
86,40167,승리,세주아니,마이엠브,3,4,14,12826,8,47,10,158,4.9,1,1,10
87,40167,승리,제이스,11 14 9 7 8 20,11,2,8,38627,1,5,19,320,10.0,1,1,10
88,40167,승리,미스 포츈,강고릴,5,3,8,19190,3,25,6,258,8.1,1,1,10
89,40167,승리,마오카이,진쟤승,1,7,20,13201,6,39,10,61,1.9,1,1,10
90,40168,패배,케넨,find myself,5,9,3,26313,1,9,4,204,6.9,0,0,1
91,40168,패배,카직스,마이엠브,11,3,5,16810,11,25,14,163,5.5,0,0,1
92,40168,패배,조이,Fotune,5,6,8,30480,3,20,6,246,8.4,0,0,1
93,40168,패배,미스 포츈,삼성갤럭시CoreJJ,3,9,4,20723,4,22,6,214,7.3,0,0,1
94,40168,패배,알리스타,supbest,0,8,8,8140,9,29,9,43,1.5,0,0,1
95,40168,승리,나르,TOP아빠,5,5,5,15175,2,24,5,221,7.5,1,1,8
96,40168,승리,니달리,DS XiaoPeng,6,4,8,16260,2,27,18,170,5.8,1,1,8
97,40168,승리,제이스,11 14 9 7 8 20,11,6,10,35236,4,10,19,263,9.0,1,1,8
98,40168,승리,진,암고잉빽투더스탙,7,4,11,22774,3,13,12,259,8.8,1,1,8
99,40168,승리,마오카이,진쟤승,6,5,18,17904,5,31,6,53,1.8,1,1,8
100,40169,승리,말파이트,Shi  Yue,7,4,9,23377,3,13,2,251,7.1,1,4,7
101,40169,승리,쉬바나,Heiz4,5,11,11,16911,2,11,20,210,5.9,1,4,7
102,40169,승리,라이즈,피넛사냥개2,3,3,6,23256,5,22,12,357,10.1,1,4,7
103,40169,승리,진,바보팀원,9,8,5,26712,2,15,12,291,8.2,1,4,7
104,40169,승리,타릭,삼성갤럭시CoreJJ,2,6,17,8079,13,45,22,102,2.9,1,4,7
105,40169,패배,갱플랭크,뒷텔와드점,5,7,8,31656,4,21,5,299,8.4,1,1,4
106,40169,패배,엘리스,9346,3,6,14,19916,2,49,5,157,4.4,1,1,4
107,40169,패배,탈리야,KDM PERT,10,2,9,31404,2,40,6,339,9.6,1,1,4
108,40169,패배,미스 포츈,혼자해도충분하다,7,7,12,22977,0,13,5,271,7.7,1,1,4
109,40169,패배,르블랑,박효신사생팬,5,4,18,18211,6,34,9,24,0.7,1,1,4
110,40170,승리,갱플랭크,Shi  Yue,6,3,4,15364,1,7,2,179,8.9,0,2,10
111,40170,승리,쉬바나,Cuz2,6,2,2,9781,3,8,5,152,7.5,0,2,10
112,40170,승리,카서스,벤센트불탄,4,0,5,11470,2,2,2,204,10.1,0,2,10
113,40170,승리,진,RRRuleRRR,5,2,2,9753,2,8,3,187,9.3,0,2,10
114,40170,승리,타릭,삼성갤럭시CoreJJ,1,1,9,4289,6,18,7,48,2.4,0,2,10
115,40170,패배,잭스,뒷텔와드점,1,7,1,6182,0,9,1,104,5.2,0,0,0
116,40170,패배,자르반 4세,Destined,2,3,4,5373,4,14,3,91,4.5,0,0,0
117,40170,패배,자이라,슼코치청소슼삭,1,5,2,13102,1,5,3,169,8.4,0,0,0
118,40170,패배,애쉬,DWG BeryL,0,5,2,6982,3,9,3,120,6.0,0,0,0
119,40170,패배,미스 포츈,walking300 fan,4,2,1,9053,2,13,4,46,2.3,0,0,0
120,40171,패배,제이스,해운대잠만보,4,7,6,28812,2,47,16,328,8.3,1,1,4
121,40171,패배,리 신,Wilder,6,8,6,14983,7,55,17,143,3.6,1,1,4
122,40171,패배,탈리야,IGS Dasher,2,5,5,19510,9,29,8,332,8.4,1,1,4
123,40171,패배,칼리스타,DWG ShowMaker,2,7,8,10880,5,31,12,355,9.0,1,1,4
124,40171,패배,자이라,삼성갤럭시CoreJJ,5,3,10,33991,14,90,31,105,2.7,1,1,4
125,40171,승리,마오카이,담원 너구리,5,5,8,20929,4,21,17,296,7.5,1,4,10
126,40171,승리,이즈리얼,작전동 노란머리,8,3,12,28847,9,50,33,322,8.2,1,4,10
127,40171,승리,아지르,이도류,4,6,6,25762,5,21,25,364,9.2,1,4,10
128,40171,승리,바루스,아 백,7,2,9,20892,6,18,28,293,7.4,1,4,10
129,40171,승리,제라스,FeelsSosoMan,6,3,11,28413,5,49,15,75,1.9,1,4,10
130,40172,승리,나르,JAG S0hwan,2,1,8,11897,2,19,2,210,9.4,1,3,5
