,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60000,승리,오른,TOP아빠,5,5,10,14723,1,11,2,236,8.3,1,0,7
1,60000,승리,이즈리얼,I will not lose,8,4,9,23515,6,10,12,181,6.4,1,0,7
2,60000,승리,오리아나,성민콩,3,3,15,21555,6,18,5,258,9.1,1,0,7
3,60000,승리,미스 포츈,SKT T1 WoIf,4,8,9,13407,4,19,5,170,6.0,1,0,7
4,60000,승리,알리스타,Mengqiuqiu,5,1,13,8306,9,44,15,51,1.8,1,0,7
5,60000,패배,쉔,supbest,2,4,8,8970,5,16,4,187,6.6,0,2,5
6,60000,패배,자르반 4세,TeawaN,4,5,10,11116,4,18,4,169,5.9,0,2,5
7,60000,패배,빅토르,학교밀베포친키,2,7,3,16532,4,27,13,220,7.7,0,2,5
8,60000,패배,드레이븐,kiyomia,9,7,6,24649,0,6,7,218,7.7,0,2,5
9,60000,패배,잔나,리인제이,4,2,11,13716,8,68,16,37,1.3,0,2,5
10,60001,패배,피오라,TOP아빠,3,6,1,10104,1,11,8,202,7.6,0,2,3
11,60001,패배,니달리,I will not lose,6,5,2,13325,4,43,14,181,6.8,0,2,3
12,60001,패배,말자하,MVP Ian,2,5,2,10534,4,12,6,283,10.6,0,2,3
13,60001,패배,바루스,성민콩,3,6,4,15410,1,17,5,224,8.4,0,2,3
14,60001,패배,알리스타,DS XiaoPeng,2,8,5,5291,5,48,13,44,1.7,0,2,3
15,60001,승리,제이스,Co1dplay,9,5,12,21935,1,27,6,229,8.6,0,0,11
16,60001,승리,세주아니,좋은날,3,3,14,10204,9,38,19,125,4.7,0,0,11
17,60001,승리,트위스티드 페이트,ysdgqxcj,10,0,14,21754,3,10,7,239,9.0,0,0,11
18,60001,승리,미스 포츈,Afreeca M0wgli,5,1,15,19375,9,17,13,186,7.0,0,0,11
19,60001,승리,모르가나,강고릴,3,7,18,10111,8,33,10,22,0.8,0,0,11
20,60002,승리,세주아니,du jia0 shou,1,2,8,4971,1,3,0,95,6.1,0,0,2
21,60002,승리,니달리,I will not lose,7,2,6,10453,2,20,0,83,5.4,0,0,2
22,60002,승리,다이애나,이야공,3,2,8,6905,2,5,2,126,8.1,0,0,2
23,60002,승리,이즈리얼,성민콩,2,0,4,6318,1,8,1,147,9.5,0,0,2
24,60002,승리,알리스타,walking300 fan,7,1,7,4657,3,13,4,17,1.1,0,0,2
25,60002,패배,야스오,Pz ZZang,3,6,1,11533,0,5,1,105,6.8,0,0,0
26,60002,패배,신 짜오,너를 사랑해 X,2,4,3,3444,2,7,4,68,4.4,0,0,0
27,60002,패배,라이즈,Beam On,1,4,1,3217,2,6,0,116,7.5,0,0,0
