,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30678,승리,오른,삶이힘든사람,4,6,21,28649,14,30,12,293,5.9,0,1,7
1,30678,승리,렝가,오억만,11,13,12,32544,2,89,43,286,5.7,0,1,7
2,30678,승리,말자하,Heart,14,11,16,46044,2,29,19,487,9.8,0,1,7
3,30678,승리,진,chirchri,17,7,20,44604,4,24,20,315,6.3,0,1,7
4,30678,승리,제라스,세메론,8,9,22,54967,4,54,19,218,4.4,0,1,7
5,30678,패배,제이스,암고잉빽투더스탙,10,10,8,39602,2,66,21,345,6.9,3,3,10
6,30678,패배,카직스,7895123,13,11,12,25278,7,29,15,256,5.1,3,3,10
7,30678,패배,이즈리얼,deft123456,11,11,10,79716,4,33,16,443,8.9,3,3,10
8,30678,패배,미스 포츈,비 브이 오 와이,7,9,10,30421,7,23,24,370,7.4,3,3,10
9,30678,패배,카르마,SKT T1 WoIf,5,13,13,21845,12,72,14,47,0.9,3,3,10
10,30679,승리,카밀,세메론,5,1,3,11797,1,8,0,130,7.9,0,1,3
11,30679,승리,니달리,sanspareil1,5,4,6,8178,2,5,0,92,5.6,0,1,3
12,30679,승리,탈리야,푸딩은푸딩해,3,2,1,4628,3,8,1,150,9.1,0,1,3
13,30679,승리,미스 포츈,비 브이 오 와이,2,0,3,5510,3,8,3,159,9.7,0,1,3
14,30679,승리,쉔,호경모드,2,2,5,2879,4,15,6,35,2.1,0,1,3
15,30679,패배,나르,춘봉박,1,6,2,8479,1,6,1,102,6.2,0,0,0
16,30679,패배,렝가,chijixuanshou,2,4,5,5709,2,15,3,95,5.8,0,0,0
17,30679,패배,베이가,ZhanQiHuaYm,3,3,1,6177,2,7,1,118,7.2,0,0,0
18,30679,패배,진,FVV BETTY,3,4,0,4014,2,6,1,107,6.5,0,0,0
19,30679,패배,제라스,으아으앙으아앙,0,0,0,4597,2,10,4,11,0.7,0,0,0
20,30680,승리,갱플랭크,세메론,7,7,10,18632,2,19,0,174,6.4,0,1,7
21,30680,승리,니달리,sanspareil1,11,3,9,17756,6,11,15,182,6.7,0,1,7
22,30680,승리,아우렐리온 솔,푸딩은푸딩해,15,3,6,23503,2,7,10,223,8.2,0,1,7
23,30680,승리,진,비 브이 오 와이,0,2,16,19091,3,11,11,221,8.1,0,1,7
24,30680,승리,탐 켄치,호경모드,2,4,13,8735,12,32,7,52,1.9,0,1,7
25,30680,패배,오른,암고잉빽투더스탙,4,8,7,16613,0,11,2,174,6.4,0,1,2
26,30680,패배,렝가,작전동 노란머리,7,10,3,21050,5,25,6,137,5.0,0,1,2
27,30680,패배,탈리야,으아으앙으아앙,2,5,3,19875,3,25,3,242,8.9,0,1,2
28,30680,패배,미스 포츈,상어가족,2,7,3,16428,1,11,2,193,7.1,0,1,2
29,30680,패배,쉔,RVS Poss,4,5,2,7545,6,31,9,40,1.5,0,1,2
30,30681,패배,나르,RVS Poss,1,6,0,5808,4,12,0,75,4.9,0,0,0
31,30681,패배,리 신,TeawaN,2,8,0,3566,5,17,5,54,3.5,0,0,0
32,30681,패배,갈리오,kenzhu9,1,5,1,4654,2,12,1,101,6.6,0,0,0
33,30681,패배,시비르,비 브이 오 와이,0,3,1,5459,2,7,2,98,6.4,0,0,0
34,30681,패배,제라스,세메론,0,4,0,5069,2,8,2,8,0.5,0,0,0
35,30681,승리,카밀,kfo,4,1,3,7408,1,5,3,119,7.8,0,0,4
36,30681,승리,카직스,KDM 유준,11,0,4,12440,1,12,5,73,4.8,0,0,4
37,30681,승리,탈리야,으아으앙으아앙,2,2,5,8294,3,15,4,137,9.0,0,0,4
38,30681,승리,진,LPL noob ad QAQ,6,1,5,8474,1,6,0,123,8.1,0,0,4
39,30681,승리,탐 켄치,Gazuaaaaaaa,3,0,7,3898,5,14,2,28,1.8,0,0,4
40,30682,패배,블라디미르,kfo,1,2,0,6292,1,10,7,200,10.0,0,1,1
41,30682,패배,카직스,259x,1,3,4,5275,3,15,6,90,4.5,0,1,1
42,30682,패배,말자하,성민콩,1,4,1,4515,3,9,2,152,7.6,0,1,1
43,30682,패배,진,세메론,3,5,1,9106,1,9,2,154,7.7,0,1,1
44,30682,패배,오른,DWG BeryL,1,4,3,6838,9,32,5,36,1.8,0,1,1
45,30682,승리,나르,7hal,1,2,4,8924,4,13,2,188,9.4,0,2,3
46,30682,승리,쉬바나,PeanuToT,10,0,2,10485,4,12,8,155,7.7,0,2,3
47,30682,승리,아지르,MataMataMata,0,1,3,5397,7,12,1,186,9.3,0,2,3
48,30682,승리,바루스,비 브이 오 와이,3,3,10,9922,2,10,6,161,8.0,0,2,3
49,30682,승리,알리스타,supbest,4,1,8,6048,4,15,4,29,1.4,0,2,3
50,30683,승리,마오카이,세메론,4,3,9,12065,0,12,4,195,7.2,1,1,7
51,30683,승리,리 신,PeanuToT,3,5,9,10464,3,44,7,156,5.7,1,1,7
52,30683,승리,탈리야,풀 뜯는 미드,7,4,5,20392,4,27,6,240,8.8,1,1,7
53,30683,승리,미스 포츈,FVV BETTY,4,2,8,12365,4,19,6,276,10.2,1,1,7
54,30683,승리,쉔,FeelsIronMan,3,0,11,5464,10,42,14,72,2.7,1,1,7
55,30683,패배,럼블,7hal,5,4,1,20905,3,9,1,264,9.7,0,1,5
56,30683,패배,카직스,sanspareil1,4,6,4,9845,8,27,12,134,4.9,0,1,5
57,30683,패배,코르키,성민콩,2,4,4,13960,3,11,6,250,9.2,0,1,5
58,30683,패배,시비르,Rain1ng,2,2,3,16728,0,8,13,235,8.7,0,1,5
59,30683,패배,레오나,호잇이,1,5,4,4895,10,36,26,63,2.3,0,1,5
60,30684,패배,카밀,세메론,8,12,6,25694,3,18,8,283,8.2,2,1,5
61,30684,패배,자르반 4세,PuncHh,6,7,13,16322,12,37,10,153,4.4,2,1,5
62,30684,패배,탈리야,푸딩은푸딩해,10,2,7,32899,3,7,6,343,9.9,2,1,5
63,30684,패배,애쉬,먹는건즐거워,1,7,10,14263,2,11,9,303,8.8,2,1,5
64,30684,패배,브라움,supbest,1,5,16,6405,16,60,12,70,2.0,2,1,5
65,30684,승리,잭스,빅파이초코파이,9,8,8,29020,5,18,6,292,8.4,0,3,10
66,30684,승리,니달리,DS XiaoPeng,9,5,9,20937,3,26,19,213,6.2,0,3,10
