,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,20800,승리,사이온,Gazuaaaaaaa,2,1,12,15946,10,26,6,292,7.6,2,4,8
1,20800,승리,니달리,So1o,13,7,9,26833,1,26,15,217,5.7,2,4,8
2,20800,승리,탈리야,송하영 팬,11,5,8,31873,2,19,5,322,8.4,2,4,8
3,20800,승리,트리스타나,KDM SSol,10,4,10,48219,2,25,10,375,9.8,2,4,8
4,20800,승리,알리스타,KDM 유준,1,6,17,7281,13,52,16,35,0.9,2,4,8
5,20800,패배,제이스,우에하라 크롱,3,6,6,26328,4,41,10,298,7.8,0,0,3
6,20800,패배,세주아니,좋은날,0,12,9,11305,11,38,23,154,4.0,0,0,3
7,20800,패배,코르키,reMember Mistake,11,5,8,34868,5,23,10,377,9.9,0,0,3
8,20800,패배,미스 포츈,MVP Ian,2,8,9,27987,3,16,4,294,7.7,0,0,3
9,20800,패배,쉔,오억만,7,6,6,18089,0,53,11,92,2.4,0,0,3
10,20801,승리,오른,Co1dplay,3,4,8,14012,1,9,4,144,6.0,0,2,8
11,20801,승리,렝가,w1sdom ovo,17,1,5,26357,2,18,11,141,5.9,0,2,8
12,20801,승리,애니비아,송하영 팬,2,3,8,12454,2,11,4,194,8.1,0,2,8
13,20801,승리,이즈리얼,KDM SSol,12,3,4,20080,1,13,5,176,7.4,0,2,8
14,20801,승리,카르마,강고릴,2,3,11,10035,7,20,7,26,1.1,0,2,8
15,20801,패배,카밀,TnTeddy,3,12,5,17463,0,18,2,145,6.1,0,0,0
16,20801,패배,니달리,So1o,4,10,3,7416,4,20,11,122,5.1,0,0,0
17,20801,패배,탈리야,최석배 사생팬,2,6,6,11645,2,9,4,222,9.3,0,0,0
18,20801,패배,미스 포츈,Greed A Pride,5,1,4,17245,5,21,2,165,6.9,0,0,0
19,20801,패배,마오카이,Lucete,0,7,5,4218,3,21,2,24,1.0,0,0,0
20,20802,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
21,20802,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
22,20802,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
23,20802,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
24,20802,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
25,20802,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
26,20802,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
27,20802,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
28,20802,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
29,20802,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
30,20803,패배,오른,Kingen,5,7,7,29964,1,17,9,256,7.3,1,3,5
31,20803,패배,자르반 4세,Twink1e,8,7,9,15705,4,22,11,162,4.6,1,3,5
32,20803,패배,탈리야,송하영 팬,6,11,11,26038,4,18,3,216,6.1,1,3,5
33,20803,패배,미스 포츈,Excal1bur1,6,6,11,23742,4,34,19,305,8.7,1,3,5
34,20803,패배,제라스,최석배 사생팬,5,5,11,30835,4,37,11,56,1.6,1,3,5
35,20803,승리,갱플랭크,피넛사냥개2,6,4,13,32263,1,25,5,344,9.8,1,1,8
36,20803,승리,니달리,PuncHh,7,4,14,23788,5,23,13,225,6.4,1,1,8
37,20803,승리,라이즈,마산가자,7,7,14,30909,5,17,8,301,8.5,1,1,8
38,20803,승리,진,구름꽃길만걷자,9,7,11,30136,2,12,7,265,7.5,1,1,8
39,20803,승리,쉔,534N,7,8,14,10958,5,64,16,90,2.6,1,1,8
40,20804,승리,잭스,나네쫓다꿈소년,6,2,3,8212,0,8,1,166,10.3,0,0,6
41,20804,승리,자르반 4세,M1anhua,8,0,5,6815,2,13,3,85,5.3,0,0,6
42,20804,승리,탈리야,송하영 팬,4,2,4,10009,2,8,1,116,7.2,0,0,6
43,20804,승리,진,김메피,5,1,4,8886,3,8,1,137,8.5,0,0,6
44,20804,승리,쉔,JAG S0hwan,2,1,8,5950,3,9,4,31,1.9,0,0,6
45,20804,패배,케넨,Kingen,4,8,0,8191,1,7,1,90,5.6,0,0,0
46,20804,패배,카직스,PuncHh,0,5,2,4278,2,12,1,59,3.7,0,0,0
47,20804,패배,말자하,지현이의빗자루,1,4,0,5425,1,6,3,95,5.9,0,0,0
48,20804,패배,미스 포츈,담원 얼라이브,1,3,1,6115,2,5,3,122,7.6,0,0,0
49,20804,패배,알리스타,IGS Coli,0,5,3,3233,4,10,1,19,1.2,0,0,0
50,20805,승리,잭스,RVS Poss,11,1,2,9976,1,8,1,126,7.8,0,1,5
51,20805,승리,자르반 4세,ZhanQiHuaYm,3,2,11,4895,2,14,2,70,4.3,0,1,5
52,20805,승리,탈리야,송하영 팬,8,1,8,12980,3,7,2,115,7.1,0,1,5
53,20805,승리,칼리스타,chijixuanshou,2,2,7,6597,4,17,1,148,9.1,0,1,5
54,20805,승리,라칸,삼성갤럭시CoreJJ,2,3,12,5443,3,16,5,6,0.4,0,1,5
55,20805,패배,카밀,Heiz4,1,9,1,5963,0,5,0,63,3.9,0,0,0
56,20805,패배,니달리,종학윙,4,3,3,4059,2,7,2,79,4.9,0,0,0
57,20805,패배,말자하,Heart,1,6,4,6624,2,8,2,121,7.5,0,0,0
58,20805,패배,이즈리얼,DS XiaoPeng,2,5,1,4861,2,6,4,89,5.5,0,0,0
59,20805,패배,알리스타,천천히올라감,1,3,4,3541,4,19,4,14,0.9,0,0,0
60,20806,승리,제이스,Heiz4,2,5,9,11656,0,12,4,259,9.0,1,3,8
61,20806,승리,렝가,마산가자,7,3,12,16273,4,20,6,162,5.6,1,3,8
62,20806,승리,카사딘,송하영 팬,13,5,11,27869,5,14,3,215,7.5,1,3,8
63,20806,승리,미스 포츈,먹는건즐거워,5,0,11,14978,1,10,13,290,10.1,1,3,8
64,20806,승리,갱플랭크,Lvmao,7,3,15,13047,6,20,7,56,1.9,1,3,8
65,20806,패배,블라디미르,IGS Dasher,2,4,5,8387,5,17,2,242,8.4,0,0,4
66,20806,패배,엘리스,종학윙,3,7,10,8767,7,12,10,111,3.9,0,0,4
67,20806,패배,아지르,아테나찡,7,8,4,21619,4,11,5,245,8.5,0,0,4
68,20806,패배,이즈리얼,NekoL,3,6,4,16960,1,15,2,263,9.1,0,0,4
69,20806,패배,쉔,천천히올라감,1,9,7,3967,10,35,4,48,1.7,0,0,4
70,20807,패배,쉔,MVP ADD,1,4,5,9986,4,12,0,146,6.6,0,0,3
71,20807,패배,자르반 4세,P2k Key,7,1,7,7447,2,17,9,130,5.9,0,0,3
72,20807,패배,케넨,송하영 팬,3,5,6,11795,3,10,4,159,7.2,0,0,3
73,20807,패배,애쉬,튀자튀자아,4,5,6,12892,3,9,2,176,8.0,0,0,3
74,20807,패배,알리스타,FVV BETTY,1,5,6,4867,10,26,8,36,1.6,0,0,3
75,20807,승리,카밀,우철짱123,3,4,2,10820,2,4,1,158,7.2,1,1,3
76,20807,승리,니달리,Cuz2,4,1,8,13420,2,17,14,205,9.3,1,1,3
77,20807,승리,제이스,단군의청춘부재,6,5,5,11324,3,12,1,186,8.5,1,1,3
78,20807,승리,진,원딜둥이,3,3,9,8318,2,10,3,177,8.0,1,1,3
79,20807,승리,탐 켄치,삼성갤럭시CoreJJ,4,3,13,8851,7,22,15,33,1.5,1,1,3
80,20808,패배,카밀,FeelsIronMan,3,2,4,8882,2,13,6,196,7.4,1,0,1
81,20808,패배,카직스,Cuz2,7,6,4,13603,1,21,12,118,4.5,1,0,1
