,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50594,승리,갱플랭크,피넛사냥개2,5,2,7,18368,2,14,2,187,8.7,1,1,10
1,50594,승리,렝가,스마트섹시뷰티,8,1,5,11703,3,9,16,166,7.7,1,1,10
2,50594,승리,아지르,피넛사냥개1,13,1,6,22978,3,19,7,199,9.2,1,1,10
3,50594,승리,이즈리얼,혼자가 편해졌어,2,3,7,11103,2,14,10,181,8.4,1,1,10
4,50594,승리,탐 켄치,160810,0,1,10,4298,5,15,8,49,2.3,1,1,10
5,50594,패배,마오카이,h1rb,0,6,2,8370,1,8,0,111,5.2,0,0,0
6,50594,패배,세주아니,Plz No Die,0,9,4,6400,2,31,5,81,3.8,0,0,0
7,50594,패배,오리아나,PuncHh,2,7,3,6699,2,18,4,129,6.0,0,0,0
8,50594,패배,칼리스타,FVV BETTY,4,3,2,11388,2,11,3,206,9.6,0,0,0
9,50594,패배,잔나,IgNar,2,3,4,4883,9,28,2,6,0.3,0,0,0
10,50595,패배,갱플랭크,피넛사냥개2,1,10,3,14356,1,10,1,154,6.9,0,1,1
11,50595,패배,렝가,오억만,3,4,6,9818,1,20,11,129,5.8,0,1,1
12,50595,패배,말자하,최석배 사생팬,2,3,5,9360,2,7,11,176,7.9,0,1,1
13,50595,패배,진,SnakeLight,2,4,3,7663,0,6,3,212,9.5,0,1,1
14,50595,패배,타릭,스마트섹시뷰티,2,2,5,3500,7,22,7,53,2.4,0,1,1
15,50595,승리,카밀,덤벼보던가,8,3,5,21773,1,10,2,181,8.1,0,1,6
16,50595,승리,니달리,분당고 엄성현,8,2,6,10057,3,17,8,160,7.1,0,1,6
17,50595,승리,오리아나,PawN God,3,0,4,11745,5,26,7,249,11.1,0,1,6
18,50595,승리,미스 포츈,FVV BETTY,4,1,3,12992,3,13,2,205,9.1,0,1,6
19,50595,승리,알리스타,BKKK,0,4,8,4169,4,28,4,30,1.3,0,1,6
20,50596,승리,케넨,학교밀베포친키,2,8,8,10864,2,18,4,167,6.9,1,2,7
21,50596,승리,렝가,스마트섹시뷰티,11,3,9,16283,2,18,8,120,5.0,1,2,7
22,50596,승리,라이즈,PawN God,4,0,16,17288,6,16,10,195,8.1,1,2,7
23,50596,승리,진,비 브이 오 와이,10,2,9,19662,5,13,5,199,8.2,1,2,7
24,50596,승리,탐 켄치,호경모드,1,3,18,6943,9,26,9,47,1.9,1,2,7
25,50596,패배,나르,분당고 엄성현,8,3,3,16814,4,26,7,181,7.5,0,0,2
26,50596,패배,카직스,TeawaN,6,6,3,11344,5,22,6,117,4.8,0,0,2
27,50596,패배,트위스티드 페이트,SnakeLight,0,7,6,7372,3,9,3,176,7.3,0,0,2
28,50596,패배,칼리스타,FVV BETTY,1,5,3,7928,2,10,6,193,8.0,0,0,2
29,50596,패배,알리스타,Mengqiuqiu,1,7,5,5900,7,20,5,33,1.4,0,0,2
30,50597,패배,초가스,스마트섹시뷰티,1,6,1,9500,1,8,2,126,5.9,0,0,1
31,50597,패배,니달리,So1o,3,4,4,9859,4,20,9,125,5.8,0,0,1
32,50597,패배,제이스,진에어 저스티스,0,2,2,8529,4,10,6,184,8.6,0,0,1
33,50597,패배,바루스,RRRuleRRR,3,4,3,10612,4,18,6,200,9.3,0,0,1
34,50597,패배,마오카이,진쟤승,2,4,5,8195,4,21,5,41,1.9,0,0,1
35,50597,승리,그라가스,커피물조절장인,4,0,4,15991,2,11,2,150,7.0,0,2,5
36,50597,승리,쉬바나,작전동 노란머리,9,3,3,15373,5,10,9,192,9.0,0,2,5
37,50597,승리,아지르,MVP Ian,3,0,7,12218,4,24,2,220,10.3,0,2,5
38,50597,승리,이즈리얼,피넛사냥개1,3,2,9,11729,1,10,4,157,7.3,0,2,5
39,50597,승리,브라움,Nova1,1,4,11,4390,9,31,15,52,2.4,0,2,5
40,50598,패배,나르,어껭간만에찾아뵙,2,4,1,8624,1,13,2,212,7.5,0,0,2
41,50598,패배,카직스,스마트섹시뷰티,3,6,3,10374,6,15,2,110,3.9,0,0,2
42,50598,패배,라이즈,KDM PERT,1,4,1,4447,4,16,11,222,7.9,0,0,2
43,50598,패배,이즈리얼,담원 얼라이브,5,3,7,20819,3,10,14,250,8.9,0,0,2
