,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10611,승리,오른,KDM Edge,1,1,5,10246,1,3,0,98,6.1,0,1,4
1,10611,승리,이즈리얼,작전동 노란머리,10,2,3,10136,3,8,2,94,5.8,0,1,4
2,10611,승리,말자하,피넛사냥개1,9,4,1,8079,0,7,0,120,7.5,0,1,4
3,10611,승리,진,PuncHh,4,1,3,4454,1,6,1,128,8.0,0,1,4
4,10611,승리,카르마,슬프다고말하면,4,0,11,8608,3,13,5,11,0.7,0,1,4
5,10611,패배,일라오이,MVP ADD,2,5,0,9698,3,11,0,104,6.5,0,0,0
6,10611,패배,렝가,SKT T1 WoIf,0,7,1,2837,2,8,0,65,4.0,0,0,0
7,10611,패배,제이스,Lucete,4,6,0,5722,3,9,0,89,5.5,0,0,0
8,10611,패배,티모,학식먹을나이,2,6,0,5073,1,7,1,95,5.9,0,0,0
9,10611,패배,제라스,김메피,0,4,1,3460,4,7,0,38,2.4,0,0,0
10,10612,승리,니달리,sanspareil1,9,3,12,16870,4,15,5,184,6.2,0,2,10
11,10612,승리,제이스,Fotune,8,2,12,23175,6,17,4,276,9.4,0,2,10
12,10612,승리,잭스,Possible tts,6,2,15,17591,1,19,8,217,7.4,0,2,10
13,10612,승리,케넨,슬프다고말하면,4,7,13,10567,14,49,13,15,0.5,0,2,10
14,10612,승리,미스 포츈,혼자해도충분하다,3,2,15,16463,2,12,3,214,7.3,0,2,10
15,10612,패배,자야,SnakeLight,10,4,3,21663,1,9,7,297,10.1,1,0,3
16,10612,패배,자르반 4세,송하영 팬,1,6,9,8639,6,18,4,140,4.7,1,0,3
17,10612,패배,라칸,호잇이,0,6,11,4319,10,38,15,20,0.7,1,0,3
18,10612,패배,라이즈,Awe BarOh,1,3,5,9944,2,13,0,268,9.1,1,0,3
19,10612,패배,카밀,Gon123,4,11,1,16606,2,14,0,180,6.1,1,0,3
20,10613,승리,세주아니,chi le kou shi,6,2,12,21200,2,12,2,221,6.6,0,3,11
21,10613,승리,자르반 4세,커피물조절장인,4,5,13,14613,4,26,18,197,5.9,0,3,11
22,10613,승리,르블랑,성혁님미드가신다,12,3,9,30527,5,31,15,300,9.0,0,3,11
23,10613,승리,칼리스타,FVV BETTY,6,3,8,23062,6,14,15,341,10.2,0,3,11
24,10613,승리,케넨,슬프다고말하면,2,5,19,13913,12,47,34,39,1.2,0,3,11
25,10613,패배,쉔,ROX Sangyoon,5,4,5,17653,1,13,2,273,8.1,0,0,2
26,10613,패배,엘리스,chirchri,4,7,7,11099,7,36,10,91,2.7,0,0,2
27,10613,패배,아지르,By myself,4,4,3,21149,6,36,11,282,8.4,0,0,2
28,10613,패배,미스 포츈,비 브이 오 와이,1,5,7,16356,3,30,10,256,7.6,0,0,2
29,10613,패배,알리스타,Nova1,3,10,9,8781,14,56,15,40,1.2,0,0,2
30,10614,승리,마오카이,ROX Sangyoon,2,2,8,5391,4,9,3,160,7.6,0,0,5
31,10614,승리,렝가,SKT T1 WoIf,8,2,4,10465,3,15,5,141,6.7,0,0,5
32,10614,승리,조이,By myself,3,1,6,11725,7,23,4,174,8.3,0,0,5
33,10614,승리,미스 포츈,FVV BETTY,3,0,2,11782,3,21,9,196,9.4,0,0,5
34,10614,승리,브라움,슬프다고말하면,0,0,8,2591,6,26,7,38,1.8,0,0,5
35,10614,패배,갈리오,푸딩은푸딩해,2,2,2,9642,5,12,2,178,8.5,0,1,3
36,10614,패배,카직스,chirchri,1,5,3,5164,3,13,3,90,4.3,0,1,3
37,10614,패배,아지르,성혁님미드가신다,0,4,2,8807,2,11,9,187,8.9,0,1,3
38,10614,패배,진,비 브이 오 와이,2,2,0,4979,4,9,4,185,8.8,0,1,3
39,10614,패배,쉔,Nova1,0,3,1,1616,8,28,16,41,2.0,0,1,3
40,10615,승리,카밀,오억만,7,14,8,34914,0,27,10,456,8.3,2,3,11
41,10615,승리,엘리스,7895123,3,6,12,30738,15,47,25,260,4.7,2,3,11
42,10615,승리,아지르,By myself,7,5,6,58854,11,74,15,500,9.1,2,3,11
43,10615,승리,이즈리얼,Greed A Pride,8,4,9,57092,6,37,21,513,9.3,2,3,11
44,10615,승리,쓰레쉬,슬프다고말하면,2,6,15,11482,18,73,35,98,1.8,2,3,11
45,10615,패배,갱플랭크,Delicious Fish,10,8,7,50043,2,39,11,441,8.0,2,1,7
46,10615,패배,카직스,점점나의마음이끌,8,6,11,33824,13,45,25,232,4.2,2,1,7
47,10615,패배,탈리야,푸딩은푸딩해,8,4,10,41799,0,5,11,586,10.6,2,1,7
48,10615,패배,진,chirchri,9,5,8,33518,4,26,20,461,8.4,2,1,7
49,10615,패배,탐 켄치,Nova1,0,5,17,6937,37,114,39,120,2.2,2,1,7
50,10616,패배,사이온,baramgaebi,2,9,2,9504,3,10,6,150,7.0,0,0,0
51,10616,패배,니달리,일견무시도성빈,1,5,3,5223,3,18,6,100,4.6,0,0,0
52,10616,패배,조이,FW Maple,1,5,3,11892,4,20,2,165,7.7,0,0,0
53,10616,패배,바루스,슬프다고말하면,1,4,2,10899,1,9,6,158,7.3,0,0,0
54,10616,패배,레오나,FW SwordArT,2,3,2,4082,5,19,8,34,1.6,0,0,0
55,10616,승리,제이스,FeelsIronMan,7,2,8,17500,4,24,6,178,8.3,0,2,10
56,10616,승리,리 신,ROX Se0ngHwan,3,2,15,6112,6,34,8,98,4.6,0,2,10
57,10616,승리,트위스티드 페이트,Lucete,4,3,11,12029,4,12,1,169,7.9,0,2,10
58,10616,승리,칼리스타,덤벼보던가,10,0,4,15392,4,11,7,242,11.2,0,2,10
59,10616,승리,알리스타,Nem2sis,2,1,16,5987,4,29,3,32,1.5,0,2,10
60,10617,승리,잭스,TOP아빠,4,4,7,18578,6,25,12,389,8.5,0,0,10
61,10617,승리,카직스,점점나의마음이끌,6,4,11,35237,11,40,15,225,4.9,0,0,10
62,10617,승리,카사딘,Delicious Fish,8,6,5,33863,4,25,7,442,9.6,0,0,10
63,10617,승리,미스 포츈,SKT T1 Bang,10,4,10,58055,5,48,13,422,9.2,0,0,10
64,10617,승리,카르마,슬프다고말하면,1,5,20,24522,18,73,25,63,1.4,0,0,10
65,10617,패배,갱플랭크,담원 너구리,5,5,3,39670,8,34,17,437,9.5,2,4,7
66,10617,패배,자크,IGS Coli,2,6,10,13565,8,35,34,232,5.0,2,4,7
67,10617,패배,라이즈,지현이의빗자루,3,7,7,20687,3,20,12,371,8.1,2,4,7
68,10617,패배,진,담원 얼라이브,6,5,7,29151,7,18,16,396,8.6,2,4,7
69,10617,패배,조이,DWG BeryL,7,6,7,32050,21,84,29,99,2.2,2,4,7
70,10618,승리,니달리,chorongie,8,1,3,6873,2,17,7,120,7.4,0,1,5
71,10618,승리,코르키,이치방츠요이야츠,4,0,2,5364,2,8,3,144,8.9,0,1,5
72,10618,승리,진,VIP 민형,2,0,2,7444,1,6,3,160,9.9,0,1,5
73,10618,승리,케넨,슬프다고말하면,1,0,8,7496,5,15,7,20,1.2,0,1,5
74,10618,승리,제이스,Heiz4,2,3,9,8089,1,8,3,140,8.7,0,1,5
75,10618,패배,자르반 4세,7895123,2,5,0,2745,3,16,4,60,3.7,0,0,0
76,10618,패배,애쉬,hard girl,0,4,0,3006,3,9,2,118,7.3,0,0,0
77,10618,패배,말자하,MVP Ian,1,3,0,7702,2,8,2,145,9.0,0,0,0
78,10618,패배,쉔,DWG BeryL,0,0,0,1500,4,15,4,35,2.2,0,0,0
