,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50098,승리,갱플랭크,쌀국수뚝붸기,4,6,3,8449,0,9,2,189,7.7,0,0,6
1,50098,승리,자르반 4세,오억만,6,5,8,15976,3,16,7,170,6.9,0,0,6
2,50098,승리,라이즈,마산가자,8,4,4,19682,4,12,8,193,7.9,0,0,6
3,50098,승리,이즈리얼,FVV BETTY,7,3,5,17155,3,15,7,207,8.5,0,0,6
4,50098,승리,카르마,PuncHh,1,2,12,10934,11,29,13,18,0.7,0,0,6
5,50098,패배,나르,우에하라 크롱,4,6,5,10771,4,14,0,175,7.2,1,0,2
6,50098,패배,세주아니,F0y,4,2,7,8713,5,43,11,126,5.1,1,0,2
7,50098,패배,르블랑,피넛사냥개1,9,6,5,17979,5,16,1,184,7.5,1,0,2
8,50098,패배,진,BKKK,0,5,3,6929,1,9,6,172,7.0,1,0,2
9,50098,패배,바드,So1o,3,7,4,7958,5,26,7,19,0.8,1,0,2
10,50099,승리,카밀,쌀국수뚝붸기,13,7,11,32374,2,22,10,324,7.2,1,1,8
11,50099,승리,카직스,6학년4반장용준,7,5,11,19712,12,46,17,239,5.3,1,1,8
12,50099,승리,탈리야,DWG ShowMaker,8,7,17,46065,6,11,8,404,9.0,1,1,8
13,50099,승리,진,상어가족,6,7,19,31983,2,19,17,263,5.9,1,1,8
14,50099,승리,제라스,PawN God,7,9,17,35704,11,101,28,117,2.6,1,1,8
15,50099,패배,나르,빅파이초코파이,5,11,5,23516,2,23,8,343,7.6,2,3,10
16,50099,패배,렝가,담원 크러쉬,5,9,8,21878,6,28,19,216,4.8,2,3,10
17,50099,패배,라이즈,마산가자,8,8,11,37073,9,29,10,369,8.2,2,3,10
18,50099,패배,미스 포츈,Greed A Pride,14,6,6,31110,9,58,34,373,8.3,2,3,10
19,50099,패배,레오나,160810,3,7,16,12144,18,68,23,78,1.7,2,3,10
20,50100,패배,카밀,쌀국수뚝붸기,2,7,7,24669,3,20,8,296,7.5,0,2,4
21,50100,패배,세주아니,reMember Mistake,4,5,12,14251,13,64,27,158,4.0,0,2,4
22,50100,패배,조이,MVP Ian,9,6,7,41798,5,44,17,303,7.7,0,2,4
23,50100,패배,트리스타나,우에하라 크롱,7,3,6,27714,2,13,17,403,10.3,0,2,4
24,50100,패배,브라움,1414774182,1,7,11,8449,17,58,28,84,2.1,0,2,4
25,50100,승리,레넥톤,Gazuaaaaaaa,3,4,8,22749,3,36,12,338,8.6,2,1,8
26,50100,승리,자르반 4세,KDM 유준,3,3,18,10129,10,80,22,165,4.2,2,1,8
27,50100,승리,베이가,ZhanQiHuaYm,11,6,5,38202,3,8,25,361,9.2,2,1,8
28,50100,승리,미스 포츈,6학년4반장용준,6,5,12,32738,1,13,19,374,9.5,2,1,8
29,50100,승리,쉔,좋은날,5,5,11,9186,16,101,22,70,1.8,2,1,8
30,50101,승리,오른,쌀국수뚝붸기,6,0,15,13299,2,11,2,178,7.9,0,1,10
31,50101,승리,자르반 4세,일견무시도성빈,10,4,20,15977,5,19,5,105,4.7,0,1,10
32,50101,승리,탈리야,MVP Ian,5,1,16,23267,6,28,9,223,10.0,0,1,10
33,50101,승리,트리스타나,어껭간만에찾아뵙,11,3,7,20841,3,18,6,166,7.4,0,1,10
34,50101,승리,알리스타,마산가자,3,3,11,6068,5,11,3,30,1.3,0,1,10
35,50101,패배,나르,KDM PERT,1,9,1,7182,1,15,2,144,6.4,0,0,0
36,50101,패배,카직스,9346,4,7,4,7612,1,10,12,97,4.3,0,0,0
37,50101,패배,라이즈,으아으앙으아앙,2,4,3,10446,2,7,12,191,8.5,0,0,0
38,50101,패배,코르키,deft123456,4,6,3,18195,3,18,5,183,8.2,0,0,0
39,50101,패배,쉔,구름꽃길만걷자,0,9,4,4260,0,10,4,37,1.7,0,0,0
40,50102,승리,럼블,쌀국수뚝붸기,4,3,7,8965,2,11,4,184,7.9,1,3,9
41,50102,승리,쉬바나,M1anhua,4,2,8,9236,7,12,10,180,7.7,1,3,9
42,50102,승리,코르키,deft123456,6,2,8,17764,2,20,12,232,9.9,1,3,9
43,50102,승리,진,어껭간만에찾아뵙,3,1,9,10302,3,9,1,204,8.7,1,3,9
44,50102,승리,레오나,Nem2sis,3,2,11,5003,6,47,20,53,2.3,1,3,9
45,50102,패배,케넨,우에하라 크롱,1,3,2,7644,4,12,6,191,8.2,0,0,1
46,50102,패배,엘리스,5gak,2,4,4,6780,5,29,3,96,4.1,0,0,1
47,50102,패배,제드,KDM PERT,2,4,0,9676,2,28,14,181,7.7,0,0,1
48,50102,패배,칼리스타,담원 크러쉬,1,6,4,9318,1,14,8,193,8.2,0,0,1
49,50102,패배,알리스타,선기박,3,3,1,4004,8,25,15,46,2.0,0,0,1
50,50103,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
51,50103,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
52,50103,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
53,50103,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
54,50103,패배,알리스타,춘봉박,1,4,7,5335,4,22,9,46,1.8,0,0,1
55,50103,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
56,50103,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
57,50103,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
58,50103,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
59,50103,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
60,50104,승리,갱플랭크,Gazuaaaaaaa,5,2,13,26989,10,24,8,246,7.8,1,3,6
61,50104,승리,쉬바나,yizhiyu,3,6,13,19696,6,12,15,202,6.4,1,3,6
62,50104,승리,라이즈,KDM 유준,6,3,4,17564,1,14,9,283,9.0,1,3,6
63,50104,승리,바루스,쌀국수뚝붸기,9,3,5,15919,5,16,5,226,7.2,1,3,6
64,50104,승리,제라스,호잇이,9,0,11,32642,7,21,20,48,1.5,1,3,6
65,50104,패배,이렐리아,승 로,3,5,3,17327,1,13,2,267,8.5,0,1,1
66,50104,패배,니달리,PeanuToT,4,6,6,18187,8,32,13,228,7.2,0,1,1
67,50104,패배,조이,PawN God,3,4,5,25049,5,33,7,225,7.2,0,1,1
68,50104,패배,미스 포츈,Afreeca Kramer,3,8,3,15016,3,29,8,240,7.6,0,1,1
69,50104,패배,소라카,YOYOuuuuuO,1,9,7,3994,5,27,3,9,0.3,0,1,1
70,50105,승리,나르,쌀국수뚝붸기,4,4,8,19514,1,24,3,216,8.5,1,1,9
71,50105,승리,신 짜오,너를 사랑해 X,10,6,10,15032,2,6,5,97,3.8,1,1,9
72,50105,승리,라이즈,Beam On,17,3,12,32238,2,9,4,193,7.6,1,1,9
73,50105,승리,진,BtC RYAN,10,5,9,14373,3,11,7,181,7.1,1,1,9
74,50105,승리,알리스타,다시 돌아갈까요,3,4,23,10969,5,20,10,37,1.5,1,1,9
75,50105,패배,잭스,BurgerDragon,5,7,8,17186,2,17,4,125,4.9,0,0,2
76,50105,패배,자르반 4세,I will not lose,4,7,9,12222,6,19,4,130,5.1,0,0,2
77,50105,패배,다이애나,이야공,8,10,5,20700,2,8,1,191,7.5,0,0,2
78,50105,패배,미스 포츈,성민콩,0,11,11,20963,0,15,3,163,6.4,0,0,2
79,50105,패배,레오나,LeonaMaestro,5,9,10,10039,1,36,7,39,1.5,0,0,2
80,50106,패배,갱플랭크,쌀국수뚝붸기,2,9,5,17213,1,12,1,191,6.7,0,2,3
81,50106,패배,쉬바나,삼성갤럭시 하루,5,7,4,16578,8,14,6,150,5.3,0,2,3
82,50106,패배,라이즈,reMember Mistake,0,4,10,13054,6,28,3,214,7.5,0,2,3
83,50106,패배,칼리스타,Yumemiru Shonen,12,3,3,23696,0,10,8,279,9.8,0,2,3
84,50106,패배,브라움,천천히올라감,1,2,16,8193,8,29,3,66,2.3,0,2,3
85,50106,승리,케넨,담원 너구리,10,3,4,18745,4,14,6,279,9.8,1,2,9
86,50106,승리,세주아니,h1rb,3,4,8,8850,6,11,11,143,5.0,1,2,9
87,50106,승리,코르키,F0y,7,4,7,21918,2,11,10,243,8.5,1,2,9
88,50106,승리,진,비 브이 오 와이,2,3,12,21281,6,15,2,220,7.7,1,2,9
89,50106,승리,알리스타,Heart,3,6,10,12055,6,19,5,60,2.1,1,2,9
90,50107,승리,갱플랭크,피넛사냥개2,3,5,12,20658,3,18,5,220,8.0,1,3,9
91,50107,승리,카직스,kenzhu9,12,4,3,23481,10,52,13,215,7.8,1,3,9
92,50107,승리,카타리나,find myself,6,6,11,20689,3,6,0,186,6.8,1,3,9
93,50107,승리,시비르,비 브이 오 와이,8,1,10,26775,5,14,10,306,11.1,1,3,9
94,50107,승리,카르마,쌀국수뚝붸기,0,6,12,6424,7,51,10,36,1.3,1,3,9
95,50107,패배,갈리오,푸딩은푸딩해,5,5,3,16372,3,13,4,195,7.1,0,0,1
96,50107,패배,렝가,마이엠브,8,6,5,15607,6,27,11,118,4.3,0,0,1
97,50107,패배,트위스티드 페이트,상어가족,4,4,10,15787,1,8,6,223,8.1,0,0,1
98,50107,패배,진,Yumemiru Shonen,2,7,8,12337,4,11,12,244,8.9,0,0,1
99,50107,패배,쉔,Nova1,3,7,8,6250,14,40,29,55,2.0,0,0,1
100,50108,승리,잭스,담원 너구리,7,0,2,14866,4,12,1,185,8.9,0,1,9
101,50108,승리,카직스,kenzhu9,7,3,5,10827,5,43,14,141,6.8,0,1,9
102,50108,승리,트위스티드 페이트,상어가족,3,0,8,9194,2,5,7,175,8.4,0,1,9
103,50108,승리,바루스,쌀국수뚝붸기,5,2,4,9025,3,11,4,183,8.8,0,1,9
