,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60100,승리,럼블,kn9ght,7,6,13,25161,1,12,0,219,7.7,1,0,6
1,60100,승리,쉬바나,춘봉박,9,4,8,15647,2,11,3,185,6.5,1,0,6
2,60100,승리,르블랑,FeelsCoffeeMan,7,3,5,20268,3,25,3,214,7.6,1,0,6
3,60100,승리,코그모,바보처럼 왜,6,6,8,22613,4,9,9,231,8.2,1,0,6
4,60100,승리,브라움,아니 좋은 사람,1,4,18,5556,5,28,5,47,1.7,1,0,6
5,60100,패배,오른,VIP 민형,3,4,5,17531,1,9,1,203,7.2,0,2,3
6,60100,패배,자르반 4세,좋은날,7,7,8,14292,4,18,8,148,5.2,0,2,3
7,60100,패배,갈리오,Afreeca Kuro,5,6,6,20419,1,14,8,235,8.3,0,2,3
8,60100,패배,트위치,IGS Dasher,6,8,7,21395,2,13,4,214,7.6,0,2,3
9,60100,패배,룰루,뱃살만찌는사람,2,5,10,8883,8,26,7,26,0.9,0,2,3
10,60101,승리,라이즈,kn9ght,9,2,9,24506,3,13,3,258,10.4,0,1,8
11,60101,승리,세주아니,튀자튀자아,8,5,8,9891,5,21,8,119,4.8,0,1,8
12,60101,승리,트위스티드 페이트,상어가족,3,3,9,10508,1,5,7,198,8.0,0,1,8
13,60101,승리,트리스타나,바보처럼 왜,7,4,7,17813,0,8,7,191,7.7,0,1,8
14,60101,승리,브라움,아니 좋은 사람,0,5,17,4588,5,22,6,45,1.8,0,1,8
15,60101,패배,케넨,스누피808,5,7,5,10662,1,12,3,146,5.9,0,0,2
16,60101,패배,자르반 4세,Plz No Die,4,5,10,9922,6,36,9,121,4.9,0,0,2
17,60101,패배,조이,단군의청춘부재,2,6,1,14650,2,20,2,158,6.4,0,0,2
18,60101,패배,코그모,원딜둥이,4,5,8,22235,1,8,5,239,9.6,0,0,2
19,60101,패배,탐 켄치,win or win,3,4,10,7438,2,21,10,47,1.9,0,0,2
20,60102,패배,갱플랭크,아테나찡,1,3,6,16497,2,14,5,248,9.9,0,0,0
21,60102,패배,엘리스,F0y,7,8,3,8681,4,18,4,78,3.1,0,0,0
22,60102,패배,라이즈,KDM PERT,1,5,3,8038,4,10,3,218,8.7,0,0,0
23,60102,패배,미스 포츈,바보처럼 왜,3,9,6,16808,0,8,6,147,5.9,0,0,0
24,60102,패배,레오나,아니 좋은 사람,1,9,8,6711,5,32,4,45,1.8,0,0,0
25,60102,승리,렝가,THE KING 2000,7,2,3,19594,4,30,6,220,8.8,1,2,10
26,60102,승리,세주아니,DaYE,8,1,9,9672,5,25,9,130,5.2,1,2,10
27,60102,승리,아지르,R4phael,1,2,7,15133,1,8,4,256,10.2,1,2,10
28,60102,승리,진,wojiuyizhangzui,16,4,7,21536,0,7,3,202,8.1,1,2,10
29,60102,승리,탐 켄치,win or win,2,4,13,6993,4,24,6,40,1.6,1,2,10
30,60103,패배,피오라,콜라로리필,0,4,1,3968,1,7,1,69,4.3,0,0,1
31,60103,패배,쉬바나,우르프rider,2,3,0,6043,2,6,6,105,6.5,0,0,1
32,60103,패배,리산드라,소요하다 곡 작,0,2,1,4278,0,7,1,135,8.3,0,0,1
33,60103,패배,애쉬,바보처럼 왜,0,5,0,3521,0,5,1,101,6.2,0,0,1
34,60103,패배,미스 포츈,아니 좋은 사람,0,5,0,3249,4,9,5,17,1.0,0,0,1
35,60103,승리,카밀,마부두파,5,1,2,12762,1,10,0,126,7.8,0,1,5
36,60103,승리,자르반 4세,DS XiaoPeng,4,0,6,4339,3,8,1,81,5.0,0,1,5
37,60103,승리,라이즈,FeelsAwesomeMan,1,0,3,6654,2,9,1,172,10.6,0,1,5
38,60103,승리,진,Pilott,7,0,3,7579,2,4,2,129,8.0,0,1,5
39,60103,승리,레오나,BBD dog,2,1,10,2798,5,18,2,24,1.5,0,1,5
40,60104,패배,갱플랭크,MataMataMata,1,4,0,7149,1,11,1,93,6.1,0,0,0
41,60104,패배,엘리스,참깨는짱깨,1,2,0,2613,2,9,2,43,2.8,0,0,0
42,60104,패배,라이즈,단군의청춘부재,0,2,1,7152,2,14,2,126,8.2,0,0,0
43,60104,패배,진,바보처럼 왜,0,2,1,5207,2,7,1,128,8.4,0,0,0
44,60104,패배,알리스타,아니 좋은 사람,1,4,0,1926,4,13,6,23,1.5,0,0,0
45,60104,승리,나르,피넛사냥개1,4,1,0,8791,0,12,2,118,7.7,0,1,2
46,60104,승리,세주아니,Afreeca M0wgli,0,0,7,3620,4,24,7,103,6.7,0,1,2
47,60104,승리,코르키,ysdgqxcj,4,1,0,7210,1,4,1,119,7.8,0,1,2
48,60104,승리,바루스,비 브이 오 와이,6,0,0,7632,0,6,3,152,9.9,0,1,2
49,60104,승리,레오나,qweqasddasas,0,1,6,3585,2,13,7,27,1.8,0,1,2
50,60105,패배,럼블,FeelsSosoMan,4,8,2,17386,1,10,2,210,9.1,0,2,1
51,60105,패배,렉사이,삼성갤럭시 하루,2,6,7,6539,9,31,7,136,5.9,0,2,1
52,60105,패배,카사딘,THE KING 2000,4,3,4,6407,4,11,2,131,5.7,0,2,1
53,60105,패배,진,욘 드,3,8,6,9146,1,9,6,141,6.1,0,2,1
54,60105,패배,레오나,아니 좋은 사람,2,5,8,5411,7,26,11,42,1.8,0,2,1
55,60105,승리,쉔,republic123,2,1,11,7298,2,10,1,127,5.5,0,0,6
56,60105,승리,렝가,DS XiaoPeng,18,2,3,21731,3,23,14,137,5.9,0,0,6
57,60105,승리,아지르,mcmglllc,2,3,15,14115,2,13,7,186,8.0,0,0,6
58,60105,승리,이즈리얼,성혁님미드가신다,3,4,10,12426,1,14,7,163,7.0,0,0,6
59,60105,승리,베이가,MataMataMata,5,5,7,10554,12,56,8,22,0.9,0,0,6
60,60106,패배,나르,살려줘요 형님아,2,5,5,20156,2,29,11,233,7.5,0,0,3
61,60106,패배,렝가,Kazuki Kazami,4,10,5,11787,1,31,15,174,5.6,0,0,3
62,60106,패배,라이즈,MVP Ian,3,7,6,18572,4,18,9,234,7.5,0,0,3
