,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3159,패배,야스오,프제짱,2,4,3,9464,1,10,6,213,8.5,0,1,1
1,3159,패배,자르반 4세,아라가키 유이,4,4,11,9515,4,33,6,123,4.9,0,1,1
2,3159,패배,말자하,ysdgqxcj,6,7,4,17421,3,9,6,187,7.5,0,1,1
3,3159,패배,미스 포츈,담원 얼라이브,5,4,10,18029,3,10,2,170,6.8,0,1,1
4,3159,패배,탐 켄치,중요한건마음가짐,1,6,13,9033,9,24,9,54,2.2,0,1,1
5,3159,승리,초가스,담원 베리릴,12,1,3,14143,4,15,2,204,8.1,0,1,6
6,3159,승리,세주아니,삼성갤럭시 하루,4,3,15,13177,5,6,18,122,4.9,0,1,6
7,3159,승리,빅토르,승 로,4,5,6,10162,1,26,8,149,5.9,0,1,6
8,3159,승리,진,Rachel Berry,2,4,13,14769,5,12,2,141,5.6,0,1,6
9,3159,승리,제라스,JAG SnowFlower,3,5,13,16958,9,17,4,45,1.8,0,1,6
10,3160,패배,갱플랭크,BtC Dove,4,7,6,22724,2,14,1,215,7.5,0,0,2
11,3160,패배,자르반 4세,아라가키 유이,4,5,9,9459,5,24,7,115,4.0,0,0,2
12,3160,패배,아지르,삼성갤럭시 Crown,8,5,5,26474,4,14,6,327,11.5,0,0,2
13,3160,패배,진,아이러니,7,7,5,16159,2,9,3,199,7.0,0,0,2
14,3160,패배,알리스타,BtC Joker,1,10,11,5447,13,46,12,29,1.0,0,0,2
15,3160,승리,케넨,암고잉빽투더스탙,5,5,5,23453,1,11,2,222,7.8,1,1,9
16,3160,승리,룰루,IGS Doran,6,4,16,10578,11,28,11,126,4.4,1,1,9
17,3160,승리,탈리야,KDM PERT,8,6,8,25194,4,11,3,224,7.8,1,1,9
18,3160,승리,칼리스타,어껭간만에찾아뵙,12,4,15,29768,3,9,5,223,7.8,1,1,9
19,3160,승리,레오나,호잇이,3,5,24,13783,8,57,9,55,1.9,1,1,9
20,3161,패배,마오카이,cbzOvO,1,3,2,4807,0,2,0,99,6.4,0,0,0
21,3161,패배,세주아니,아라가키 유이,3,4,2,3300,2,25,1,45,2.9,0,0,0
22,3161,패배,신드라,BadeMan,1,7,2,5293,0,8,0,74,4.8,0,0,0
23,3161,패배,칼리스타,wojiuyizhangzui,1,3,1,2001,0,3,0,52,3.4,0,0,0
24,3161,패배,블리츠크랭크,트와이스 원스,2,6,3,4097,2,6,2,13,0.8,0,0,0
25,3161,승리,갱플랭크,FeelsSosoMan,2,2,8,8995,0,6,0,141,9.1,0,1,7
26,3161,승리,킨드레드,FJHGGJ,3,2,8,6829,4,15,1,103,6.6,0,1,7
27,3161,승리,조이,love left,10,1,4,17490,2,5,3,108,7.0,0,1,7
28,3161,승리,바루스,원딜둥이,4,2,4,9346,1,6,0,134,8.6,0,1,7
29,3161,승리,브라움,fengquyunbuhui,4,1,9,4060,2,23,3,34,2.2,0,1,7
30,3162,패배,제이스,암고잉빽투더스탙,4,6,6,13977,3,18,1,185,7.6,0,0,0
31,3162,패배,리 신,아라가키 유이,4,6,9,10068,5,45,8,107,4.4,0,0,0
32,3162,패배,신드라,IGS Dasher,3,6,5,15702,4,20,5,179,7.4,0,0,0
33,3162,패배,진,원딜둥이,7,8,2,13594,2,10,2,162,6.7,0,0,0
34,3162,패배,제라스,Co2dplay,2,10,6,15435,2,12,5,33,1.4,0,0,0
