,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10394,패배,나르,갱만가드림,1,8,2,9530,1,18,2,143,6.4,0,1,0
1,10394,패배,렝가,kenzhu9,7,4,2,15251,4,41,13,130,5.9,0,1,0
2,10394,패배,라이즈,마산가자,1,8,3,4699,2,16,4,165,7.4,0,1,0
3,10394,패배,바루스,아이러니,2,5,2,7974,1,7,2,173,7.8,0,1,0
4,10394,패배,브라움,GuGer,0,4,3,4470,4,26,10,39,1.8,0,1,0
5,10394,승리,카밀,덤벼보던가,10,6,4,19691,2,10,3,182,8.2,0,0,4
6,10394,승리,자르반 4세,KDM PERT,7,1,13,12433,3,21,9,102,4.6,0,0,4
7,10394,승리,아지르,진에어 저스티스,3,1,7,11526,5,13,10,199,9.0,0,0,4
8,10394,승리,미스 포츈,SKT T1 Bang,4,0,6,13552,2,22,3,176,7.9,0,0,4
9,10394,승리,쉔,Dutch Coffee,5,3,9,7255,5,19,10,47,2.1,0,0,4
10,10395,승리,말파이트,mid push gogo,4,3,6,16441,0,10,6,193,7.4,1,2,7
11,10395,승리,자르반 4세,Heart,5,3,19,12545,4,16,9,119,4.6,1,2,7
12,10395,승리,탈리야,삼성갤럭시 Crown,5,7,9,18809,4,14,5,182,7.0,1,2,7
13,10395,승리,미스 포츈,아이러니,9,4,9,19486,4,7,5,222,8.6,1,2,7
14,10395,승리,카르마,Empmuyi,3,2,15,8515,3,46,15,28,1.1,1,2,7
15,10395,패배,트런들,Eth4n,3,3,7,11970,4,20,0,248,9.6,0,0,3
16,10395,패배,렝가,DS XiaoPeng,8,7,6,16543,3,17,7,140,5.4,0,0,3
17,10395,패배,카타리나,진에어 저스티스,6,6,2,9933,4,28,1,163,6.3,0,0,3
18,10395,패배,진,상어가족,1,5,6,9103,1,10,9,172,6.6,0,0,3
19,10395,패배,쓰레쉬,PeanuToT,1,5,6,3253,5,29,10,35,1.4,0,0,3
20,10396,승리,마오카이,지현이의빗자루,7,3,14,13865,1,11,4,139,5.3,1,2,10
21,10396,승리,트리스타나,작전동 노란머리,6,6,6,8541,7,17,12,190,7.3,1,2,10
22,10396,승리,탈리야,SKT T1 Bang,11,6,11,24771,2,12,4,166,6.4,1,2,10
23,10396,승리,바루스,아이러니,11,2,10,22188,3,9,7,224,8.6,1,2,10
24,10396,승리,브라움,슬프다고말하면,4,2,19,8465,9,31,9,59,2.3,1,2,10
25,10396,패배,제이스,SKT T1 Untara,3,7,2,14038,2,26,3,213,8.2,0,0,4
26,10396,패배,엘리스,ROX Se0ngHwan,4,7,6,9446,6,43,7,115,4.4,0,0,4
27,10396,패배,르블랑,11 14 9 7 8 20,9,7,1,18317,1,12,4,181,6.9,0,0,4
28,10396,패배,칼리스타,LPL noob ad QAQ,3,9,4,12223,0,6,1,213,8.2,0,0,4
29,10396,패배,레오나,우지나 나 갸영이,0,9,4,5917,8,40,11,39,1.5,0,0,4
30,10397,승리,카밀,Gazuaaaaaaa,15,2,8,27481,2,11,8,158,7.3,0,1,10
31,10397,승리,니달리,FeelsSosoMan,13,1,8,14654,2,7,9,162,7.5,0,1,10
32,10397,승리,카사딘,FVV BETTY,4,6,7,12559,3,7,6,122,5.7,0,1,10
33,10397,승리,미스 포츈,아이러니,13,1,12,22882,3,7,5,194,9.0,0,1,10
34,10397,승리,소라카,구운몽임,1,2,23,4840,2,17,11,15,0.7,0,1,10
