,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40694,승리,자르반 4세,Koed OwO,4,4,9,17445,3,16,1,224,7.8,1,2,7
1,40694,승리,니달리,So1o,11,2,7,19522,6,11,10,158,5.5,1,2,7
2,40694,승리,말자하,7hal,5,3,10,19312,3,14,3,263,9.1,1,2,7
3,40694,승리,바루스,박투신,6,5,7,13133,6,14,12,198,6.9,1,2,7
4,40694,승리,알리스타,악시 뒷바라지,2,2,13,5918,11,44,6,28,1.0,1,2,7
5,40694,패배,피오라,세메론,2,5,4,13087,2,15,2,269,9.3,0,2,2
6,40694,패배,렉사이,sanspareil1,5,6,3,5761,9,13,9,120,4.2,0,2,2
7,40694,패배,카타리나,KT MATA,2,8,3,13099,5,17,5,228,7.9,0,2,2
8,40694,패배,트리스타나,VIP 민형,3,6,5,18317,2,12,4,299,10.3,0,2,2
9,40694,패배,룰루,FW SwordArT,4,3,6,6168,10,37,7,9,0.3,0,2,2
10,40695,승리,카서스,CrazySound,2,3,8,14797,2,12,2,220,8.9,1,1,8
11,40695,승리,리 신,twice손채영,10,2,5,10850,3,19,2,140,5.6,1,1,8
12,40695,승리,탈리야,으아으앙으아앙,7,1,5,18199,3,14,3,241,9.7,1,1,8
13,40695,승리,트위치,옷벗고춤추고싶다,3,5,8,10000,2,10,1,135,5.4,1,1,8
14,40695,승리,타릭,악시 뒷바라지,1,2,11,4383,7,28,2,53,2.1,1,1,8
15,40695,패배,자르반 4세,PUBGKING,2,7,1,9162,2,9,2,148,6.0,0,0,2
16,40695,패배,엘리스,FeelsPepsiMan,2,5,3,6210,3,10,5,84,3.4,0,0,2
17,40695,패배,신드라,미 키,3,6,1,13285,4,14,1,201,8.1,0,0,2
18,40695,패배,진,진쟤승,5,1,5,16794,0,9,1,165,6.6,0,0,2
19,40695,패배,알리스타,사랑했던날,1,4,6,4438,2,27,8,36,1.5,0,0,2
20,40696,승리,쉔,아트가 앗뜨거,0,0,3,1554,2,6,3,115,7.4,0,1,7
21,40696,승리,렉사이,wo yao qu daye,5,2,3,6801,3,8,0,66,4.2,0,1,7
22,40696,승리,말자하,PawN God,8,1,3,11907,3,8,0,132,8.5,0,1,7
23,40696,승리,트위치,옷벗고춤추고싶다,7,1,3,11219,3,6,0,119,7.6,0,1,7
24,40696,승리,타릭,악시 뒷바라지,1,1,10,3124,1,13,4,30,1.9,0,1,7
25,40696,패배,갈리오,길동이에유,1,1,0,7520,3,9,1,144,9.2,0,0,0
26,40696,패배,카직스,멘탈 실력 운,1,3,1,2225,1,5,0,35,2.2,0,0,0
27,40696,패배,피즈,진쟤승,2,8,0,4368,0,6,1,69,4.4,0,0,0
28,40696,패배,트리스타나,삶이힘든사람,1,3,0,2365,0,4,0,59,3.8,0,0,0
29,40696,패배,룰루,Flaycid,0,7,3,3692,2,11,1,19,1.2,0,0,0
30,40697,승리,트위치,옷벗고춤추고싶다,5,5,16,14959,3,9,3,184,7.0,1,2,11
31,40697,승리,타릭,악시 뒷바라지,4,4,21,6303,8,39,2,41,1.6,1,2,11
32,40697,승리,제이스,뒷텔와드점,2,6,10,13019,1,12,4,147,5.6,1,2,11
33,40697,승리,베이가,ZhanQiHuaYm,11,5,10,20079,3,8,2,166,6.4,1,2,11
34,40697,승리,이즈리얼,FeelsPepsiMan,11,3,13,20433,5,10,4,112,4.3,1,2,11
35,40697,패배,니달리,빅파이초코파이,10,9,4,13964,4,10,4,104,4.0,0,0,1
36,40697,패배,야스오,덤벼보던가,6,6,4,11655,3,14,2,217,8.3,0,0,1
37,40697,패배,케이틀린,Veritas522,2,7,5,15367,1,7,3,213,8.2,0,0,1
38,40697,패배,카서스,뽀오뽀오,3,6,8,23978,7,16,3,233,8.9,0,0,1
39,40697,패배,잔나,세상만사내리막길,1,5,8,2920,2,12,0,14,0.5,0,0,1
40,40698,승리,신지드,PawN God,2,8,15,10948,7,16,2,125,4.7,1,3,10
41,40698,승리,이즈리얼,FeelsPepsiMan,14,3,9,26968,4,8,6,124,4.6,1,3,10
42,40698,승리,블라디미르,최석배 사생팬,5,2,7,17814,3,11,3,227,8.5,1,3,10
43,40698,승리,트위치,옷벗고춤추고싶다,6,6,13,18292,3,11,3,212,7.9,1,3,10
44,40698,승리,타릭,악시 뒷바라지,1,2,22,4279,7,33,7,44,1.6,1,3,10
45,40698,패배,케넨,빅파이초코파이,5,4,4,16494,2,14,5,274,10.2,0,0,3
46,40698,패배,렉사이,Lz Tv SuShi,6,4,8,9907,1,6,8,121,4.5,0,0,3
47,40698,패배,신드라,JackeyLove,6,5,6,24679,1,9,1,215,8.0,0,0,3
48,40698,패배,진,덤벼보던가,4,9,5,13401,5,12,5,196,7.3,0,0,3
49,40698,패배,알리스타,JAG SnowFlower,0,6,12,4334,8,28,8,44,1.6,0,0,3
50,40699,승리,야스오,잡채밥과마파두부,3,3,6,8316,1,8,1,129,7.1,0,1,3
51,40699,승리,세주아니,JAG SnowFlower,2,3,7,4244,5,16,1,67,3.7,0,1,3
52,40699,승리,아지르,By 불비,5,0,5,10491,2,9,3,146,8.1,0,1,3
53,40699,승리,코그모,옷벗고춤추고싶다,11,4,4,13669,1,8,2,106,5.9,0,1,3
54,40699,승리,타릭,악시 뒷바라지,1,1,10,3487,4,12,1,34,1.9,0,1,3
55,40699,패배,럼블,SKT T1 Untara,0,5,4,8617,2,9,1,136,7.5,0,1,1
56,40699,패배,쉬바나,yizhiyu,6,3,3,9039,3,7,5,92,5.1,0,1,1
57,40699,패배,신드라,으아으앙으아앙,1,3,5,6824,3,10,0,143,7.9,0,1,1
58,40699,패배,바루스,뽀허니,3,6,3,8469,0,7,0,106,5.9,0,1,1
59,40699,패배,룰루,Lz Tv SuShi,1,5,7,4509,3,9,3,5,0.3,0,1,1
60,40700,패배,나르,DWG Nuguri,0,3,5,14990,3,12,1,188,7.7,0,0,2
61,40700,패배,이즈리얼,F0y,1,6,5,12844,4,10,4,105,4.3,0,0,2
62,40700,패배,갈리오,walking300 fan,3,4,8,10162,2,11,1,176,7.2,0,0,2
63,40700,패배,트위치,옷벗고춤추고싶다,7,8,2,16889,2,9,1,191,7.8,0,0,2
64,40700,패배,타릭,악시 뒷바라지,0,4,10,5191,7,27,7,51,2.1,0,0,2
65,40700,승리,마오카이,Nova1,4,1,12,13420,1,10,8,169,6.9,1,2,10
66,40700,승리,쉬바나,yizhiyu,5,5,5,11311,3,8,4,158,6.5,1,2,10
67,40700,승리,신드라,FeelsCoffeeMan,6,1,8,18355,4,12,2,192,7.9,1,2,10
68,40700,승리,자야,Yumemiru Shonen,10,3,8,24324,5,13,5,202,8.3,1,2,10
69,40700,승리,블리츠크랭크,JAG SnowFlower,0,1,13,6530,10,24,4,17,0.7,1,2,10
70,40701,패배,제이스,18501159717,5,7,5,27484,6,17,4,258,7.8,0,2,3
71,40701,패배,자르반 4세,LEAM,0,2,11,6740,10,31,13,131,3.9,0,2,3
72,40701,패배,신드라,FeelsCoffeeMan,6,7,2,19993,3,12,1,279,8.4,0,2,3
73,40701,패배,트리스타나,엉덩국 갱승제로,8,5,3,20808,2,10,12,257,7.7,0,2,3
74,40701,패배,룰루,악시 뒷바라지,2,5,7,11068,9,35,4,17,0.5,0,2,3
75,40701,승리,블라디미르,1 Peak,8,4,4,26098,2,17,4,273,8.2,1,1,10
76,40701,승리,이즈리얼,해운대잠만보,4,5,5,22292,9,12,6,123,3.7,1,1,10
77,40701,승리,탈리야,ablela,4,7,7,12308,6,21,10,240,7.2,1,1,10
78,40701,승리,트위치,ESRS10,7,4,8,33227,2,11,8,276,8.3,1,1,10
79,40701,승리,잔나,세메론,3,1,15,5203,8,46,6,14,0.4,1,1,10
80,40702,패배,케넨,제주도 에이스,3,5,2,13561,1,8,0,144,6.5,0,0,0
81,40702,패배,세주아니,bbq Ghost,2,4,5,5921,5,19,0,81,3.7,0,0,0
82,40702,패배,라이즈,FeelsCoffeeMan,1,7,4,11792,3,10,3,166,7.5,0,0,0
83,40702,패배,바루스,엉덩국 갱승제로,3,5,0,10046,1,7,2,196,8.9,0,0,0
