,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30975,승리,제이스,암고잉빽투더스탙,9,3,3,28909,1,28,4,304,10.1,1,1,8
1,30975,승리,니달리,DS XiaoPeng,9,5,8,19972,4,26,11,189,6.3,1,1,8
2,30975,승리,라이즈,마산가자,2,6,11,18926,6,33,7,278,9.2,1,1,8
3,30975,승리,진,Mengqiuqiu,5,2,10,22728,2,13,9,261,8.7,1,1,8
4,30975,승리,마오카이,진쟤승,3,5,17,12226,7,37,7,68,2.3,1,1,8
5,30975,패배,카밀,Heiz4,1,8,0,15292,0,10,8,244,8.1,1,2,7
6,30975,패배,세주아니,PuncHh,5,1,12,11509,8,12,18,175,5.8,1,2,7
7,30975,패배,탈리야,송하영 팬,9,8,4,23580,1,12,6,243,8.1,1,2,7
8,30975,패배,미스 포츈,GALA,5,5,4,20950,3,18,4,266,8.8,1,2,7
9,30975,패배,탐 켄치,삼성갤럭시CoreJJ,1,6,9,6264,10,40,17,61,2.0,1,2,7
10,30976,승리,나르,TOP아빠,5,5,5,15175,2,24,5,221,7.5,1,1,8
11,30976,승리,니달리,DS XiaoPeng,6,4,8,16260,2,27,18,170,5.8,1,1,8
12,30976,승리,제이스,11 14 9 7 8 20,11,6,10,35236,4,10,19,263,9.0,1,1,8
13,30976,승리,진,암고잉빽투더스탙,7,4,11,22774,3,13,12,259,8.8,1,1,8
14,30976,승리,마오카이,진쟤승,6,5,18,17904,5,31,6,53,1.8,1,1,8
15,30976,패배,케넨,find myself,5,9,3,26313,1,9,4,204,6.9,0,0,1
16,30976,패배,카직스,마이엠브,11,3,5,16810,11,25,14,163,5.5,0,0,1
17,30976,패배,조이,Fotune,5,6,8,30480,3,20,6,246,8.4,0,0,1
18,30976,패배,미스 포츈,삼성갤럭시CoreJJ,3,9,4,20723,4,22,6,214,7.3,0,0,1
19,30976,패배,알리스타,supbest,0,8,8,8140,9,29,9,43,1.5,0,0,1
20,30977,승리,제이스,암고잉빽투더스탙,16,1,8,24696,1,19,5,177,9.8,0,2,10
21,30977,승리,쉬바나,yizhiyu,9,4,10,15992,2,3,2,133,7.3,0,2,10
22,30977,승리,갈리오,DaYE,1,2,19,8000,2,8,2,100,5.5,0,2,10
23,30977,승리,진,Yumemiru Shonen,13,3,11,15796,3,8,0,134,7.4,0,2,10
24,30977,승리,알리스타,Z 2017 11 25,2,5,21,7955,3,21,5,25,1.4,0,2,10
25,30977,패배,잭스,수지Suzy,1,10,5,4749,0,11,0,95,5.2,0,0,0
26,30977,패배,세주아니,so nihao zaijian,2,9,8,6544,4,14,2,104,5.7,0,0,0
27,30977,패배,라이즈,find myself,1,7,3,8839,1,1,0,127,7.0,0,0,0
28,30977,패배,미스 포츈,FVV BETTY,5,7,7,15016,1,8,1,83,4.6,0,0,0
29,30977,패배,마오카이,진쟤승,6,8,6,8754,2,16,6,38,2.1,0,0,0
30,30978,패배,카밀,암고잉빽투더스탙,4,5,1,7607,3,12,3,200,8.9,0,2,5
31,30978,패배,잭스,M1anhua,3,7,6,6557,7,24,9,100,4.5,0,2,5
32,30978,패배,라이즈,By myself,2,3,3,10889,3,22,3,182,8.1,0,2,5
33,30978,패배,이즈리얼,Afreeca Aiming,1,7,6,15808,0,11,1,169,7.5,0,2,5
34,30978,패배,쉔,상어가족,5,7,3,5272,5,39,8,38,1.7,0,2,5
35,30978,승리,자르반 4세,풀 뜯는 미드,4,1,11,8242,3,20,6,144,6.4,1,0,5
36,30978,승리,쉬바나,Cuz2,4,4,10,12032,1,5,13,149,6.6,1,0,5
37,30978,승리,피들스틱,FW Maple,8,3,10,15427,1,11,6,189,8.4,1,0,5
38,30978,승리,미스 포츈,RRRuleRRR,9,4,13,18114,3,22,15,184,8.2,1,0,5
39,30978,승리,마오카이,진쟤승,4,3,18,10360,3,27,7,47,2.1,1,0,5
