,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3499,패배,초가스,YOYOuuuuuO,1,3,1,4533,3,5,1,108,7.1,0,0,1
1,3499,패배,쉬바나,매우뚱뚱한고양이,4,3,0,3938,4,6,4,95,6.2,0,0,1
2,3499,패배,아지르,mide gui tou,0,3,2,4204,2,7,0,113,7.4,0,0,1
3,3499,패배,진,Mengqiuqiu,0,3,0,3783,1,7,4,124,8.1,0,0,1
4,3499,패배,미스 포츈,양갱뿌,0,5,0,3877,5,17,1,17,1.1,0,0,1
5,3499,승리,갱플랭크,Kingen,1,3,2,7219,2,8,2,106,7.0,0,1,3
6,3499,승리,자르반 4세,먹는건즐거워,5,1,3,5032,2,12,1,103,6.8,0,1,3
7,3499,승리,베이가,구운몽임,3,1,7,5534,1,7,4,94,6.2,0,1,3
8,3499,승리,바루스,VIP 민형,5,0,5,8599,2,7,1,143,9.4,0,1,3
9,3499,승리,쓰레쉬,루시퍼메이데이,3,0,6,2752,8,19,9,24,1.6,0,1,3
10,3500,패배,갱플랭크,PeanuToT,3,9,1,11791,0,14,0,125,5.4,0,0,0
11,3500,패배,렝가,트와이스 원스,4,8,2,16191,3,12,2,131,5.7,0,0,0
12,3500,패배,말자하,mide gui tou,1,3,5,13738,3,7,1,203,8.8,0,0,0
13,3500,패배,바루스,Mengqiuqiu,4,8,2,9840,2,22,4,142,6.2,0,0,0
14,3500,패배,타릭,양갱뿌,0,9,5,5454,8,25,5,51,2.2,0,0,0
15,3500,승리,마오카이,FVV BETTY,6,4,14,16751,4,8,4,136,5.9,1,1,10
16,3500,승리,자르반 4세,먹는건즐거워,15,1,11,19816,1,14,7,145,6.3,1,1,10
17,3500,승리,카사딘,커닝시티 피그미,8,3,6,15723,2,6,6,166,7.2,1,1,10
18,3500,승리,미스 포츈,GALAAAA,6,2,12,16246,2,7,3,160,7.0,1,1,10
19,3500,승리,잔나,160810,2,2,15,6299,8,26,11,17,0.7,1,1,10
20,3501,패배,이렐리아,mianma,4,8,8,21014,1,15,9,312,7.9,0,0,3
21,3501,패배,이블린,h1rb,12,9,6,28341,4,30,4,171,4.4,0,0,3
22,3501,패배,라이즈,republic123,6,6,7,26442,2,17,11,357,9.1,0,0,3
23,3501,패배,바루스,Mengqiuqiu,6,5,11,29166,4,18,8,332,8.5,0,0,3
24,3501,패배,알리스타,양갱뿌,2,6,15,8983,17,69,28,88,2.2,0,0,3
25,3501,승리,제이스,커닝시티 피그미,12,6,8,36672,3,45,12,342,8.7,3,3,10
26,3501,승리,세주아니,PeanuToT,5,1,20,17790,10,14,16,243,6.2,3,3,10
27,3501,승리,탈리야,ApexOx,4,5,13,31477,10,33,7,322,8.2,3,3,10
28,3501,승리,진,FVV BETTY,7,9,17,24554,5,13,6,239,6.1,3,3,10
29,3501,승리,미스 포츈,Kimimaro,6,9,12,18224,11,48,17,45,1.1,3,3,10
30,3502,승리,카밀,Possible tts,5,0,3,6171,2,5,4,111,7.3,0,0,5
31,3502,승리,자르반 4세,FVV BETTY,4,1,10,5408,2,15,4,100,6.5,0,0,5
32,3502,승리,탈리야,진에어 저스티스,5,3,4,8323,2,7,2,106,6.9,0,0,5
33,3502,승리,미스 포츈,Dingchenyu,9,1,4,10535,1,6,3,123,8.0,0,0,5
34,3502,승리,알리스타,양갱뿌,2,1,12,4837,6,16,3,30,2.0,0,0,5
35,3502,패배,모데카이저,baramgaebi,0,4,0,6023,2,6,3,83,5.4,0,0,0
36,3502,패배,니달리,DS XiaoPeng,1,6,2,5210,5,14,3,69,4.5,0,0,0
37,3502,패배,제이스,피넛사냥개1,4,6,1,8885,1,11,1,99,6.5,0,0,0
38,3502,패배,진,161561,1,6,1,6384,2,8,2,99,6.5,0,0,0
39,3502,패배,라칸,Sim Student,0,4,2,1823,3,8,1,16,1.0,0,0,0
40,3503,패배,마오카이,MVP Beyond,1,8,3,13889,2,12,1,157,6.4,0,0,0
41,3503,패배,자르반 4세,Twink1e,4,7,2,9119,1,15,3,138,5.6,0,0,0
42,3503,패배,베이가,풀 뜯는 미드,1,5,5,7606,1,10,0,145,5.9,0,0,0
43,3503,패배,미스 포츈,ESRS10,3,3,6,18190,1,10,6,194,7.9,0,0,0
44,3503,패배,탐 켄치,양갱뿌,1,2,6,8338,7,23,3,59,2.4,0,0,0
45,3503,승리,피즈,서렌이렇겐못친다,5,3,5,16877,1,11,1,179,7.3,1,3,8
46,3503,승리,쉬바나,FeelsBoostedMan,9,2,11,19440,1,7,9,177,7.2,1,3,8
47,3503,승리,아지르,LFT MID,5,0,5,22627,2,7,9,253,10.3,1,3,8
48,3503,승리,진,Afreeca Kramer,5,2,9,20157,6,22,3,244,9.9,1,3,8
49,3503,승리,브라움,Bvoy,1,3,6,6014,8,27,4,38,1.5,1,3,8
50,3504,승리,마오카이,my head,0,2,7,8407,3,10,3,163,8.2,0,1,8
51,3504,승리,자르반 4세,Twink1e,5,3,12,10235,1,16,2,115,5.8,0,1,8
