,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40357,승리,오른,쌀국수뚝붸기,6,0,15,13299,2,11,2,178,7.9,0,1,10
1,40357,승리,자르반 4세,일견무시도성빈,10,4,20,15977,5,19,5,105,4.7,0,1,10
2,40357,승리,탈리야,MVP Ian,5,1,16,23267,6,28,9,223,10.0,0,1,10
3,40357,승리,트리스타나,어껭간만에찾아뵙,11,3,7,20841,3,18,6,166,7.4,0,1,10
4,40357,승리,알리스타,마산가자,3,3,11,6068,5,11,3,30,1.3,0,1,10
5,40357,패배,나르,KDM PERT,1,9,1,7182,1,15,2,144,6.4,0,0,0
6,40357,패배,카직스,9346,4,7,4,7612,1,10,12,97,4.3,0,0,0
7,40357,패배,라이즈,으아으앙으아앙,2,4,3,10446,2,7,12,191,8.5,0,0,0
8,40357,패배,코르키,deft123456,4,6,3,18195,3,18,5,183,8.2,0,0,0
9,40357,패배,쉔,구름꽃길만걷자,0,9,4,4260,0,10,4,37,1.7,0,0,0
10,40358,승리,럼블,쌀국수뚝붸기,4,3,7,8965,2,11,4,184,7.9,1,3,9
11,40358,승리,쉬바나,M1anhua,4,2,8,9236,7,12,10,180,7.7,1,3,9
12,40358,승리,코르키,deft123456,6,2,8,17764,2,20,12,232,9.9,1,3,9
13,40358,승리,진,어껭간만에찾아뵙,3,1,9,10302,3,9,1,204,8.7,1,3,9
14,40358,승리,레오나,Nem2sis,3,2,11,5003,6,47,20,53,2.3,1,3,9
15,40358,패배,케넨,우에하라 크롱,1,3,2,7644,4,12,6,191,8.2,0,0,1
16,40358,패배,엘리스,5gak,2,4,4,6780,5,29,3,96,4.1,0,0,1
17,40358,패배,제드,KDM PERT,2,4,0,9676,2,28,14,181,7.7,0,0,1
18,40358,패배,칼리스타,담원 크러쉬,1,6,4,9318,1,14,8,193,8.2,0,0,1
19,40358,패배,알리스타,선기박,3,3,1,4004,8,25,15,46,2.0,0,0,1
20,40359,패배,제이스,Heiz4,3,10,6,24085,0,12,19,219,6.6,0,0,3
21,40359,패배,자르반 4세,So1o,10,4,9,15639,6,30,24,169,5.1,0,0,3
22,40359,패배,라이즈,KDM Edge,5,5,4,18850,6,14,4,296,9.0,0,0,3
23,40359,패배,바루스,어껭간만에찾아뵙,8,4,11,25692,5,15,15,257,7.8,0,0,3
24,40359,패배,제라스,김메피,4,6,11,19411,9,36,19,32,1.0,0,0,3
25,40359,승리,갱플랭크,미율치에오,3,4,9,21800,3,35,7,316,9.6,0,1,8
26,40359,승리,렝가,삼성갤럭시 하루,18,8,2,27957,11,44,11,148,4.5,0,1,8
27,40359,승리,말자하,삼성갤럭시 Crown,2,6,8,15524,9,21,10,270,8.2,0,1,8
28,40359,승리,이즈리얼,ROX Se0ngHwan,4,8,7,20033,3,18,4,252,7.6,0,1,8
29,40359,승리,미스 포츈,PuncHh,2,4,7,11937,13,79,23,44,1.3,0,1,8
30,40360,패배,갱플랭크,미율치에오,3,6,3,12825,1,16,3,186,7.2,0,1,2
31,40360,패배,세주아니,ROX Se0ngHwan,2,5,10,8040,6,37,13,118,4.6,0,1,2
32,40360,패배,벨코즈,KDM Edge,7,5,5,19374,2,13,2,179,6.9,0,1,2
33,40360,패배,시비르,어껭간만에찾아뵙,6,4,3,18911,1,10,2,265,10.3,0,1,2
34,40360,패배,쉔,supbest,3,2,9,8024,7,35,11,42,1.6,0,1,2
35,40360,승리,잭스,나네쫓다꿈소년,11,4,6,28697,1,14,4,222,8.6,0,1,9
36,40360,승리,니달리,삼성갤럭시 하루,6,4,4,14460,9,23,8,148,5.7,0,1,9
37,40360,승리,아지르,삼성갤럭시 Crown,1,5,9,17711,6,34,8,226,8.7,0,1,9
38,40360,승리,루시안,그러면안돼요짜샤,1,4,3,10744,2,10,2,236,9.1,0,1,9
39,40360,승리,알리스타,M1anhua,3,4,5,5710,8,24,12,51,2.0,0,1,9
40,40361,승리,케넨,find myself,9,5,10,24133,1,6,4,149,6.0,1,2,11
41,40361,승리,렝가,삼성갤럭시 하루,11,3,11,23737,6,21,9,161,6.4,1,2,11
42,40361,승리,코르키,APK Rainbow,8,3,6,22034,2,8,0,203,8.1,1,2,11
43,40361,승리,칼리스타,어껭간만에찾아뵙,3,3,7,12224,2,9,4,216,8.6,1,2,11
44,40361,승리,레오나,KDM PERT,1,1,16,5175,5,30,13,48,1.9,1,2,11
45,40361,패배,잭스,나네쫓다꿈소년,1,8,4,8020,0,11,2,156,6.2,0,1,0
46,40361,패배,쉬바나,M1anhua,4,7,6,11386,9,15,6,134,5.4,0,1,0
47,40361,패배,카사딘,아테나찡,3,5,4,14057,4,9,0,185,7.4,0,1,0
48,40361,패배,미스 포츈,Afreeca Aiming,6,4,2,21283,4,21,9,226,9.0,0,1,0
49,40361,패배,탐 켄치,VIP 민형,1,8,9,7076,4,28,7,43,1.7,0,1,0
50,40362,승리,럼블,Gazuaaaaaaa,2,0,5,16579,3,13,7,235,10.0,1,2,10
51,40362,승리,쉬바나,yizhiyu,5,2,5,12939,3,8,13,199,8.5,1,2,10
52,40362,승리,아지르,KDM PERT,7,5,4,19958,2,11,6,193,8.2,1,2,10
53,40362,승리,진,어껭간만에찾아뵙,6,2,7,13220,1,9,8,189,8.0,1,2,10
54,40362,승리,렝가,KDM 유준,10,6,4,10777,2,9,13,42,1.8,1,2,10
55,40362,패배,자르반 4세,M1anhua,2,5,2,9295,4,23,2,140,5.9,0,0,0
56,40362,패배,리 신,jinwandalaohu,5,3,3,7216,3,33,1,68,2.9,0,0,0
57,40362,패배,카사딘,나네쫓다꿈소년,2,9,2,9805,2,6,1,149,6.3,0,0,0
58,40362,패배,이즈리얼,FVV BETTY,5,6,2,14941,3,9,3,190,8.1,0,0,0
59,40362,패배,미스 포츈,YserAoA,1,7,6,11366,4,38,10,48,2.0,0,0,0
60,40363,승리,일라오이,1987 Plls,1,4,6,15084,1,9,2,169,8.6,0,0,8
61,40363,승리,니달리,종학윙,8,2,5,12259,2,9,6,130,6.6,0,0,8
62,40363,승리,라이즈,KDM PERT,7,3,4,9329,0,8,6,139,7.1,0,0,8
63,40363,승리,베인,어껭간만에찾아뵙,8,1,3,13732,0,5,2,164,8.3,0,0,8
64,40363,승리,쉔,fengquyunbuhui,2,1,10,4533,2,22,1,34,1.7,0,0,8
65,40363,패배,잭스,나네쫓다꿈소년,4,3,3,13106,0,12,5,138,7.0,0,0,0
