,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40615,승리,럼블,king2n,5,4,6,24628,7,20,2,242,7.7,1,1,10
1,40615,승리,니달리,열심히할게요오,10,5,8,21975,7,10,16,164,5.2,1,1,10
2,40615,승리,제이스,Kingen,3,5,10,21457,4,16,4,231,7.4,1,1,10
3,40615,승리,미스 포츈,Afreeca Kramer,6,5,8,20005,1,12,7,219,7.0,1,1,10
4,40615,승리,쓰레쉬,AKG Bene,3,5,13,7464,11,31,17,33,1.1,1,1,10
5,40615,패배,오른,사 용 수,7,7,11,20680,3,16,0,176,5.6,0,2,1
6,40615,패배,엘리스,GabrielCRO,7,6,8,13827,10,29,13,165,5.3,0,2,1
7,40615,패배,트위스티드 페이트,MikeYeunglol,2,4,12,16078,6,18,2,254,8.1,0,2,1
8,40615,패배,바루스,STITCH1,6,4,7,20298,3,10,9,238,7.6,0,2,1
9,40615,패배,모르가나,LinLan,2,6,15,11101,8,46,10,23,0.7,0,2,1
10,40616,승리,야스오,The shy,6,10,7,19763,1,15,2,257,7.8,1,1,10
11,40616,승리,니달리,열심히할게요오,3,8,11,13808,6,9,12,126,3.8,1,1,10
12,40616,승리,라이즈,FeelsCoffeeMan,5,3,5,18068,4,15,1,324,9.9,1,1,10
13,40616,승리,애쉬,JAG UmTi,11,4,5,28008,3,14,13,299,9.1,1,1,10
14,40616,승리,브라움,160810,2,3,16,6537,14,45,10,63,1.9,1,1,10
15,40616,패배,오른,퇴근언제하지,3,5,11,9411,1,15,4,193,5.9,0,2,4
16,40616,패배,자르반 4세,IGS Coli,12,6,6,17827,7,13,12,118,3.6,0,2,4
17,40616,패배,신드라,빅파이초코파이,5,4,5,20336,5,13,9,294,9.0,0,2,4
18,40616,패배,바루스,STITCH1,5,5,9,19126,1,5,7,284,8.7,0,2,4
19,40616,패배,쓰레쉬,이제 졸려,3,7,13,6724,18,47,7,36,1.1,0,2,4
20,40617,승리,나르,DWG Nuguri,2,3,6,16110,4,16,2,287,9.4,1,3,6
21,40617,승리,니달리,열심히할게요오,4,4,8,11068,5,12,10,145,4.7,1,3,6
22,40617,승리,신드라,FeelsCoffeeMan,7,2,9,22513,4,14,3,250,8.2,1,3,6
23,40617,승리,진,학식먹을나이,6,3,7,17788,2,12,1,276,9.0,1,3,6
24,40617,승리,라칸,L1sure,0,7,12,4646,6,30,4,10,0.3,1,3,6
25,40617,패배,쉔,Jisu2,0,3,9,8444,2,16,4,241,7.9,0,0,2
26,40617,패배,카직스,오억만,7,7,4,15740,2,5,8,132,4.3,0,0,2
27,40617,패배,라이즈,DWG ShowMaker,4,3,6,16615,5,18,1,258,8.4,0,0,2
28,40617,패배,코그모,진에어 저스티스,8,4,4,25235,0,13,3,274,9.0,0,0,2
29,40617,패배,룰루,160810,0,2,16,6994,6,21,4,9,0.3,0,0,2
30,40618,패배,나르,JAG S0hwan,0,5,1,8972,2,16,2,268,8.3,0,0,3
31,40618,패배,렉사이,열심히할게요오,6,9,1,7053,9,13,4,115,3.6,0,0,3
32,40618,패배,말자하,커소리어스나,0,5,5,14139,2,6,6,203,6.3,0,0,3
33,40618,패배,트위치,Veritas522,1,4,3,22713,3,11,6,324,10.0,0,0,3
34,40618,패배,룰루,bbq Crazy,3,2,3,6169,12,46,12,30,0.9,0,0,3
35,40618,승리,케넨,우르프rider,8,4,4,24477,3,17,4,227,7.0,2,2,11
36,40618,승리,자르반 4세,sanspareil1,5,0,13,13219,6,12,7,167,5.2,2,2,11
37,40618,승리,신드라,DWG ShowMaker,8,3,8,31634,3,10,3,296,9.1,2,2,11
38,40618,승리,트리스타나,담원 얼라이브,3,2,7,12253,5,14,8,339,10.5,2,2,11
39,40618,승리,쓰레쉬,LinLan,1,1,10,6411,10,43,8,52,1.6,2,2,11
40,40619,승리,오른,사 용 수,1,1,8,6365,4,13,2,165,7.6,0,1,4
41,40619,승리,렉사이,열심히할게요오,8,5,8,9585,4,10,3,102,4.7,0,1,4
42,40619,승리,코르키,아이러니,3,4,7,9944,3,7,4,180,8.3,0,1,4
43,40619,승리,진,Veritas522,8,0,10,17812,5,10,6,209,9.7,0,1,4
44,40619,승리,브랜드,Tar2an,8,5,8,14214,5,21,9,13,0.6,0,1,4
45,40619,패배,야스오,JAG S0hwan,5,5,3,10644,1,9,2,194,9.0,0,0,0
46,40619,패배,자르반 4세,Klmjg,1,5,6,7676,4,9,8,99,4.6,0,0,0
47,40619,패배,갈리오,love left,4,6,6,9675,4,11,0,160,7.4,0,0,0
48,40619,패배,애쉬,Afreeca Aiming,2,4,4,6619,4,8,2,168,7.8,0,0,0
49,40619,패배,미스 포츈,Lehends,3,8,6,10662,11,25,11,30,1.4,0,0,0
50,40620,패배,오른,피넛사냥개2,1,4,2,6881,2,10,2,133,6.5,0,1,1
51,40620,패배,이즈리얼,열심히할게요오,1,3,4,8371,1,5,3,106,5.2,0,1,1
52,40620,패배,갈리오,love left,3,3,0,10151,0,8,0,146,7.1,0,1,1
53,40620,패배,베인,Veritas522,3,4,0,4690,2,10,1,152,7.4,0,1,1
54,40620,패배,알리스타,wo yao qu daye,0,5,4,3687,4,21,3,25,1.2,0,1,1
55,40620,승리,갱플랭크,우르프rider,0,2,7,10691,2,8,0,178,8.7,0,0,8
56,40620,승리,제이스,L1sure,7,2,4,10878,2,9,2,96,4.7,0,0,8
57,40620,승리,아지르,AP Innovation,7,1,7,12678,2,9,4,217,10.6,0,0,8
58,40620,승리,진,bbq Tempt,3,3,10,11542,5,11,2,145,7.1,0,0,8
59,40620,승리,쓰레쉬,FW SwordArT,2,0,13,5270,7,23,3,20,1.0,0,0,8
60,40621,패배,케넨,우르프rider,3,3,6,18259,3,15,1,266,8.8,0,1,3
61,40621,패배,렉사이,wo yao qu daye,4,7,7,7644,7,12,12,137,4.5,0,1,3
62,40621,패배,카사딘,피넛사냥개2,3,7,6,23424,2,14,6,205,6.7,0,1,3
63,40621,패배,트리스타나,열심히할게요오,7,5,3,20611,3,12,8,252,8.3,0,1,3
64,40621,패배,레오나,이제 졸려,0,6,8,3035,16,37,11,47,1.5,0,1,3
65,40621,승리,야스오,시공 여행자,3,6,5,12450,3,16,3,253,8.3,1,1,8
66,40621,승리,세주아니,rainbow321,3,2,13,9313,12,17,9,106,3.5,1,1,8
67,40621,승리,라이즈,bbq Tempt,10,2,10,35421,3,14,3,288,9.5,1,1,8
68,40621,승리,베인,Veritas522,9,4,7,31500,5,15,8,227,7.5,1,1,8
69,40621,승리,잔나,VeryBitter,3,3,17,5024,4,28,10,12,0.4,1,1,8
70,40622,승리,케넨,춘봉박,6,5,15,30637,3,15,2,273,8.6,1,2,9
71,40622,승리,렉사이,열심히할게요오,5,6,17,17629,4,8,4,111,3.5,1,2,9
72,40622,승리,신드라,VeryBitter,2,3,11,12666,2,14,0,163,5.1,1,2,9
73,40622,승리,진,VIP 민형,16,3,11,44997,4,15,9,303,9.5,1,2,9
74,40622,승리,쓰레쉬,구직자 쭈스,4,3,23,6652,12,39,7,32,1.0,1,2,9
75,40622,패배,오른,돌잔치때도란잡음,3,8,6,18876,3,14,1,216,6.8,1,0,4
76,40622,패배,세주아니,wo yao qu daye,4,6,11,10283,9,25,8,137,4.3,1,0,4
77,40622,패배,카사딘,피넛사냥개2,5,7,5,21112,3,16,3,257,8.1,1,0,4
78,40622,패배,베인,Veritas522,8,6,2,17363,1,11,8,256,8.1,1,0,4
79,40622,패배,라칸,챌 희,0,6,9,3648,5,35,8,15,0.5,1,0,4
80,40623,패배,잭스,수영장파티박종우,1,3,1,8127,2,8,2,158,6.4,0,0,0
81,40623,패배,자르반 4세,열심히할게요오,1,7,5,3760,3,9,1,87,3.5,0,0,0
82,40623,패배,말자하,Siste aeterno,2,6,1,12294,4,5,4,202,8.2,0,0,0
83,40623,패배,트위치,Veritas522,2,3,1,10164,1,9,0,173,7.0,0,0,0
84,40623,패배,잔나,광지니형개잘함,0,2,3,2390,6,23,5,10,0.4,0,0,0
85,40623,승리,초가스,춘봉박,2,2,3,11030,4,13,2,183,7.4,1,2,10
86,40623,승리,제이스,L1sure,5,1,9,11215,1,10,2,131,5.3,1,2,10
87,40623,승리,야스오,Iicorice,6,2,3,8869,2,11,5,227,9.2,1,2,10
88,40623,승리,코그모,Yumemiru Shonen,7,1,6,19260,1,5,3,225,9.1,1,2,10
89,40623,승리,룰루,Nova1,1,0,16,4055,6,20,4,5,0.2,1,2,10
90,40624,승리,케넨,춘봉박,5,6,5,17141,3,14,1,242,8.9,1,2,11
91,40624,승리,니달리,열심히할게요오,2,4,13,8553,4,8,6,124,4.5,1,2,11
92,40624,승리,제이스,GALA,10,1,3,20221,5,14,5,217,7.9,1,2,11
93,40624,승리,트리스타나,Nearly,6,1,10,9871,4,14,5,191,7.0,1,2,11
94,40624,승리,타릭,토마토페이스트,0,0,13,2874,8,31,7,63,2.3,1,2,11
95,40624,패배,야스오,오뚜기3분미트볼,4,6,5,13843,1,12,4,252,9.2,0,0,4
96,40624,패배,리 신,정글노바,5,4,1,5838,7,23,3,111,4.1,0,0,4
97,40624,패배,르블랑,꾸자니 똑땅해,2,3,3,16680,2,12,1,216,7.9,0,0,4
98,40624,패배,케이틀린,성민콩,0,2,1,10321,0,9,4,246,9.0,0,0,4
99,40624,패배,갈리오,일반적인 야노VD,1,8,2,7134,5,23,9,22,0.8,0,0,4
100,40625,승리,제이스,춘봉박,9,7,9,36751,4,17,3,264,7.9,1,3,10
101,40625,승리,니달리,열심히할게요오,7,5,11,22371,8,12,19,181,5.4,1,3,10
102,40625,승리,베이가,ZhanQiHuaYm,10,3,9,30973,5,19,6,248,7.4,1,3,10
103,40625,승리,자야,ROX Sangyoon,2,4,12,26721,2,10,9,316,9.4,1,3,10
104,40625,승리,알리스타,슬프다고말하면,1,4,16,7635,10,48,8,49,1.5,1,3,10
105,40625,패배,나르,오뚜기3분미트볼,9,8,8,21703,2,17,5,220,6.5,1,0,5
106,40625,패배,세주아니,정글노바,3,4,10,12367,15,16,6,151,4.5,1,0,5
107,40625,패배,오리아나,성민콩,3,8,8,22457,6,13,4,205,6.1,1,0,5
108,40625,패배,진,Dingchenyu,7,4,10,30512,4,16,5,292,8.7,1,0,5
109,40625,패배,탐 켄치,IndonesiaMassage,1,5,8,9035,13,42,5,62,1.8,1,0,5
110,40626,승리,사이온,FGO,6,3,8,16576,3,15,3,198,6.9,1,1,11
111,40626,승리,니달리,열심히할게요오,5,5,10,14721,4,12,6,132,4.6,1,1,11
112,40626,승리,코르키,오뚜기3분미트볼,8,4,4,26897,1,13,3,273,9.6,1,1,11
113,40626,승리,바루스,MinKOOK2,4,3,8,15673,1,11,6,242,8.5,1,1,11
114,40626,승리,브라움,Find Realey,0,0,15,8789,8,33,9,56,2.0,1,1,11
115,40626,패배,피오라,사 용 수,3,2,4,18643,5,15,7,291,10.2,0,1,4
116,40626,패배,리 신,JAG UmTi,7,7,4,10532,6,24,5,85,3.0,0,1,4
117,40626,패배,르블랑,Boldness,3,3,5,16995,2,13,1,196,6.9,0,1,4
118,40626,패배,트리스타나,YOLO 겨레,1,4,2,12558,0,8,2,235,8.2,0,1,4
119,40626,패배,쓰레쉬,Ellim7,1,7,6,8315,9,29,5,34,1.2,0,1,4
120,40627,승리,잭스,2018서폿챌도전,6,2,4,13418,1,8,0,160,7.6,1,1,3
121,40627,승리,렉사이,열심히할게요오,5,3,3,5779,5,8,5,79,3.7,1,1,3
122,40627,승리,다이애나,UcaL,8,3,3,15040,1,8,1,160,7.6,1,1,3
123,40627,승리,루시안,Veritas522,2,1,3,10588,0,8,1,171,8.1,1,1,3
124,40627,승리,브라움,마이엠브,0,3,6,4025,4,17,5,34,1.6,1,1,3
125,40627,패배,나르,HKA Riris,1,5,0,8080,2,9,2,139,6.6,0,1,2
126,40627,패배,엘리스,So1o,4,6,4,5894,4,14,3,78,3.7,0,1,2
127,40627,패배,카사딘,Zhongdan XD,1,6,3,9182,2,5,4,159,7.5,0,1,2
128,40627,패배,진,F0y,4,1,4,11417,2,6,1,172,8.1,0,1,2
129,40627,패배,오른,KT MATA,2,3,5,7761,4,24,2,32,1.5,0,1,2
130,40628,승리,잭스,2018서폿챌도전,5,3,5,12849,5,16,3,172,6.6,1,2,8
131,40628,승리,렉사이,열심히할게요오,8,3,4,11045,5,11,6,120,4.6,1,2,8
132,40628,승리,다이애나,UcaL,9,2,3,18632,3,13,0,252,9.7,1,2,8
133,40628,승리,케이틀린,땅우양,6,1,8,18139,3,11,8,254,9.8,1,2,8
134,40628,승리,쓰레쉬,XinMo,0,1,12,4568,10,34,9,30,1.2,1,2,8
135,40628,패배,자르반 4세,Permaban10162734,0,8,4,6026,2,10,1,148,5.7,0,0,1
136,40628,패배,니달리,So1o,3,9,4,8139,5,8,7,86,3.3,0,0,1
137,40628,패배,라이즈,TnTeddy,4,2,2,14677,3,10,9,262,10.1,0,0,1
138,40628,패배,애쉬,Veritas522,3,6,4,12101,1,8,5,223,8.6,0,0,1
139,40628,패배,브라움,Find Realey,0,3,6,5607,7,28,5,47,1.8,0,0,1
140,40629,패배,제이스,SKT T1 BIank,2,12,2,16324,2,16,2,204,6.0,0,3,4
141,40629,패배,니달리,So1o,8,3,10,27486,7,9,13,196,5.8,0,3,4
142,40629,패배,야스오,hf ghkyu,9,6,5,19717,2,8,1,285,8.4,0,3,4
143,40629,패배,트리스타나,열심히할게요오,5,5,9,16324,3,13,7,277,8.2,0,3,4
144,40629,패배,쓰레쉬,Permaban10162734,4,3,13,7630,15,41,9,40,1.2,0,3,4
145,40629,승리,카밀,TnTeddy,12,8,10,38511,3,19,6,283,8.4,1,0,7
146,40629,승리,이즈리얼,FeelsPepsiMan,10,7,9,27186,5,11,6,124,3.7,1,0,7
