,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30060,패배,카밀,오뚜기3분미트볼,2,3,2,9213,0,7,1,126,7.0,0,1,0
1,30060,패배,렉사이,Please find it,0,7,1,3346,1,18,2,74,4.1,0,1,0
2,30060,패배,카사딘,TeachersWu,2,5,3,6491,1,7,6,119,6.6,0,1,0
3,30060,패배,진,nekoneko1,1,5,4,6192,2,7,0,127,7.0,0,1,0
4,30060,패배,알리스타,Empmuyi,2,3,4,3184,2,28,7,32,1.8,0,1,0
5,30060,승리,자르반 4세,내 마음 아프니까,3,0,7,9583,0,6,3,122,6.8,0,1,9
6,30060,승리,리 신,TeawaN,5,4,2,7796,2,19,1,106,5.9,0,1,9
7,30060,승리,아지르,mcmglllc,8,2,4,18197,1,16,1,154,8.5,0,1,9
8,30060,승리,미스 포츈,아이러니,6,1,7,14687,1,2,3,155,8.6,0,1,9
9,30060,승리,모르가나,우르프rider,1,0,13,10125,7,17,8,15,0.8,0,1,9
10,30061,승리,나르,오뚜기3분미트볼,6,2,1,11050,3,9,1,195,9.4,0,1,8
11,30061,승리,리 신,호주 AD,3,4,7,3841,0,26,3,123,5.9,0,1,8
12,30061,승리,카타리나,duibuqiziji,9,3,4,12636,2,9,5,150,7.2,0,1,8
13,30061,승리,칼리스타,담원 얼라이브,10,5,6,19188,2,6,0,153,7.4,0,1,8
14,30061,승리,레오나,DWG BeryL,1,6,15,6439,7,21,2,33,1.6,0,1,8
15,30061,패배,케넨,커피물조절장인,3,3,7,8628,0,9,5,176,8.5,0,0,0
16,30061,패배,자르반 4세,yizhiyu,1,5,4,4231,2,12,1,65,3.1,0,0,0
17,30061,패배,제라스,Fotune,7,4,5,16587,2,7,2,159,7.7,0,0,0
18,30061,패배,징크스,종학윙,7,8,7,12986,0,4,3,99,4.8,0,0,0
19,30061,패배,알리스타,1987 Plls,2,9,9,4643,5,4,4,18,0.9,0,0,0
20,30062,패배,제이스,오뚜기3분미트볼,1,6,3,16349,2,25,5,174,6.8,0,0,3
21,30062,패배,렝가,종학윙,1,6,5,6624,4,14,6,137,5.4,0,0,3
22,30062,패배,블라디미르,성혁님미드가신다,3,4,1,19787,3,14,7,244,9.6,0,0,3
23,30062,패배,진,호주 AD,3,3,5,12755,0,7,3,197,7.7,0,0,3
24,30062,패배,조이,Ganked by mom,2,8,2,6275,7,21,5,36,1.4,0,0,3
25,30062,승리,사이온,이기자 할수있다,1,2,7,12208,1,8,1,211,8.3,1,0,10
26,30062,승리,카직스,진쟤승,11,3,7,20755,3,17,13,141,5.5,1,0,10
27,30062,승리,아지르,CooN,3,1,5,14276,1,11,2,195,7.7,1,0,10
28,30062,승리,케이틀린,DWG BeryL,10,2,5,28854,1,7,4,256,10.1,1,0,10
29,30062,승리,쓰레쉬,쌀국수뚝붸기,2,2,10,6429,5,43,9,38,1.5,1,0,10
30,30063,패배,자르반 4세,오뚜기3분미트볼,2,9,6,11524,1,22,3,180,7.0,0,0,2
31,30063,패배,세주아니,ROX Se0ngHwan,2,8,3,6749,6,38,7,115,4.5,0,0,2
32,30063,패배,카사딘,love left,6,3,4,15795,0,7,3,160,6.2,0,0,2
33,30063,패배,바루스,호주 AD,3,8,7,23534,1,8,3,209,8.1,0,0,2
34,30063,패배,탐 켄치,슬프다고말하면,2,4,4,6169,7,30,9,73,2.8,0,0,2
35,30063,승리,카밀,ADEPT1,7,2,9,24253,5,9,12,194,7.5,1,2,11
36,30063,승리,니달리,종학윙,7,3,12,12736,5,16,11,150,5.8,1,2,11
37,30063,승리,오리아나,IGS Dasher,6,2,10,23056,3,14,3,231,8.9,1,2,11
38,30063,승리,코그모,혼자가 편해졌어,6,6,12,27997,1,8,12,225,8.7,1,2,11
39,30063,승리,쉔,DWG BeryL,6,2,15,12741,10,36,5,64,2.5,1,2,11
40,30064,패배,쉔,RVS Poss,3,3,3,6182,1,11,2,173,7.2,0,0,1
41,30064,패배,트리스타나,작전동 노란머리,6,9,1,9193,4,12,3,104,4.3,0,0,1
42,30064,패배,아지르,CooN,3,6,5,13094,1,16,4,210,8.8,0,0,1
43,30064,패배,애쉬,오뚜기3분미트볼,1,6,6,13351,1,8,3,175,7.3,0,0,1
44,30064,패배,레오나,다시 돌아갈까요,3,8,8,6628,7,21,9,38,1.6,0,0,1
45,30064,승리,갱플랭크,JAG S0hwan,8,1,9,16604,2,12,2,226,9.4,0,0,11
46,30064,승리,니달리,해운대잠만보,3,7,13,10279,3,17,2,127,5.3,0,0,11
47,30064,승리,라이즈,LFT MID,7,4,11,15922,3,7,5,191,8.0,0,0,11
48,30064,승리,진,fndasjkfkqw,9,4,11,17278,6,20,3,169,7.1,0,0,11
49,30064,승리,미스 포츈,슬프다고말하면,5,0,20,19675,3,13,13,57,2.4,0,0,11
50,30065,패배,오른,오뚜기3분미트볼,3,6,10,12090,0,6,0,149,7.3,0,0,0
51,30065,패배,마스터 이,진쟤승,10,12,3,13484,1,8,0,59,2.9,0,0,0
52,30065,패배,아지르,he  nan    yu,2,5,6,8298,0,7,0,111,5.5,0,0,0
53,30065,패배,바루스,CooN,1,11,7,9306,1,7,1,115,5.7,0,0,0
54,30065,패배,알리스타,VeryBitter,2,10,4,3582,3,18,5,14,0.7,0,0,0
55,30065,승리,갱플랭크,우르프rider,4,4,11,14558,3,13,1,151,7.4,0,1,9
56,30065,승리,니달리,sanspareil1,8,3,13,11141,6,10,3,121,6.0,0,1,9
57,30065,승리,탈리야,IGS Dasher,8,4,10,16867,4,13,2,148,7.3,0,1,9
58,30065,승리,칼리스타,TnTeddy,22,5,11,34554,1,6,1,201,9.9,0,1,9
59,30065,승리,브라움,JAG Wraith,2,3,25,6430,4,18,3,29,1.4,0,1,9
60,30066,승리,요릭,나는여자가좋아요,4,1,3,7391,0,2,1,121,8.0,0,0,10
61,30066,승리,니달리,Orianna Reveck,8,0,3,6645,0,2,2,103,6.8,0,0,10
62,30066,승리,아지르,chirchri,5,0,2,5081,2,16,6,130,8.6,0,0,10
63,30066,승리,진,F0y,7,0,4,9817,2,7,1,96,6.3,0,0,10
64,30066,승리,블리츠크랭크,오뚜기3분미트볼,1,3,5,3836,1,9,0,30,2.0,0,0,10
65,30066,패배,일라오이,xaxaxaxaxa,0,6,0,5884,0,7,0,83,5.5,0,0,0
66,30066,패배,렝가,chijixuanshou,0,4,0,1755,2,12,0,58,3.8,0,0,0
67,30066,패배,말자하,성혁님미드가신다,0,5,1,6710,1,7,4,134,8.8,0,0,0
68,30066,패배,이즈리얼,세메론,1,4,3,11003,0,8,1,90,5.9,0,0,0
69,30066,패배,자이라,LFT MID,3,6,1,7204,4,14,2,9,0.6,0,0,0
70,30067,패배,갱플랭크,오뚜기3분미트볼,4,3,8,28338,1,23,5,333,9.1,1,0,3
71,30067,패배,자르반 4세,우철짱123,1,7,5,8674,8,24,7,165,4.5,1,0,3
72,30067,패배,카타리나,담원 쇼메이커,8,6,0,19326,6,19,6,284,7.8,1,0,3
73,30067,패배,애쉬,chirchri,1,10,4,15910,3,17,15,276,7.5,1,0,3
74,30067,패배,쉔,담원 호잇이,2,9,7,7127,9,44,13,73,2.0,1,0,3
75,30067,승리,판테온,커피물조절장인,4,5,8,21788,1,18,5,313,8.6,1,3,11
76,30067,승리,세주아니,F0y,5,1,22,14177,11,71,23,183,5.0,1,3,11
77,30067,승리,아지르,LFT MID,11,2,15,36092,5,9,10,294,8.0,1,3,11
78,30067,승리,진,아이러니,6,4,20,22056,5,14,3,248,6.8,1,3,11
79,30067,승리,제라스,진쟤승,9,4,17,26530,0,15,10,100,2.7,1,3,11
80,30068,승리,나르,오뚜기3분미트볼,0,2,2,5146,0,18,1,173,8.5,0,2,8
81,30068,승리,니달리,F0y,4,3,5,5823,7,24,8,131,6.4,0,2,8
82,30068,승리,탈리야,chirchri,5,2,4,7304,3,16,3,151,7.4,0,2,8
83,30068,승리,트리스타나,republic123,10,2,5,13856,1,9,3,158,7.8,0,2,8
84,30068,승리,제라스,진쟤승,5,1,13,17234,0,8,9,52,2.6,0,2,8
85,30068,패배,럼블,커피물조절장인,2,3,1,8753,3,11,5,142,7.0,0,0,1
86,30068,패배,자르반 4세,일견무시도성빈,4,6,2,6968,4,17,4,77,3.8,0,0,1
87,30068,패배,라이즈,LFT MID,2,4,2,6741,4,8,3,168,8.2,0,0,1
88,30068,패배,미스 포츈,아이러니,2,6,2,8093,5,11,4,126,6.2,0,0,1
89,30068,패배,피들스틱,성혁님미드가신다,0,5,4,4429,5,13,6,23,1.1,0,0,1
90,30069,승리,케넨,안락주민,4,3,7,20126,0,6,4,240,7.7,2,1,9
91,30069,승리,세주아니,F0y,9,1,11,11133,8,49,8,138,4.4,2,1,9
92,30069,승리,조이,Jin air Yaharong,9,2,7,21632,2,26,5,254,8.1,2,1,9
93,30069,승리,진,튀자튀자아,8,6,9,18035,6,13,2,241,7.7,2,1,9
94,30069,승리,미스 포츈,오뚜기3분미트볼,5,7,9,16354,1,23,5,72,2.3,2,1,9
95,30069,패배,이렐리아,우르프rider,4,5,2,16776,4,16,3,316,10.1,0,0,5
96,30069,패배,렝가,죠토마킹,3,9,3,9192,2,25,14,128,4.1,0,0,5
97,30069,패배,아지르,LFT MID,4,9,1,14568,2,7,13,250,8.0,0,0,5
98,30069,패배,바루스,아이러니,3,5,6,11445,6,11,6,269,8.6,0,0,5
99,30069,패배,제라스,진쟤승,5,7,8,26346,0,13,1,55,1.8,0,0,5
100,30070,승리,제이스,오뚜기3분미트볼,5,3,2,14338,1,10,6,236,9.8,0,1,7
101,30070,승리,자크,F0y,4,1,14,8865,6,21,4,118,4.9,0,1,7
