,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60399,패배,레넥톤,문장 분석기,9,7,3,16980,1,13,7,223,7.6,0,1,3
1,60399,패배,자르반 4세,온몸에 담,7,5,14,15863,5,20,2,119,4.1,0,1,3
2,60399,패배,라이즈,Afreeca Kuro,5,6,13,20014,4,17,5,200,6.8,0,1,3
3,60399,패배,시비르,튀자튀자아,6,5,6,23211,4,13,10,330,11.3,0,1,3
4,60399,패배,카르마,PuncHh,2,4,15,10135,14,50,20,41,1.4,0,1,3
5,60399,승리,카밀,7hal,9,5,10,27342,4,28,6,228,7.8,1,1,11
6,60399,승리,신 짜오,BadeMan,5,5,10,17126,5,11,9,130,4.4,1,1,11
7,60399,승리,말자하,마산가자,7,8,8,21202,3,28,5,211,7.2,1,1,11
8,60399,승리,미스 포츈,Z 2017 11 25,6,5,9,17012,2,13,12,265,9.1,1,1,11
9,60399,승리,타릭,SKT T1 Effort,0,6,16,6564,12,30,14,64,2.2,1,1,11
10,60400,패배,럼블,문장 분석기,5,5,5,22616,3,17,2,237,7.1,1,2,3
11,60400,패배,쉬바나,온몸에 담,7,7,9,16753,5,12,12,175,5.3,1,2,3
12,60400,패배,르블랑,chirchri,5,5,7,23982,3,22,12,212,6.4,1,2,3
13,60400,패배,애쉬,GALA,9,10,11,29629,3,11,6,261,7.9,1,2,3
14,60400,패배,탐 켄치,닷지장인 심포갓,3,7,17,9104,3,19,5,72,2.2,1,2,3
15,60400,승리,카밀,Heiz4,2,9,4,14884,0,13,2,220,6.6,1,2,9
16,60400,승리,니달리,Alielie,10,5,12,19327,3,32,4,169,5.1,1,2,9
17,60400,승리,신드라,마산가자,11,3,9,27023,5,26,9,288,8.7,1,2,9
18,60400,승리,트리스타나,바보처럼 왜,8,5,18,37620,3,11,12,263,7.9,1,2,9
19,60400,승리,레오나,아니 좋은 사람,3,7,21,7625,5,38,5,54,1.6,1,2,9
20,60401,승리,나르,문장 분석기,4,5,4,11262,3,9,2,148,7.2,0,2,6
21,60401,승리,자르반 4세,온몸에 담,13,1,7,9656,5,19,1,135,6.6,0,2,6
