,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50933,패배,나르,우에하라 크롱,4,6,5,10771,4,14,0,175,7.2,1,0,2
1,50933,패배,세주아니,F0y,4,2,7,8713,5,43,11,126,5.1,1,0,2
2,50933,패배,르블랑,피넛사냥개1,9,6,5,17979,5,16,1,184,7.5,1,0,2
3,50933,패배,진,BKKK,0,5,3,6929,1,9,6,172,7.0,1,0,2
4,50933,패배,바드,So1o,3,7,4,7958,5,26,7,19,0.8,1,0,2
5,50933,승리,갱플랭크,쌀국수뚝붸기,4,6,3,8449,0,9,2,189,7.7,0,0,6
6,50933,승리,자르반 4세,오억만,6,5,8,15976,3,16,7,170,6.9,0,0,6
7,50933,승리,라이즈,마산가자,8,4,4,19682,4,12,8,193,7.9,0,0,6
8,50933,승리,이즈리얼,FVV BETTY,7,3,5,17155,3,15,7,207,8.5,0,0,6
9,50933,승리,카르마,PuncHh,1,2,12,10934,11,29,13,18,0.7,0,0,6
10,50934,패배,제이스,우에하라 크롱,3,6,6,26328,4,41,10,298,7.8,0,0,3
11,50934,패배,세주아니,좋은날,0,12,9,11305,11,38,23,154,4.0,0,0,3
12,50934,패배,코르키,reMember Mistake,11,5,8,34868,5,23,10,377,9.9,0,0,3
13,50934,패배,미스 포츈,MVP Ian,2,8,9,27987,3,16,4,294,7.7,0,0,3
14,50934,패배,쉔,오억만,7,6,6,18089,0,53,11,92,2.4,0,0,3
15,50934,승리,사이온,Gazuaaaaaaa,2,1,12,15946,10,26,6,292,7.6,2,4,8
16,50934,승리,니달리,So1o,13,7,9,26833,1,26,15,217,5.7,2,4,8
17,50934,승리,탈리야,송하영 팬,11,5,8,31873,2,19,5,322,8.4,2,4,8
18,50934,승리,트리스타나,KDM SSol,10,4,10,48219,2,25,10,375,9.8,2,4,8
19,50934,승리,알리스타,KDM 유준,1,6,17,7281,13,52,16,35,0.9,2,4,8
20,50935,패배,카밀,쌀국수뚝붸기,2,7,7,24669,3,20,8,296,7.5,0,2,4
21,50935,패배,세주아니,reMember Mistake,4,5,12,14251,13,64,27,158,4.0,0,2,4
22,50935,패배,조이,MVP Ian,9,6,7,41798,5,44,17,303,7.7,0,2,4
23,50935,패배,트리스타나,우에하라 크롱,7,3,6,27714,2,13,17,403,10.3,0,2,4
24,50935,패배,브라움,1414774182,1,7,11,8449,17,58,28,84,2.1,0,2,4
25,50935,승리,레넥톤,Gazuaaaaaaa,3,4,8,22749,3,36,12,338,8.6,2,1,8
26,50935,승리,자르반 4세,KDM 유준,3,3,18,10129,10,80,22,165,4.2,2,1,8
27,50935,승리,베이가,ZhanQiHuaYm,11,6,5,38202,3,8,25,361,9.2,2,1,8
28,50935,승리,미스 포츈,6학년4반장용준,6,5,12,32738,1,13,19,374,9.5,2,1,8
29,50935,승리,쉔,좋은날,5,5,11,9186,16,101,22,70,1.8,2,1,8
30,50936,패배,케넨,우에하라 크롱,1,3,2,7644,4,12,6,191,8.2,0,0,1
31,50936,패배,엘리스,5gak,2,4,4,6780,5,29,3,96,4.1,0,0,1
32,50936,패배,제드,KDM PERT,2,4,0,9676,2,28,14,181,7.7,0,0,1
33,50936,패배,칼리스타,담원 크러쉬,1,6,4,9318,1,14,8,193,8.2,0,0,1
34,50936,패배,알리스타,선기박,3,3,1,4004,8,25,15,46,2.0,0,0,1
35,50936,승리,럼블,쌀국수뚝붸기,4,3,7,8965,2,11,4,184,7.9,1,3,9
36,50936,승리,쉬바나,M1anhua,4,2,8,9236,7,12,10,180,7.7,1,3,9
37,50936,승리,코르키,deft123456,6,2,8,17764,2,20,12,232,9.9,1,3,9
38,50936,승리,진,어껭간만에찾아뵙,3,1,9,10302,3,9,1,204,8.7,1,3,9
39,50936,승리,레오나,Nem2sis,3,2,11,5003,6,47,20,53,2.3,1,3,9
40,50937,승리,나르,Gon123,15,3,4,26025,2,13,3,249,8.8,1,3,8
41,50937,승리,쉬바나,yizhiyu,8,4,13,19208,4,12,16,178,6.3,1,3,8
42,50937,승리,카르마,우에하라 크롱,4,5,18,13929,4,14,5,167,5.9,1,3,8
43,50937,승리,이즈리얼,SnakeLight,10,4,14,29480,2,14,5,217,7.6,1,3,8
44,50937,승리,트런들,MVP ADD,4,3,15,9716,7,32,17,68,2.4,1,3,8
45,50937,패배,피오라,chijixuanshou,3,11,7,16921,2,11,0,169,5.9,0,0,1
46,50937,패배,킨드레드,5gak,5,9,7,21127,6,48,3,136,4.8,0,0,1
47,50937,패배,르블랑,YM  zhongdan,4,4,4,23402,2,14,4,190,6.7,0,0,1
48,50937,패배,애쉬,deft123456,4,10,9,21801,7,26,5,184,6.5,0,0,1
49,50937,패배,미스 포츈,선기박,3,7,9,15816,9,36,6,29,1.0,0,0,1
50,50938,승리,제이스,우에하라 크롱,5,2,2,8068,1,9,6,193,9.4,0,0,3
51,50938,승리,엘리스,종학윙,6,2,3,7895,3,15,6,110,5.4,0,0,3
52,50938,승리,카타리나,겸손하고 근면한,7,3,3,16428,3,22,8,194,9.5,0,0,3
53,50938,승리,바루스,진에어 저스티스,4,1,7,9722,2,10,2,160,7.8,0,0,3
54,50938,승리,라칸,FVV BETTY,1,1,9,3105,5,16,8,12,0.6,0,0,3
55,50938,패배,럼블,담원 너구리,2,5,3,10201,3,11,6,143,7.0,0,0,2
56,50938,패배,자르반 4세,MooJin,2,6,3,6965,3,18,3,103,5.0,0,0,2
57,50938,패배,코르키,Heart,3,4,2,9012,3,22,3,209,10.2,0,0,2
58,50938,패배,미스 포츈,학교밀베포친키,1,6,2,9668,2,10,4,177,8.6,0,0,2
59,50938,패배,카르마,h1rb,1,2,3,6299,6,19,8,9,0.4,0,0,2
60,50939,승리,칼리스타,김메피,9,3,9,17739,2,10,9,262,8.2,2,1,9
61,50939,승리,케넨,우에하라 크롱,8,5,9,20569,2,16,4,197,6.2,2,1,9
62,50939,승리,라이즈,MVP Ian,2,1,13,18631,4,19,14,346,10.8,2,1,9
63,50939,승리,제라스,LPL noob ad QAQ,6,8,14,17893,6,44,15,31,1.0,2,1,9
64,50939,승리,자르반 4세,단군의청춘부재,9,5,18,15088,5,65,22,124,3.9,2,1,9
65,50939,패배,니달리,J Spectre G,3,6,7,10135,5,26,14,182,5.7,0,2,3
66,50939,패배,블리츠크랭크,DWG ShowMaker,1,9,10,6835,10,26,10,61,1.9,0,2,3
67,50939,패배,잭스,나네쫓다꿈소년,7,7,2,17722,2,22,5,288,9.0,0,2,3
68,50939,패배,탈리야,Hide on bush,8,5,3,17671,6,38,12,306,9.6,0,2,3
69,50939,패배,진,FeelsCoffeeMan,3,8,8,16560,2,11,13,255,8.0,0,2,3
70,50940,승리,카밀,우에하라 크롱,5,3,6,14819,1,16,1,169,7.3,0,0,5
71,50940,승리,니달리,PuncHh,4,4,7,6290,7,23,8,132,5.7,0,0,5
72,50940,승리,카타리나,259x,10,8,3,14437,1,12,2,136,5.9,0,0,5
73,50940,승리,미스 포츈,Yeeclipse,6,1,12,17809,4,11,6,219,9.5,0,0,5
74,50940,승리,알리스타,Afreeca M0wgli,4,1,13,6113,4,27,6,40,1.7,0,0,5
75,50940,패배,나르,나는야베이베이1,3,9,3,12216,1,11,5,117,5.1,0,1,0
76,50940,패배,리 신,PeanuToT,3,3,5,8298,4,37,4,132,5.7,0,1,0
77,50940,패배,아지르,영광 스런 년,1,7,6,11065,1,9,3,169,7.3,0,1,0
78,50940,패배,진,아트가 앗뜨거,6,1,8,14345,4,12,4,142,6.2,0,1,0
79,50940,패배,누누,진쟤승,4,9,4,8548,0,8,4,22,1.0,0,1,0
80,50941,승리,제이스,우에하라 크롱,4,4,6,15387,2,12,0,152,7.3,0,2,4
81,50941,승리,쉬바나,작전동 노란머리,3,2,11,14698,7,14,14,187,9.0,0,2,4
82,50941,승리,코르키,최석배 사생팬,7,3,6,11449,3,10,4,179,8.6,0,2,4
83,50941,승리,진,F0y,7,0,11,13334,4,10,8,173,8.3,0,2,4
84,50941,승리,탐 켄치,삼성갤럭시CoreJJ,2,3,15,7508,5,20,11,42,2.0,0,2,4
85,50941,패배,마오카이,빅파이초코파이,4,3,2,11183,0,7,2,164,7.9,0,0,1
86,50941,패배,자르반 4세,ROX Lindarang,3,5,4,8129,7,26,6,100,4.8,0,0,1
87,50941,패배,말자하,상어가족,2,4,7,12480,1,6,4,173,8.3,0,0,1
88,50941,패배,애쉬,삼성갤럭시 Ru1er,1,6,5,14125,1,14,3,133,6.4,0,0,1
89,50941,패배,레오나,커소리어스나,2,5,7,5158,6,34,3,20,1.0,0,0,1
90,50942,승리,쉔,우에하라 크롱,4,3,8,7193,2,12,2,158,4.8,1,2,7
91,50942,승리,세주아니,F0y,5,4,11,13478,10,51,25,174,5.2,1,2,7
92,50942,승리,아지르,By myself,4,1,5,19112,8,51,20,327,9.9,1,2,7
93,50942,승리,미스 포츈,DWG BeryL,10,4,9,33328,5,16,15,322,9.7,1,2,7
94,50942,승리,브라움,삼성갤럭시CoreJJ,0,5,14,9087,13,78,18,58,1.7,1,2,7
95,50942,패배,제이스,Delicious Fish,3,4,4,26206,5,35,11,326,9.8,0,0,6
96,50942,패배,자르반 4세,점점나의마음이끌,1,5,10,6026,9,55,30,169,5.1,0,0,6
97,50942,패배,트위스티드 페이트,송하영 팬,4,5,10,21511,3,16,9,260,7.8,0,0,6
98,50942,패배,진,학교밀베포친키,8,5,4,27598,4,11,20,310,9.4,0,0,6
99,50942,패배,탐 켄치,Nova1,1,4,8,4411,18,57,42,77,2.3,0,0,6
100,50943,승리,카밀,우에하라 크롱,10,1,6,25161,4,17,2,243,8.1,1,3,11
101,50943,승리,쉬바나,F0y,5,4,8,12461,4,8,11,213,7.1,1,3,11
102,50943,승리,제라스,reMember Mistake,8,1,10,33460,1,11,2,254,8.5,1,3,11
103,50943,승리,드레이븐,kiyomia,7,7,10,23268,0,7,8,224,7.5,1,3,11
104,50943,승리,잔나,리인제이,4,4,18,11479,10,71,12,24,0.8,1,3,11
105,50943,패배,제이스,Jin air Yaharong,2,10,3,13796,2,10,7,235,7.8,0,1,3
106,50943,패배,세주아니,Afreeca M0wgli,4,4,5,6460,8,31,11,144,4.8,0,1,3
107,50943,패배,아지르,최석배 사생팬,2,3,1,16282,2,12,10,259,8.6,0,1,3
108,50943,패배,미스 포츈,Yeeclipse,2,10,8,12543,2,12,7,236,7.9,0,1,3
109,50943,패배,벨코즈,JAG Wraith,7,7,9,24723,10,39,20,81,2.7,0,1,3
110,50944,패배,카밀,우에하라 크롱,2,2,3,12148,4,14,6,193,7.3,0,0,3
111,50944,패배,렝가,wo yao qu daye,1,3,5,6448,12,31,7,167,6.3,0,0,3
112,50944,패배,오리아나,마산가자,4,2,2,23842,5,19,10,249,9.5,0,0,3
113,50944,패배,미스 포츈,R0ver,1,5,2,7565,0,7,3,199,7.6,0,0,3
114,50944,패배,잔나,문장 분석기,1,3,3,4725,3,12,9,13,0.5,0,0,3
115,50944,승리,마오카이,스마트섹시뷰티,2,2,4,8777,2,19,0,143,5.4,1,4,11
116,50944,승리,쉬바나,5gak,1,1,5,4719,8,31,8,163,6.2,1,4,11
117,50944,승리,트위스티드 페이트,TeachersWu,4,4,4,11357,2,11,4,206,7.8,1,4,11
118,50944,승리,이즈리얼,어껭간만에찾아뵙,6,1,3,19997,1,13,8,275,10.4,1,4,11
119,50944,승리,알리스타,선기박,2,1,7,5579,14,45,11,39,1.5,1,4,11
120,50945,패배,나르,우에하라 크롱,3,5,8,22636,2,34,2,271,7.3,1,3,5
121,50945,패배,쉬바나,진쟤승,10,7,10,24991,3,9,11,219,5.9,1,3,5
122,50945,패배,아지르,마산가자,8,11,8,37479,10,16,10,297,8.0,1,3,5
123,50945,패배,미스 포츈,담원 얼라이브,5,8,12,27265,3,8,13,278,7.5,1,3,5
124,50945,패배,쓰레쉬,혼자가 편해졌어,1,8,19,9718,22,56,10,53,1.4,1,3,5
125,50945,승리,오른,Like Waves,1,3,21,25890,2,18,7,280,7.5,1,2,8
126,50945,승리,렝가,스마트섹시뷰티,6,7,10,16624,6,21,16,160,4.3,1,2,8
127,50945,승리,베이가,By myself,16,3,14,48962,6,23,3,310,8.4,1,2,8
128,50945,승리,진,SKT T1 Bang,13,7,12,39474,4,16,11,329,8.9,1,2,8
129,50945,승리,알리스타,SKT T1 WoIf,2,7,25,12360,11,44,11,76,2.0,1,2,8
130,50946,패배,제이스,우에하라 크롱,1,4,1,7235,1,14,1,109,7.0,0,0,0
131,50946,패배,세주아니,PuncHh,0,5,0,4191,3,12,3,78,5.0,0,0,0
132,50946,패배,탈리야,푸딩은푸딩해,2,1,1,7449,3,11,2,134,8.6,0,0,0
133,50946,패배,칼리스타,GALA,2,3,1,4800,0,11,0,105,6.7,0,0,0
134,50946,패배,쓰레쉬,호잇이,1,3,3,2235,2,9,3,16,1.0,0,0,0
135,50946,승리,카밀,Gon123,3,2,5,6259,0,6,5,99,6.3,0,1,3
136,50946,승리,쉬바나,yizhiyu,6,0,7,10050,1,7,7,113,7.2,0,1,3
137,50946,승리,라이즈,세메론,2,0,4,4815,2,14,5,153,9.8,0,1,3
138,50946,승리,미스 포츈,먹는건즐거워,3,2,6,9433,1,6,1,125,8.0,0,1,3
139,50946,승리,탐 켄치,supbest,2,2,7,3808,2,14,3,28,1.8,0,1,3
140,50947,승리,케넨,우에하라 크롱,1,0,1,6983,2,8,1,144,9.4,0,1,1
141,50947,승리,세주아니,PuncHh,3,0,3,2328,3,13,5,82,5.3,0,1,1
142,50947,승리,아지르,푸딩은푸딩해,4,1,2,7005,1,10,2,156,10.2,0,1,1
143,50947,승리,미스 포츈,Gon123,2,0,1,6191,0,5,1,128,8.3,0,1,1
144,50947,승리,알리스타,supbest,0,0,5,2850,3,11,8,22,1.4,0,1,1
145,50947,패배,오른,세메론,0,1,0,2749,1,7,1,134,8.7,0,0,0
146,50947,패배,니달리,종학윙,0,1,0,1109,5,15,3,109,7.1,0,0,0
147,50947,패배,탈리야,find myself,1,7,0,5332,2,5,5,102,6.7,0,0,0
148,50947,패배,진,GALA,0,0,0,4427,2,8,0,132,8.6,0,0,0
149,50947,패배,베이가,MSC TRY,0,1,0,3730,4,12,4,12,0.8,0,0,0
150,50948,패배,제이스,우에하라 크롱,8,7,12,37388,4,23,12,362,8.7,2,2,7
151,50948,패배,리 신,Wilder,14,9,11,21977,4,64,12,173,4.2,2,2,7
152,50948,패배,모르가나,MSC TRY,7,11,12,52442,5,8,5,349,8.4,2,2,7
153,50948,패배,이즈리얼,Gon123,6,7,11,42957,1,24,2,308,7.4,2,2,7
154,50948,패배,브라움,fengquyunbuhui,0,8,20,10691,15,66,6,47,1.1,2,2,7
155,50948,승리,카밀,FeelsIronMan,8,3,24,28713,3,23,11,303,7.3,1,3,10
156,50948,승리,신 짜오,yizhiyu,8,15,12,16973,1,8,14,199,4.8,1,3,10
157,50948,승리,카사딘,종학윙,12,5,15,36045,3,14,8,291,7.0,1,3,10
158,50948,승리,코그모,whisper snow,14,7,16,41120,0,13,11,386,9.3,1,3,10
159,50948,승리,소라카,YOYOuuuuuO,0,5,32,14747,13,58,13,21,0.5,1,3,10
160,50949,승리,제이스,우에하라 크롱,8,3,7,31158,5,36,6,262,7.7,0,1,7
161,50949,승리,세주아니,점점나의마음이끌,0,3,11,11325,7,31,7,168,4.9,0,1,7
162,50949,승리,말자하,Heart,8,9,11,36467,4,21,10,288,8.5,0,1,7
163,50949,승리,트리스타나,VIP 민형,6,6,9,24471,4,16,18,297,8.7,0,1,7
164,50949,승리,알리스타,토마토페이스트,2,5,14,10098,13,42,8,47,1.4,0,1,7
165,50949,패배,마오카이,1987 Plls,3,5,10,13518,1,5,7,181,5.3,1,3,6
166,50949,패배,쉬바나,yizhiyu,8,7,10,25273,3,9,17,226,6.7,1,3,6
167,50949,패배,오리아나,종학윙,4,3,13,23487,2,7,6,301,8.9,1,3,6
168,50949,패배,진,Gon123,7,6,13,27974,0,11,5,250,7.4,1,3,6
169,50949,패배,탐 켄치,fengquyunbuhui,4,3,15,10427,10,78,14,74,2.2,1,3,6
170,50950,패배,카밀,우에하라 크롱,12,11,13,45250,2,45,6,324,7.2,2,1,4
171,50950,패배,리 신,SnakeLight,11,6,20,32094,3,67,14,171,3.8,2,1,4
172,50950,패배,르블랑,Jin air Yaharong,11,9,14,58466,3,43,13,335,7.5,2,1,4
173,50950,패배,바루스,supbest,6,7,14,43081,6,22,19,333,7.4,2,1,4
174,50950,패배,제라스,YOYOuuuuuO,2,12,8,32589,12,56,19,59,1.3,2,1,4
175,50950,승리,올라프,코w코,7,10,8,23835,5,27,11,342,7.6,1,2,10
176,50950,승리,타릭,삼성갤럭시CoreJJ,5,5,23,17139,7,71,27,220,4.9,1,2,10
177,50950,승리,조이,love left,4,12,13,41198,3,23,12,244,5.4,1,2,10
178,50950,승리,진,삼성갤럭시 Ru1er,22,8,12,63571,2,13,18,424,9.5,1,2,10
179,50950,승리,블리츠크랭크,진쟤승,7,7,19,18717,19,64,14,60,1.3,1,2,10
180,50951,승리,케넨,우에하라 크롱,7,4,6,14061,2,11,5,163,7.4,1,2,3
181,50951,승리,렝가,Cuz2,10,4,6,15416,4,21,10,124,5.7,1,2,3
182,50951,승리,아지르,으아으앙으아앙,8,2,7,15701,1,17,8,170,7.8,1,2,3
183,50951,승리,진,F0y,4,5,15,15796,1,7,4,171,7.8,1,2,3
184,50951,승리,브라움,Nem2sis,1,2,16,4628,2,21,6,33,1.5,1,2,3
185,50951,패배,일라오이,메 끠,2,7,3,10720,2,11,2,139,6.3,0,0,2
186,50951,패배,카직스,TeawaN,5,3,3,9565,4,19,7,101,4.6,0,0,2
187,50951,패배,르블랑,chirchri,6,7,4,11854,4,19,6,120,5.5,0,0,2
188,50951,패배,이즈리얼,Hades9,3,6,5,13544,2,12,2,185,8.4,0,0,2
189,50951,패배,쉔,삼성갤럭시CoreJJ,1,7,11,5371,8,21,9,43,2.0,0,0,2
190,50952,패배,마오카이,우에하라 크롱,0,4,7,9127,3,19,15,238,6.6,1,1,6
191,50952,패배,렝가,kenzhu9,1,5,8,14978,11,72,19,231,6.4,1,1,6
192,50952,패배,아지르,피넛사냥개1,6,5,4,20702,3,41,15,311,8.6,1,1,6
193,50952,패배,이즈리얼,메 끠,7,5,7,29032,1,20,16,313,8.6,1,1,6
194,50952,패배,카르마,reMember Mistake,4,3,10,11849,15,54,30,40,1.1,1,1,6
195,50952,승리,제이스,삶이힘든사람,6,3,1,23297,6,44,10,356,9.8,1,3,8
196,50952,승리,쉬바나,FeelsSosoMan,8,2,6,20877,10,26,23,251,6.9,1,3,8
197,50952,승리,신드라,으아으앙으아앙,6,3,7,24426,4,31,20,363,10.0,1,3,8
198,50952,승리,미스 포츈,FVV BETTY,1,3,8,16470,5,37,23,320,8.8,1,3,8
199,50952,승리,쉔,TeawaN,1,7,7,3724,17,89,19,54,1.5,1,3,8
