,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30955,패배,제이스,우철짱123,4,1,1,9756,3,20,4,188,9.1,0,0,1
1,30955,패배,엘리스,종학윙,0,3,2,1889,2,10,4,92,4.5,0,0,1
2,30955,패배,라이즈,FeelsAwesomeMan,1,3,1,3697,2,9,9,177,8.6,0,0,1
3,30955,패배,바루스,상어가족,0,4,3,6074,1,8,5,107,5.2,0,0,1
4,30955,패배,쉔,담원 크러쉬,2,3,5,3121,4,22,8,28,1.4,0,0,1
5,30955,승리,나르,PuncHh,3,1,2,6493,3,12,3,151,7.3,0,3,5
6,30955,승리,자르반 4세,shirushi,5,1,7,7164,6,25,9,92,4.5,0,3,5
7,30955,승리,말자하,삼성갤럭시 Crown,3,3,4,6122,6,22,3,187,9.1,0,3,5
8,30955,승리,진,DWG BeryL,3,1,4,8386,5,13,4,166,8.1,0,3,5
9,30955,승리,제라스,DWG ShowMaker,0,1,7,7097,6,16,6,17,0.8,0,3,5
10,30956,승리,카밀,우철짱123,4,4,4,11464,2,13,7,246,8.0,1,0,10
11,30956,승리,니달리,장난 꾸러기 돼지,8,2,11,17462,4,35,9,188,6.1,1,0,10
12,30956,승리,말자하,FW Maple,7,4,13,29814,4,16,4,270,8.8,1,0,10
13,30956,승리,진,RRRuleRRR,6,3,9,21422,8,28,8,296,9.6,1,0,10
14,30956,승리,알리스타,MataMataMata,2,2,16,8718,14,46,10,43,1.4,1,0,10
15,30956,패배,럼블,빅파이초코파이,2,2,8,22190,4,18,4,286,9.3,0,3,3
16,30956,패배,쉬바나,작전동 노란머리,6,5,3,12423,10,15,21,226,7.3,0,3,3
17,30956,패배,조이,UcaL,2,9,2,12719,8,17,4,259,8.4,0,3,3
18,30956,패배,미스 포츈,비 브이 오 와이,3,5,3,21324,6,15,20,232,7.5,0,3,3
19,30956,패배,쉔,호경모드,2,6,6,5767,12,41,11,62,2.0,0,3,3
20,30957,승리,쉔,우철짱123,11,4,17,18625,1,12,6,206,7.5,1,0,9
21,30957,승리,아이번,kenzhu9,5,2,23,12541,3,12,4,137,5.0,1,0,9
22,30957,승리,탈리야,푸딩은푸딩해,11,5,7,18327,3,25,2,234,8.5,1,0,9
23,30957,승리,바루스,sqb,6,8,21,30474,1,6,1,186,6.7,1,0,9
24,30957,승리,레오나,XinyiQAQ,3,3,22,10660,6,38,8,49,1.8,1,0,9
25,30957,패배,말파이트,바보처럼 왜,2,7,6,11739,0,9,1,164,5.9,0,2,3
26,30957,패배,자르반 4세,피넛사냥개1,8,10,9,17290,4,23,2,112,4.1,0,2,3
27,30957,패배,아지르,chirchri,4,4,5,15205,5,9,10,226,8.2,0,2,3
28,30957,패배,진,원딜둥이,7,6,5,17336,2,8,7,203,7.4,0,2,3
29,30957,패배,마오카이,진쟤승,1,9,10,11169,6,37,7,51,1.9,0,2,3
30,30958,패배,나르,우철짱123,2,3,9,25034,1,32,3,268,7.8,0,2,4
31,30958,패배,카직스,으아으앙으아앙,9,8,8,25569,4,11,6,174,5.1,0,2,4
32,30958,패배,트위스티드 페이트,TeachersWu,5,2,9,26177,4,19,3,278,8.1,0,2,4
33,30958,패배,미스 포츈,푸딩은푸딩해,5,8,10,21157,2,14,7,236,6.9,0,2,4
34,30958,패배,소라카,진쟤승,2,8,14,8078,7,41,9,18,0.5,0,2,4
35,30958,승리,쉔,원딜둥이,1,7,9,10881,3,19,5,180,5.2,1,1,9
36,30958,승리,아이번,kenzhu9,2,4,19,9643,4,18,5,128,3.7,1,1,9
37,30958,승리,라이즈,KDM PERT,6,4,3,19970,3,17,7,320,9.3,1,1,9
38,30958,승리,트리스타나,SnakeLight,13,3,8,39553,2,13,8,356,10.3,1,1,9
39,30958,승리,알리스타,호잇이,7,5,17,15416,13,46,7,58,1.7,1,1,9
40,30959,승리,나르,Sakura Angel,5,6,3,11902,0,21,3,208,7.2,0,1,10
