,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3579,승리,블라디미르,최석배 사생팬,6,6,10,29684,3,13,9,385,9.7,1,4,9
1,3579,승리,초가스,TeachersWu,1,6,5,3931,4,32,7,177,4.5,1,4,9
2,3579,승리,탈론,PawN God,7,3,5,21724,7,54,15,346,8.7,1,4,9
3,3579,승리,이즈리얼,삼성갤럭시 Ru1er,13,6,7,47135,6,22,18,371,9.4,1,4,9
4,3579,승리,쉔,은종섭,2,5,16,11002,14,61,24,77,1.9,1,4,9
5,3579,패배,말자하,7hal,3,9,10,37891,4,24,12,378,9.6,1,0,6
6,3579,패배,카직스,5gak,11,7,5,33487,13,64,14,166,4.2,1,0,6
7,3579,패배,오리아나,LFT MID,7,3,7,31808,3,22,12,319,8.1,1,0,6
8,3579,패배,미스 포츈,빅파이초코파이,5,6,9,31248,7,22,17,329,8.3,1,0,6
9,3579,패배,알리스타,선기박,0,4,19,13041,16,60,15,57,1.4,1,0,6
10,3580,패배,신지드,빅파이초코파이,7,6,4,31867,0,13,3,237,7.5,0,1,2
11,3580,패배,리 신,TeachersWu,0,8,3,4294,3,24,11,132,4.2,0,1,2
12,3580,패배,오리아나,LFT MID,4,5,5,23303,2,16,3,240,7.6,0,1,2
13,3580,패배,애쉬,삼성갤럭시 Ru1er,2,6,6,19676,4,27,15,296,9.3,0,1,2
14,3580,패배,브라움,은종섭,0,6,9,6734,10,67,19,61,1.9,0,1,2
15,3580,승리,오른,7hal,4,3,10,18982,3,18,6,295,9.3,1,2,6
16,3580,승리,세주아니,5gak,6,2,11,14547,13,51,17,198,6.2,1,2,6
17,3580,승리,조이,PawN God,12,4,10,41991,11,24,7,161,5.1,1,2,6
18,3580,승리,진,해운대잠만보,6,2,10,22641,2,10,11,274,8.6,1,2,6
19,3580,승리,알리스타,선기박,3,2,14,8137,18,52,16,56,1.8,1,2,6
20,3581,패배,오른,atlenismydaddy,2,5,15,17163,5,22,3,272,7.2,0,1,9
21,3581,패배,자르반 4세,dafdfdsdsffsd,10,2,11,16814,3,22,8,242,6.4,0,1,9
22,3581,패배,카사딘,FVV BETTY,5,8,4,15326,2,16,8,262,7.0,0,1,9
23,3581,패배,진,Atlen,6,3,12,29184,5,13,4,320,8.5,0,1,9
24,3581,패배,바드,은종섭,5,1,17,15155,15,52,11,47,1.3,0,1,9
25,3581,승리,피오라,TOP아빠,4,7,7,17097,5,23,5,348,9.3,2,4,9
26,3581,승리,쉬바나,죠토마킹,4,5,8,15263,6,18,12,246,6.6,2,4,9
27,3581,승리,아지르,PawN God,5,5,6,24751,8,23,11,312,8.3,2,4,9
28,3581,승리,시비르,Yeeclipse,2,4,9,21647,3,16,2,268,7.1,2,4,9
29,3581,승리,잔나,찹 또,4,7,7,10615,17,41,12,29,0.8,2,4,9
30,3582,패배,카밀,Gazuaaaaaaa,8,6,5,24401,1,15,2,257,7.9,0,1,8
31,3582,패배,자르반 4세,pokeryo,5,3,10,10163,4,50,11,179,5.5,0,1,8
32,3582,패배,블라디미르,wjhfjihtiu,3,5,8,21744,1,10,6,258,7.9,0,1,8
33,3582,패배,진,어껭간만에찾아뵙,4,6,7,21706,0,11,5,237,7.3,0,1,8
34,3582,패배,조이,은종섭,2,7,8,19764,12,38,16,37,1.1,0,1,8
35,3582,승리,올라프,코w코,4,4,6,19049,3,17,4,269,8.3,2,3,10
36,3582,승리,쉬바나,일견무시도성빈,4,8,6,18060,8,10,18,198,6.1,2,3,10
37,3582,승리,말자하,상어가족,2,7,8,16349,2,7,5,212,6.5,2,3,10
38,3582,승리,미스 포츈,VIP 민형,15,2,5,27371,2,13,16,305,9.4,2,3,10
39,3582,승리,브라움,MVP ADD,2,1,20,9641,16,74,9,74,2.3,2,3,10
40,3583,승리,오른,JAG S0hwan,5,3,10,20136,4,15,4,247,8.6,1,3,7
41,3583,승리,자르반 4세,ROX 곰,7,6,22,15094,3,40,5,137,4.8,1,3,7
42,3583,승리,르블랑,ROX 라바,16,5,12,35494,1,26,8,216,7.5,1,3,7
43,3583,승리,진,F0y,13,4,7,25934,3,13,7,259,9.0,1,3,7
44,3583,승리,블리츠크랭크,은종섭,1,3,19,5434,12,65,10,41,1.4,1,3,7
45,3583,패배,갱플랭크,집중의문제다,5,5,4,21411,3,16,6,211,7.4,0,0,2
46,3583,패배,니달리,J Spectre G,8,9,5,20682,4,28,15,156,5.4,0,0,2
47,3583,패배,오리아나,PuncHh,2,6,2,8371,3,23,8,221,7.7,0,0,2
48,3583,패배,이즈리얼,욘 드,2,10,5,23990,1,15,15,195,6.8,0,0,2
49,3583,패배,애니,JAG SnowFlower,2,12,9,12994,9,16,10,26,0.9,0,0,2
50,3584,승리,케넨,Like Waves,3,6,9,23830,4,16,2,235,7.2,2,3,10
51,3584,승리,자르반 4세,삼성갤럭시 하루,13,3,20,26451,12,50,13,157,4.8,2,3,10
52,3584,승리,탈리야,푸딩은푸딩해,14,2,11,32409,3,16,3,305,9.3,2,3,10
53,3584,승리,바루스,Peecaboo,9,6,15,25014,3,11,3,247,7.5,2,3,10
54,3584,승리,브라움,은종섭,0,6,22,6417,9,69,11,44,1.3,2,3,10
55,3584,패배,카밀,세메론,5,11,4,9336,0,14,6,238,7.3,0,0,3
56,3584,패배,세주아니,PeanuToT,5,9,8,13311,4,9,11,178,5.4,0,0,3
