,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31354,패배,말파이트,chirchri,3,8,5,19761,6,19,7,240,5.7,1,1,6
1,31354,패배,올라프,작전동 노란머리,5,6,4,13322,17,21,21,220,5.2,1,1,6
2,31354,패배,탈리야,푸딩은푸딩해,6,4,6,38656,0,28,6,426,10.2,1,1,6
3,31354,패배,미스 포츈,비 브이 오 와이,5,2,9,27984,2,39,16,350,8.3,1,1,6
4,31354,패배,알리스타,Yeeclipse,1,7,9,8498,20,91,16,52,1.2,1,1,6
5,31354,승리,제이스,reMember Mistake,5,8,12,32835,4,47,14,320,7.6,1,4,10
6,31354,승리,세주아니,커피물조절장인,6,4,15,17771,3,8,24,231,5.5,1,4,10
7,31354,승리,제라스,아테나찡,7,2,11,40445,5,25,16,366,8.7,1,4,10
8,31354,승리,진,STITCH2,8,3,8,36923,3,13,18,358,8.5,1,4,10
9,31354,승리,탐 켄치,160810,1,3,16,7291,19,67,19,89,2.1,1,4,10
10,31355,패배,케넨,RRRuleRRR,9,6,8,18113,1,16,9,251,7.6,0,0,4
11,31355,패배,럼블,작전동 노란머리,5,5,9,14536,6,27,4,187,5.6,0,0,4
12,31355,패배,라이즈,푸딩은푸딩해,4,3,3,9985,4,30,14,319,9.6,0,0,4
13,31355,패배,이즈리얼,메 끠,0,4,9,11722,3,13,9,279,8.4,0,0,4
14,31355,패배,탐 켄치,엄청강한 올빼미,3,3,5,5377,17,50,11,67,2.0,0,0,4
15,31355,승리,제이스,chirchri,4,7,8,16533,2,25,7,251,7.6,1,1,8
16,31355,승리,렝가,ROX 곰,6,4,6,13709,6,24,7,208,6.3,1,1,8
17,31355,승리,아지르,으아으앙으아앙,6,4,7,26647,3,17,12,305,9.2,1,1,8
18,31355,승리,미스 포츈,학식먹을나이,5,3,6,21453,3,29,7,289,8.7,1,1,8
19,31355,승리,카르마,160810,0,4,11,5563,13,41,17,26,0.8,1,1,8
20,31356,패배,일라오이,MVP ADD,2,9,6,11710,3,15,2,161,6.7,0,1,1
21,31356,패배,쉬바나,작전동 노란머리,7,7,2,9935,6,10,7,134,5.6,0,1,1
22,31356,패배,르블랑,chirchri,8,2,5,17288,3,17,2,154,6.4,0,1,1
23,31356,패배,진,RRRuleRRR,1,14,4,7826,2,4,1,133,5.5,0,1,1
24,31356,패배,제라스,아테나찡,1,7,8,13995,3,13,8,49,2.0,0,1,1
25,31356,승리,베인,메 끠,8,6,6,26385,2,8,2,155,6.4,0,1,10
