,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50020,승리,잭스,2342,9,4,7,12092,0,11,1,181,6.9,1,1,5
1,50020,승리,카직스,KOSE,13,1,7,18309,2,6,11,109,4.2,1,1,5
2,50020,승리,카서스,잠자구있어요,4,5,16,31081,5,14,4,205,7.8,1,1,5
3,50020,승리,드레이븐,소보로빵세개천원,4,7,15,23451,3,9,4,166,6.3,1,1,5
4,50020,승리,소라카,테 르,0,8,24,11736,7,24,2,6,0.2,1,1,5
5,50020,패배,신지드,흑인42호,2,1,11,12791,2,12,0,163,6.2,0,0,3
6,50020,패배,이블린,도멜레온,10,8,7,16877,4,8,3,92,3.5,0,0,3
7,50020,패배,트위스티드 페이트,Rimu666,4,6,10,13948,2,12,3,167,6.4,0,0,3
8,50020,패배,자야,설레영,5,8,11,16111,2,10,1,150,5.7,0,0,3
9,50020,패배,사이온,Kent 747,4,7,11,15314,2,29,5,61,2.3,0,0,3
10,50021,승리,초가스,마스터못간쓰레기,5,4,5,9435,3,8,0,145,6.2,1,1,10
11,50021,승리,엘리스,2342,9,4,17,20348,5,24,2,55,2.4,1,1,10
12,50021,승리,카서스,잠자구있어요,10,3,10,26876,4,13,3,208,8.9,1,1,10
13,50021,승리,케이틀린,미드는버스나타셈,8,4,10,22316,1,7,5,167,7.2,1,1,10
14,50021,승리,사이온,Kent 747,2,4,14,8754,0,23,3,43,1.8,1,1,10
15,50021,패배,신지드,흑인42호,5,6,8,16052,2,10,1,143,6.1,0,1,0
16,50021,패배,렉사이,유럽 정글,1,7,9,7307,2,8,4,73,3.1,0,1,0
17,50021,패배,라이즈,팀데스담당,7,7,1,10011,2,5,3,149,6.4,0,1,0
18,50021,패배,자야,루납은 신이다,4,7,5,14743,1,8,3,125,5.4,0,1,0
19,50021,패배,알리스타,원딜cs잘빼먹음,2,7,11,6221,4,17,4,20,0.9,0,1,0
20,50022,승리,카서스,잠자구있어요,11,6,11,28101,2,14,3,261,9.6,1,2,11
21,50022,승리,이즈리얼,2342,10,5,14,24248,4,10,9,91,3.3,1,2,11
22,50022,승리,라이즈,팀데스담당,9,8,13,18693,1,6,0,177,6.5,1,2,11
23,50022,승리,트리스타나,속고만살았나보다,7,2,12,19197,1,9,2,199,7.3,1,2,11
24,50022,승리,레오나,AKG Bene,2,6,13,3716,4,29,5,32,1.2,1,2,11
25,50022,패배,제이스,세메론,5,7,10,19617,4,14,5,176,6.5,0,0,2
26,50022,패배,세주아니,Maan de st,4,8,12,9760,2,8,6,107,3.9,0,0,2
27,50022,패배,탈리야,fndasjkfkqw,3,9,10,17966,3,12,1,170,6.3,0,0,2
28,50022,패배,징크스,엉덩국 갱승제로,13,6,6,19044,1,8,2,242,8.9,0,0,2
29,50022,패배,쓰레쉬,신코리,2,9,7,4428,6,27,2,17,0.6,0,0,2
30,50023,승리,하이머딩거,잠자구있어요,4,6,1,11652,3,11,1,155,6.7,1,1,11
31,50023,승리,이즈리얼,Xais SalvaxE,4,4,8,10826,4,8,4,102,4.4,1,1,11
32,50023,승리,에코,김검사님,12,3,5,17922,3,8,6,165,7.1,1,1,11
33,50023,승리,자야,강원도눈싸움달인,11,2,3,17208,3,5,5,186,8.0,1,1,11
34,50023,승리,라칸,wadid,0,3,16,6218,6,23,4,6,0.3,1,1,11
35,50023,패배,자르반 4세,pXq,8,2,4,14286,3,11,1,173,7.4,0,0,0
36,50023,패배,엘리스,EEW detpeC,0,12,6,4672,3,6,3,69,3.0,0,0,0
37,50023,패배,베이가,xaxaxaxaxa,5,8,4,13026,0,9,0,114,4.9,0,0,0
38,50023,패배,미스 포츈,fndasjkfkqw,4,5,4,10772,1,10,2,164,7.0,0,0,0
39,50023,패배,알리스타,미드는버스나타셈,1,4,5,2577,9,22,6,37,1.6,0,0,0
40,50024,승리,오른,xaxaxaxaxa,4,7,20,15025,0,14,1,205,6.6,0,0,9
41,50024,승리,엘리스,김검사님,16,6,17,31687,4,6,5,112,3.6,0,0,9
42,50024,승리,카서스,잠자구있어요,9,6,10,29120,1,14,3,225,7.3,0,0,9
43,50024,승리,트리스타나,Maan de st,8,5,16,20371,2,14,8,214,6.9,0,0,9
44,50024,승리,레오나,wadid,6,5,22,9429,11,44,7,43,1.4,0,0,9
45,50024,패배,럼블,앗 또 저 기 여,6,10,14,28502,4,12,1,200,6.5,1,3,3
46,50024,패배,리 신,미 키,2,10,13,8050,7,28,6,89,2.9,1,3,3
47,50024,패배,피즈,갬 성,8,8,7,18327,1,4,7,236,7.6,1,3,3
48,50024,패배,코그모,fndasjkfkqw,11,8,7,31775,5,13,10,240,7.7,1,3,3
49,50024,패배,라칸,꼬맹이전쟁,2,7,18,6866,3,21,5,8,0.3,1,3,3
50,50025,승리,자르반 4세,IGS Bear,6,1,6,6408,3,8,1,104,6.5,0,1,5
51,50025,승리,엘리스,김검사님,8,1,6,9631,3,8,3,57,3.5,0,1,5
52,50025,승리,카서스,잠자구있어요,1,1,5,8752,0,6,0,150,9.3,0,1,5
53,50025,승리,진,FeelsCoffeeMan,2,2,5,4281,0,4,0,124,7.7,0,1,5
54,50025,승리,모르가나,여성기사요,2,1,6,2319,4,12,2,9,0.6,0,1,5
55,50025,패배,우르곳,xaxaxaxaxa,1,5,0,3887,0,6,1,82,5.1,0,0,0
56,50025,패배,이블린,Maan de st,1,3,3,4144,2,8,0,56,3.5,0,0,0
57,50025,패배,카사딘,1 Peak,1,5,1,3784,3,7,2,115,7.1,0,0,0
58,50025,패배,트리스타나,유하람,2,3,2,4586,1,7,1,104,6.5,0,0,0
59,50025,패배,라칸,wadid,1,3,3,2765,3,9,1,2,0.1,0,0,0
60,50026,승리,제이스,1 Peak,4,8,7,25967,4,18,11,252,7.2,2,3,8
61,50026,승리,카직스,김검사님,7,8,5,15451,2,8,4,115,3.3,2,3,8
62,50026,승리,카서스,잠자구있어요,4,7,12,42215,1,17,6,263,7.5,2,3,8
63,50026,승리,자야,fndasjkfkqw,9,4,5,20337,2,12,14,350,10.0,2,3,8
64,50026,승리,알리스타,303079,0,7,13,6399,16,51,8,29,0.8,2,3,8
65,50026,패배,라이즈,속고만살았나보다,13,6,8,28507,2,14,4,260,7.4,0,1,7
66,50026,패배,니달리,야 옹,6,5,14,19063,4,6,9,198,5.6,0,1,7
67,50026,패배,트위스티드 페이트,수영장파티박종우,7,5,14,20791,4,18,2,214,6.1,0,1,7
68,50026,패배,바루스,외전평,6,5,10,19928,3,11,5,241,6.9,0,1,7
69,50026,패배,라칸,Mocha1,2,3,17,10914,14,51,6,10,0.3,0,1,7
70,50027,패배,하이머딩거,잠자구있어요,1,6,1,12163,4,12,1,138,6.7,0,0,0
71,50027,패배,자르반 4세,김검사님,1,4,1,3295,3,19,2,87,4.2,0,0,0
72,50027,패배,트위스티드 페이트,1 Peak,1,5,1,6069,2,7,2,142,6.8,0,0,0
73,50027,패배,자야,용연보이,1,2,2,9848,1,8,0,158,7.6,0,0,0
74,50027,패배,룰루,Nearly,0,1,2,3848,4,13,1,1,0.0,0,0,0
75,50027,승리,럼블,삶이힘든사람,6,1,3,7955,4,10,3,172,8.3,0,1,6
76,50027,승리,렉사이,앙 땅굴띠,10,0,4,10032,3,7,2,92,4.4,0,1,6
77,50027,승리,말자하,갬 성,0,0,8,6401,1,9,2,192,9.3,0,1,6
78,50027,승리,트리스타나,외전평,2,1,7,9029,1,9,4,162,7.8,0,1,6
79,50027,승리,소라카,303079,0,2,9,2502,4,17,3,5,0.2,0,1,6
80,50028,승리,쓰레쉬,F1owArT,0,1,4,857,1,0,0,8,1.0,0,0,6
81,50028,승리,자르반 4세,삶이힘든사람,3,0,0,1338,0,2,0,36,4.6,0,0,6
82,50028,승리,트리스타나,Anima 이유,1,0,3,1889,0,3,0,32,4.1,0,0,6
83,50028,승리,엘리스,김검사님,2,0,2,883,0,2,0,23,2.9,0,0,6
84,50028,승리,카서스,잠자구있어요,1,1,2,1624,1,1,0,54,6.9,0,0,6
85,50028,패배,베이가,xaxaxaxaxa,0,1,0,0,0,0,0,11,1.4,0,0,0
86,50028,패배,신 짜오,도류야정신좀차려,1,1,0,686,0,0,0,12,1.5,0,0,0
87,50028,패배,아지르,이도류,0,1,2,2176,0,1,1,12,1.5,0,0,0
88,50028,패배,바드,IlllllIIIIlIlI,0,2,0,542,0,0,0,0,0.0,0,0,0
89,50028,패배,진,FeelsCoffeeMan,1,2,1,1830,0,2,0,32,4.1,0,0,0
90,50029,승리,판테온,광동포차,5,4,5,14935,2,12,0,173,7.0,1,1,9
91,50029,승리,엘리스,김검사님,9,3,5,17706,1,8,2,78,3.1,1,1,9
92,50029,승리,하이머딩거,잠자구있어요,6,2,2,18101,5,14,0,199,8.0,1,1,9
93,50029,승리,트리스타나,희망의 불씨,2,2,4,6663,0,8,1,217,8.8,1,1,9
94,50029,승리,브라움,신코리,0,3,13,4945,6,26,11,45,1.8,1,1,9
95,50029,패배,레넥톤,pXq,2,6,5,7431,4,14,1,142,5.7,0,1,1
96,50029,패배,다이애나,케타케리온,3,4,5,7819,0,9,2,149,6.0,0,1,1
97,50029,패배,탈리야,시즌8 챌린져보상,4,4,2,10646,3,10,3,171,6.9,0,1,1
98,50029,패배,진,현 실,3,4,5,17296,1,10,0,178,7.2,0,1,1
99,50029,패배,알리스타,42185483del,2,4,5,4164,4,19,6,39,1.6,0,1,1
