,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50395,승리,제이스,Delicious Fish,5,1,0,14228,3,22,5,185,9.3,0,2,8
1,50395,승리,니달리,점점나의마음이끌,0,0,5,5608,4,19,7,125,6.3,0,2,8
2,50395,승리,탈리야,Lucete,3,1,3,10864,3,11,4,185,9.3,0,2,8
3,50395,승리,트리스타나,GALA,8,1,1,5634,4,19,4,190,9.6,0,2,8
4,50395,승리,마오카이,Nova1,0,1,9,4939,8,18,9,41,2.1,0,2,8
5,50395,패배,카밀,Co1dplay,2,2,0,4076,2,9,5,140,7.1,0,0,0
6,50395,패배,카직스,So1o,0,2,2,3738,5,15,6,103,5.2,0,0,0
7,50395,패배,르블랑,Jin air Yaharong,1,4,0,7076,2,20,6,150,7.6,0,0,0
8,50395,패배,진,김메피,1,5,1,4470,2,9,3,150,7.6,0,0,0
9,50395,패배,제라스,강고릴,0,3,2,8103,1,9,8,33,1.7,0,0,0
10,50396,패배,이렐리아,빅파이초코파이,5,9,3,20214,4,36,13,284,8.2,0,0,3
11,50396,패배,렝가,SKT T1 WoIf,5,9,6,17291,6,26,10,170,4.9,0,0,3
12,50396,패배,카사딘,점점나의마음이끌,3,6,5,19875,3,17,8,289,8.3,0,0,3
13,50396,패배,진,GuGer,5,6,4,28997,0,11,8,268,7.7,0,0,3
14,50396,패배,트런들,Delicious Fish,0,4,8,6318,17,52,27,94,2.7,0,0,3
15,50396,승리,나르,Gazuaaaaaaa,10,5,5,24939,7,42,14,293,8.4,1,3,8
16,50396,승리,자르반 4세,Afreeca M0wgli,6,2,22,15952,12,39,17,173,5.0,1,3,8
17,50396,승리,라이즈,KDM 유준,6,3,13,27334,1,15,6,287,8.3,1,3,8
18,50396,승리,미스 포츈,6학년4반장용준,10,4,8,33551,3,15,6,309,8.9,1,3,8
19,50396,승리,쉔,JAG SnowFlower,2,4,20,13586,8,38,13,84,2.4,1,3,8
20,50397,승리,카밀,빅파이초코파이,5,2,3,10748,2,11,6,190,8.7,1,3,7
21,50397,승리,쉬바나,XinyiQAQ,2,3,7,8056,5,7,11,135,6.2,1,3,7
