,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31134,패배,제이스,우철짱123,4,1,1,9756,3,20,4,188,9.1,0,0,1
1,31134,패배,엘리스,종학윙,0,3,2,1889,2,10,4,92,4.5,0,0,1
2,31134,패배,라이즈,FeelsAwesomeMan,1,3,1,3697,2,9,9,177,8.6,0,0,1
3,31134,패배,바루스,상어가족,0,4,3,6074,1,8,5,107,5.2,0,0,1
4,31134,패배,쉔,담원 크러쉬,2,3,5,3121,4,22,8,28,1.4,0,0,1
5,31134,승리,나르,PuncHh,3,1,2,6493,3,12,3,151,7.3,0,3,5
6,31134,승리,자르반 4세,shirushi,5,1,7,7164,6,25,9,92,4.5,0,3,5
7,31134,승리,말자하,삼성갤럭시 Crown,3,3,4,6122,6,22,3,187,9.1,0,3,5
8,31134,승리,진,DWG BeryL,3,1,4,8386,5,13,4,166,8.1,0,3,5
9,31134,승리,제라스,DWG ShowMaker,0,1,7,7097,6,16,6,17,0.8,0,3,5
10,31135,승리,제이스,담원 너구리,7,4,10,32085,6,59,16,412,9.4,0,4,9
11,31135,승리,카직스,Cuz2,9,6,6,29671,2,27,30,266,6.1,0,4,9
12,31135,승리,라이즈,FeelsAwesomeMan,5,4,13,29516,9,15,28,387,8.9,0,4,9
13,31135,승리,미스 포츈,담원 얼라이브,14,5,10,57436,5,16,19,364,8.3,0,4,9
14,31135,승리,제라스,종학윙,3,3,11,34597,3,12,13,91,2.1,0,4,9
15,31135,패배,카밀,춘봉박,8,7,4,24528,2,23,17,397,9.1,2,0,4
16,31135,패배,세주아니,PeanuToT,4,2,10,16848,14,35,15,215,4.9,2,0,4
17,31135,패배,탈리야,겸손하고 근면한,4,13,6,20294,5,39,4,370,8.5,2,0,4
18,31135,패배,진,뒷텔와드점,5,8,9,24132,3,24,4,311,7.1,2,0,4
19,31135,패배,카르마,chorongie,1,8,12,14083,14,82,19,53,1.2,2,0,4
20,31136,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
21,31136,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
22,31136,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
23,31136,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
24,31136,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
25,31136,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
26,31136,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
27,31136,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
28,31136,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
29,31136,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
30,31137,승리,제이스,우에하라 크롱,5,2,2,8068,1,9,6,193,9.4,0,0,3
31,31137,승리,엘리스,종학윙,6,2,3,7895,3,15,6,110,5.4,0,0,3
32,31137,승리,카타리나,겸손하고 근면한,7,3,3,16428,3,22,8,194,9.5,0,0,3
33,31137,승리,바루스,진에어 저스티스,4,1,7,9722,2,10,2,160,7.8,0,0,3
34,31137,승리,라칸,FVV BETTY,1,1,9,3105,5,16,8,12,0.6,0,0,3
35,31137,패배,럼블,담원 너구리,2,5,3,10201,3,11,6,143,7.0,0,0,2
36,31137,패배,자르반 4세,MooJin,2,6,3,6965,3,18,3,103,5.0,0,0,2
37,31137,패배,코르키,Heart,3,4,2,9012,3,22,3,209,10.2,0,0,2
38,31137,패배,미스 포츈,학교밀베포친키,1,6,2,9668,2,10,4,177,8.6,0,0,2
39,31137,패배,카르마,h1rb,1,2,3,6299,6,19,8,9,0.4,0,0,2
40,31138,승리,카밀,Gazuaaaaaaa,3,1,5,6689,2,9,3,178,9.6,0,0,5
41,31138,승리,세주아니,종학윙,6,2,6,8074,2,20,2,94,5.1,0,0,5
42,31138,승리,라이즈,KDM 유준,7,1,4,10954,1,7,4,185,10.0,0,0,5
43,31138,승리,이즈리얼,161561,4,5,8,12623,0,9,7,135,7.3,0,0,5
44,31138,승리,탐 켄치,SKT T1 WoIf,4,1,5,5212,3,15,6,45,2.4,0,0,5
45,31138,패배,나르,FeelsAwesomeMan,2,6,1,7595,1,7,3,109,5.9,0,1,0
46,31138,패배,리 신,chijixuanshou,0,3,3,3825,5,25,2,75,4.1,0,1,0
47,31138,패배,베이가,ZhanQiHuaYm,2,5,2,6958,3,6,4,155,8.4,0,1,0
48,31138,패배,미스 포츈,GALA,4,7,2,10694,1,13,1,136,7.3,0,1,0
49,31138,패배,알리스타,강고릴,2,3,2,4585,5,17,3,30,1.6,0,1,0
50,31139,승리,카밀,Alielie,6,17,5,23323,3,19,6,384,8.4,2,4,8
51,31139,승리,쉬바나,w1sdom ovo,7,10,13,25201,7,28,28,304,6.7,2,4,8
