,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40100,패배,제이스,우에하라 크롱,3,6,6,26328,4,41,10,298,7.8,0,0,3
1,40100,패배,세주아니,좋은날,0,12,9,11305,11,38,23,154,4.0,0,0,3
2,40100,패배,코르키,reMember Mistake,11,5,8,34868,5,23,10,377,9.9,0,0,3
3,40100,패배,미스 포츈,MVP Ian,2,8,9,27987,3,16,4,294,7.7,0,0,3
4,40100,패배,쉔,오억만,7,6,6,18089,0,53,11,92,2.4,0,0,3
5,40100,승리,사이온,Gazuaaaaaaa,2,1,12,15946,10,26,6,292,7.6,2,4,8
6,40100,승리,니달리,So1o,13,7,9,26833,1,26,15,217,5.7,2,4,8
7,40100,승리,탈리야,송하영 팬,11,5,8,31873,2,19,5,322,8.4,2,4,8
8,40100,승리,트리스타나,KDM SSol,10,4,10,48219,2,25,10,375,9.8,2,4,8
9,40100,승리,알리스타,KDM 유준,1,6,17,7281,13,52,16,35,0.9,2,4,8
10,40101,승리,레넥톤,Gazuaaaaaaa,3,4,8,22749,3,36,12,338,8.6,2,1,8
11,40101,승리,자르반 4세,KDM 유준,3,3,18,10129,10,80,22,165,4.2,2,1,8
12,40101,승리,베이가,ZhanQiHuaYm,11,6,5,38202,3,8,25,361,9.2,2,1,8
13,40101,승리,미스 포츈,6학년4반장용준,6,5,12,32738,1,13,19,374,9.5,2,1,8
14,40101,승리,쉔,좋은날,5,5,11,9186,16,101,22,70,1.8,2,1,8
15,40101,패배,카밀,쌀국수뚝붸기,2,7,7,24669,3,20,8,296,7.5,0,2,4
16,40101,패배,세주아니,reMember Mistake,4,5,12,14251,13,64,27,158,4.0,0,2,4
17,40101,패배,조이,MVP Ian,9,6,7,41798,5,44,17,303,7.7,0,2,4
18,40101,패배,트리스타나,우에하라 크롱,7,3,6,27714,2,13,17,403,10.3,0,2,4
19,40101,패배,브라움,1414774182,1,7,11,8449,17,58,28,84,2.1,0,2,4
20,40102,패배,오른,미율치에오,2,7,1,15544,2,11,0,184,7.6,0,1,4
21,40102,패배,세주아니,좋은날,1,4,9,7523,7,34,6,112,4.6,0,1,4
22,40102,패배,라이즈,Jin air Yaharong,3,3,3,11338,1,22,2,182,7.5,0,1,4
23,40102,패배,진,먹는건즐거워,7,3,5,12877,4,9,6,174,7.2,0,1,4
24,40102,패배,알리스타,Lucete,2,4,8,5077,7,28,6,23,0.9,0,1,4
25,40102,승리,마오카이,Sun이라는 별,4,2,10,13413,0,8,3,139,5.7,1,1,8
