,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60797,패배,사이온,JAG S0hwan,2,1,7,13306,5,16,2,214,7.5,0,0,2
1,60797,패배,엘리스,작전동 노란머리,1,4,10,12376,10,50,19,150,5.3,0,0,2
2,60797,패배,아지르,진에어 저스티스,5,4,3,20891,3,15,16,232,8.1,0,0,2
3,60797,패배,진,GALA,7,5,5,18389,3,11,1,196,6.9,0,0,2
4,60797,패배,오른,진쟤승,4,3,6,9700,2,28,8,62,2.2,0,0,2
5,60797,승리,나르,커피물조절장인,3,6,4,13560,3,27,6,232,8.1,1,2,10
6,60797,승리,세주아니,So1o,1,2,9,10765,5,46,7,148,5.2,1,2,10
7,60797,승리,제이스,ysdgqxcj,8,2,5,22843,3,9,10,262,9.2,1,2,10
8,60797,승리,트리스타나,RRRuleRRR,2,5,8,26702,3,19,10,245,8.6,1,2,10
9,60797,승리,브라움,Nova1,3,4,7,7952,16,48,24,52,1.8,1,2,10
10,60798,패배,초가스,스마트섹시뷰티,1,6,1,9500,1,8,2,126,5.9,0,0,1
11,60798,패배,니달리,So1o,3,4,4,9859,4,20,9,125,5.8,0,0,1
12,60798,패배,제이스,진에어 저스티스,0,2,2,8529,4,10,6,184,8.6,0,0,1
13,60798,패배,바루스,RRRuleRRR,3,4,3,10612,4,18,6,200,9.3,0,0,1
14,60798,패배,마오카이,진쟤승,2,4,5,8195,4,21,5,41,1.9,0,0,1
15,60798,승리,그라가스,커피물조절장인,4,0,4,15991,2,11,2,150,7.0,0,2,5
16,60798,승리,쉬바나,작전동 노란머리,9,3,3,15373,5,10,9,192,9.0,0,2,5
17,60798,승리,아지르,MVP Ian,3,0,7,12218,4,24,2,220,10.3,0,2,5
18,60798,승리,이즈리얼,피넛사냥개1,3,2,9,11729,1,10,4,157,7.3,0,2,5
19,60798,승리,브라움,Nova1,1,4,11,4390,9,31,15,52,2.4,0,2,5
20,60799,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
21,60799,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
22,60799,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
23,60799,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
24,60799,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
25,60799,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
26,60799,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
27,60799,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
28,60799,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
29,60799,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
30,60800,승리,제이스,우에하라 크롱,5,2,2,8068,1,9,6,193,9.4,0,0,3
31,60800,승리,엘리스,종학윙,6,2,3,7895,3,15,6,110,5.4,0,0,3
32,60800,승리,카타리나,겸손하고 근면한,7,3,3,16428,3,22,8,194,9.5,0,0,3
33,60800,승리,바루스,진에어 저스티스,4,1,7,9722,2,10,2,160,7.8,0,0,3
34,60800,승리,라칸,FVV BETTY,1,1,9,3105,5,16,8,12,0.6,0,0,3
35,60800,패배,럼블,담원 너구리,2,5,3,10201,3,11,6,143,7.0,0,0,2
36,60800,패배,자르반 4세,MooJin,2,6,3,6965,3,18,3,103,5.0,0,0,2
37,60800,패배,코르키,Heart,3,4,2,9012,3,22,3,209,10.2,0,0,2
38,60800,패배,미스 포츈,학교밀베포친키,1,6,2,9668,2,10,4,177,8.6,0,0,2
39,60800,패배,카르마,h1rb,1,2,3,6299,6,19,8,9,0.4,0,0,2
40,60801,패배,피오라,진에어 저스티스,10,14,8,47763,4,31,17,416,7.5,1,2,8
41,60801,패배,세주아니,마이엠브,8,8,21,22670,7,74,28,246,4.4,1,2,8
42,60801,패배,라이즈,삼성갤럭시 Crown,8,10,13,45298,11,76,17,540,9.7,1,2,8
43,60801,패배,진,먹는건즐거워,15,8,17,55632,5,17,12,500,9.0,1,2,8
44,60801,패배,알리스타,supbest,5,12,24,17400,15,77,30,94,1.7,1,2,8
45,60801,승리,갱플랭크,Fabu,11,10,22,54349,3,12,10,393,7.1,4,3,9
46,60801,승리,렝가,SKT T1 WoIf,18,9,15,54657,3,35,26,259,4.7,4,3,9
47,60801,승리,아지르,mide gui tou,9,6,16,59756,4,18,23,538,9.7,4,3,9
48,60801,승리,미스 포츈,6학년4반장용준,12,10,24,75019,3,22,17,517,9.3,4,3,9
49,60801,승리,레오나,A weak youth,2,11,27,17324,12,135,30,100,1.8,4,3,9
50,60802,승리,나르,Eth4n,7,3,2,18481,1,9,5,177,8.0,0,3,11
51,60802,승리,신 짜오,yizhiyu,6,4,6,11226,1,6,11,113,5.1,0,3,11
52,60802,승리,말자하,진에어 저스티스,6,0,8,14113,8,13,7,189,8.5,0,3,11
53,60802,승리,미스 포츈,6 18 5 25 1,5,2,7,14139,1,10,5,198,8.9,0,3,11
54,60802,승리,알리스타,supbest,1,4,10,4283,5,18,4,35,1.6,0,3,11
55,60802,패배,일라오이,FVV BETTY,1,8,3,11492,3,14,0,163,7.3,0,0,1
56,60802,패배,렝가,죠토마킹,7,7,3,9470,1,21,5,134,6.0,0,0,1
57,60802,패배,조이,By myself,3,4,3,16542,4,22,2,169,7.6,0,0,1
