,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30140,승리,올라프,Super Secret,10,0,9,16904,4,7,7,240,8.3,2,0,11
1,30140,승리,자르반 4세,좋은날,4,3,20,15950,6,19,6,113,3.9,2,0,11
2,30140,승리,라이즈,진에어 테디,10,4,8,24371,2,5,3,223,7.7,2,0,11
3,30140,승리,바루스,aquariusz,6,4,11,17961,1,11,3,209,7.2,2,0,11
4,30140,승리,브라움,분당고 엄성현,0,3,23,6198,5,50,12,49,1.7,2,0,11
5,30140,패배,쉔,먹는건즐거워,2,5,6,7339,1,10,1,201,6.9,0,2,1
6,30140,패배,니달리,나는야베이베이1,3,7,8,15057,4,30,12,158,5.4,0,2,1
7,30140,패배,조이,Jin air Yaharong,3,3,5,23136,1,11,4,226,7.8,0,2,1
8,30140,패배,칼리스타,아트가 앗뜨거,5,7,4,14905,4,13,9,238,8.2,0,2,1
9,30140,패배,알리스타,SKT T1 WoIf,1,8,8,5844,8,25,9,35,1.2,0,2,1
10,30141,패배,카밀,오뚜기3분미트볼,6,9,2,15404,0,31,5,294,8.8,0,0,3
11,30141,패배,자르반 4세,진에어 테디,9,9,13,21312,4,29,12,130,3.9,0,0,3
12,30141,패배,조이,FeelsAwesomeMan,5,7,4,17810,4,20,6,241,7.2,0,0,3
13,30141,패배,바루스,fndasjkfkqw,4,3,5,21320,5,15,13,315,9.4,0,0,3
14,30141,패배,카르마,DDDDNNNN,3,3,11,13344,11,46,12,26,0.8,0,0,3
15,30141,승리,마오카이,xk4nk4vpn,4,7,7,13619,1,15,6,220,6.6,1,3,8
16,30141,승리,리 신,TeawaN,12,5,12,19922,5,55,17,188,5.6,1,3,8
17,30141,승리,말자하,Hide on bush,6,4,11,23841,2,18,15,283,8.5,1,3,8
18,30141,승리,진,장난 꾸러기 돼지,6,8,11,15449,5,13,10,251,7.5,1,3,8
19,30141,승리,제라스,Sim Student,3,3,11,16069,12,44,8,59,1.8,1,3,8
20,30142,승리,마오카이,푸딩은푸딩해,2,1,9,6730,2,10,5,193,8.2,0,1,9
21,30142,승리,렝가,twice손채영,12,4,8,14692,0,15,8,135,5.7,0,1,9
22,30142,승리,탈리야,ADEPT1,4,6,3,10001,3,8,0,154,6.5,0,1,9
23,30142,승리,칼리스타,진에어 테디,5,3,7,19813,2,11,2,248,10.5,0,1,9
24,30142,승리,잔나,FW SwordArT,0,2,14,4600,5,24,9,10,0.4,0,1,9
25,30142,패배,케넨,WENJUNXI,5,5,0,11552,3,9,2,170,7.2,0,1,3
26,30142,패배,자르반 4세,TeawaN,5,5,6,11218,7,28,5,128,5.4,0,1,3
27,30142,패배,오리아나,SOLCA1,3,5,7,13924,2,11,1,169,7.1,0,1,3
28,30142,패배,트리스타나,Martin VG,1,5,3,7729,0,9,1,166,7.0,0,1,3
29,30142,패배,미스 포츈,Afreeca Kramer,2,3,8,12278,6,34,11,47,2.0,0,1,3
30,30143,승리,제이스,암고잉빽투더스탙,12,1,9,21081,3,24,5,198,9.1,0,0,10
31,30143,승리,자르반 4세,yizhiyu,4,5,21,12943,3,16,1,92,4.2,0,0,10
