,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3877,승리,오른,뱃살만찌는사람,9,3,24,45398,6,28,6,334,7.7,2,3,10
1,3877,승리,리 신,TeachersWu,9,11,18,21578,4,41,13,204,4.7,2,3,10
2,3877,승리,르블랑,쪼렙이다말로하자,12,9,20,51268,4,21,17,262,6.0,2,3,10
3,3877,승리,진,nekoneko1,8,4,27,53714,4,18,4,329,7.6,2,3,10
4,3877,승리,탐 켄치,Empmuyi,9,8,22,16737,6,98,29,81,1.9,2,3,10
5,3877,패배,블라디미르,7hal,9,9,6,52667,2,22,6,372,8.5,0,1,4
6,3877,패배,자르반 4세,Alielie,13,7,13,34541,4,34,14,228,5.2,0,1,4
7,3877,패배,오리아나,Yaharong,4,10,12,34569,4,48,9,341,7.8,0,1,4
8,3877,패배,미스 포츈,Peecaboo,7,10,11,40326,4,12,17,320,7.4,0,1,4
9,3877,패배,쓰레쉬,Nebo,2,11,12,12490,4,47,26,63,1.4,0,1,4
10,3878,패배,피오라,코w코,2,3,0,9529,1,29,4,202,8.4,0,0,2
11,3878,패배,킨드레드,챌도못찍냐,3,6,4,9673,5,10,5,138,5.8,0,0,2
12,3878,패배,오리아나,쪼렙이다말로하자,2,6,2,9075,4,7,2,170,7.1,0,0,2
13,3878,패배,애쉬,18 01 1000 X D,1,4,5,12378,2,7,2,165,6.9,0,0,2
14,3878,패배,미스 포츈,Sim Student,5,4,2,9542,6,28,4,16,0.7,0,0,2
15,3878,승리,마오카이,Luo Zhi Yun,2,1,5,9789,4,11,7,146,6.1,1,2,8
16,3878,승리,자르반 4세,yizhiyu,8,4,9,12324,3,19,5,128,5.3,1,2,8
17,3878,승리,아지르,DWG ShowMaker,4,2,5,10706,3,11,5,214,8.9,1,2,8
18,3878,승리,진,멸룡마도사 나츠,5,2,6,11031,2,10,4,206,8.6,1,2,8
19,3878,승리,제라스,이치방츠요이야츠,4,4,7,11984,4,10,5,27,1.1,1,2,8
20,3879,패배,나르,마부두파,3,4,2,9766,1,10,0,103,6.6,0,0,1
21,3879,패배,자르반 4세,yizhiyu,3,7,1,4225,2,10,1,63,4.0,0,0,1
22,3879,패배,르블랑,쪼렙이다말로하자,0,7,2,7155,1,14,1,74,4.7,0,0,1
23,3879,패배,바루스,TnTeddy,2,9,1,4216,2,8,5,68,4.3,0,0,1
24,3879,패배,제라스,유 댕,1,4,2,5884,0,7,2,35,2.2,0,0,1
25,3879,승리,올라프,Super Secret,4,4,1,6416,1,6,1,65,4.1,0,1,3
26,3879,승리,니달리,해운대잠만보,8,1,10,10059,1,13,6,98,6.3,0,1,3
27,3879,승리,카사딘,chirchri,8,1,4,12240,2,8,2,114,7.3,0,1,3
28,3879,승리,미스 포츈,처음은누구나초보,4,3,8,6608,2,14,3,129,8.2,0,1,3
29,3879,승리,블리츠크랭크,bbq Tempt,6,0,8,5821,3,11,2,23,1.5,0,1,3
30,3880,승리,나르,rwnign,4,6,13,25258,1,11,3,206,7.5,1,0,10
31,3880,승리,엘리스,종학윙,9,5,9,20985,4,8,6,127,4.6,1,0,10
32,3880,승리,아지르,Yaharong,7,6,13,23483,2,11,14,205,7.5,1,0,10
33,3880,승리,진,chirchri,21,2,9,43757,1,12,10,230,8.4,1,0,10
34,3880,승리,소라카,쪼렙이다말로하자,5,7,22,11525,5,34,10,26,0.9,1,0,10
35,3880,패배,오른,FeelsSosoMan,5,8,2,15501,0,10,0,160,5.8,0,2,2
36,3880,패배,쉬바나,yizhiyu,10,9,5,13668,4,9,6,141,5.1,0,2,2
37,3880,패배,라이즈,LFT MID,2,9,6,19886,7,33,3,170,6.2,0,2,2
38,3880,패배,애쉬,챌도못찍냐,7,8,8,18823,4,21,2,166,6.0,0,2,2
39,3880,패배,미스 포츈,JAG SnowFlower,2,12,8,19676,4,34,9,53,1.9,0,2,2
40,3881,승리,사이온,baramgaebi,4,3,15,15856,4,25,4,191,6.8,1,3,7
41,3881,승리,신 짜오,THE KING 2000,9,5,11,26054,1,6,2,168,6.0,1,3,7
42,3881,승리,르블랑,쪼렙이다말로하자,9,3,6,22439,3,8,7,159,5.7,1,3,7
43,3881,승리,드레이븐,wojiuyizhangzui,14,5,6,34359,1,11,6,226,8.1,1,3,7
44,3881,승리,레오나,A weak youth,2,6,21,11525,6,58,15,46,1.6,1,3,7
45,3881,패배,제이스,우르프rider,1,9,7,18418,2,21,9,232,8.3,0,0,4
46,3881,패배,그라가스,ROX Lindarang,2,7,13,11980,8,42,11,129,4.6,0,0,4
47,3881,패배,카사딘,Mengqiuqiu,13,7,4,24643,3,11,5,173,6.2,0,0,4
48,3881,패배,진,그러면안돼요짜샤,3,7,13,24977,2,8,5,240,8.6,0,0,4
49,3881,패배,타릭,jjijiijijljli,3,8,16,12008,8,25,10,60,2.1,0,0,4
50,3882,승리,오른,우철짱123,3,5,21,17923,0,10,1,234,7.5,1,1,7
51,3882,승리,자르반 4세,FeelsAwesomeMan,11,11,12,20300,3,22,6,118,3.8,1,1,7
52,3882,승리,르블랑,쪼렙이다말로하자,6,5,15,23633,4,20,8,190,6.1,1,1,7
53,3882,승리,진,구름꽃길만걷자,22,5,11,42385,1,7,7,245,7.9,1,1,7
54,3882,승리,베이가,TeachersWu,8,4,26,17590,7,39,18,58,1.9,1,1,7
55,3882,패배,쉔,Jisu,1,8,9,14415,1,9,4,193,6.2,0,0,2
56,3882,패배,리 신,republic123,11,14,6,16000,2,20,3,106,3.4,0,0,2
57,3882,패배,아지르,BtC Dove,8,6,1,22162,3,31,8,237,7.6,0,0,2
58,3882,패배,미스 포츈,wangchobo,8,10,6,27581,1,8,5,276,8.9,0,0,2
59,3882,패배,레오나,Misdate,2,12,19,9081,9,33,8,34,1.1,0,0,2
60,3883,승리,판테온,LPL noob ad QAQ,3,10,6,15936,0,8,3,167,5.6,1,2,11
61,3883,승리,그레이브즈,Heart,7,6,15,26645,5,34,5,248,8.3,1,2,11
62,3883,승리,르블랑,쪼렙이다말로하자,21,5,6,33343,1,25,15,189,6.3,1,2,11
63,3883,승리,진,BtC Dove,9,1,14,28220,2,11,11,287,9.6,1,2,11
64,3883,승리,탐 켄치,Sim Student,2,4,16,4702,9,29,8,69,2.3,1,2,11
65,3883,패배,갱플랭크,11 14 9 7 8 20,8,5,10,31277,2,21,4,242,8.1,0,0,3
66,3883,패배,니달리,해운대잠만보,3,8,10,10002,7,19,6,136,4.6,0,0,3
67,3883,패배,말자하,ROX 라바,7,8,5,26759,2,16,9,260,8.7,0,0,3
68,3883,패배,이즈리얼,구름꽃길만걷자,7,8,4,24395,2,14,5,196,6.6,0,0,3
69,3883,패배,미스 포츈,FeelsSosoMan,1,13,12,17023,5,45,3,46,1.5,0,0,3
70,3884,패배,갱플랭크,ysdgqxcj,5,6,6,21101,2,11,0,161,6.0,1,2,0
71,3884,패배,리 신,FeelsSosoMan,7,5,10,12369,4,24,3,109,4.1,1,2,0
72,3884,패배,아리,쪼렙이다말로하자,4,7,4,17092,2,6,2,199,7.5,1,2,0
73,3884,패배,진,STITCH1,7,7,10,19497,2,7,7,204,7.7,1,2,0
74,3884,패배,알리스타,fengquyunbuhui,1,5,18,9418,8,49,12,41,1.5,1,2,0
75,3884,승리,사이온,귤수호자 만기,4,3,13,18143,2,22,1,177,6.6,0,1,10
76,3884,승리,자르반 4세,republic123,3,7,11,8337,2,4,2,98,3.7,0,1,10
77,3884,승리,코르키,11 14 9 7 8 20,15,2,5,29480,1,7,7,289,10.8,0,1,10
78,3884,승리,칼리스타,삼성갤럭시 Ru1er,8,5,7,16010,2,23,5,249,9.3,0,1,10
79,3884,승리,쓰레쉬,Kerla,0,7,20,7901,11,27,5,22,0.8,0,1,10
80,3885,패배,럼블,Gazuaaaaaaa,3,7,14,29583,6,20,6,260,7.7,0,1,1
81,3885,패배,자르반 4세,ROX 곰,7,4,14,18912,3,58,12,168,5.0,0,1,1
82,3885,패배,아리,쪼렙이다말로하자,13,7,5,31656,3,8,8,277,8.2,0,1,1
83,3885,패배,바루스,republic123,2,9,7,16628,0,8,9,260,7.7,0,1,1
84,3885,패배,알리스타,By myself,1,4,15,6777,16,51,16,53,1.6,0,1,1
85,3885,승리,갱플랭크,ysdgqxcj,6,7,12,28631,1,12,2,251,7.5,1,1,8
86,3885,승리,세주아니,FJHGGJ,1,6,19,11151,9,29,20,172,5.1,1,1,8
87,3885,승리,코르키,스누피808,12,5,11,38929,4,16,9,286,8.5,1,1,8
88,3885,승리,진,Destiny,10,4,7,29508,4,15,10,291,8.7,1,1,8
89,3885,승리,브라움,fengquyunbuhui,2,4,20,7743,8,76,17,81,2.4,1,1,8
90,3886,승리,카시오페아,마레말해뭘말해,3,4,4,14513,4,18,5,279,8.9,2,3,6
91,3886,승리,카직스,Seroum,10,6,7,21695,3,8,13,133,4.3,2,3,6
92,3886,승리,카사딘,mcmglllc,11,3,6,20210,2,13,10,278,8.9,2,3,6
93,3886,승리,이즈리얼,튀자튀자아,6,5,6,23909,2,15,10,267,8.6,2,3,6
94,3886,승리,소라카,쪼렙이다말로하자,0,6,15,6492,9,46,23,26,0.8,2,3,6
95,3886,패배,럼블,커피물조절장인,7,5,4,25013,3,17,3,266,8.5,0,1,3
96,3886,패배,리 신,M1anhua,6,7,8,13154,10,61,8,140,4.5,0,1,3
97,3886,패배,라이즈,Lucete,2,3,5,14366,5,11,7,280,9.0,0,1,3
98,3886,패배,바루스,Dingchenyu,5,10,8,20144,1,12,2,230,7.4,0,1,3
99,3886,패배,카르마,Destiny,4,5,11,11196,7,70,16,37,1.2,0,1,3
100,3887,승리,제이스,뱃살만찌는사람,4,1,6,18447,2,10,4,162,8.2,0,2,6
101,3887,승리,신 짜오,BadeMan,6,1,5,10262,2,18,5,96,4.9,0,2,6
102,3887,승리,아리,쪼렙이다말로하자,7,2,3,14994,2,6,2,168,8.5,0,2,6
103,3887,승리,미스 포츈,Z 2017 11 25,0,1,7,11773,2,8,4,177,9.0,0,2,6
104,3887,승리,트런들,MinKOOK2,5,1,6,4129,4,21,4,31,1.6,0,2,6
