,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60120,패배,나르,나는야베이베이1,4,7,6,18217,6,21,10,212,6.4,0,2,2
1,60120,패배,리 신,엠비션 당신은,1,7,11,7082,10,57,8,139,4.2,0,2,2
2,60120,패배,말자하,승 로,8,9,6,29716,2,15,11,275,8.3,0,2,2
3,60120,패배,진,쫄깃한 우동사리,4,6,5,14909,7,15,7,250,7.5,0,2,2
4,60120,패배,미스 포츈,Sim Student,2,5,9,17876,13,39,20,35,1.1,0,2,2
5,60120,승리,카밀,무슨말이야,10,5,6,18390,2,30,8,262,7.9,1,1,10
6,60120,승리,자르반 4세,킬안주면꼬라박음,5,4,17,10133,8,45,10,172,5.2,1,1,10
7,60120,승리,조이,By myself,10,3,11,40241,5,34,5,233,7.0,1,1,10
8,60120,승리,이즈리얼,아트가 앗뜨거,9,3,12,30626,3,16,14,247,7.5,1,1,10
9,60120,승리,레오나,중요한건마음가짐,0,4,15,6407,8,31,32,93,2.8,1,1,10
10,60121,승리,카밀,Excal1bur1,3,8,4,25563,1,37,14,303,7.2,0,5,8
11,60121,승리,카직스,Cuz2,16,6,8,33659,3,29,38,263,6.3,0,5,8
12,60121,승리,트위스티드 페이트,YM  zhongdan,5,11,15,30842,2,22,12,311,7.4,0,5,8
13,60121,승리,진,쫄깃한 우동사리,10,4,14,41720,9,20,12,390,9.3,0,5,8
14,60121,승리,쓰레쉬,Sim Student,6,3,17,10979,14,53,25,71,1.7,0,5,8
15,60121,패배,갱플랭크,PeanuToT,4,8,16,34420,3,45,7,352,8.4,1,0,5
16,60121,패배,이블린,h1rb,20,8,9,35893,4,40,7,153,3.7,1,0,5
17,60121,패배,아지르,단군의청춘부재,4,8,11,19367,6,32,19,359,8.6,1,0,5
18,60121,패배,이즈리얼,혼자해도충분하다,4,8,7,21517,2,20,9,312,7.5,1,0,5
19,60121,패배,알리스타,fengquyunbuhui,0,8,8,7829,13,87,19,87,2.1,1,0,5
20,60122,승리,사이온,7hal,3,1,15,21945,2,54,17,339,7.8,3,3,11
21,60122,승리,렝가,담원 크러쉬,13,7,11,30708,7,23,11,214,4.9,3,3,11
22,60122,승리,라이즈,FeelsAwesomeMan,10,4,20,36732,5,27,15,375,8.6,3,3,11
23,60122,승리,진,쫄깃한 우동사리,10,1,12,40000,5,17,18,333,7.7,3,3,11
24,60122,승리,조이,Sim Student,5,6,14,31675,17,64,20,39,0.9,3,3,11
25,60122,패배,제이스,우철짱123,6,8,5,29008,14,59,17,291,6.7,0,1,4
26,60122,패배,신 짜오,THE KING 2000,2,13,7,16069,6,11,5,225,5.2,0,1,4
27,60122,패배,아지르,chirchri,5,8,3,32171,5,28,13,401,9.2,0,1,4
28,60122,패배,이즈리얼,Excal1bur1,6,6,3,33190,0,16,11,369,8.5,0,1,4
29,60122,패배,알리스타,KDM Secret,0,7,10,10851,19,95,12,51,1.2,0,1,4
30,60123,패배,마오카이,TeawaN,1,7,2,7303,1,10,5,142,5.8,0,0,1
31,60123,패배,신 짜오,THE KING 2000,0,7,4,8078,4,10,6,117,4.8,0,0,1
32,60123,패배,오리아나,아이러니,3,2,1,11031,2,9,4,239,9.8,0,0,1
33,60123,패배,애쉬,쫄깃한 우동사리,5,6,2,12565,4,11,1,189,7.8,0,0,1
34,60123,패배,미스 포츈,Sim Student,0,2,8,10738,8,24,8,23,0.9,0,0,1
35,60123,승리,나르,RVS Poss,5,2,6,17209,2,28,7,198,8.1,1,3,8
36,60123,승리,쉬바나,yizhiyu,9,2,9,17146,3,9,4,185,7.6,1,3,8
37,60123,승리,트위스티드 페이트,TeachersWu,3,0,7,9424,4,13,2,224,9.2,1,3,8
38,60123,승리,진,nekoneko1,6,2,7,9747,3,11,4,171,7.0,1,3,8
