,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50059,승리,자르반 4세,wowowowoowowowo,3,4,20,15674,4,12,2,207,7.0,1,2,8
1,50059,승리,샤코,챔프폭 늘리는중,8,1,10,15346,3,14,14,151,5.1,1,2,8
2,50059,승리,라이즈,유내현,14,1,8,30659,4,11,6,219,7.4,1,2,8
3,50059,승리,코그모,LPL noob ad QAQ,2,7,7,22126,2,10,4,230,7.8,1,2,8
4,50059,승리,타릭,AKG Bene,0,7,13,4225,7,30,3,36,1.2,1,2,8
5,50059,패배,카서스,CrazySound,4,8,9,26397,2,14,3,215,7.2,0,0,2
6,50059,패배,세주아니,기리기리기억되리,5,5,9,11023,5,18,9,145,4.9,0,0,2
7,50059,패배,오리아나,Xero,1,8,7,11229,2,12,4,204,6.9,0,0,2
8,50059,패배,진,으아으앙으아앙,8,4,7,25392,2,12,6,217,7.3,0,0,2
9,50059,패배,알리스타,커소리어스나,2,2,13,5712,11,37,10,48,1.6,0,0,2
10,50060,승리,레넥톤,세메론,8,6,17,21580,1,14,2,218,6.7,1,1,8
11,50060,승리,샤코,챔프폭 늘리는중,10,4,15,16122,3,16,4,144,4.4,1,1,8
12,50060,승리,카사딘,KDM PERT,16,3,3,31008,1,14,3,234,7.2,1,1,8
13,50060,승리,진,PaldAl,7,4,10,23659,4,18,9,289,8.9,1,1,8
14,50060,승리,바드,18501159717,2,7,15,9790,8,35,9,26,0.8,1,1,8
15,50060,패배,카서스,Flash Gorgeous,2,15,9,30360,4,16,2,203,6.2,1,2,4
16,50060,패배,엘리스,900점 복구포기,8,8,7,15388,5,10,7,84,2.6,1,2,4
17,50060,패배,신드라,FeelsCoffeeMan,5,4,7,21082,3,12,4,273,8.4,1,2,4
18,50060,패배,루시안,BKKK,7,9,6,29767,0,9,2,257,7.9,1,2,4
19,50060,패배,알리스타,1 Peak,2,7,15,7106,6,28,9,46,1.4,1,2,4
20,50061,승리,쉔,쌀국수뚝붸기,6,6,15,24566,1,19,5,450,9.5,1,1,10
21,50061,승리,샤코,챔프폭 늘리는중,6,9,12,19294,2,24,12,211,4.5,1,1,10
22,50061,승리,신드라,ablela,9,3,11,36959,6,14,14,415,8.8,1,1,10
23,50061,승리,코그모,wangchobo,8,5,9,46391,0,15,16,437,9.2,1,1,10
24,50061,승리,룰루,응와애,0,4,16,5223,13,63,19,41,0.9,1,1,10
25,50061,패배,럼블,지현이의빗자루,5,10,11,35877,3,25,6,355,7.5,2,3,7
26,50061,패배,니달리,Maan de st,12,5,11,28108,3,10,10,291,6.1,2,3,7
27,50061,패배,카사딘,담원 쇼메이커,4,6,7,24350,4,26,4,377,8.0,2,3,7
28,50061,패배,진,세메론,2,4,10,22991,4,22,5,390,8.2,2,3,7
29,50061,패배,알리스타,담원 호잇이,3,4,5,6811,20,71,11,76,1.6,2,3,7
30,50062,패배,쉔,2018서폿챌도전,7,4,13,20043,1,18,3,257,6.5,1,2,7
31,50062,패배,샤코,챔프폭 늘리는중,2,8,8,14675,2,17,1,170,4.3,1,2,7
32,50062,패배,신드라,담원 쇼메이커,8,5,11,47238,4,20,9,300,7.6,1,2,7
33,50062,패배,애쉬,ablela,3,4,11,17849,4,15,12,247,6.3,1,2,7
34,50062,패배,오른,담원 호잇이,4,4,10,14740,14,47,8,75,1.9,1,2,7
35,50062,승리,야스오,쌀국수뚝붸기,7,5,10,26181,3,18,6,351,8.9,2,2,8
36,50062,승리,세주아니,담원 크러쉬,1,4,21,14656,8,13,12,158,4.0,2,2,8
37,50062,승리,라이즈,By 불비,7,5,7,24693,5,21,4,331,8.4,2,2,8
38,50062,승리,트위치,옷벗고춤추고싶다,8,7,12,41338,1,11,10,365,9.2,2,2,8
39,50062,승리,잔나,악시 뒷바라지,2,4,19,5095,10,45,3,16,0.4,2,2,8
40,50063,승리,자르반 4세,Kingen,3,4,9,15257,4,13,5,210,8.7,1,1,7
41,50063,승리,샤코,챔프폭 늘리는중,5,2,7,7558,2,12,2,136,5.7,1,1,7
42,50063,승리,탈리야,풀 뜯는 미드,5,1,9,17788,1,10,1,226,9.4,1,1,7
43,50063,승리,트리스타나,hard girl,2,1,9,9872,5,12,7,208,8.7,1,1,7
44,50063,승리,브라움,땅우양,1,3,12,4124,4,17,4,39,1.6,1,1,7
