,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30400,패배,갱플랭크,쌀국수뚝붸기,2,9,5,17213,1,12,1,191,6.7,0,2,3
1,30400,패배,쉬바나,삼성갤럭시 하루,5,7,4,16578,8,14,6,150,5.3,0,2,3
2,30400,패배,라이즈,reMember Mistake,0,4,10,13054,6,28,3,214,7.5,0,2,3
3,30400,패배,칼리스타,Yumemiru Shonen,12,3,3,23696,0,10,8,279,9.8,0,2,3
4,30400,패배,브라움,천천히올라감,1,2,16,8193,8,29,3,66,2.3,0,2,3
5,30400,승리,케넨,담원 너구리,10,3,4,18745,4,14,6,279,9.8,1,2,9
6,30400,승리,세주아니,h1rb,3,4,8,8850,6,11,11,143,5.0,1,2,9
7,30400,승리,코르키,F0y,7,4,7,21918,2,11,10,243,8.5,1,2,9
8,30400,승리,진,비 브이 오 와이,2,3,12,21281,6,15,2,220,7.7,1,2,9
9,30400,승리,알리스타,Heart,3,6,10,12055,6,19,5,60,2.1,1,2,9
10,30401,패배,카밀,Heiz4,1,9,1,5963,0,5,0,63,3.9,0,0,0
11,30401,패배,니달리,종학윙,4,3,3,4059,2,7,2,79,4.9,0,0,0
12,30401,패배,말자하,Heart,1,6,4,6624,2,8,2,121,7.5,0,0,0
13,30401,패배,이즈리얼,DS XiaoPeng,2,5,1,4861,2,6,4,89,5.5,0,0,0
14,30401,패배,알리스타,천천히올라감,1,3,4,3541,4,19,4,14,0.9,0,0,0
15,30401,승리,잭스,RVS Poss,11,1,2,9976,1,8,1,126,7.8,0,1,5
16,30401,승리,자르반 4세,ZhanQiHuaYm,3,2,11,4895,2,14,2,70,4.3,0,1,5
17,30401,승리,탈리야,송하영 팬,8,1,8,12980,3,7,2,115,7.1,0,1,5
18,30401,승리,칼리스타,chijixuanshou,2,2,7,6597,4,17,1,148,9.1,0,1,5
19,30401,승리,라칸,삼성갤럭시CoreJJ,2,3,12,5443,3,16,5,6,0.4,0,1,5
20,30402,패배,블라디미르,IGS Dasher,2,4,5,8387,5,17,2,242,8.4,0,0,4
21,30402,패배,엘리스,종학윙,3,7,10,8767,7,12,10,111,3.9,0,0,4
22,30402,패배,아지르,아테나찡,7,8,4,21619,4,11,5,245,8.5,0,0,4
23,30402,패배,이즈리얼,NekoL,3,6,4,16960,1,15,2,263,9.1,0,0,4
24,30402,패배,쉔,천천히올라감,1,9,7,3967,10,35,4,48,1.7,0,0,4
25,30402,승리,제이스,Heiz4,2,5,9,11656,0,12,4,259,9.0,1,3,8
26,30402,승리,렝가,마산가자,7,3,12,16273,4,20,6,162,5.6,1,3,8
27,30402,승리,카사딘,송하영 팬,13,5,11,27869,5,14,3,215,7.5,1,3,8
28,30402,승리,미스 포츈,먹는건즐거워,5,0,11,14978,1,10,13,290,10.1,1,3,8
29,30402,승리,갱플랭크,Lvmao,7,3,15,13047,6,20,7,56,1.9,1,3,8
30,30403,승리,카밀,미율치에오,5,5,6,15382,4,12,3,160,6.4,1,3,11
31,30403,승리,쉬바나,작전동 노란머리,10,3,6,15762,3,9,5,191,7.7,1,3,11
32,30403,승리,카사딘,FeelsCoffeeMan,8,1,9,22678,1,11,5,210,8.4,1,3,11
33,30403,승리,미스 포츈,FVV BETTY,4,2,5,16967,5,27,6,251,10.1,1,3,11
34,30403,승리,알리스타,천천히올라감,0,5,16,6893,8,21,11,39,1.6,1,3,11
35,30403,패배,오른,JAG S0hwan,5,6,3,17809,2,12,2,197,7.9,0,0,3
36,30403,패배,리 신,TeawaN,4,5,4,7184,5,31,4,120,4.8,0,0,3
37,30403,패배,코르키,DWG ShowMaker,2,5,4,15142,4,9,3,227,9.1,0,0,3
38,30403,패배,칼리스타,먹는건즐거워,4,6,5,13793,2,9,2,182,7.3,0,0,3
39,30403,패배,타릭,Dutch Coffee,1,5,10,6384,7,29,12,45,1.8,0,0,3
40,30404,승리,카밀,Eth4n,4,3,3,12907,1,10,6,179,8.2,0,1,4
41,30404,승리,세주아니,마이엠브,5,3,11,8617,5,28,9,120,5.5,0,1,4
42,30404,승리,제라스,진에어 저스티스,4,3,13,16408,4,9,11,154,7.0,0,1,4
43,30404,승리,칼리스타,FVV BETTY,11,2,5,13458,2,16,6,212,9.7,0,1,4
44,30404,승리,알리스타,천천히올라감,2,0,15,5810,7,23,4,33,1.5,0,1,4
45,30404,패배,오른,미율치에오,2,4,1,10661,1,9,2,179,8.2,0,0,3
46,30404,패배,자르반 4세,좋은날,5,3,1,7998,6,32,12,116,5.3,0,0,3
47,30404,패배,아지르,Afreeca Kuro,3,5,3,10139,1,23,6,160,7.3,0,0,3
48,30404,패배,진,ROX Sangyoon,1,6,4,9060,1,9,3,172,7.9,0,0,3
49,30404,패배,소라카,ROX 라바,0,9,6,5755,6,17,12,18,0.8,0,0,3
50,30405,패배,나르,Eth4n,9,3,1,18437,2,20,4,199,8.8,0,1,4
51,30405,패배,자르반 4세,Afreeca M0wgli,4,6,3,6336,4,21,4,103,4.5,0,1,4
52,30405,패배,아지르,진에어 저스티스,3,5,4,10211,5,14,4,172,7.6,0,1,4
53,30405,패배,애쉬,선비모드,4,7,8,15418,2,7,3,173,7.6,0,1,4
54,30405,패배,알리스타,천천히올라감,1,5,11,8044,7,24,5,27,1.2,0,1,4
55,30405,승리,오른,암고잉빽투더스탙,2,3,10,14458,0,10,6,168,7.4,1,0,2
56,30405,승리,카직스,마이엠브,5,6,7,11100,5,17,4,86,3.8,1,0,2
57,30405,승리,말자하,ROX 라바,8,3,9,19116,1,11,3,185,8.2,1,0,2
58,30405,승리,진,ROX Sangyoon,7,5,4,13054,3,9,0,190,8.4,1,0,2
59,30405,승리,탐 켄치,뒷텔와드점,4,4,12,9422,4,20,11,49,2.2,1,0,2
60,30406,패배,갱플랭크,Shi  Yue,3,7,5,16795,0,9,1,215,7.5,0,0,4
61,30406,패배,쉬바나,F0y,8,7,4,13396,5,9,14,167,5.9,0,0,4
62,30406,패배,아지르,mide gui tou,3,5,5,14815,4,13,5,236,8.3,0,0,4
63,30406,패배,바루스,분당고 엄성현,1,7,10,17825,1,24,10,186,6.5,0,0,4
64,30406,패배,알리스타,천천히올라감,3,4,10,7601,12,33,11,54,1.9,0,0,4
65,30406,승리,카밀,쌀국수뚝붸기,11,2,6,21963,3,14,1,255,9.0,1,1,8
66,30406,승리,엘리스,삼성갤럭시 하루,8,2,11,19012,11,30,10,110,3.9,1,1,8
67,30406,승리,조이,삼성갤럭시 Crown,1,4,7,14958,3,16,4,248,8.7,1,1,8
68,30406,승리,칼리스타,삼성갤럭시 Ru1er,8,5,4,26007,3,22,9,252,8.8,1,1,8
69,30406,승리,쉔,삼성갤럭시CoreJJ,2,5,14,6603,7,33,8,60,2.1,1,1,8
70,30407,승리,르블랑,박효신사생팬,10,3,6,19887,2,6,10,189,7.0,1,2,4
71,30407,승리,자르반 4세,삼성갤럭시 하루,10,1,9,13616,9,40,20,139,5.2,1,2,4
72,30407,승리,조이,삼성갤럭시 Crown,3,4,5,15705,5,15,11,221,8.2,1,2,4
73,30407,승리,진,Hades9,5,1,5,10587,5,16,8,240,8.9,1,2,4
74,30407,승리,알리스타,천천히올라감,1,3,10,4709,10,25,16,56,2.1,1,2,4
75,30407,패배,제이스,암고잉빽투더스탙,3,11,2,13112,2,27,9,195,7.2,0,0,2
76,30407,패배,카직스,Cuz2,5,6,6,12359,4,20,6,128,4.7,0,0,2
77,30407,패배,라이즈,나는야 누구일까,2,1,4,15539,4,13,6,253,9.4,0,0,2
78,30407,패배,미스 포츈,Excal1bur1,0,5,1,9711,3,19,4,236,8.8,0,0,2
79,30407,패배,잔나,리인제이,2,6,4,11382,8,54,15,18,0.7,0,0,2
80,30408,승리,제이스,삶이힘든사람,7,3,1,14134,3,23,9,170,8.4,0,0,5
81,30408,승리,니달리,점점나의마음이끌,8,2,5,12573,2,13,8,127,6.3,0,0,5
82,30408,승리,라이즈,나는야 누구일까,4,5,8,12147,3,11,6,145,7.2,0,0,5
83,30408,승리,미스 포츈,FVV BETTY,3,2,4,10571,4,19,8,180,8.9,0,0,5
84,30408,승리,레오나,천천히올라감,6,1,7,5913,6,18,12,49,2.4,0,0,5
85,30408,패배,카밀,코w코,1,5,4,5849,2,17,6,121,6.0,0,1,0
86,30408,패배,리 신,TeawaN,7,9,4,11617,6,35,6,90,4.5,0,1,0
