,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31035,패배,사이온,춘봉박,4,6,11,20077,2,19,10,257,6.4,1,1,5
1,31035,패배,케인,PeanuToT,6,8,8,22132,11,38,34,258,6.5,1,1,5
2,31035,패배,빅토르,학교밀베포친키,6,4,9,32089,3,23,26,324,8.1,1,1,5
3,31035,패배,이즈리얼,비 브이 오 와이,8,3,10,49444,2,25,18,359,9.0,1,1,5
4,31035,패배,세주아니,MataMataMata,2,11,11,10559,21,99,25,78,2.0,1,1,5
5,31035,승리,제이스,JAG S0hwan,7,7,16,34163,7,50,11,348,8.7,1,2,11
6,31035,승리,자르반 4세,ROX Se0ngHwan,0,6,19,10892,11,69,20,162,4.1,1,2,11
7,31035,승리,라이즈,푸딩은푸딩해,13,4,6,49556,4,26,14,409,10.3,1,2,11
8,31035,승리,칼리스타,구름꽃길만걷자,11,4,11,32445,1,13,31,355,8.9,1,2,11
9,31035,승리,쓰레쉬,chorongie,1,5,23,10960,17,106,30,65,1.6,1,2,11
10,31036,승리,티모,춘봉박,7,5,6,30515,3,9,8,248,8.1,1,2,8
11,31036,승리,쉬바나,PeanuToT,8,4,6,14517,9,13,16,214,7.0,1,2,8
12,31036,승리,갱플랭크,뒷텔와드점,4,6,11,13768,2,16,6,276,9.0,1,2,8
13,31036,승리,이즈리얼,담원 얼라이브,8,4,15,24943,2,14,17,296,9.7,1,2,8
14,31036,승리,세주아니,MataMataMata,4,5,16,10383,15,75,20,78,2.6,1,2,8
15,31036,패배,블라디미르,빅파이초코파이,4,7,4,18994,3,17,9,235,7.7,0,1,2
16,31036,패배,렝가,chorongie,10,6,4,20871,9,27,11,169,5.5,0,1,2
17,31036,패배,탈리야,푸딩은푸딩해,3,3,4,17986,2,14,5,312,10.2,0,1,2
18,31036,패배,미스 포츈,먹는건즐거워,6,10,3,12216,7,32,19,249,8.2,0,1,2
19,31036,패배,마오카이,진쟤승,0,5,9,10179,5,36,12,67,2.2,0,1,2
20,31037,패배,제이스,춘봉박,0,0,0,793,0,2,0,11,3.4,2,0,4
21,31037,패배,니달리,chorongie,0,0,0,0,0,2,1,21,6.5,2,0,4
22,31037,패배,아지르,겸손하고 근면한,0,0,0,657,0,0,0,18,5.6,2,0,4
23,31037,패배,칼리스타,담원 얼라이브,0,0,0,681,0,1,0,13,4.0,2,0,4
24,31037,패배,쉔,PeanuToT,0,0,0,485,1,2,0,2,0.6,2,0,4
25,31037,승리,제이스,담원 너구리,7,4,10,32085,6,59,16,412,9.4,0,4,9
26,31037,승리,카직스,Cuz2,9,6,6,29671,2,27,30,266,6.1,0,4,9
27,31037,승리,라이즈,FeelsAwesomeMan,5,4,13,29516,9,15,28,387,8.9,0,4,9
28,31037,승리,미스 포츈,담원 얼라이브,14,5,10,57436,5,16,19,364,8.3,0,4,9
29,31037,승리,제라스,종학윙,3,3,11,34597,3,12,13,91,2.1,0,4,9
30,31038,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
31,31038,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
32,31038,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
33,31038,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
34,31038,패배,알리스타,춘봉박,1,4,7,5335,4,22,9,46,1.8,0,0,1
35,31038,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
36,31038,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
37,31038,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
38,31038,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
39,31038,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
40,31039,패배,제이스,뒷텔와드점,4,5,4,30360,3,39,8,395,10.4,0,1,5
41,31039,패배,케인,춘봉박,7,7,4,18319,5,19,7,231,6.1,0,1,5
42,31039,패배,라이즈,FW Maple,3,2,5,17363,9,26,10,353,9.3,0,1,5
43,31039,패배,미스 포츈,deft123456,0,6,5,18201,8,45,17,376,9.9,0,1,5
44,31039,패배,잔나,Jisu,1,10,6,7351,13,76,28,36,0.9,0,1,5
45,31039,승리,마오카이,Kingen,2,4,4,16902,3,21,5,276,7.3,1,2,9
46,31039,승리,세주아니,259x,4,3,10,8446,12,38,31,175,4.6,1,2,9
