,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10454,승리,마오카이,쁘띠예리사랑해요,2,4,15,28419,2,11,9,289,7.8,2,2,7
1,10454,승리,카직스,츠코파이,11,6,8,25139,9,42,26,202,5.5,2,2,7
2,10454,승리,블라디미르,FW Maple,7,5,8,33158,0,16,4,323,8.7,2,2,7
3,10454,승리,이즈리얼,Rachel Berry,7,6,8,48130,3,28,15,279,7.5,2,2,7
4,10454,승리,알리스타,18 01 1000 X D,1,5,12,9551,10,36,6,71,1.9,2,2,7
5,10454,패배,야스오,Gon123,5,5,9,28936,2,37,4,304,8.2,0,2,7
6,10454,패배,자크,kenzhu9,8,5,10,26946,15,38,10,195,5.3,0,2,7
7,10454,패배,제라스,he  nan    yu,5,7,5,37262,4,18,7,294,7.9,0,2,7
8,10454,패배,루시안,baramgaebi,8,7,10,37315,0,13,19,283,7.6,0,2,7
9,10454,패배,쉔,삼성갤럭시CoreJJ,0,4,17,16396,11,50,16,81,2.2,0,2,7
10,10455,패배,사이온,검은머리사나이,0,5,5,15858,2,22,5,147,5.4,0,0,3
11,10455,패배,카직스,츠코파이,5,5,2,10207,10,29,9,142,5.3,0,0,3
12,10455,패배,트위스티드 페이트,상어가족,6,4,2,14765,3,12,3,180,6.7,0,0,3
13,10455,패배,진,비 브이 오 와이,3,3,4,11222,3,12,4,199,7.4,0,0,3
14,10455,패배,제라스,호잇이,1,3,7,15973,3,12,3,25,0.9,0,0,3
15,10455,승리,마오카이,Heart,1,4,6,13001,2,14,8,155,5.7,1,2,10
16,10455,승리,쉬바나,XinyiQAQ,10,1,7,21148,6,9,15,187,6.9,1,2,10
17,10455,승리,말자하,MVP Ian,5,5,5,12574,3,15,1,188,7.0,1,2,10
18,10455,승리,애쉬,Destiny,4,4,5,13616,2,11,5,231,8.5,1,2,10
19,10455,승리,탐 켄치,YserAoA,0,1,15,6251,10,30,7,45,1.7,1,2,10
20,10456,패배,올라프,코w코,6,3,10,25762,1,24,7,354,8.1,0,1,4
21,10456,패배,카직스,츠코파이,9,3,10,31747,8,47,29,284,6.5,0,1,4
22,10456,패배,트위스티드 페이트,상어가족,6,5,13,31755,3,9,12,311,7.1,0,1,4
23,10456,패배,진,whisper snow,9,4,7,37886,0,11,5,491,11.2,0,1,4
24,10456,패배,블리츠크랭크,ysdgqxcj,2,4,17,10585,15,61,18,105,2.4,0,1,4
25,10456,승리,잭스,나네쫓다꿈소년,5,12,4,25777,3,23,5,289,6.6,4,4,11
26,10456,승리,니달리,M1anhua,4,4,9,22132,5,37,22,248,5.6,4,4,11
27,10456,승리,아지르,MVP Ian,6,4,4,41746,4,26,13,406,9.2,4,4,11
28,10456,승리,시비르,비 브이 오 와이,3,4,10,41138,11,24,15,416,9.5,4,4,11
29,10456,승리,알리스타,Destiny,1,8,8,10761,24,75,13,84,1.9,4,4,11
30,10457,승리,제이스,이도류,3,8,6,17085,2,35,8,261,8.2,2,1,11
31,10457,승리,니달리,츠코파이,10,3,10,28844,10,15,23,218,6.9,2,1,11
32,10457,승리,아지르,나라카일,10,1,9,34966,3,31,8,288,9.1,2,1,11
33,10457,승리,바루스,ESRS10,5,6,12,21183,5,15,10,234,7.4,2,1,11
34,10457,승리,알리스타,KDM PERT,3,4,14,10348,7,40,8,63,2.0,2,1,11
35,10457,패배,사이온,ROX Lindarang,1,4,5,13841,4,18,10,230,7.2,0,2,4
36,10457,패배,렝가,커피물조절장인,7,6,2,10414,3,22,5,195,6.1,0,2,4
37,10457,패배,카사딘,THE KING 2000,1,7,4,11101,6,13,2,226,7.1,0,2,4
38,10457,패배,미스 포츈,Dingchenyu,12,3,4,30452,2,14,14,351,11.0,0,2,4
39,10457,패배,탐 켄치,SKT T1 WoIf,1,11,8,7199,9,38,7,56,1.8,0,2,4
40,10458,승리,나르,Dingchenyu,9,2,6,16941,3,13,3,199,7.4,1,2,8
41,10458,승리,카직스,츠코파이,8,2,9,15404,7,31,8,145,5.4,1,2,8
42,10458,승리,아지르,KDM PERT,8,2,10,20612,1,13,9,257,9.6,1,2,8
43,10458,승리,미스 포츈,아이러니,3,2,12,14496,3,10,7,240,9.0,1,2,8
44,10458,승리,알리스타,SKT T1 WoIf,4,4,19,6605,9,25,9,44,1.6,1,2,8
45,10458,패배,럼블,커피물조절장인,3,3,3,14756,4,14,4,214,8.0,0,1,2
46,10458,패배,쉬바나,THE KING 2000,5,7,2,8243,4,8,8,138,5.2,0,1,2
47,10458,패배,말자하,xaxaxaxaxa,1,10,5,12135,1,13,0,170,6.4,0,1,2
48,10458,패배,진,SKT T1 Bang,3,5,3,12305,4,14,4,202,7.5,0,1,2
49,10458,패배,레오나,Destiny,0,7,8,6456,7,34,12,49,1.8,0,1,2
50,10459,패배,갱플랭크,격세지감,1,7,5,20587,4,20,4,306,8.8,1,0,2
51,10459,패배,니달리,츠코파이,5,4,2,17956,10,15,16,224,6.4,1,0,2
52,10459,패배,베이가,이치방츠요이야츠,1,5,4,11791,5,8,16,258,7.4,1,0,2
53,10459,패배,진,whisper snow,2,6,2,17093,1,14,10,298,8.6,1,0,2
54,10459,패배,카르마,YserAoA,1,7,4,7534,18,47,11,35,1.0,1,0,2
55,10459,승리,나르,천점못찍는벌레,7,3,4,25648,2,18,5,284,8.2,0,3,8
56,10459,승리,쉬바나,스마트섹시뷰티,9,2,7,17332,15,20,17,201,5.8,0,3,8
57,10459,승리,럭스,Mengqiuqiu,5,2,9,23197,4,18,6,274,7.9,0,3,8
58,10459,승리,미스 포츈,Greed A Pride,7,2,8,18282,7,40,9,297,8.5,0,3,8
59,10459,승리,블리츠크랭크,Destiny,1,1,14,7961,12,48,14,89,2.6,0,3,8
60,10460,패배,카밀,Heiz4,7,8,1,12163,0,8,1,141,5.7,1,0,3
61,10460,패배,카직스,츠코파이,5,5,5,14282,4,27,11,118,4.8,1,0,3
62,10460,패배,말자하,WangChen,1,5,5,8458,2,10,2,164,6.7,1,0,3
63,10460,패배,이즈리얼,이도류,3,8,2,14709,0,10,0,189,7.7,1,0,3
64,10460,패배,쓰레쉬,161616,1,8,4,3746,6,28,3,21,0.9,1,0,3
65,10460,승리,제이스,BBD dog,10,7,4,17055,3,13,4,227,9.3,0,2,9
66,10460,승리,세주아니,h1rb,4,0,16,9799,7,19,14,157,6.4,0,2,9
67,10460,승리,라이즈,피넛사냥개2,8,2,5,19144,4,13,4,231,9.4,0,2,9
68,10460,승리,코그모,whisper snow,9,4,6,16693,2,10,3,200,8.2,0,2,9
69,10460,승리,바드,슬프다고말하면,2,4,12,10673,8,32,18,20,0.8,0,2,9
